"inst_341" "inst_363" "inst_407" "inst_408" "inst_411" "inst_434" "inst_502"
"1007_s_at" 8083 16960 8340 16909 17641 6674 15807
"1053_at" 21262 18337 4177 4049 14913 15812 5765
"117_at" 3022 6381 3385 2732 252 625 20442
"121_at" 17318 8061 11934 10374 13818 5291 17609
"1255_g_at" 13557 2152 15398 5921 11095 7987 5526
"1294_at" 3963 2915 10729 21668 14394 15833 2484
"1316_at" 1060 2721 1141 2377 20266 2430 20425
"1320_at" 22019 655 1738 7833 6756 6064 13363
"1405_i_at" 10280 21243 18263 16068 1491 11125 8445
"1431_at" 14293 8478 14325 11573 8281 4237 16371
"1438_at" 1507 11624 6182 4299 949 20727 20561
"1487_at" 9311 5468 8131 7086 20271 7149 2059
"1494_f_at" 4984 3111 12370 19836 14786 2894 7084
"1598_g_at" 20705 8103 9118 18526 18035 6964 17008
"160020_at" 19609 1279 772 8505 20150 17998 5481
"1729_at" 8521 21164 4204 4613 686 17635 408
"1773_at" 2707 6422 21214 19822 21989 17065 3255
"177_at" 5397 8915 17739 7793 3030 5742 1337
"179_at" 8952 3534 6273 4444 15338 15345 3867
"1861_at" 7446 1498 8399 6398 18327 9490 1814
"200000_s_at" 18192 4685 11659 18198 4265 6904 19050
"200001_at" 6102 7191 12185 10500 4308 16781 3221
"200002_at" 19247 17913 8856 7152 13756 18401 17683
"200003_s_at" 17073 8703 7731 5461 4215 7148 14649
"200004_at" 8969 19361 6195 5476 16052 15870 16223
"200005_at" 6230 18943 11032 8521 14415 15233 17791
"200006_at" 2531 7185 4173 2821 6268 5579 4787
"200007_at" 16658 18989 10808 17792 4996 14902 7578
"200008_s_at" 7448 6481 10332 8801 3064 15354 15731
"200009_at" 2609 17553 10454 7915 14187 5893 14929
"200010_at" 2968 7200 8656 3204 14317 3069 7936
"200011_s_at" 1059 16986 6181 9306 13678 15540 3932
"200012_x_at" 18503 8748 10175 18287 5449 17967 18706
"200013_at" 9054 16336 9680 5531 14338 17022 16088
"200014_s_at" 6968 17511 5916 3902 15221 9353 14643
"200015_s_at" 17745 16575 6954 8755 14282 16270 15308
"200016_x_at" 17553 5915 11127 7990 4576 17349 4851
"200017_at" 20214 18741 4498 4402 13806 17340 7210
"200018_at" 6044 16315 9384 10116 13076 6531 17836
"200019_s_at" 18399 8876 12123 8513 3535 16304 15749
"200020_at" 5847 5131 21118 19905 19187 7782 20473
"200021_at" 19613 7514 12145 18568 5819 8211 6528
"200022_at" 21653 9032 7057 5542 6006 9149 16022
"200023_s_at" 19488 16633 8874 10329 4690 16649 14844
"200024_at" 19450 16445 20132 18473 2678 15753 4543
"200025_s_at" 16193 8314 9835 9569 13044 16535 7181
"200026_at" 218 7950 6842 17161 3953 4748 16836
"200027_at" 8602 19047 6706 6033 17020 5884 14923
"200028_s_at" 16209 6670 1197 2145 14578 20611 16116
"200029_at" 18374 18154 11864 20265 4948 17130 14174
"200030_s_at" 15810 15316 20045 18757 5835 14827 16983
"200031_s_at" 17372 15408 11622 9398 4585 8134 6167
"200032_s_at" 4428 7618 8698 7427 13864 6048 6429
"200033_at" 15763 19903 4448 7735 16874 15650 17232
"200034_s_at" 4098 17094 9230 9931 13905 7188 14198
"200035_at" 7775 21041 19616 21003 21511 15234 15005
"200036_s_at" 16485 16817 7930 8519 3198 7471 18257
"200037_s_at" 8682 18906 8051 9498 14945 6371 20151
"200038_s_at" 6680 18560 7579 7850 13952 14967 5494
"200039_s_at" 8349 6953 9751 10327 5994 6575 14334
"200040_at" 6053 8076 9153 10472 6381 18976 19482
"200041_s_at" 18706 15469 8227 6823 18370 18498 19637
"200042_at" 4038 8290 10053 3952 14755 8708 16694
"200043_at" 19617 19794 2225 3847 16087 17754 16185
"200044_at" 17186 16669 6366 6347 17198 17630 17193
"200045_at" 15737 19727 12184 18525 18354 6777 17802
"200046_at" 1689 5667 6189 3039 13254 8894 19173
"200047_s_at" 16111 21035 10119 8192 19400 9307 14426
"200048_s_at" 20136 17069 10122 10001 14954 17580 17063
"200049_at" 1419 18743 9097 19930 15924 16646 20258
"200050_at" 3575 3976 21909 9191 20303 18193 17492
"200051_at" 21942 16229 3391 17452 4753 4940 6617
"200052_s_at" 8412 18245 4899 3997 15075 18617 16322
"200053_at" 18340 4494 12422 7588 19705 15965 14831
"200054_at" 17806 18111 12497 20075 17264 8652 6980
"200055_at" 16958 16349 11927 17983 5973 9302 16883
"200056_s_at" 1168 20065 1848 1955 18661 20219 1021
"200057_s_at" 2434 9048 10262 8917 5491 6265 14747
"200058_s_at" 18553 19856 7291 9182 14819 17958 17859
"200059_s_at" 9224 19006 2031 3742 16755 8694 18736
"200060_s_at" 16318 17968 3447 18538 19844 15998 19528
"200061_s_at" 16717 7789 19961 17876 5997 8329 7217
"200062_s_at" 6400 8959 11721 10075 5575 5825 7330
"200063_s_at" 20943 18241 7302 8810 15530 16176 15546
"200064_at" 7229 8510 4183 6138 14208 15970 15824
"200065_s_at" 5990 19505 11588 17973 16048 8505 6475
"200066_at" 8610 17295 4726 3776 14483 15470 15068
"200067_x_at" 5668 7245 6943 8294 3537 16322 14470
"200068_s_at" 16195 15280 9947 17336 13415 16096 7303
"200069_at" 1535 9028 9199 18534 13129 21767 17732
"200070_at" 20229 20707 5951 18232 17887 19484 16104
"200071_at" 7844 18007 5430 5168 17481 16723 15673
"200072_s_at" 9266 8671 19132 18228 15461 8866 4663
"200073_s_at" 2621 20805 3987 4321 17032 17106 6321
"200074_s_at" 4766 15682 6124 4524 5185 15165 7162
"200075_s_at" 19014 18865 5855 2413 18012 17611 3104
"200076_s_at" 16483 4831 6283 7816 2189 14860 3408
"200077_s_at" 16357 16081 9564 9185 4600 17124 16349
"200078_s_at" 16631 18663 10181 8263 17607 8774 15064
"200079_s_at" 5334 16925 11011 17067 16712 7363 14839
"200080_s_at" 9265 21236 1642 1747 13947 7093 20395
"200081_s_at" 16049 7920 11436 7964 4751 8251 16509
"200082_s_at" 3810 5302 10174 8375 5813 6978 1835
"200083_at" 20183 19981 3204 8083 13692 16676 15236
"200084_at" 6208 16996 3544 3699 15371 19072 6017
"200085_s_at" 18155 19197 8353 17729 3734 15490 16549
"200086_s_at" 18376 15285 4776 4927 15053 9322 3963
"200087_s_at" 15811 19781 5606 6592 16681 8720 16203
"200088_x_at" 16468 6104 19285 18968 6001 9336 15792
"200089_s_at" 7606 18418 5470 5620 15128 7570 7898
"200090_at" 6071 18858 9625 8162 15900 16990 18531
