"inst_416" "inst_1009" "inst_1170" "inst_1229" "inst_1289" "inst_1654" "inst_2644" "inst_2689" "inst_4453" "inst_4670" "inst_5226" "inst_5265" "inst_5589" "inst_5630" "inst_6188" "inst_6947" "inst_6988"
"200069_at" 2333 1145 1221 16987 2120 19788 20739 10746 14465 19519 18598 5334 3344 20384 19247 4828 18237
"200070_at" 19879 21070 1636 4765 5740 20585 2096 4239 2470 4471 5132 946 10014 21786 14532 3579 4749
"200071_at" 18842 5953 2024 19112 2828 18848 16962 4596 11510 6557 8975 11470 2929 16140 12753 3272 6231
"200072_s_at" 15758 17651 8083 15681 5750 18480 13218 9017 18607 16311 6819 8827 8718 9985 6069 8000 18090
"200073_s_at" 20184 20123 8551 20150 9251 15484 5822 5903 12973 9008 10061 19782 12053 16661 14228 18975 4736
"200074_s_at" 6798 15488 7982 6634 9790 15555 13559 9895 12323 16660 9685 11446 11582 3924 5563 20351 18143
"200075_s_at" 16411 17440 21057 4460 5294 20991 17547 12118 16873 8367 6397 5560 9047 19566 17628 7178 7341
"200076_s_at" 5280 17206 5252 5415 2763 17846 17524 20605 20503 8994 7178 5691 7561 16888 5490 9005 2900
"200077_s_at" 6565 16920 8102 16550 8737 3754 13182 8663 9723 9206 11259 11695 10525 10170 6183 9619 7985
"200078_s_at" 5558 19392 8644 6823 6872 15924 17474 5814 15890 5799 7009 8806 5943 17059 14885 9124 3595
"200079_s_at" 5397 16854 9294 15006 4783 18031 16776 18821 19935 15645 11355 9561 11254 14720 15649 6144 7762
"200080_s_at" 14153 17069 9436 18748 8378 16960 5837 7397 1896 18546 7697 14530 12489 5750 13824 8695 7691
"200081_s_at" 14307 5591 8756 4876 10305 14716 15074 10168 13775 17529 7902 11689 11789 3181 3595 19760 7680
"200082_s_at" 1149 15592 19371 15095 10255 16171 13791 14371 11387 8913 19907 20971 19627 5741 8177 19144 17545
"200083_at" 18883 16571 21688 6413 6466 3409 20630 5038 14225 5512 5039 4477 5703 17397 13164 10544 5134
"200084_at" 17448 17412 5350 19007 4375 17960 13766 9756 10426 18036 7888 10065 5927 15537 16501 4068 18606
"200085_s_at" 4415 17795 7144 5297 9585 17071 16737 18841 15728 8336 18976 11405 11812 11867 17271 9854 18809
"200086_s_at" 4883 16992 5389 15506 8068 18181 13736 6190 14403 17453 9986 19500 19507 14915 18404 5902 8121
"200087_s_at" 16755 18886 2165 19237 6073 4561 4893 8423 17524 8520 3576 7965 6901 12458 5529 8991 18607
"200088_x_at" 4329 9787 9527 4117 19925 4883 7991 14274 5687 18318 19370 14307 14953 5607 8040 19343 7426
"200089_s_at" 15752 5882 8289 6320 9945 15387 13334 14404 10646 17545 10968 11653 12287 10502 8217 19975 7227
"200090_at" 14810 1944 6784 15130 6651 19862 13511 6411 12799 6770 4621 6750 7398 16927 19238 3102 19645
"200091_s_at" 18523 19046 21249 17866 10095 17528 3813 6955 9928 15821 8711 19225 12357 9890 8088 19726 19628
"200092_s_at" 6838 9860 9466 1575 20261 2568 5022 18384 3983 18927 9943 19620 20275 5768 8198 20154 17527
"200093_s_at" 16912 17294 6592 15545 8528 18241 12900 3604 10565 9507 19068 19059 9676 12371 19945 18961 18128
"200094_s_at" 3001 18107 19033 6192 9041 4275 13030 10891 16843 5066 18969 18597 19720 14252 14827 19589 7813
"200095_x_at" 6641 10038 8812 6277 20640 4441 8188 14428 5853 11636 10737 14648 15204 5840 8246 20061 16829
"200096_s_at" 17856 2396 5997 15491 2231 20211 16878 2338 20425 5014 5507 19130 9814 11141 20219 7927 17887
"200097_s_at" 16545 17942 4510 19776 2442 4589 18855 9594 11073 5266 7048 12280 5042 11351 5724 5097 17127
"200098_s_at" 16018 16104 7445 5539 4367 18391 17774 6700 12902 9348 8430 8055 9752 16118 17533 10630 4770
"200099_s_at" 5131 10125 18903 5143 20327 15186 4688 14387 5815 6645 14331 14562 15137 5774 8200 20706 17350
"200593_s_at" 19583 4550 9071 5202 9037 18767 13095 19958 19793 18445 9042 11376 9702 10779 13549 20717 7196
"200594_x_at" 6704 5030 6153 19779 5037 4399 15997 10026 15428 16729 7093 8427 9449 15941 5406 9923 7614
"200595_s_at" 6868 16826 7447 19773 8124 16142 3272 5782 3835 18568 2765 6544 6829 19167 17032 5324 5989
