"inst_416" "inst_1009" "inst_1170" "inst_1229" "inst_1289" "inst_1654" "inst_2644" "inst_2689" "inst_4453" "inst_4670" "inst_5226" "inst_5265" "inst_5589" "inst_5630" "inst_6188" "inst_6947" "inst_6988"
"205411_at" 20884 19378 1603 20099 8779 432 2435 4511 12624 22245 20542 21028 3337 12205 15173 18234 731
"205412_at" 4390 18861 5199 6368 7340 16467 14393 19974 15385 19273 7702 6044 7729 13909 16948 7044 6997
"205413_at" 1861 20057 15910 10992 13040 14164 3644 13226 7831 10166 8837 10048 1120 19623 10104 5752 18885
"205414_s_at" 17139 20455 20383 13818 770 18293 14193 3998 12125 7604 324 5304 19823 16029 19412 8208 1650
"205415_s_at" 5596 2536 8783 14647 10275 3457 14326 4029 13067 17234 3033 7901 5536 14171 6332 9344 4821
"205416_s_at" 406 22144 18755 14573 8480 20113 16371 6584 21687 15638 3997 1468 1799 12783 2861 1611 7485
"205417_s_at" 18548 16674 21467 3120 10268 18116 5424 6287 4135 5017 6088 7568 11824 16502 5314 9980 8279
"205418_at" 10204 9146 5500 8035 22096 11120 6234 12229 7135 13758 15754 17941 15109 6308 20045 11417 11887
"205419_at" 13625 8924 2188 7703 21526 12453 7691 7336 4346 6057 16359 16570 15707 6056 15408 16882 14926
"205420_at" 16578 20449 4509 21369 5901 18770 4450 1629 16234 20604 20348 4572 7714 18974 16486 3884 4971
"205421_at" 10476 7166 13910 11826 16372 8649 6278 13273 4460 13508 16547 16390 15940 6728 9378 14526 12048
"205422_s_at" 10637 14873 16698 4334 17551 8720 1711 1707 17333 19733 18391 16921 17007 4881 11000 11486 3057
"205423_at" 21696 16353 21618 5605 9672 4742 18438 1667 16362 3673 19187 4883 21493 13766 21298 8871 22180
"205424_at" 7807 8791 11052 475 9899 11215 19344 22054 476 16398 994 3225 20868 20372 16140 17455 13645
"205425_at" 4645 2945 4383 1505 2702 14429 1884 6086 14573 18959 4036 1989 3082 18117 15029 141 21187
"205426_s_at" 20298 164 1050 9871 22112 13 19523 4641 2381 8976 10683 1833 2591 21529 19649 18377 15068
"205427_at" 130 1801 627 20908 7910 2210 16346 3603 14008 8751 6260 5589 6328 16677 21264 3201 6894
"205428_s_at" 2722 7067 14793 8330 15162 10227 3573 293 73 371 13699 5079 21555 2797 3409 207 5305
"205429_s_at" 2915 611 20453 3124 3337 14152 20680 9438 2499 8475 4316 19717 9370 17255 19074 9468 1267
"205430_at" 13539 48 17153 10500 13926 15570 1044 1115 4725 13141 5852 21565 2085 21660 8917 17791 19991
"205431_s_at" 6321 21414 14840 10000 17372 2034 22087 17982 1219 12210 22249 19227 4819 10186 11157 22109 21440
"205432_at" 21978 17899 934 17320 11466 10931 13313 1436 4097 16279 7066 21022 22196 1072 21978 8199 16325
"205433_at" 7045 7283 13063 21617 14490 8016 7953 15178 9483 10117 15049 14240 13758 6190 8773 13303 10939
"205434_s_at" 1174 20199 4997 3206 9379 15738 22227 19173 17964 1063 3073 19744 4754 20744 2410 19445 21988
"205435_s_at" 18355 3652 21536 15011 21959 6882 13040 1664 19344 19751 3166 19747 1493 13801 19449 2106 468
"205436_s_at" 4777 15730 9048 5394 7368 17947 16110 8145 3317 8582 10057 11566 19815 16042 18895 19904 20062
"205437_at" 185 3093 7849 21250 5123 3752 18264 995 17170 8298 5489 20520 21766 11898 15805 5277 2035
"205438_at" 8340 5710 13496 17793 14821 22115 3286 13871 21412 938 10489 5670 4433 2247 7569 747 18474
"205439_at" 12801 12159 14585 11669 13687 9255 9165 17394 12559 1579 12585 17426 16501 7065 6595 14760 10159
"205440_s_at" 21971 20931 10994 16928 17963 1746 19217 858 18605 19629 9750 19940 1356 2109 11383 6154 19992
"205441_at" 3853 2757 21650 5468 10188 3645 20288 9752 14352 20874 3445 18904 12171 10925 1249 3098 7287
"205442_at" 19029 1619 16974 10862 15888 1750 21741 6144 947 21814 3365 4522 6838 1376 2105 20626 7547
"205443_at" 16403 3803 846 5168 4615 3626 12943 4171 13020 8664 5918 6738 9456 11969 20101 9221 6919
"205444_at" 15041 12344 11713 7036 17059 11631 11918 16244 432 14746 2014 21379 6622 6597 11612 13416 13127
"205445_at" 1443 11259 17064 8448 15794 5722 11280 12821 7911 10726 17541 17846 18475 7090 11654 13926 11521
"205446_s_at" 846 19386 1003 19730 22174 328 21493 1909 3257 20554 3900 19994 3437 13221 945 1840 2234
"205447_s_at" 16287 15630 20865 16841 84 16582 848 485 15631 4499 4281 21159 5694 21827 1320 21127 3976
"205448_s_at" 16310 2371 21553 4135 21884 876 21335 4758 959 17190 5843 9738 20114 16754 22167 10073 16909
"205449_at" 19288 16512 18654 14802 1515 20330 17238 6228 11282 17300 3981 11335 8678 20649 18797 6864 6069
"205450_at" 13891 2256 11549 3998 18657 2522 21315 13599 15157 5007 10418 4181 12819 19498 10475 19052 21968
"205451_at" 7453 14306 8880 16386 14846 11354 10505 985 4835 15011 11835 17706 13660 9458 1940 10785 14535
"205452_at" 21556 16239 18774 18843 9606 15297 16548 10173 17763 19321 19361 10633 8159 17507 18468 8496 4964
"205453_at" 9700 9203 15105 550 16476 6615 11202 20055 21772 20302 2863 21454 174 22276 8451 18595 16099
"205454_at" 12884 9124 10238 14230 19418 13521 6561 6155 30 13294 13719 14927 17870 8206 9598 12557 12912
"205455_at" 15055 15224 10655 3634 18627 10169 11311 9214 16627 1161 8438 20905 2252 16557 10605 12415 9124
"205456_at" 6807 10619 10735 12989 11624 12575 10531 8187 5268 14863 17057 563 13449 5241 6880 13383 15767
"205457_at" 15293 5954 1212 21945 21923 21641 15645 10913 11307 5323 3172 2958 1545 14466 20118 21986 3830
"205458_at" 22082 20002 7357 2449 12582 3964 22058 2122 306 21733 2354 4659 20587 2744 4048 2109 389
"205459_s_at" 8919 8309 18019 58 16299 13410 10654 16454 22251 2246 13498 12873 17153 8633 1143 1853 4250
"205460_at" 10574 12552 16776 656 11568 5624 8691 12817 17953 8871 16074 14482 16820 4926 6939 14173 1325
"205461_at" 14125 2113 12785 16041 19479 726 3919 21603 22126 18079 21992 19499 3542 1384 1783 17749 6518
"205462_s_at" 2456 15393 9613 4472 6775 19684 21531 4535 20619 3360 21485 20094 19341 13542 15021 1824 8232
"205463_s_at" 19906 6516 401 4882 21035 779 3156 1577 13836 6750 18601 2655 2855 18429 13980 2707 6135
"205464_at" 15016 11602 11382 1472 7631 10007 16333 12818 9312 271 15134 13646 15403 694 10582 11566 15143
"205465_x_at" 9990 7120 16068 7252 12699 11933 8587 12455 10737 5581 15353 17648 16544 9237 20664 11028 15022
"205466_s_at" 13381 8535 14542 2683 13045 9696 12135 823 4208 20796 18400 16067 7803 2825 20268 17097 15518
"205467_at" 17144 9578 1413 16690 4 12570 9651 1209 19041 124 16209 15030 9684 6106 21253 15684 12540
"205468_s_at" 9581 13117 1622 10110 11331 10278 10265 17778 18116 2053 15447 15454 14355 5509 21622 12943 9686
"205469_s_at" 17895 15389 21520 4511 374 19477 20740 20021 20925 7655 923 20966 22113 18982 14365 22110 2144
"205470_s_at" 8209 7374 13710 9141 18429 11269 7522 983 1760 19635 3293 18186 3751 6757 12407 6557 15570
"205471_s_at" 20295 22002 22264 10369 21739 21827 230 7393 8150 11088 20298 6265 3722 19847 5015 20979 3874
"205472_s_at" 11690 21671 4563 4286 6867 20482 1134 20253 3343 21489 8576 6500 11077 18930 22007 3973 21902
"205473_at" 8134 12589 17955 13253 11753 5976 12615 15457 658 10879 1785 19417 14364 18544 10260 18484 14487
"205474_at" 19793 20543 4589 16029 4235 17042 15435 5586 10815 7098 7650 4863 3711 14961 15329 19347 17157
"205475_at" 19006 11890 11491 12919 18474 5013 6379 16457 7954 14355 16113 13037 17300 8365 20726 14967 14641
"205476_at" 12459 8275 6136 21827 21257 8728 6876 4317 5865 11651 14453 14670 15220 5852 1125 14930 12403
"205477_s_at" 9536 14499 18277 13258 12435 5898 11460 17140 4674 13920 12652 17126 13668 15844 7143 17517 1766
"205478_at" 10148 14206 11945 14374 10462 12103 10890 175 1577 11745 16195 18321 2258 7921 10471 17348 15831
"205479_s_at" 16131 5059 2529 3879 5864 3233 13007 21373 10930 2092 4623 22208 20899 565 14172 18175 14673
"205480_s_at" 5840 15550 8768 14940 4565 3869 16472 10344 13458 7617 7338 8186 8531 11068 13561 9041 17892
"205481_at" 2854 13880 14307 11504 14357 7378 17091 1000 2787 13325 1857 21408 21610 21511 12 19498 10076
"205482_x_at" 5363 15875 3638 17539 2460 3708 15121 3160 3719 9111 7077 21460 11572 14880 2201 21260 6944
"205483_s_at" 3911 20150 9562 1775 2297 14752 18782 19878 16319 7713 19574 20012 20210 16238 5727 3147 3016
"205484_at" 9735 13703 18430 11684 16667 10640 10520 201 5155 31 13078 17920 18320 6608 13783 16152 13689
"205485_at" 12097 8584 18114 10730 18309 13254 12736 365 4601 13794 3455 15067 16711 12226 388 18379 9531
"205486_at" 19359 2273 2065 1735 10125 15605 19354 4052 13704 21909 20378 2851 2938 10714 4500 7011 454
"205487_s_at" 11123 10072 13362 2514 14211 8358 12338 13667 7960 14853 14366 14600 15431 6473 10624 14622 9612
"205488_at" 18354 14383 17753 9187 19058 5261 7144 17315 9476 14187 871 13017 14476 7167 12413 16164 825
"205489_at" 17832 329 1657 7135 11295 12668 6106 16819 8459 15501 17841 16576 15237 7657 8546 7719 15675
"205490_x_at" 21890 7063 16157 2375 17383 276 14995 13866 12633 1873 21834 19924 21771 18486 6802 18881 16352
"205491_s_at" 11046 8243 11579 14177 11974 6722 12659 18507 7353 14145 17779 11137 17879 8680 7769 16615 9956
"205492_s_at" 4171 12721 14516 8299 10340 8856 9872 14525 2483 354 16450 12952 16004 8581 7533 15740 9834
"205493_s_at" 10770 773 18434 900 10398 21896 14548 12501 10156 2398 20805 5976 21311 22197 10986 263 79
"205494_at" 19103 19788 4405 20089 16652 405 781 1292 3059 1857 21736 4707 10082 534 18744 20096 10334
"205495_s_at" 19627 12369 17902 9555 18869 8619 11939 15734 5252 12548 4611 14337 16477 6110 7173 13617 11229
"205496_at" 7314 13056 16863 10667 18711 11118 11839 1970 8601 10093 12119 17809 14475 9685 1615 13271 12532
"205497_at" 14714 12923 6024 5874 5463 6131 8946 2581 11230 8331 18279 12969 16570 11860 17167 17640 15861
"205498_at" 6256 1453 10225 14744 16572 18360 20000 13428 4157 5290 8866 9863 12671 12546 10641 8411 4725
"205499_at" 13249 14049 18587 1223 16689 13313 9138 22001 20475 19560 16291 15814 14158 8607 9963 16174 10503
"205500_at" 665 408 12817 20499 3467 19944 18758 20893 21946 2011 2519 883 19275 17008 20470 20350 19719
"205501_at" 12314 11112 18269 10298 18375 12785 12653 2357 21320 160 17054 17984 3753 3899 7406 12018 14891
"205502_at" 21176 10335 1616 21177 19415 9294 20866 4432 995 21736 21804 21296 21630 20327 6239 19488 6908
"205503_at" 1799 6481 16447 436 12363 1422 546 3458 20759 4785 20992 21794 19038 10605 176 12820 4062
"205504_at" 12207 6893 5477 12292 5756 11617 10991 7688 8253 11330 15738 14091 12442 6405 18432 12405 15609
"205505_at" 1793 22200 3209 13671 9416 6995 575 3920 20424 14439 2087 10489 12567 3189 20584 551 10729
"205506_at" 9481 12173 17440 12262 14701 11037 11716 956 7525 10105 13928 16073 4804 7724 10615 15449 12743
"205507_at" 21424 12305 14319 13065 15333 13825 11788 17173 646 13073 13072 17028 9956 5920 10560 15564 13198
"205508_at" 5376 804 11415 1650 16193 14916 1122 12873 9849 22223 617 21716 22253 22185 12389 22212 1304
"205509_at" 15434 14579 18113 1073 11674 13895 2484 16840 13902 21112 16352 21608 12752 1049 21135 13047 8965
"205510_s_at" 22071 19340 18665 425 21347 17827 20566 5463 3701 6721 7301 6370 4415 14570 14196 2638 2690
"205511_at" 17936 22132 4012 21964 154 1262 4568 2404 1308 2065 18954 7613 805 2111 18355 1827 19619
"205512_s_at" 1264 5438 8622 5372 8848 18460 15595 20362 18248 15762 9144 11058 8751 16255 5041 5892 7198
"205513_at" 21505 14684 735 3191 21038 7710 12469 11212 18131 18033 1831 1667 1070 963 13372 10654 16359
"205514_at" 13705 7629 11891 21818 15959 6254 11392 1635 2788 19055 15109 562 15580 20554 8516 18261 14772
"205515_at" 20483 15128 14878 8824 19715 12818 4744 5486 19720 19681 5183 16815 14842 12737 22161 15076 9248
"205516_x_at" 19005 17721 1870 1693 4628 21309 15976 20645 12318 5410 8659 3441 20555 16713 17582 9211 6630
"205517_at" 8899 20828 14977 13219 14598 20212 7498 21714 1155 20627 3406 9824 20636 2978 7108 21017 13858
"205518_s_at" 5414 6974 746 12007 4345 7227 9999 21536 8395 11775 16438 12409 13243 4383 15496 13107 8590
"205519_at" 22045 1509 462 21559 8341 1174 4007 3674 3641 20166 9924 236 10503 3808 14179 21525 2959
"205520_at" 15307 22111 2929 20951 17392 557 1582 2367 12983 19968 21799 21846 822 16934 3593 17962 21783
"205521_at" 9101 5327 998 17919 8099 15910 13803 5369 15010 7565 11058 10345 6782 21826 14372 20947 20891
"205522_at" 17870 6978 16459 19329 18921 10892 6075 14439 2521 18048 15474 15026 13192 5261 8834 14835 9828
"205523_at" 10387 15210 10420 1893 13044 13336 9125 22035 9572 19229 16710 12548 14084 9365 1432 18170 4047
"205524_s_at" 11933 12440 18348 554 15348 12294 12325 16572 3453 506 15242 17235 13206 5461 7064 15792 827
"205525_at" 15885 11409 13380 8540 13148 5020 11307 14473 22042 9979 12263 13152 18034 7044 6202 13389 10639
"205526_s_at" 20654 4243 7845 19289 4531 2183 19521 11356 14159 19525 19708 6909 9549 18513 15682 987 5743
"205527_s_at" 16118 18806 5765 5954 20458 3028 17422 5088 19161 16376 10706 19606 12800 20426 16765 21235 18965
"205528_s_at" 10375 9556 10160 12416 18385 13133 6988 10323 72 17631 5000 16008 18660 1807 13873 9662 15801
"205529_s_at" 21032 7350 13400 7033 16150 7613 2922 14484 8815 14554 13598 13641 3493 20414 7156 14501 12030
"205530_at" 2062 2318 18828 16849 4643 20148 2713 6747 12385 17390 1143 10453 1591 18492 19418 20220 18064
"205531_s_at" 1866 17578 12130 22063 10449 22074 3321 6898 1683 3781 20106 18476 20834 21899 9436 639 15905
"205532_s_at" 11204 7903 15930 14812 17476 9483 11697 1239 9449 21411 12733 13351 13790 7133 498 16810 8909
"205533_s_at" 8501 10854 13450 9714 14487 8542 8007 13136 6534 11439 15556 14335 14971 5625 6502 13606 11219
"205534_at" 5790 18714 17473 19574 18899 20464 14547 13088 16764 21485 21343 92 21464 10352 9971 17014 449
"205535_s_at" 11400 9544 13237 11549 13855 11245 9078 15328 1226 12820 12443 15469 18780 9005 9925 18162 15654
"205536_at" 18364 197 18585 12998 13162 21590 5100 21628 21046 1208 6652 1313 20023 1964 21777 4212 21220
"205537_s_at" 10784 14002 17847 12630 11270 215 8572 20522 4304 426 17760 20708 17533 109 7525 18012 13598
"205538_at" 18170 22095 5044 6523 9944 22094 1815 3221 2701 2127 944 5070 13044 3703 18926 9423 1110
"205539_at" 19646 7720 10132 9245 8831 12260 10022 16505 6047 14233 17050 13128 13599 4394 13645 14063 1240
"205540_s_at" 12849 20854 8998 15117 16629 17938 18335 1596 10107 2349 887 2447 4666 1775 21130 12917 16412
"205541_s_at" 16292 8335 3536 17749 19558 6182 17791 15252 13698 18602 6939 21237 21111 18225 20482 6569 15987
"205542_at" 18283 11678 13912 15703 12897 9677 6598 18172 13813 16898 2551 20869 3838 21659 21602 2351 1502
"205543_at" 6050 5695 7566 22174 21951 2588 5705 9824 14784 17771 1985 11741 1201 10210 21089 9290 3267
"205544_s_at" 12151 6949 10321 7402 11758 8932 7765 17510 8873 14543 16387 18157 15662 4337 7040 17343 15136
"205545_x_at" 14825 5028 5668 5444 3201 1356 19926 11967 13668 7246 3629 7806 4989 12925 13831 6143 3930
"205546_s_at" 3551 18204 18713 19539 8012 21029 13191 4271 17755 1947 7693 10135 11228 19090 15610 5421 6250
"205547_s_at" 21356 21422 6420 3379 20310 21525 19799 8116 18976 18455 817 19544 1663 16504 3661 21507 21777
"205548_s_at" 4825 1389 2683 3966 8008 16135 21434 7605 3563 20367 21061 9433 13111 22086 16171 19259 1068
"205549_at" 1171 20740 17655 13951 13281 17673 4977 1347 9228 15109 4549 20483 20399 15740 11992 1990 3418
"205550_s_at" 21368 19265 3223 19154 2597 4299 5868 11566 15640 18215 6177 4050 7016 12198 14314 6349 16675
"205551_at" 8429 8864 16357 10034 10892 11377 9845 21995 12914 13575 13847 16621 18578 2366 1584 13632 12924
"205552_s_at" 11346 12992 7653 21823 19090 8859 11260 13694 6495 297 12478 15364 16036 8278 950 17906 14584
"205553_s_at" 10491 8140 13065 8964 11337 13769 12103 5104 7752 17140 12931 17821 18814 9195 8879 1713 11281
"205554_s_at" 16574 8248 10910 12728 13270 7446 1615 16740 542 10041 14610 222 8787 2141 20856 11219 16120
"205555_s_at" 20477 17212 9780 8480 19076 4704 17088 8486 20156 929 8043 11731 19450 18796 6818 4962 21012
"205556_at" 12552 8232 11127 11209 18137 13728 509 17599 5971 9793 18470 18363 19890 18376 9722 12156 13074
"205557_at" 11938 9709 6298 11189 460 8097 7226 10890 7996 12090 15227 14027 14918 5895 3794 16361 8333
"205558_at" 19673 21355 9290 4185 20599 19453 2655 5502 2665 18041 10454 4226 2270 3104 2849 19824 17801
"205559_s_at" 8971 14649 13179 10090 13625 8577 6005 12511 7566 12084 17085 16429 17921 7511 12045 11086 8372
"205560_at" 7669 9779 13429 9745 13887 5258 6863 13959 6245 12690 13198 14328 14965 5621 11823 11587 11196
"205561_at" 10751 13417 18122 9251 18802 12145 13258 19853 1484 1332 1375 4010 45 21908 9485 15221 7922
"205562_at" 19402 16038 19485 6699 1821 19670 14711 12265 11567 18292 9815 7388 10103 18575 3274 8649 7754
"205563_at" 7972 10712 13428 9104 13352 10266 12178 13617 8997 6508 12739 15007 16187 7291 9502 17011 13405
"205564_at" 13577 13124 15086 13534 19538 12237 7641 1564 92 10897 15382 15073 14797 9320 1080 8575 8737
"205565_s_at" 18760 21340 18792 3381 5182 1917 13293 2601 19465 21516 8378 4757 3643 21217 16204 19615 17929
"205566_at" 4425 3561 606 502 11180 18325 21403 17183 22279 2762 10941 5313 10697 18673 21571 8424 18374
"205567_at" 19911 8938 17559 8684 18007 10477 7856 15789 3022 10150 14741 14824 20630 6339 4887 16760 15960
"205568_at" 7910 14986 18644 11739 11651 13230 10565 2788 8729 5886 16516 12486 17634 5168 12419 10962 12444
"205569_at" 8225 621 13750 5402 13061 12360 500 21897 2564 19134 21123 21948 20527 210 9599 2903 9623
"205570_at" 14921 5291 5936 1721 21583 2171 1885 12243 2182 21155 18517 2682 13082 13645 19470 9425 2868
"205571_at" 17871 4668 19657 5346 5616 21724 12886 9976 13875 9304 6741 7401 8100 15574 18896 8463 19781
"205572_at" 7118 12483 9853 8006 11919 10552 6892 1857 8988 13623 12522 16822 18662 2610 12375 11551 8680
"205573_s_at" 20936 20689 14560 16004 12437 15443 2845 17652 12809 6928 6107 8075 7757 11341 6767 10011 3943
"205574_x_at" 20102 2583 3225 20934 5532 18782 13852 18848 18707 19877 10175 8656 4547 3002 5771 3315 3698
"205575_at" 282 14303 13770 9911 17974 10547 15 15158 11856 2049 17672 1361 21546 9489 4467 17601 9499
"205576_at" 12592 13692 14868 3258 14966 12573 7757 13117 21087 9090 15137 15095 14272 4680 10042 14580 12092
"205577_at" 6201 9762 13169 9744 16523 8675 11400 14344 5095 11519 14220 14462 16258 5707 9323 11038 11650
"205578_at" 7464 6616 11896 12596 16112 12245 12458 15787 4638 10135 17449 17067 17776 666 12285 13521 12794
"205579_at" 20856 6708 22262 750 8450 9354 10269 5632 17663 19296 16859 3482 18966 5488 1149 14548 13111
"205580_s_at" 21722 7311 4417 4850 331 5847 11843 9207 14944 7986 544 19509 21013 1555 21065 15132 9483
"205581_s_at" 7187 11821 13260 13846 17820 11682 7791 16709 5044 14767 16470 16619 15554 7409 7911 10844 12082
"205582_s_at" 10753 10506 13095 8909 14085 8192 8054 16849 8482 12303 14158 14402 13531 4703 8541 13832 11439
"205583_s_at" 4830 17478 8048 21490 2099 3792 2668 5604 10540 19868 7681 3974 1707 16931 18330 1096 3259
"205584_at" 11785 3563 7275 17799 6796 2286 2936 5656 12316 870 2764 2528 8644 16299 12957 19459 19770
"205585_at" 11738 10811 21711 11522 3322 3114 1256 5820 1029 7259 5051 21829 11048 3633 14590 15701 198
"205586_x_at" 15279 2938 10980 3697 323 22 992 12069 21669 21879 21974 2796 20838 12904 229 22203 4658
"205587_at" 10052 12043 15677 7794 18833 9519 6170 17292 7042 9945 14700 18042 13923 4624 21139 14355 8475
"205588_s_at" 17277 6134 20776 21282 20279 19235 3799 19899 16461 6844 9697 11234 12807 13861 4542 5675 21918
"205589_at" 12665 13032 16566 7551 18060 11365 7414 18099 8078 10420 17442 13990 17020 4652 11745 14447 15272
"205590_at" 294 16644 13560 9539 16089 19307 20774 12754 5096 11536 9603 4814 8466 17400 9301 4197 16648
"205591_at" 6686 17582 11796 9659 10627 20619 18996 13485 5738 12590 19543 1953 9815 18629 6515 4916 18168
"205592_at" 11502 11664 11924 8523 11207 10977 6890 2168 7219 14216 18331 17906 9266 8075 6055 10719 9630
"205593_s_at" 10735 886 12775 12884 14165 13297 12734 14459 7901 13466 15225 3699 16571 8511 8735 12343 8819
"205594_at" 20758 18034 7934 5097 4975 586 1444 2838 1190 3623 6403 580 2713 13975 4185 7576 18789
"205595_at" 17362 11498 17387 12636 19257 5775 7142 16568 7986 20103 13256 13212 18755 6710 10026 16028 12826
"205596_s_at" 14265 16795 3332 16146 7233 14595 19050 7707 11203 6163 3241 6746 8796 14350 20651 2743 6384
"205597_at" 538 6926 10541 1519 14618 11386 7553 15004 466 11024 14398 14722 18239 6667 10777 15101 12225
"205598_at" 21575 22037 20901 22028 9594 554 1043 1528 19384 18668 1179 2318 21899 1722 4021 298 114
"205599_at" 13849 11857 42 13615 14794 8414 8561 18506 8087 10191 14403 15882 15747 9405 3698 12135 12229
"205600_x_at" 19691 11920 17696 3642 18686 9245 778 3399 452 468 4384 3917 4217 74 3262 12993 574
"205601_s_at" 16352 8695 17023 21865 19007 10629 12421 16692 22244 8037 16697 13310 14012 4582 6851 14640 14315
"205602_x_at" 10769 10717 13952 8698 14216 10586 8828 13360 8603 10327 11942 14797 19177 7485 14601 15257 15277
"205603_s_at" 17142 2068 8163 5044 7186 21884 1077 18576 16478 6134 19207 3095 8149 16880 4082 5132 20049
"205604_at" 20299 14726 16855 8319 17637 13285 8615 20069 5012 9072 16904 13773 16996 6192 7328 14085 15940
"205605_at" 12474 5063 12350 8202 17557 12456 6587 15235 4994 12650 12479 13376 18312 8975 11575 15513 9035
"205606_at" 21473 991 12764 1549 13257 815 2453 6628 3586 3294 20829 1765 6799 21379 22072 2112 1266
"205607_s_at" 22187 2063 3985 6668 2656 20826 4768 8287 22005 1469 1158 6266 2700 11910 14344 666 3161
"205608_s_at" 20975 8827 11091 12013 15512 10376 1874 21414 20825 11869 14790 1425 9476 21214 15652 16712 10724
"205609_at" 8294 11041 13007 11876 16135 8072 6822 14393 6944 14332 16618 14586 15152 5128 12523 14573 12085
"205610_at" 1117 9943 11301 7505 18843 11743 10186 4014 7491 11707 12624 13580 17889 5492 6953 12948 11574
"205611_at" 12040 7062 12948 2110 14229 10252 11287 17707 695 1313 8101 15526 15923 7301 10578 16110 11223
"205612_at" 8139 13359 14627 13692 13137 10175 8169 16813 17323 10002 16177 12550 16868 8322 7826 17360 10656
"205613_at" 12632 22075 12009 1917 19489 21875 2567 16648 1830 2102 1863 4676 19437 10360 7739 2404 2566
"205614_x_at" 13124 15034 345 15880 10132 10663 2229 21845 17661 3 11047 20710 17454 3428 996 1270 15864
"205615_at" 10119 11061 11148 7221 17525 8212 6631 16112 1907 12665 6793 14813 17304 4238 9532 11434 9040
"205616_at" 1915 748 18638 1149 11430 9000 7580 1770 13317 13061 2891 12176 15890 2682 3167 11269 10144
"205617_at" 7456 2235 13602 20189 18731 20032 12816 6938 21297 19454 1132 11948 21463 3176 4488 20885 1087
"205618_at" 6391 909 7313 21285 1751 14116 2134 1849 17975 16207 3260 3202 193 12197 19899 335 17705
"205619_s_at" 11606 14512 11393 11663 11300 13055 12097 15528 2472 14278 16418 13099 1310 1681 10889 15054 8728
"205620_at" 6367 7403 11979 11873 11743 5981 10441 5861 3077 14535 12137 15942 17038 4087 10037 15191 3893
"205621_at" 14242 20285 5343 1064 1524 652 19805 18847 12870 7044 9930 10370 6925 12679 4927 2821 6309
"205622_at" 1414 1363 1671 10699 20804 14733 13826 21446 2233 285 1763 19751 19617 19284 19594 22278 1997
"205623_at" 13209 8618 9250 3302 19519 9380 8677 927 12622 21907 13828 13766 5880 805 4264 12981 667
"205624_at" 9388 12391 16947 14030 10617 11584 11871 15512 8209 9968 17818 16895 13805 7690 8393 13415 8437
"205625_s_at" 11044 8465 10419 16554 11219 7210 7915 17861 12052 4194 17940 21536 12459 19003 18217 11846 1664
"205626_s_at" 11062 7966 17397 6234 16993 13107 12367 13292 4190 8010 11930 17690 16186 4325 11906 15327 9544
"205627_at" 7434 14670 19698 5448 21476 11750 11816 6011 15813 6759 16820 17343 15234 8568 252 16936 15398
"205628_at" 6402 2162 20811 20479 9391 20719 21714 8008 20703 21790 5166 11259 19321 18931 16234 3587 238
"205629_s_at" 9310 11778 15823 8485 17191 10004 8290 21534 7055 19844 16666 15634 17876 4248 10557 10770 13244
"205630_at" 20587 13182 18131 6936 10529 6575 6406 17900 6840 15151 4617 4031 19689 770 10404 16098 11825
"205631_at" 14592 2039 7134 14486 6319 21272 2615 20245 16014 17442 8692 18999 3155 11631 19721 7196 4294
"205632_s_at" 22048 2453 11861 6904 1122 11330 9326 1216 9356 12773 11987 16230 13915 4477 15075 12558 14987
"205633_s_at" 16313 21245 7403 4499 9175 3405 13777 5073 13939 3297 21181 19510 10727 19781 15552 3044 21788
"205634_x_at" 15034 1776 20994 4487 3422 15705 19152 3670 12866 17763 2956 6262 4323 13656 20564 5383 1178
"205635_at" 11021 10274 15612 14158 10410 5477 1967 725 11439 1081 13888 13970 14190 8681 12566 12119 12899
"205636_at" 6083 9040 14349 8622 18640 6552 11812 3806 8717 13701 12803 12981 18708 8749 4381 15284 10134
"205637_s_at" 2051 9234 16019 3428 17792 13049 12193 17678 20407 20310 15716 811 6 11338 8700 18946 15900
"205638_at" 9433 15228 9862 13415 13546 6962 9506 1002 12457 11134 14530 13975 621 13526 9699 15332 13183
"205639_at" 8979 7322 21668 11446 20025 7505 6356 3037 9310 11044 17061 16276 17227 9199 3364 18232 13227
"205640_at" 18432 5800 21819 580 21766 19970 1376 9507 22175 19701 7875 1866 5550 22267 6395 217 495
"205641_s_at" 4270 3520 865 21001 21957 19359 19718 2070 765 17934 1747 4956 12831 2831 20320 20169 2832
"205642_at" 4431 1387 7948 22178 7428 22229 4889 11065 16010 1772 1335 10756 22131 19046 17270 22121 967
"205643_s_at" 3781 8289 10221 11133 14517 13083 8399 15065 6740 684 17996 16241 15911 5174 8448 17683 12483
"205644_s_at" 13783 16322 20055 17290 9077 4572 14186 5885 10386 9676 9770 18989 19606 11270 13615 20390 16998
"205645_at" 8094 1483 12514 1257 11578 21822 4352 2004 2992 18606 9616 10912 4758 21395 21967 21977 17653
"205646_s_at" 7443 8690 15006 6011 14430 13110 1596 16246 14223 2946 17842 18190 9686 6938 9579 17037 15829
"205647_at" 12831 10204 4862 10722 22150 179 277 6922 21372 2212 446 6030 20775 21784 3923 18052 351
"205648_at" 15014 7307 10707 18299 19511 6338 9409 17056 8524 13777 14728 13669 6858 7401 812 16046 12138
"205649_s_at" 10145 14650 16463 12077 12371 11781 7031 19290 8852 18209 15044 17393 14591 9658 9267 12718 14190
