"inst_21" "inst_2312" "inst_2350" "inst_3622" "inst_3725" "inst_4283" "inst_4747"
"1007_s_at" 2100 13427 22048 4116 4997 3252 6233
"1053_at" 14301 19156 3775 11257 19214 14890 18800
"117_at" 7585 4514 19764 15754 13497 10012 6962
"121_at" 2834 3131 19073 9470 1970 19221 12548
"1255_g_at" 13436 8261 12716 14964 12181 11311 6838
"1294_at" 15558 814 6005 21263 127 17382 540
"1316_at" 20907 17650 7314 18344 3243 21511 12925
"1320_at" 3640 7768 14083 21723 1559 2464 19841
"1405_i_at" 8814 7863 7648 17482 13607 7456 9486
"1431_at" 18281 18364 1445 6027 515 1297 2029
"1438_at" 18672 21963 11775 7662 4956 244 21450
"1487_at" 1426 15636 7503 17870 2196 1712 19180
"1494_f_at" 18262 22086 55 21865 20869 4804 19675
"1598_g_at" 19309 12535 762 7192 2344 15670 17550
"160020_at" 2301 386 821 21745 15866 15926 262
"1729_at" 16125 15241 6576 19414 7383 2708 21736
"1773_at" 2016 15657 18264 20694 19711 1406 17698
"177_at" 14651 13809 274 2270 11381 17882 19922
"179_at" 15725 21831 13005 9249 2591 19823 1708
"1861_at" 795 15159 20779 10363 2252 3216 15034
"200000_s_at" 4221 16326 21175 8798 3920 3819 18203
"200001_at" 1787 4461 17347 9079 17375 1743 13922
"200002_at" 4968 4562 7427 18337 5555 3363 14704
"200003_s_at" 16641 6954 7493 13915 10686 9100 14397
"200004_at" 4412 13141 18169 10612 15642 15928 4168
"200005_at" 14315 12310 4029 9781 6475 14869 15203
"200006_at" 14801 4533 6310 10472 6314 6001 13606
"200007_at" 15549 18132 19188 11351 8755 13609 15158
"200008_s_at" 3206 3858 18240 9191 21610 3711 4373
"200009_at" 6175 3950 6235 8666 18187 14508 3441
"200010_at" 19678 12439 7829 18941 8678 3686 13144
"200011_s_at" 14058 16303 6636 4550 8458 2789 15415
"200012_x_at" 4312 2531 5137 19927 6812 13154 13821
"200013_at" 14338 3821 6743 12307 4864 6660 14508
"200014_s_at" 17476 12365 5391 9746 15720 15204 16819
"200015_s_at" 14619 15693 7928 4593 7108 14774 15997
"200016_x_at" 18142 13583 18661 12242 16104 13724 13009
"200017_at" 15288 6904 17049 14013 10770 9207 8459
"200018_at" 3650 6793 8229 14001 10762 9201 5778
"200019_s_at" 14387 13467 17314 12260 6403 5128 16943
"200020_at" 15519 11698 18633 8065 20400 16418 6246
"200021_at" 5281 11060 19620 14112 10851 9314 8606
"200022_at" 5538 6861 17286 13928 7989 3173 15497
"200023_s_at" 3862 14656 8255 9959 7881 13189 16194
"200024_at" 3046 3331 6458 18555 7544 4610 4879
"200025_s_at" 18027 12262 7779 14000 7349 7291 14337
"200026_at" 3076 6845 11117 14114 8290 5727 5936
"200027_at" 4674 4862 4955 4763 8630 14744 15963
"200028_s_at" 6196 16601 3612 11906 7831 15657 17975
"200029_at" 15520 11721 6224 18460 6468 14934 13656
"200030_s_at" 3366 4864 7905 12135 15395 14796 5930
"200031_s_at" 6110 6914 11127 13996 10751 9185 8430
"200032_s_at" 14126 6941 11213 14015 8447 7316 5824
"200033_at" 16619 12125 17040 11467 16805 13198 3534
"200034_s_at" 5033 3614 7889 13919 8153 13494 3384
"200035_at" 3986 14792 20732 7745 6975 5346 12831
"200036_s_at" 4596 14806 18456 18496 5067 6580 16116
"200037_s_at" 20916 14842 18202 9744 16185 15752 13103
"200038_s_at" 15331 4725 17908 14089 8418 5680 5810
"200039_s_at" 15129 3800 5257 5829 6635 4989 14181
"200040_at" 1946 16366 7598 10925 14596 17062 15215
"200041_s_at" 3440 11095 6027 9099 6764 6411 6113
"200042_at" 1732 16865 5318 12342 5048 15633 18102
"200043_at" 2963 15644 18658 8234 3702 7022 16085
"200044_at" 17105 13580 6197 8404 6821 13127 3423
"200045_at" 17332 14754 5940 8312 16274 6019 15559
"200046_at" 15176 18829 17567 9670 7080 4707 19063
"200047_s_at" 19467 14440 17604 5850 14674 16305 13455
"200048_s_at" 15213 13377 19021 18376 4981 14272 13948
"200049_at" 18331 18220 7367 2662 3857 4511 16678
"200050_at" 19110 14644 17130 11585 7373 17272 18507
"200051_at" 2007 19602 20621 3950 3951 6491 20100
"200052_s_at" 16124 13117 19238 7675 7189 3097 14822
"200053_at" 19808 1390 3906 1654 15458 4594 2151
"200054_at" 19345 20526 6591 8395 18345 4997 19764
"200055_at" 4008 11216 5614 6459 3521 2501 19404
"200056_s_at" 19919 19828 20099 9599 14847 15512 14699
"200057_s_at" 16931 11941 7638 17939 14692 14491 4145
"200058_s_at" 4207 15854 7078 5732 5089 5891 14618
"200059_s_at" 18416 13000 17399 9336 17835 4126 14039
"200060_s_at" 18823 12350 18540 11571 15278 13706 12896
"200061_s_at" 18332 6925 6926 13994 14822 9184 8429
"200062_s_at" 15405 6924 16904 13901 10675 9085 8299
"200063_s_at" 18431 6765 18296 14041 10795 9241 8509
"200064_at" 6004 4546 7906 6811 16917 4435 5271
"200065_s_at" 2875 12398 3217 9886 8728 2251 14851
"200066_at" 3475 17073 8198 3010 14978 3596 14360
"200067_x_at" 6366 16534 7248 4802 6481 14536 15437
"200068_s_at" 4649 16701 5485 7906 14867 17231 6268
"200069_at" 19828 18121 18392 4443 15613 15077 20405
"200070_at" 21750 13568 20067 4538 812 18483 14677
"200071_at" 18169 18804 21262 7037 19781 14845 17466
"200072_s_at" 16455 14938 16694 7315 17779 15118 13199
"200073_s_at" 16534 16681 21141 5178 7247 13410 4899
"200074_s_at" 15312 12842 7439 18027 7697 5741 14992
"200075_s_at" 14090 14600 7932 7943 3145 2379 13443
"200076_s_at" 3190 2171 1156 10088 9040 2631 18774
"200077_s_at" 6276 11834 18093 18300 7774 14353 14687
"200078_s_at" 4287 15496 19015 18690 5337 2346 17660
"200079_s_at" 4574 12271 6202 4397 7387 4345 13889
"200080_s_at" 4299 12568 18834 18978 6794 15443 4791
"200081_s_at" 14872 4142 8289 10866 14892 5080 13806
"200082_s_at" 16117 3545 6136 14033 8412 5256 3765
"200083_at" 5371 20003 19346 9817 6120 15567 20127
"200084_at" 15467 17515 7165 18544 16384 14280 16933
"200085_s_at" 4705 13232 16647 18780 8110 3052 18312
"200086_s_at" 5717 3961 4327 10885 4521 5219 17899
"200087_s_at" 15734 12193 5524 4942 16279 15362 3588
"200088_x_at" 5434 6828 8225 13910 10683 14599 8308
"200089_s_at" 18492 11295 17599 17881 6805 15191 5823
"200090_at" 18523 11672 4619 3993 17122 7099 16448
"200091_s_at" 19447 13518 19100 13946 4632 13616 5214
"200092_s_at" 16831 11753 18968 19216 17666 13583 5149
"200093_s_at" 18462 18651 20846 11183 3964 6379 19879
"200094_s_at" 1173 13178 6980 10615 7927 15434 13072
"200095_x_at" 5564 6687 8453 14100 10843 9305 8593
"200096_s_at" 16868 3134 19316 18634 16200 3567 3431
"200097_s_at" 19315 14541 6326 9596 8853 16007 3261
"200098_s_at" 18681 15974 5581 7616 6639 17736 16353
"200099_s_at" 15814 6773 11174 14051 16171 13619 8529
"200593_s_at" 4708 14884 18243 4772 16712 18031 3537
"200594_x_at" 6142 15059 7279 18101 14693 15922 6196
"200595_s_at" 17645 18970 19068 7104 7477 16255 3258
"200596_s_at" 4519 16151 19022 9322 3871 17665 13205
"200597_at" 20319 16764 16775 1108 20562 13796 17279
"200598_s_at" 14909 1942 19858 5507 7679 19481 13895
"200599_s_at" 18871 14696 19609 4391 5664 15007 5808
"200600_at" 8164 5559 3547 17422 9038 2281 14572
"200601_at" 1628 20844 17656 6773 20093 15306 3562
"200602_at" 17477 12192 7633 6933 2993 15704 20926
"200603_at" 18048 17183 19699 8462 7609 17926 3951
"200604_s_at" 3652 15773 5258 7097 20904 5430 13996
"200605_s_at" 14369 13996 20571 5949 21034 18487 5267
"200606_at" 15579 13035 1136 9582 19233 6662 13699
"200607_s_at" 14032 4847 2703 18559 18541 20540 14680
"200608_s_at" 15880 16092 18808 10601 15144 16678 6385
"200609_s_at" 2166 13932 2996 1853 16522 2745 16715
"200610_s_at" 17869 13896 16740 8974 8463 14022 5175
"200611_s_at" 5165 18872 7043 8571 3023 4269 17003
"200612_s_at" 15133 11811 4711 96 19738 18321 22032
"200613_at" 18250 13610 16949 10617 7190 6534 13481
"200614_at" 14227 12172 7994 12370 6406 14634 13557
"200615_s_at" 3335 1674 4849 11115 6653 6366 16155
"200616_s_at" 16339 13866 19239 8440 17410 21444 18803
"200617_at" 6404 18726 1702 6451 5617 15358 18920
"200618_at" 3231 14275 17028 4967 6804 2769 6200
"200619_at" 5665 12835 17506 6456 4293 2533 13849
"200620_at" 5216 4105 17610 10166 6666 3849 4320
"200621_at" 3253 3623 4545 8119 3755 6111 16373
"200622_x_at" 6205 19802 7971 8775 5156 4355 14422
"200623_s_at" 1988 17114 21030 8263 17975 18430 13796
"200624_s_at" 13936 20143 18870 6710 17396 16736 5227
"200625_s_at" 3100 13133 18860 6630 4536 5367 4042
"200626_s_at" 5484 14400 19420 19623 19242 16610 5326
"200627_at" 13968 11163 8302 11845 17139 3832 2989
"200628_s_at" 4822 18218 3976 18042 15428 285 5922
"200629_at" 14771 14117 20201 2933 3983 2705 18901
"200630_x_at" 4593 4292 6608 8018 14641 20077 4737
"200631_s_at" 16413 16918 7743 9294 6950 17474 4482
"200632_s_at" 3550 21122 5563 5070 2352 2579 20314
"200633_at" 3343 6933 17469 13993 10750 9183 15490
"200634_at" 16736 12218 7264 10214 3740 2637 12629
"200635_s_at" 910 19751 15037 9927 9000 20066 19527
"200636_s_at" 5922 18982 8591 9068 5103 4730 16138
"200637_s_at" 1911 21217 11375 8596 14858 3613 2227
"200638_s_at" 3173 13080 17480 18046 18276 6907 3716
"200639_s_at" 2763 15918 4637 11288 6459 13158 3487
"200640_at" 17189 13911 4200 9854 16357 6783 4364
"200641_s_at" 5182 3301 5473 18197 21242 3156 3080
"200642_at" 5879 12773 17068 11127 6071 4365 17109
"200643_at" 3243 14114 19491 7065 6327 3582 14144
"200644_at" 18521 14706 3994 19130 8638 3736 13153
"200645_at" 2027 11733 7449 10164 15213 2634 15033
"200646_s_at" 3263 17571 1908 4124 16262 1367 4033
"200647_x_at" 5860 20992 7127 8467 5166 6433 16972
"200648_s_at" 16078 19066 18889 7101 20205 13358 6279
"200649_at" 1390 15133 20636 3453 4225 1394 3353
"200650_s_at" 6005 12429 19988 11544 10638 9054 15861
"200651_at" 16031 3363 16997 14081 14653 3850 14939
"200652_at" 5132 16068 18425 11244 3625 7254 19102
"200653_s_at" 18464 4355 2687 12073 6222 4317 1743
"200654_at" 5709 18155 21089 9042 6487 3829 15378
"200655_s_at" 18111 17208 20071 12409 6286 15665 13091
"200656_s_at" 14416 13013 17611 4452 16170 1334 13070
"200657_at" 14415 12592 6332 19186 8346 14716 6391
"200658_s_at" 15660 4325 5091 11610 7898 4038 15591
"200659_s_at" 6262 18076 19777 18056 17178 14518 20508
"200660_at" 5836 4730 6336 9290 5982 2357 13644
"200661_at" 4999 17274 5685 12337 3630 2058 16755
"200662_s_at" 18249 16334 20593 11363 18403 14473 14860
"200663_at" 4829 4932 8421 18602 7749 6573 3478
"200664_s_at" 6354 2677 6958 5040 17097 975 13719
"200665_s_at" 13572 10352 11498 13466 9438 2193 5274
"200666_s_at" 15294 15480 5464 9256 4492 3957 4985
"200667_at" 20459 11113 6562 9871 14896 14150 17297
"200668_s_at" 5658 11774 7842 8713 15115 6782 5015
"200669_s_at" 4713 12826 17385 9086 20046 13312 12839
"200670_at" 1201 18317 19043 12200 5974 5905 13861
"200671_s_at" 21103 625 15772 827 4219 21043 2483
"200672_x_at" 890 11621 1026 8036 19393 20742 2721
"200673_at" 14661 11400 18898 7788 15564 14702 13938
"200674_s_at" 6394 4935 6106 19074 17264 6133 12846
"200675_at" 3233 18481 20542 5013 8029 3583 6417
"200676_s_at" 14505 16461 22016 11451 20703 14147 12739
"200677_at" 2719 11481 6526 9193 4590 6639 13532
"200678_x_at" 3479 12696 17876 8313 4639 2480 4015
"200679_x_at" 18806 13219 19747 10734 14560 19044 5714
"200680_x_at" 17867 14224 20212 14103 15340 16720 8600
"200681_at" 16060 4631 18566 8516 15874 13721 5713
"200682_s_at" 4532 11225 17909 10899 8160 3501 13161
"200683_s_at" 4716 13321 18405 7927 19508 3496 14110
"200684_s_at" 17036 20171 17632 4959 14930 1735 12585
"200685_at" 16159 17293 19705 3312 18830 6545 14741
"200686_s_at" 19624 16414 5429 1742 7960 13518 18258
"200687_s_at" 4273 14083 5927 9496 5833 4173 12562
"200688_at" 19774 3531 2073 4594 3795 17384 20477
"200689_x_at" 5600 11867 6712 18487 15584 13541 5813
"200690_at" 20105 19301 4686 7791 7368 17454 20155
"200691_s_at" 17004 13772 8405 7304 18709 15194 4041
"200692_s_at" 15807 16327 16882 11212 17437 16199 4788
"200693_at" 18930 11196 7690 10600 17352 13095 4775
"200694_s_at" 4290 15908 3852 9671 5042 14899 18402
"200695_at" 3063 4065 4020 7653 20098 217 21444
"200696_s_at" 4059 11571 16941 11542 5693 19156 14614
"200697_at" 3833 15658 3388 2210 5997 1424 14020
"200698_at" 15593 16978 19577 2585 19279 7062 5793
"200699_at" 4886 15920 5284 3297 15868 13731 12527
"200700_s_at" 4703 13895 17935 10203 18257 13471 16218
"200701_at" 6083 4552 4238 18391 8193 3895 16687
"200702_s_at" 14431 13169 17754 8887 6628 19554 13941
"200703_at" 15643 12101 20993 19299 5163 13188 14605
"200704_at" 16048 13629 18274 9291 17933 5721 4497
"200705_s_at" 17350 4229 4368 11550 16767 6751 5311
"200706_s_at" 1503 14348 20515 5479 3426 3875 13151
"200707_at" 15035 18348 19182 18361 5347 2724 2489
"200708_at" 19370 15164 2980 11105 6003 6914 13625
"200709_at" 16247 14335 17975 8042 1035 19469 14216
"200710_at" 5803 15255 3762 4994 8896 850 12847
"200711_s_at" 19731 17254 18301 5102 17358 17188 14679
"200712_s_at" 15362 16703 20738 9766 19326 2846 19139
"200713_s_at" 15737 11690 5820 10816 17979 14898 15210
"200714_x_at" 14413 17323 1283 6622 6532 4539 5400
"200715_x_at" 3828 4380 5827 9680 7708 4370 16439
"200716_x_at" 5977 6885 17487 14090 10840 7296 5128
"200717_x_at" 15871 6826 17563 13991 10748 9181 8426
"200718_s_at" 6194 4839 17531 19235 9047 14605 5787
"200719_at" 22018 12709 2926 3517 16850 13618 4629
"200720_s_at" 9641 15166 6765 8027 14581 1819 15748
"200721_s_at" 16926 3067 7731 7363 16094 3833 13705
"200722_s_at" 6037 4180 5227 10666 20066 1014 2047
"200723_s_at" 5938 3723 5194 7781 18657 4662 13154
"200724_at" 1635 672 6815 1594 21917 21552 21532
"200725_x_at" 2941 12821 8445 19141 14728 6676 15404
"200726_at" 1198 18239 20591 8400 7261 6960 18410
"200727_s_at" 21506 14263 20220 4521 20990 20719 3742
"200728_at" 17093 14901 18278 10654 17689 20353 4927
"200729_s_at" 2987 12519 17398 6672 19639 20368 4092
"200730_s_at" 14071 11823 6708 3675 19980 19244 15933
"200731_s_at" 16828 19249 4962 4248 19496 13677 4811
"200732_s_at" 18116 16040 6117 5441 18848 14900 6061
"200733_s_at" 20709 3426 19556 9311 5702 20033 3448
"200734_s_at" 4064 11040 17914 9093 5016 5801 15635
"200735_x_at" 5476 6713 8423 14045 10803 5678 8519
"200736_s_at" 7540 9121 5169 13837 4656 6014 11168
