"inst_311" "inst_596" "inst_605" "inst_610" "inst_614" "inst_627" "inst_668" "inst_681"
"1007_s_at" 4120 1464 5456 5747 1767 1875 20320 1862
"1053_at" 18247 7924 3546 17965 8941 20689 14464 17820
"117_at" 21656 14035 1896 21763 3277 9187 1160 281
"121_at" 11778 4792 17178 5234 573 2460 18213 5531
"1255_g_at" 15523 11727 12507 12275 5783 5496 5135 14444
"1294_at" 15973 3839 1680 2814 20904 2277 15017 21417
"1316_at" 20874 21669 598 2798 6523 10415 17203 17254
"1320_at" 11031 21029 21379 515 9135 17065 14557 8979
"1405_i_at" 10473 16123 12799 10503 10083 13178 7111 14142
"1431_at" 16660 12108 20876 14691 5438 6840 17646 9720
"1438_at" 2877 6366 2695 1196 5933 10636 550 3828
"1487_at" 13757 7225 8642 4544 15116 2382 19717 2340
"1494_f_at" 20230 7511 3088 3734 8917 8773 2727 2635
"1598_g_at" 2707 21795 2645 8274 15406 18639 13584 22105
"160020_at" 12512 22171 1256 18135 19342 3446 2646 4876
"1729_at" 427 238 5412 4467 18403 20478 2155 18858
"1773_at" 13657 8587 8866 21670 6803 17908 17325 2707
"177_at" 21555 14039 20997 13381 20643 14240 5622 6012
"179_at" 11548 19731 8384 17673 259 20934 17322 4197
"1861_at" 16844 20724 7016 7708 5898 3228 11636 5216
"200000_s_at" 3946 17726 16258 19293 21724 3236 18508 20713
"200001_at" 2908 5132 16110 6962 407 18825 15020 3427
"200002_at" 11187 18184 5357 8481 21368 4442 3027 17621
"200003_s_at" 11960 8443 14692 19069 20973 1276 4025 3903
"200004_at" 11157 8919 14847 19367 1558 19205 16604 17718
"200005_at" 5431 17489 6282 18091 21576 17685 3282 18284
"200006_at" 5642 5015 8576 6222 2059 17790 11619 5500
"200007_at" 13316 8955 4833 6056 1107 17665 11924 17013
"200008_s_at" 12118 8203 5557 16912 2004 20329 14158 4729
"200009_at" 4602 7360 14890 7283 21344 3360 15193 16052
"200010_at" 16286 7534 7589 5993 1100 18793 1692 18588
"200011_s_at" 5806 17200 15221 6869 1577 18005 18645 20178
"200012_x_at" 6014 18417 15480 19407 21466 20098 1380 4328
"200013_at" 11095 9753 16483 18454 22000 2728 1203 17917
"200014_s_at" 10928 3000 17472 16323 54 19400 12504 3497
"200015_s_at" 10603 7455 18528 18115 22263 20664 13412 18074
"200016_x_at" 14784 8085 20849 17709 207 21081 18900 18005
"200017_at" 4215 17605 15236 5813 21784 18220 1062 21199
"200018_at" 5644 18792 14834 8457 21725 19893 11492 17892
"200019_s_at" 15444 19441 16405 19610 1239 4037 11947 20503
"200020_at" 14306 18021 8092 17274 373 20285 13801 17650
"200021_at" 10818 17188 5552 7913 1657 19774 1755 17075
"200022_at" 10648 19278 6500 7583 22255 4094 12482 20379
"200023_s_at" 13458 8408 8194 6570 590 4179 14179 4114
"200024_at" 4048 20867 15922 5531 377 2154 3881 19586
"200025_s_at" 11970 17401 15164 16463 1617 18111 2209 16879
"200026_at" 10620 20623 17200 3501 22197 2435 12124 21231
"200027_at" 10685 5765 5344 6387 1178 2405 12731 850
"200028_s_at" 2933 4266 18501 19142 21337 20534 18193 21627
"200029_at" 10902 18339 14639 16266 1505 18095 12425 17361
"200030_s_at" 10768 4999 16939 5810 1584 19978 3620 16197
"200031_s_at" 13429 20239 8672 16399 21950 3914 1970 4955
"200032_s_at" 11838 17734 7582 6025 1309 18703 1402 18529
"200033_at" 14630 5104 6988 16373 920 20525 14046 18367
"200034_s_at" 12920 8291 6480 5451 1540 17755 1929 16457
"200035_at" 3170 18576 20444 5054 1639 19029 19915 20376
"200036_s_at" 5515 19840 4363 3498 2011 2775 2914 1830
"200037_s_at" 14389 9378 14751 8108 637 17893 11260 17207
"200038_s_at" 15217 6050 7020 8008 21115 2521 12676 17928
"200039_s_at" 12090 9604 7973 6641 1871 1642 3630 19420
"200040_at" 12427 18461 15610 18130 968 18849 3395 21475
"200041_s_at" 12601 4260 9116 16778 1099 3934 13733 17916
"200042_at" 5405 8215 6053 20465 2169 2248 18478 1431
"200043_at" 4221 8260 15258 17763 924 3683 1196 16500
"200044_at" 10690 7363 17114 16515 1512 2324 14361 4021
"200045_at" 12866 17986 7415 3573 22266 3679 20385 17752
"200046_at" 1989 7620 9051 16387 21034 18331 3608 3551
"200047_s_at" 19408 4847 15562 16995 681 4472 12901 3774
"200048_s_at" 14146 18516 16571 7962 1548 17617 2071 17884
"200049_at" 16141 18006 1112 16528 18596 4274 11475 3054
"200050_at" 19415 4231 3246 4815 21478 18503 15746 3372
"200051_at" 17709 9801 2125 17831 14812 21006 18658 18293
"200052_s_at" 15085 9480 6633 16559 1896 2960 17336 16791
"200053_at" 17247 5949 6490 8270 21543 3612 15105 4437
"200054_at" 12740 18439 15146 2453 5945 3893 16536 18461
"200055_at" 5827 4810 5985 16991 1265 20451 12844 4267
"200056_s_at" 19805 19525 7453 17926 5955 14107 14921 4985
"200057_s_at" 5774 7709 7666 16797 1488 3014 14980 17618
"200058_s_at" 14465 7084 7116 17296 21463 19448 1695 16373
"200059_s_at" 18081 824 6593 7957 1196 19073 3304 18511
"200060_s_at" 14804 17258 7558 7552 999 747 20554 20852
"200061_s_at" 13164 19451 7593 7385 1055 3782 2350 16453
"200062_s_at" 11919 19536 6141 6985 1885 3291 1148 17016
"200063_s_at" 17183 8505 7754 19086 1273 18240 13820 5639
"200064_at" 5917 9159 8458 8028 21743 20786 12909 18928
"200065_s_at" 5052 6661 6289 5516 1615 18006 13239 18813
"200066_at" 15635 18540 6095 6831 21844 18479 18332 18052
"200067_x_at" 12563 8412 6363 4353 1450 680 18257 17028
"200068_s_at" 4443 4724 7496 20123 1680 18690 18405 4902
"200069_at" 20520 9166 18665 2118 18433 15540 17909 20539
"200070_at" 11534 4762 17030 5460 16262 33 2161 20303
"200071_at" 15437 4039 17251 16921 7573 20353 12150 19228
"200072_s_at" 14297 8894 18827 19596 20949 21242 16255 18803
"200073_s_at" 19022 17514 18437 16894 361 2825 19799 3342
"200074_s_at" 13306 8254 16977 17649 21254 19460 875 17682
"200075_s_at" 4079 2650 15674 3554 21949 1297 3328 3520
"200076_s_at" 3546 18346 6691 7299 1025 18260 13702 16923
"200077_s_at" 11262 17838 17899 8355 2194 19974 3940 16984
"200078_s_at" 10681 17164 14425 6603 1602 3730 14703 5502
"200079_s_at" 5498 4422 6288 8387 2076 3644 12007 5595
"200080_s_at" 16689 6495 3396 6582 321 3656 15035 18670
"200081_s_at" 12164 19513 15144 8131 1993 3091 13557 16967
"200082_s_at" 5688 9794 6276 5601 21779 4427 11541 18683
"200083_at" 16804 17781 7339 20016 21901 21634 11745 5239
"200084_at" 12654 8480 6333 7841 1666 19084 15161 16340
"200085_s_at" 11081 21136 5942 5851 2146 2919 1520 5602
"200086_s_at" 5245 3501 17307 17516 1696 19658 1825 16622
"200087_s_at" 12168 17947 6485 7831 1152 18025 14264 4815
"200088_x_at" 11597 6832 15284 4991 2008 4464 2016 2744
"200089_s_at" 14799 6664 8034 7449 988 4380 3986 5254
"200090_at" 4520 3146 8431 16747 4311 972 16346 4755
"200091_s_at" 18103 17883 15464 16561 366 1680 15082 19657
"200092_s_at" 14755 20174 6675 6683 949 4312 3314 5413
"200093_s_at" 16240 9795 14903 18249 1034 18843 12913 17969
"200094_s_at" 2323 8509 7164 18383 22186 20531 11327 19665
"200095_x_at" 2242 17383 7868 16924 1863 2326 2208 3801
"200096_s_at" 16348 7166 17932 7055 285 4020 12097 16199
"200097_s_at" 14908 4255 7634 16251 948 19427 3495 5437
"200098_s_at" 11395 3514 17623 19497 21234 19024 15051 18258
"200099_s_at" 12499 17404 14865 5494 1484 2450 1698 17719
"200593_s_at" 17740 9037 17535 19613 22177 22224 21249 18985
"200594_x_at" 6015 17292 19257 17306 1744 20084 20443 20160
"200595_s_at" 17895 18836 6836 8061 1149 1337 19192 3748
"200596_s_at" 1836 7796 5488 19330 174 20719 22091 17684
"200597_at" 19675 20785 1058 17334 5952 19153 15602 3688
"200598_s_at" 14288 19679 17875 4810 2005 17836 11225 5585
"200599_s_at" 2276 3136 15281 16060 20972 18251 457 5191
"200600_at" 6724 11545 7780 9637 12463 12049 19842 12572
"200601_at" 12252 21206 3834 20451 21758 1184 20504 19958
"200602_at" 17987 21008 7859 21120 6644 3995 17411 2962
"200603_at" 18351 302 15475 15992 490 18293 20997 5463
"200604_s_at" 11996 5542 17585 20223 22182 20626 20094 3527
"200605_s_at" 4585 9035 19097 8422 1514 2122 19328 19297
"200606_at" 14168 9032 20017 20236 205 20595 13925 19268
"200607_s_at" 18200 19520 7184 3663 1631 21928 18017 18562
"200608_s_at" 14310 3378 20672 19481 247 20769 18374 19299
"200609_s_at" 5505 2243 20275 16299 190 20727 18232 16428
"200610_s_at" 12165 3759 18385 19570 21040 21742 17004 16266
"200611_s_at" 3649 7116 17085 17113 21471 2003 15672 18272
"200612_s_at" 1940 6818 8143 18645 21328 21051 19644 911
"200613_at" 4141 4899 8103 16931 21729 2052 12407 18457
"200614_at" 4518 6481 8329 16063 2048 18057 16280 17006
"200615_s_at" 5565 3755 6732 17420 16292 4002 18806 5291
"200616_s_at" 11508 8333 16899 18088 1201 20848 953 5273
"200617_at" 3921 18399 17929 6735 22148 19723 16890 16050
"200618_at" 13000 6727 16979 16490 134 21085 17503 21810
"200619_at" 1411 8920 15616 20795 21529 18155 14751 20330
"200620_at" 12826 7836 4463 6598 1762 2362 15727 2568
"200621_at" 10624 17905 6810 7737 397 796 15965 4718
"200622_x_at" 16468 4955 5047 4288 21343 19523 12263 16460
"200623_s_at" 2224 17906 6175 6599 671 20134 19071 20041
"200624_s_at" 10636 5749 7798 21562 21700 20081 20824 4634
"200625_s_at" 14874 2182 6391 5817 502 18936 12588 18571
"200626_s_at" 12159 17508 14544 17317 1480 2732 21074 5612
"200627_at" 13330 6421 14878 7391 704 19404 13290 19027
"200628_s_at" 2406 3659 6947 6546 2181 1531 11391 16375
"200629_at" 18129 8458 9035 20271 21641 18834 12721 2813
"200630_x_at" 5836 3644 15671 18735 1598 21257 13905 18821
"200631_s_at" 17194 19959 15118 19627 22237 20772 11605 20191
"200632_s_at" 11637 20165 15706 6802 17208 911 693 21566
"200633_at" 10811 18478 4342 4527 1361 1515 3377 2493
"200634_at" 5828 5788 15556 7196 1504 18807 15315 16868
"200635_s_at" 1166 7494 3284 16316 6697 19687 2953 4584
"200636_s_at" 3528 7716 19643 17871 92 20453 17330 21039
"200637_s_at" 5513 6036 20615 3228 7105 2856 20994 18360
"200638_s_at" 12096 6034 17274 19701 1260 18640 15078 5036
"200639_s_at" 3696 2860 14693 21495 21414 3686 395 18280
"200640_at" 13099 4991 5746 6821 1101 4436 2716 16979
"200641_s_at" 12193 7228 8357 17273 21047 19397 13042 16716
"200642_at" 12516 9253 15889 5938 1330 2718 3342 18344
"200643_at" 1843 9597 8135 2420 1352 17943 19547 17764
"200644_at" 10834 4267 17305 16755 21029 20910 18568 4578
"200645_at" 11094 19479 15128 17857 20996 18599 14617 3887
"200646_s_at" 16782 18014 15119 16730 19706 4065 3642 19803
"200647_x_at" 2783 6473 16943 21087 2214 3746 2742 4414
"200648_s_at" 20164 8445 21223 19391 15535 22281 17072 19013
"200649_at" 5754 5578 18171 7906 8440 18470 13161 4520
"200650_s_at" 5976 5931 16586 7608 1865 18618 3977 5328
"200651_at" 3789 7605 17053 6111 2027 1874 11586 16396
"200652_at" 5524 9470 16950 20268 814 17845 12142 5114
"200653_s_at" 15866 8468 9067 5884 1141 18600 1106 5391
"200654_at" 4041 6833 15078 16521 21526 3354 16321 16946
"200655_s_at" 11590 8885 17510 19599 686 4151 12717 4006
"200656_s_at" 12217 4423 8943 7791 21754 3903 17015 4107
"200657_at" 4644 8884 5988 7396 21051 1812 3298 16220
"200658_s_at" 13519 17913 15180 6922 21868 18361 2247 17363
"200659_s_at" 14475 8521 17540 19088 22133 1030 17725 19557
"200660_at" 11331 21261 17367 18332 1453 1792 1144 17819
"200661_at" 3870 18936 5658 5650 22280 3329 14685 4589
"200662_s_at" 14551 7220 18357 20201 1816 18561 13052 18355
"200663_at" 10551 17391 8172 4160 21072 19500 3284 16294
"200664_s_at" 13055 5740 4689 6918 21753 18283 12027 928
"200665_s_at" 10389 13597 9372 13723 13428 9233 9456 10804
