"inst_421" "inst_910" "inst_1004" "inst_1165" "inst_1224" "inst_1649" "inst_2389" "inst_2684" "inst_4448" "inst_5221" "inst_5442" "inst_5584" "inst_6183" "inst_6341" "inst_6984" "inst_7420"
"200028_s_at" 18943 20053 16884 8504 18145 18136 17037 17393 17368 19057 15363 9610 19708 20319 19549 18526
"200029_at" 18764 8437 3633 8440 2239 1851 7853 12672 7603 16438 4547 20109 5761 4224 14824 5488
"200030_s_at" 4984 4771 13771 7761 15065 4040 14830 9780 8706 6920 12060 10279 15793 15652 15254 5093
"200031_s_at" 7677 7940 8081 17602 4714 15483 7862 12698 11030 6878 7967 14519 5797 4352 15824 15412
"200032_s_at" 6326 8491 8297 19687 2539 13759 7952 12719 11047 6278 7984 14546 5816 3758 5590 6117
"200033_at" 17476 17669 17562 7598 16824 16683 5089 4880 14989 17121 14539 7514 13221 15653 15696 17130
"200034_s_at" 3265 4246 13497 7375 4204 13605 4598 9125 15618 6328 5518 18524 3470 13909 16112 17193
"200035_at" 7482 19139 15241 3924 3471 17563 20210 10924 17094 3557 14560 9833 12077 18436 19696 16975
"200036_s_at" 4264 4281 13174 7949 14195 4034 5196 10246 7413 14231 4791 11152 10529 12451 4254 3801
"200037_s_at" 5324 17631 18142 7515 19061 13882 16973 6194 9220 5210 16937 6063 12852 20690 4092 16610
"200038_s_at" 6884 8282 4853 19182 4288 3626 8008 12782 8177 14706 12580 18718 5889 4737 5995 17049
"200039_s_at" 6638 16745 15885 19526 3416 15987 17263 10125 15309 6899 14281 11110 17595 13756 17849 18571
"200040_at" 6337 15911 17051 18022 14429 17733 13706 17841 16194 14687 14179 8094 18466 16446 15996 3479
"200041_s_at" 8630 14178 18833 18961 15946 18597 15994 19011 15450 16560 14665 8374 18080 19701 18398 16896
"200042_at" 19702 15023 17468 5144 13073 18360 13764 19095 16845 16793 15742 18562 15600 18212 18981 16241
"200043_at" 7414 16388 17708 19062 19423 18395 19805 17543 7349 3271 16373 18973 20817 3356 2864 16038
"200044_at" 4667 16190 18975 17884 19774 15271 12763 10549 15414 15236 13478 6495 18789 16246 3633 4478
"200045_at" 5455 19161 17509 20072 15559 17789 16790 17861 17730 18220 13548 9231 20784 18189 17814 20363
"200046_at" 16813 3983 19256 8450 15719 2144 20363 4895 5102 14941 14749 5158 12646 13708 14907 6000
"200047_s_at" 6184 16726 15692 19056 4715 14398 18949 7470 6248 4517 14182 4912 16791 15427 3669 4893
"200048_s_at" 6996 17255 17267 6146 16911 15578 16924 5826 6799 5702 13442 6739 17746 3998 5698 15894
"200049_at" 1718 18372 16837 3151 4252 17077 2282 20911 4162 17905 16134 6255 16636 13870 17952 16044
"200050_at" 20536 20883 19260 18637 19959 18589 20102 9152 17517 14172 16574 7483 3424 16992 14592 16949
"200051_at" 7391 4541 15813 18548 15174 20884 21475 20912 18041 18978 17478 19710 20963 17846 21114 5436
"200052_s_at" 7322 15459 16615 6513 15983 14986 20510 8797 16674 17349 19799 11458 14990 17269 5982 18817
"200053_at" 18546 2403 19822 8114 1686 3454 16767 6974 4581 3364 15689 20736 10829 1206 5669 2508
"200054_at" 7928 19324 3192 8532 13765 18070 18647 16684 9125 6811 19214 11989 13801 14064 15158 21079
"200055_at" 7903 15385 14263 20041 4961 3471 14002 10381 7764 16978 5162 9118 17833 13171 15771 6085
"200056_s_at" 7381 20328 17233 21170 17979 15637 18918 6925 5166 6644 2802 3993 19797 14174 17566 5037
"200057_s_at" 19452 15275 13827 6825 16063 15081 15893 10006 9189 6144 12557 10576 13543 14941 16929 4683
"200058_s_at" 3846 14245 16334 17687 19021 18565 19113 10854 7900 5555 12291 10448 17650 17178 5938 2778
"200059_s_at" 17023 3264 18492 5031 14197 3313 14572 3785 7196 17559 14361 8578 3988 13637 15271 4745
"200060_s_at" 19770 16464 15072 20312 19597 17511 20888 18151 17588 17205 16173 11308 17033 20799 17676 19040
"200061_s_at" 6975 8082 8013 7701 7963 2455 7893 12696 11029 9798 7966 14516 5795 3927 15155 15309
"200062_s_at" 4753 7909 8017 17601 4515 13472 8041 12622 10946 9614 7890 14393 5695 7168 14995 15117
"200063_s_at" 6187 8475 8149 17791 13702 1642 14483 12742 11067 9904 8008 18726 5843 3770 15027 17516
"200064_at" 18924 13951 14008 5362 13363 16355 16035 7324 16730 15531 13082 10364 11197 16296 16579 17668
"200065_s_at" 8304 14102 14312 5074 13099 2816 17098 7137 14646 15972 13774 10459 11186 16653 18181 16090
"200066_at" 4364 1768 17549 7832 20579 4024 18720 20446 19125 15231 12962 18748 10984 18835 21211 3125
"200067_x_at" 17667 17197 13664 6869 14785 2525 15353 5061 5542 14700 13686 5765 13901 14400 1684 4798
"200068_s_at" 5808 4077 13663 7713 3506 15617 13176 7599 4454 6461 4397 7257 11787 4309 4544 15098
"200069_at" 7848 21733 16244 4476 20790 3842 19748 17906 7719 20735 19354 5887 21020 19903 2412 3614
"200070_at" 3609 4230 14485 2687 18190 19760 5184 19161 2524 7113 14099 1460 2127 4256 16092 3392
"200071_at" 7082 15202 15814 5838 16059 15862 20185 6967 2371 4974 17015 3040 16280 19125 4804 20914
"200072_s_at" 17465 14663 16722 19879 19449 18421 19972 18572 20926 15187 15820 7003 15332 20601 17167 16570
"200073_s_at" 18570 18462 20079 7507 19577 19311 17930 8792 9372 17798 17379 12464 15546 15910 16995 18604
"200074_s_at" 6974 4078 4549 18039 13242 14591 16821 6945 16219 4898 14899 10371 10160 13121 15207 5182
"200075_s_at" 18695 2991 19957 18789 4758 16951 18823 6412 7527 7151 17986 10272 17520 4174 16187 5653
"200076_s_at" 19006 18364 19541 5308 2950 17231 19278 7601 19751 16493 17026 6843 16480 12343 15923 17621
"200077_s_at" 6618 14426 3931 18603 15014 4025 13330 8057 15561 5671 12353 10056 10210 4247 5398 4707
"200078_s_at" 7272 17554 15199 7188 2730 14338 17340 5084 5054 4395 13945 5125 15838 2898 2764 4955
"200079_s_at" 5557 16740 14700 7659 17028 16429 13022 19945 17750 19146 16303 10860 19610 13197 16979 5991
"200080_s_at" 3027 4194 16737 8510 15473 16261 13664 6703 6321 4443 12111 11754 10337 13823 5005 5682
"200081_s_at" 8489 3229 4808 6515 5056 3209 13772 7806 15142 5848 12709 11520 3274 4088 15034 4829
"200082_s_at" 17532 8246 13836 18996 5295 13677 4472 12734 15355 15550 5420 18713 5832 4358 5870 6058
"200083_at" 2717 14196 20641 8195 20148 19072 19142 3929 18165 14887 14588 9727 14501 17692 15363 18995
"200084_at" 5630 18773 15531 5710 17489 15190 14545 10651 6395 15557 17471 8169 16240 15393 5983 16015
"200085_s_at" 7001 14335 15630 6499 13779 3762 15859 10389 8561 7050 12563 9632 15152 3703 15497 15131
"200086_s_at" 3130 4397 13231 6320 13391 14211 15548 8921 6537 5424 15752 9190 16408 14320 4206 3737
"200087_s_at" 4662 19094 16273 5522 18007 14197 16054 5590 6767 6378 14632 6647 15501 17740 5521 3101
"200088_x_at" 6999 7511 8090 18186 13426 3689 8019 12629 10956 6393 7898 14407 5704 3672 4527 5302
"200089_s_at" 6990 14124 4598 7185 5107 3961 13175 12766 7599 4992 14779 9271 5870 4408 3099 5558
"200090_at" 4682 2628 4113 2805 13333 2675 4807 7305 3724 4103 4453 5869 17680 20074 4743 2472
"200091_s_at" 7837 4171 17819 18135 15679 16793 13609 5348 17071 4020 12552 11919 5746 2633 16532 6026
"200092_s_at" 6520 7964 7997 6678 12860 4102 13019 12748 16523 5052 3989 20994 5848 2517 14636 5381
"200093_s_at" 5793 14016 16369 6960 17127 17026 19192 3675 6224 16435 13870 9514 17151 12650 15340 3959
"200094_s_at" 3643 849 4022 8522 3621 14111 13127 10278 7726 5097 6011 12164 11702 4087 5916 3099
"200095_x_at" 7698 7798 8225 18184 5315 13425 7942 12790 11109 6380 8055 14670 5898 7501 15573 16144
"200096_s_at" 7996 892 15767 18124 16591 16645 19399 5162 17119 18839 12513 4035 18749 19748 16116 4904
"200097_s_at" 3458 17269 17256 7716 19436 17905 18924 8796 9121 6821 14512 5785 19629 17093 16578 5675
"200098_s_at" 7647 16661 18934 7445 16281 15270 20507 9000 15035 15547 16918 8560 18312 18670 17195 19179
"200099_s_at" 7678 7659 8310 18375 4726 3333 8018 12750 11076 9923 8013 14607 5850 12393 4693 5286
"200593_s_at" 8064 14409 15460 18459 20340 19327 17809 9837 18356 16182 13820 11150 18548 18071 16170 18337
"200594_x_at" 19514 19091 15535 6835 19357 16682 17919 18210 18138 14229 13592 11260 17223 18978 16854 4648
"200595_s_at" 5992 14920 15678 19679 16947 13667 19445 7691 5304 3371 14311 5407 19427 16179 2739 3559
"200596_s_at" 19459 15006 4764 18368 14411 3432 17535 9059 9157 3717 3111 18964 19423 18724 17398 16016
"200597_at" 1217 17525 16608 5428 19143 18354 19611 21082 18532 19304 18588 966 20990 21459 1098 17134
"200598_s_at" 891 2457 3293 4935 1104 3134 5300 4755 1699 4589 13228 3425 12771 229 1851 5115
"200599_s_at" 3019 3910 3335 6171 2364 1318 17738 5490 4749 2033 15353 4181 12191 1323 5551 3471
"200600_at" 10566 6474 12750 18471 13998 4728 16476 10898 4607 9441 9988 16692 17119 16408 6865 11103
"200601_at" 21090 4091 21939 7008 3826 18187 19343 19951 6088 4964 19557 20730 20033 12955 3642 3369
"200602_at" 21944 20478 14850 7817 20914 20877 18603 7589 15181 4914 17244 10397 20115 1905 19141 3408
"200603_at" 3487 17514 16149 5275 18389 15080 15606 5713 6619 3990 16629 5184 16574 17293 15072 15183
"200604_s_at" 2370 4549 15729 17854 16282 3480 3289 4096 19543 17138 14234 4471 3360 3110 5690 15951
"200605_s_at" 2540 15361 14167 4471 2209 14816 4371 3844 8695 20580 14667 6605 15796 14957 5071 5523
"200606_at" 4353 4776 16446 14846 1399 14924 784 19543 1902 2325 5766 3621 10633 2320 2399 1973
"200607_s_at" 3716 18015 17212 2760 18002 14530 13191 17412 5820 6224 16756 12521 17893 15963 16684 18973
"200608_s_at" 4996 14555 18832 7472 20561 14997 19678 7322 6675 15687 17670 6873 18414 17814 4999 15740
"200609_s_at" 21107 20471 21159 19828 19912 21856 17373 19839 8505 21290 19216 19221 21162 14663 21736 18437
"200610_s_at" 8303 18912 17152 6472 18230 15678 19195 16735 8226 16470 14608 8914 17696 20526 5481 4554
"200611_s_at" 18040 4500 17385 7731 13640 16458 20019 19020 15781 16947 16553 18484 16693 17129 18957 19146
"200612_s_at" 16976 937 19280 22073 16948 1008 5593 8367 18098 15206 639 9549 21737 19582 16627 4148
"200613_at" 20605 4673 17630 6612 13591 14319 18736 8794 8661 15051 13784 19920 13506 14451 15924 15558
"200614_at" 6390 4400 13566 7740 15458 15692 13290 7433 14802 5106 5596 11812 12815 13944 16842 15094
"200615_s_at" 867 17143 13855 6326 4409 18562 15321 5738 4605 14604 4475 18444 15650 18042 2728 4081
"200616_s_at" 5270 13949 4867 19201 3626 3880 17967 18845 7566 5855 13571 7105 12940 2651 4017 18806
"200617_at" 19518 16390 14570 8472 2449 17481 20611 10880 15497 6037 5867 10197 14841 13021 4313 16100
"200618_at" 7820 18391 15079 20809 13597 20789 13870 8193 14986 15588 12799 18666 11499 19713 18140 16348
