"inst_1706" "inst_1828" "inst_1869" "inst_2533" "inst_5457" "inst_6096" "inst_6358" "inst_6794" "inst_7146"
"200627_at" 9615 1406 18406 6689 10261 9272 19967 5804 5428
"200628_s_at" 4777 1611 18572 3660 9473 16194 9599 3680 19570
"200629_at" 6440 17331 20524 2580 11297 8511 8031 3355 15711
"200630_x_at" 19910 1593 18968 16805 6645 16290 11120 8774 3917
"200631_s_at" 20180 11654 7517 18751 3786 9592 6852 9020 3219
"200632_s_at" 20897 11610 7276 17859 6523 3443 3523 8920 5666
"200633_at" 20427 1305 18476 7989 13072 11507 19833 9957 15975
"200634_at" 11229 16336 3443 7092 10889 4364 20137 4013 15201
"200635_s_at" 4860 12832 9838 9820 4641 3653 2954 7997 20372
"200636_s_at" 8574 12953 12545 9564 8796 7253 11972 3985 16425
"200637_s_at" 11020 21085 13075 10270 820 17675 8485 19125 3663
"200638_s_at" 9270 1389 18308 6284 8436 15749 7723 17296 3954
"200639_s_at" 20754 11724 21654 20945 19356 5311 11993 19209 14934
"200640_at" 11105 1202 5688 16501 9186 8506 8951 6010 3552
"200641_s_at" 5430 15508 3904 1278 19054 8536 3764 18783 5208
"200642_at" 8449 12135 4059 15670 9487 6724 11190 17485 15979
"200643_at" 20616 19199 21058 6146 4507 18623 4070 19069 14626
"200644_at" 6972 1005 5738 4080 8201 7903 11008 18845 3430
"200645_at" 5509 13126 4893 5038 9076 6365 11251 3205 16845
"200646_s_at" 6372 21771 956 5409 21367 4415 22218 21958 4193
"200647_x_at" 9982 15940 6214 18174 10802 17153 3866 2861 2988
"200648_s_at" 3653 16107 5390 4037 18971 18731 10839 21378 19689
"200649_at" 6693 21014 5096 5596 17787 2593 20753 3313 391
"200650_s_at" 10616 684 7531 10539 10389 11384 20154 8071 4375
"200651_at" 20203 11962 8446 10715 10082 11585 19710 8815 17798
"200652_at" 8400 14296 7007 6372 7521 18480 10151 7481 16317
"200653_s_at" 6737 13236 19615 6948 3464 3563 12315 6056 18347
"200654_at" 7045 2221 6168 8534 7784 9268 3138 6029 15500
"200655_s_at" 20654 12731 18370 6347 7363 15496 11350 10085 4086
"200656_s_at" 7232 21519 18155 7115 10623 9218 8751 1934 14448
"200657_at" 9708 1437 6266 6642 18236 9484 11640 18335 14928
"200658_s_at" 6821 20630 7182 5407 10646 17005 4818 5580 16123
"200659_s_at" 2868 20566 7803 17090 3413 19489 8313 17875 1991
"200660_at" 20608 16809 20427 17023 11124 8007 20414 3502 19940
"200661_at" 7843 15764 20311 6107 4460 7108 20085 3779 15915
"200662_s_at" 4814 12469 5414 3497 6608 7953 7045 8723 14411
"200663_at" 10128 13222 21091 7626 10186 6630 12140 8136 20032
"200664_s_at" 4769 16629 18390 1120 18188 17438 4448 18942 18399
"200665_s_at" 14618 10385 14571 14177 16817 450 13396 2382 11585
"200666_s_at" 2525 11912 1504 16511 6566 17345 10512 8019 17956
"200667_at" 9714 19603 20109 6998 6771 18156 9796 18654 15079
"200668_s_at" 8515 13741 18153 5439 7651 9048 12186 4376 15258
"200669_s_at" 5570 13687 20028 4695 7480 16843 12329 19937 2488
"200670_at" 9542 19121 3690 17349 3267 4951 2017 5761 2161
"200671_s_at" 17928 17443 17940 18265 22272 18036 21634 91 5390
"200672_x_at" 22153 15577 20070 20287 10640 20414 10026 20732 1292
"200673_at" 6355 1700 2924 19181 5004 7123 6872 5785 16756
"200674_s_at" 10978 1949 7524 10692 19841 11558 20701 18639 4630
"200675_at" 2622 1973 5188 7948 4272 8363 7195 1429 3400
"200676_s_at" 1261 19896 20402 16087 18997 17716 6509 18501 20461
"200677_at" 4895 655 3259 16209 9938 9456 12057 5461 17777
"200678_x_at" 5450 15060 2910 7288 6881 6286 6999 3516 16132
"200679_x_at" 9616 19680 5981 16664 6797 8313 11654 19554 15357
"200680_x_at" 10563 342 2241 16801 18267 11607 9625 12700 17214
"200681_at" 7754 2068 19593 5761 7184 16545 10268 8904 3448
"200682_s_at" 10586 15279 18639 6897 8465 16346 9314 5290 19123
"200683_s_at" 2213 18892 5983 6494 8791 16507 11842 3318 5207
"200684_s_at" 2646 21125 20107 5575 11037 5789 11165 7951 3817
"200685_at" 21439 21046 5597 4604 1241 8824 11414 2600 16796
"200686_s_at" 6894 1974 21038 19106 1198 6727 20725 6128 20617
"200687_s_at" 8441 18925 6782 8615 9600 16354 7461 7360 16318
"200688_at" 3341 20946 495 17815 19537 19840 7331 8109 18123
"200689_x_at" 20416 859 19719 15642 17676 15708 20311 18660 5743
"200690_at" 2554 16619 7443 5305 9779 16596 10426 19390 17499
"200691_s_at" 8035 2337 20273 8876 7731 15651 6607 8895 3745
"200692_s_at" 7398 21575 4012 7525 6478 5388 6594 18186 15527
"200693_at" 8830 2277 7618 6258 4493 6605 10539 6253 15524
"200694_s_at" 5159 19269 8594 4649 3854 8315 8299 2288 17987
"200695_at" 3433 21084 1222 19010 20191 6594 4474 2207 17458
"200696_s_at" 21013 16684 578 15780 7034 1520 5908 18582 18158
"200697_at" 2484 1765 18751 16999 18423 9847 10410 2989 16906
"200698_at" 6395 14339 8863 7373 10894 17850 4669 8003 16072
"200699_at" 4424 14035 20226 20357 2661 8451 5031 19132 5155
"200700_s_at" 7593 12320 6786 8058 6318 5966 8470 18971 4020
"200701_at" 3201 12396 2049 2332 7957 20000 12418 18081 15823
"200702_s_at" 747 21358 493 15669 17863 15772 4920 18543 17522
"200703_at" 8422 14163 7295 7379 3600 4526 9757 3544 19472
"200704_at" 5928 16538 19290 7298 3174 15702 11664 6818 2148
"200705_s_at" 20389 12934 18649 8439 19710 8811 11878 9629 16604
"200706_s_at" 20641 21018 3734 7650 7978 19935 1207 9726 21027
"200707_at" 10839 20748 7462 6849 10880 7673 21369 7740 18146
"200708_at" 8327 1277 7049 3600 10317 16895 10671 4715 14728
"200709_at" 3280 1638 18927 18939 4259 9069 6845 18322 3766
"200710_at" 8356 16836 3807 6585 6907 19779 9761 2123 5627
"200711_s_at" 1030 13649 18546 8388 5230 16659 9231 8829 14451
"200712_s_at" 2485 20790 6569 8263 3203 16043 5711 8258 14679
"200713_s_at" 7274 235 6609 7711 8805 7628 21007 8598 15743
"200714_x_at" 10900 11716 4224 3900 4219 19041 7911 3735 19058
"200715_x_at" 2884 1564 5239 8802 17961 15426 9860 9156 18856
"200716_x_at" 20832 13799 18992 10719 18184 11592 20727 17603 14656
"200717_x_at" 20872 1630 18632 10636 13069 11505 15169 12514 4996
"200718_s_at" 10356 939 8211 15392 10826 15695 11042 8592 16792
"200719_at" 5996 13286 21492 17092 9958 3059 6350 9068 4459
"200720_s_at" 7327 16993 1393 8519 18003 15643 1705 3717 18743
"200721_s_at" 4679 19969 20495 8818 6067 8881 8867 18651 2371
"200722_s_at" 3130 21870 21354 1859 2462 8585 6271 18677 15324
"200723_s_at" 6897 13390 18227 7657 7943 16634 7270 18211 5203
"200724_at" 21114 7133 7109 20433 22144 19001 3742 2604 15909
"200725_x_at" 20484 12842 20173 16249 9686 17542 20251 9559 15134
"200726_at" 9087 13786 6278 16066 8286 7652 7392 5103 19393
"200727_s_at" 6806 1815 2360 1340 8894 6776 11312 8056 3017
"200728_at" 6061 20347 18835 15967 8683 15403 4208 6062 16933
"200729_s_at" 8465 14998 19551 5835 3732 9282 9536 5360 20979
"200730_s_at" 1619 2349 8313 3248 2647 7343 20473 17684 21380
"200731_s_at" 20585 20054 7451 4754 17788 9445 6033 3175 3295
"200732_s_at" 9147 15246 7286 4006 7659 15703 6692 7265 17019
"200733_s_at" 7524 16017 8091 7907 1404 3698 2181 2807 19532
"200734_s_at" 9201 14757 19159 3277 20055 6295 7694 17499 18966
"200735_x_at" 10958 1854 18350 10687 13122 11553 20007 12601 16228
"200736_s_at" 17076 14366 5776 15265 11798 10413 9584 10515 19905
"200737_at" 5701 16335 2994 6308 5334 5563 2610 5966 17275
"200738_s_at" 8128 11890 8217 16568 6820 7042 11836 7114 5349
"200739_s_at" 3687 20445 7711 3396 10617 9776 10700 9485 5374
"200740_s_at" 7787 1150 6068 5266 6935 7028 10544 6463 14530
"200741_s_at" 19940 1997 18588 10567 12980 11416 20451 12379 15943
"200742_s_at" 20728 12474 4824 3561 21127 19435 3095 9513 2765
"200743_s_at" 7038 2303 5632 7886 18355 8384 6987 20181 2843
"200744_s_at" 6651 20883 3928 7464 8818 17876 10753 4151 3786
"200745_s_at" 8005 18748 4331 6356 2529 18083 9596 18380 17632
"200746_s_at" 8578 15803 4466 5969 3081 6624 8224 4368 15393
"200747_s_at" 10901 20524 2826 20955 4695 7453 11433 18664 18090
"200748_s_at" 20970 13795 19840 18646 18461 17645 21033 9754 15430
"200749_at" 3893 13464 4069 6852 4913 4649 8127 4170 14705
"200750_s_at" 11026 14333 19044 17695 9125 11482 12477 10103 14942
"200751_s_at" 8407 20931 7825 3634 7569 8268 5790 7812 19066
"200752_s_at" 20747 20651 8916 17210 11004 16977 5048 5332 3447
"200753_x_at" 4168 17440 5696 5806 6615 9710 9725 2650 18195
"200754_x_at" 6863 14660 4322 6078 7453 15716 20235 17621 3789
"200755_s_at" 8101 15254 6354 5708 2597 20870 8475 5013 4651
"200756_x_at" 2858 21190 1483 669 19949 8733 4226 9662 16482
"200757_s_at" 8832 1077 7837 8672 10189 18044 8809 7923 17690
"200758_s_at" 10424 15836 2800 18616 19845 5684 9510 6154 18543
"200759_x_at" 3575 1754 8246 8635 9851 16699 19922 2965 21044
"200760_s_at" 3676 17108 1924 6349 3708 15935 3392 9961 5738
"200761_s_at" 3965 12208 19503 8601 7490 8066 5567 1739 17910
"200762_at" 10425 12757 6171 17565 6770 17989 5910 9114 5590
"200763_s_at" 20980 11779 19103 10695 11285 11560 11361 12620 5534
"200764_s_at" 10736 5227 1854 18784 9035 17057 13091 3172 12874
"200765_x_at" 6689 8397 5767 10031 8139 9056 16774 17344 8182
"200766_at" 2988 17718 5307 4262 18823 9727 19948 8234 2018
"200767_s_at" 1594 17884 2488 20840 5937 16825 1674 9194 17962
"200768_s_at" 2873 19591 6855 19826 6620 5592 7229 9221 16705
"200769_s_at" 5400 20112 3006 2529 10688 5842 207 20381 17806
"200770_s_at" 8735 21866 7696 6117 8712 3609 9469 19010 18725
"200771_at" 8082 1382 19087 4191 8346 6991 12550 4914 3940
"200772_x_at" 10692 16130 7614 10659 10772 11528 20068 17329 5461
"200773_x_at" 11218 1697 8572 8569 10292 8401 12408 6696 5120
"200774_at" 10310 13496 18730 7366 10958 7796 8915 7075 5543
"200775_s_at" 5315 583 20879 2269 9492 6259 11797 19492 16514
"200776_s_at" 3786 16128 8466 1762 11255 7651 7068 17250 15159
"200777_s_at" 10307 15387 18208 15686 6260 9384 11483 6389 18707
"200778_s_at" 3037 19001 19747 1455 8072 17451 10572 7623 16896
"200779_at" 9813 19551 18196 8868 8405 16222 9675 6286 14887
"200780_x_at" 20004 11599 8761 4977 18715 8964 21292 7841 2656
"200781_s_at" 20399 11845 7830 10622 19812 11486 20380 12482 15978
"200782_at" 4413 1216 5753 6854 4041 5711 12024 4069 18058
"200783_s_at" 2523 17462 3149 4304 2166 2462 6072 6074 15305
"200784_s_at" 15852 13023 15725 634 15062 10784 18673 14257 1328
"200785_s_at" 13927 8247 11382 13737 15128 14413 17548 10258 6725
"200786_at" 10964 12300 20694 8377 10506 17277 9167 8514 14393
"200787_s_at" 2048 17430 4334 8064 20372 17105 1664 5650 21115
"200788_s_at" 20753 13052 20452 4572 6350 16308 12344 6914 4576
"200789_at" 6303 18572 18840 19994 4560 9338 8947 6272 15466
"200790_at" 5574 11791 4321 4672 6137 6869 11317 5150 16582
"200791_s_at" 10629 15630 21405 17944 5165 6205 6191 6088 19559
"200792_at" 8614 15101 7476 8650 17679 16090 9471 2969 15903
"200793_s_at" 10143 21789 8587 7250 6593 19448 11778 1262 18180
