"inst_2571" "inst_3433" "inst_3816" "inst_3899" "inst_4373" "inst_4551"
"200594_x_at" 9376 15626 6635 10662 6380 9465
"200595_s_at" 6026 18170 17111 6630 6756 4676
"200596_s_at" 18672 15747 8023 19813 6951 7489
"200597_at" 1839 21375 5274 19575 4641 7317
"200598_s_at" 11550 12404 3357 7431 19306 5019
"200599_s_at" 5724 16249 8545 9398 4200 6330
"200600_at" 10919 11622 17565 12270 10253 4688
"200601_at" 2676 22147 18854 4188 8125 2100
"200602_at" 1689 1966 17370 7668 6529 3997
"200603_at" 6917 15637 16907 18830 8752 8814
"200604_s_at" 18600 13617 2023 9298 7653 3805
"200605_s_at" 7029 13352 3527 6406 17130 7131
"200606_at" 19069 14777 15324 8142 8215 4370
"200607_s_at" 11279 14997 3740 19909 18750 7252
"200608_s_at" 7585 14051 7905 9621 15845 4897
"200609_s_at" 3594 11752 17523 8577 6311 16651
"200610_s_at" 7122 15344 7305 11045 4621 21387
"200611_s_at" 7231 18190 14714 7560 6790 9161
"200612_s_at" 2999 2496 8375 10200 213 5672
"200613_at" 7527 12847 8344 17530 14454 8028
"200614_at" 10424 14513 13821 7645 17629 9325
"200615_s_at" 11237 2240 3405 10979 4374 18671
"200616_s_at" 10635 18110 13934 9483 5734 7710
"200617_at" 10354 13985 16008 10983 3677 5092
"200618_at" 8963 20039 17667 11139 4852 4560
"200619_at" 7589 16404 6816 7856 19194 6296
"200620_at" 7873 3168 8055 9586 16314 17404
"200621_at" 9398 16883 15724 10110 4890 2284
"200622_x_at" 7462 14903 17967 4102 7716 9024
"200623_s_at" 18615 21788 19309 7457 6603 1532
"200624_s_at" 9920 15828 5049 6885 19885 5372
"200625_s_at" 5446 14116 14048 6143 6518 6209
"200626_s_at" 4215 12486 5117 5160 14833 2842
"200627_at" 10645 2262 7259 18239 15098 7994
"200628_s_at" 20795 12917 6349 20352 17927 6299
"200629_at" 3902 18010 18029 9264 8029 7930
"200630_x_at" 8728 2256 8386 20127 3984 16254
"200631_s_at" 8112 16205 16517 6374 18244 7173
"200632_s_at" 3250 19013 14242 18605 14487 4462
"200633_at" 11288 2413 10079 13377 10692 11599
"200634_at" 10731 12423 8085 17398 8722 7660
"200635_s_at" 9200 13689 18286 10664 2065 3183
"200636_s_at" 12920 17558 20712 11111 7676 19004
"200637_s_at" 12455 13254 14313 8856 3017 7937
"200638_s_at" 8886 15292 5930 19028 15363 5398
"200639_s_at" 10585 15184 14401 20790 15139 6247
"200640_at" 9410 15190 6219 10972 7024 6294
"200641_s_at" 20245 1509 1977 19030 8761 16560
"200642_at" 12100 14215 16795 8693 8404 16210
"200643_at" 5237 20572 20365 10974 5810 18293
"200644_at" 10333 15441 5890 18598 14921 8958
"200645_at" 7986 12370 8460 7778 7048 4337
"200646_s_at" 19161 20328 16901 2773 1222 4719
"200647_x_at" 12328 14860 18279 9011 8280 20058
"200648_s_at" 3449 11903 4257 20328 19534 16750
"200649_at" 9023 21971 19732 7015 4314 7206
"200650_s_at" 13987 2996 9945 9652 10530 11476
"200651_at" 14211 3331 6867 13484 10813 7371
"200652_at" 9373 15333 4919 7284 6938 7520
"200653_s_at" 10199 1810 1814 20473 5036 2933
"200654_at" 8253 14683 16271 7235 6419 18121
"200655_s_at" 9837 12997 14428 18461 15679 16373
"200656_s_at" 10837 14374 17046 17784 8096 4123
"200657_at" 10163 12781 8141 18079 10597 6745
"200658_s_at" 9885 12850 5061 18153 16552 6095
"200659_s_at" 19960 12731 16400 5501 17544 1489
"200660_at" 20246 3075 17231 19081 6981 18974
"200661_at" 10026 17453 17182 4651 15634 16077
