"inst_838" "inst_955"
"200699_at" 14354 14045
"200700_s_at" 17610 15138
"200701_at" 14834 14625
"200702_s_at" 17218 21695
"200703_at" 14633 16972
"200704_at" 16416 16339
"200705_s_at" 2403 13885
"200706_s_at" 19261 14893
"200707_at" 15475 2392
"200708_at" 15451 3819
"200709_at" 16617 18135
"200710_at" 19876 1364
"200711_s_at" 15201 16722
"200712_s_at" 18849 19046
"200713_s_at" 17865 16089
"200714_x_at" 16871 22190
"200715_x_at" 15523 13683
"200716_x_at" 4081 3033
"200717_x_at" 8027 7503
"200718_s_at" 14900 13724
"200719_at" 3545 19567
"200720_s_at" 20207 20165
"200721_s_at" 19971 19559
"200722_s_at" 4128 19296
"200723_s_at" 16181 13488
"200724_at" 5871 6582
"200725_x_at" 4691 3280
"200726_at" 16826 20818
"200727_s_at" 18613 13516
"200728_at" 3514 13987
"200729_s_at" 20621 18981
"200730_s_at" 14139 14646
"200731_s_at" 2001 17513
"200732_s_at" 3829 15900
"200733_s_at" 17972 21263
"200734_s_at" 18213 20701
"200735_x_at" 7556 15168
"200736_s_at" 8202 7630
"200737_at" 18942 19274
"200738_s_at" 3557 15543
"200739_s_at" 1400 20077
"200740_s_at" 17324 17523
"200741_s_at" 7861 3262
"200742_s_at" 1983 19172
"200743_s_at" 2900 14152
"200744_s_at" 14059 19130
"200745_s_at" 18120 17832
"200746_s_at" 16706 18549
"200747_s_at" 19801 15801
"200748_s_at" 3727 1970
"200749_at" 20238 17625
"200750_s_at" 4535 15116
"200751_s_at" 1770 16073
"200752_s_at" 19052 14169
"200753_x_at" 16070 19732
"200754_x_at" 3074 2128
"200755_s_at" 19345 15922
"200756_x_at" 20323 18022
"200757_s_at" 15722 15057
"200758_s_at" 3515 3590
"200759_x_at" 15425 13785
"200760_s_at" 19797 20027
"200761_s_at" 17389 20251
"200762_at" 18009 21469
"200763_s_at" 14174 3526
"200764_s_at" 1013 1412
"200765_x_at" 4119 13444
"200766_at" 19602 13995
"200767_s_at" 19219 3586
"200768_s_at" 3024 14362
"200769_s_at" 14577 17696
"200770_s_at" 3656 1840
"200771_at" 18819 19218
"200772_x_at" 4320 13750
"200773_x_at" 15173 13669
"200774_at" 14267 14476
"200775_s_at" 15504 13411
"200776_s_at" 16149 14350
"200777_s_at" 14083 3674
"200778_s_at" 17287 14671
"200779_at" 1202 1825
"200780_x_at" 4446 2644
"200781_s_at" 3967 2225
"200782_at" 19647 20554
"200783_s_at" 20133 20643
"200784_s_at" 11141 5906
"200785_s_at" 13611 5113
"200786_at" 1830 14557
"200787_s_at" 1828 16655
"200788_s_at" 19148 17565
"200789_at" 18381 3075
"200790_at" 3451 14157
"200791_s_at" 3171 16174
"200792_at" 14205 14756
"200793_s_at" 15690 21465
"200794_x_at" 16924 19616
"200795_at" 13966 6450
"200796_s_at" 22116 2969
"200797_s_at" 14928 19223
"200798_x_at" 19341 15401
"200799_at" 14213 15815
"200800_s_at" 18514 3846
"200801_x_at" 7729 7595
"200802_at" 1980 3412
"200803_s_at" 16784 17938
"200804_at" 4349 17612
"200805_at" 2870 19759
"200806_s_at" 16732 13437
"200807_s_at" 14128 2380
"200808_s_at" 16030 15350
"200809_x_at" 3621 2382
"200810_s_at" 15974 18297
"200811_at" 20999 20425
"200812_at" 15150 15565
"200813_s_at" 14829 15722
"200814_at" 18878 14575
"200815_s_at" 19632 17148
"200816_s_at" 20194 16398
"200817_x_at" 7511 7523
"200818_at" 14449 2162
"200819_s_at" 7434 3014
"200820_at" 16015 15946
"200821_at" 19697 19212
"200822_x_at" 16885 20603
"200823_x_at" 3354 20050
"200824_at" 14014 6086
"200825_s_at" 15877 13688
"200826_at" 2916 1628
"200827_at" 1552 13802
"200828_s_at" 16059 17948
"200829_x_at" 15101 19578
"200830_at" 17342 13550
"200831_s_at" 14783 2578
"200832_s_at" 14822 2397
"200833_s_at" 16998 15748
"200834_s_at" 4344 3349
"200835_s_at" 22154 22140
"200836_s_at" 15884 20253
"200837_at" 19516 18492
"200838_at" 18246 17848
"200839_s_at" 16208 14640
"200840_at" 15946 15596
"200841_s_at" 15689 2514
"200842_s_at" 14070 20130
"200843_s_at" 14155 17449
"200844_s_at" 4118 1993
"200845_s_at" 14596 14473
"200846_s_at" 15444 16084
"200847_s_at" 802 17512
"200848_at" 19573 18294
"200849_s_at" 20527 14332
"200850_s_at" 18108 3807
"200851_s_at" 16735 19807
"200852_x_at" 14241 19028
"200853_at" 4032 14551
"200854_at" 18373 16616
"200855_at" 16780 461
"200856_x_at" 19344 16719
"200857_s_at" 2198 16290
"200858_s_at" 2176 15890
"200859_x_at" 15908 2525
"200860_s_at" 16079 17728
"200861_at" 534 20787
"200862_at" 21283 16094
"200863_s_at" 16242 16953
"200864_s_at" 3997 20226
"200865_at" 1172 11393
"200866_s_at" 4255 16087
"200867_at" 1786 3462
"200868_s_at" 4208 2937
"200869_at" 8002 2565
"200870_at" 4550 15689
"200871_s_at" 21599 19916
"200872_at" 3343 3794
"200873_s_at" 15849 3344
"200874_s_at" 21126 2449
"200875_s_at" 3442 15329
"200876_s_at" 14710 14382
"200877_at" 17726 2283
"200878_at" 1095 3867
"200879_s_at" 7047 5330
"200880_at" 18696 18972
"200881_s_at" 16760 16480
"200882_s_at" 3246 15474
"200883_at" 15415 16930
"200884_at" 15463 18723
"200885_at" 1957 20944
"200886_s_at" 1870 3459
"200887_s_at" 2333 21382
"200888_s_at" 15219 3999
"200889_s_at" 19352 18060
"200890_s_at" 17543 16466
"200891_s_at" 2530 20211
"200892_s_at" 16666 3836
"200893_at" 17209 17225
"200894_s_at" 16873 18478
"200895_s_at" 19836 19935
"200896_x_at" 4159 14188
"200897_s_at" 18678 17389
"200898_s_at" 20718 3501
"200899_s_at" 2663 17129
"200900_s_at" 14871 15225
"200901_s_at" 4546 20031
"200902_at" 14607 16566
"200903_s_at" 16450 3291
"200904_at" 1199 21322
"200905_x_at" 18153 15070
"200906_s_at" 19937 3615
"200907_s_at" 16608 17227
"200908_s_at" 21531 19317
"200909_s_at" 3245 3790
"200910_at" 4137 14513
"200911_s_at" 20560 20889
"200912_s_at" 14455 3630
"200913_at" 20077 19227
"200914_x_at" 19640 19422
"200915_x_at" 14832 19214
"200916_at" 2282 17387
"200917_s_at" 14932 16641
"200918_s_at" 16700 17340
"200919_at" 18456 13658
"200920_s_at" 3327 18042
"200921_s_at" 4690 15655
"200922_at" 19410 3142
"200923_at" 21013 13644
"200924_s_at" 2401 3086
"200925_at" 1745 14930
"200926_at" 7545 7240
"200927_s_at" 14075 17011
"200928_s_at" 8360 9561
"200929_at" 17455 18710
"200930_s_at" 8403 10294
"200931_s_at" 18509 13499
"200932_s_at" 1936 3152
"200933_x_at" 7657 14368
"200934_at" 18424 17216
"200935_at" 14091 21885
"200936_at" 8126 3386
"200937_s_at" 14837 14124
"200938_s_at" 8536 8730
"200939_s_at" 10171 6744
"200940_s_at" 19718 17690
"200941_at" 4528 16587
"200942_s_at" 2041 3575
"200943_at" 4631 16437
"200944_s_at" 2177 3391
"200945_s_at" 18968 19267
"200946_x_at" 16502 15412
"200947_s_at" 19625 14713
"200948_at" 15081 17951
"200949_x_at" 2360 3107
"200950_at" 19309 3546
"200951_s_at" 9962 10320
"200952_s_at" 6813 4131
"200953_s_at" 6763 10886
"200954_at" 4215 15781
"200955_at" 3352 16423
"200956_s_at" 1824 4023
"200957_s_at" 17075 17936
"200958_s_at" 1368 15189
"200959_at" 14653 15223
"200960_x_at" 3104 14006
"200961_at" 17278 15873
"200962_at" 14132 2151
"200963_x_at" 7428 7350
"200964_at" 3455 19406
"200965_s_at" 4144 3875
"200966_x_at" 15156 16978
"200967_at" 14561 15575
"200968_s_at" 3134 16788
"200969_at" 2067 2503
"200970_s_at" 16725 14973
"200971_s_at" 14974 16121
"200972_at" 14219 20999
"200973_s_at" 4457 3570
"200974_at" 21854 17143
"200975_at" 14678 15827
"200976_s_at" 20172 13460
"200977_s_at" 4537 16015
"200978_at" 4294 14417
"200979_at" 3041 17699
"200980_s_at" 4164 19366
"200981_x_at" 15402 2715
"200982_s_at" 15809 21784
"200983_x_at" 16116 15024
"200984_s_at" 15323 16866
"200985_s_at" 14564 19157
"200986_at" 4958 11287
"200987_x_at" 14198 18994
"200988_s_at" 4276 14505
"200989_at" 16408 16341
"200990_at" 1191 13421
"200991_s_at" 16067 19680
"200992_at" 14126 16040
"200993_at" 19058 16668
"200994_at" 18569 3911
"200995_at" 3128 19709
"200996_at" 15960 14142
"200997_at" 20568 17789
"200998_s_at" 19671 18929
"200999_s_at" 16657 18874
"201000_at" 2216 1586
"201001_s_at" 14925 16757
"201002_s_at" 3672 3422
"201003_x_at" 4809 15865
"201004_at" 16040 16045
"201005_at" 16153 15534
"201006_at" 6392 13181
"201007_at" 2442 3362
"201008_s_at" 2506 21528
"201009_s_at" 17410 21312
"201010_s_at" 15045 15028
"201011_at" 17052 15476
"201012_at" 1259 233
"201013_s_at" 15191 16959
"201014_s_at" 2463 18446
"201015_s_at" 16915 14463
"201016_at" 15773 19160
"201017_at" 18946 18879
"201018_at" 19263 19388
"201019_s_at" 18774 18546
"201020_at" 14125 18293
"201021_s_at" 15510 17908
"201022_s_at" 4303 14617
"201023_at" 17845 19660
"201024_x_at" 516 2216
"201025_at" 17812 21547
"201026_at" 21944 19608
"201027_s_at" 18971 19966
"201028_s_at" 14124 16100
"201029_s_at" 16455 3945
"201030_x_at" 5205 13253
"201031_s_at" 14310 18168
"201032_at" 16491 17495
"201033_x_at" 7922 2255
"201034_at" 19962 19257
"201035_s_at" 2334 3105
"201036_s_at" 19581 20006
"201037_at" 4801 3769
"201038_s_at" 18688 18573
"201039_s_at" 18991 19465
