"inst_870" "inst_978" "inst_2957" "inst_3518" "inst_5439" "inst_6339"
"200594_x_at" 17386 15429 14525 16107 16521 15767
"200595_s_at" 2895 14585 17495 2932 5823 13923
"200596_s_at" 6616 4355 17408 3131 4046 14780
"200597_at" 6353 17096 19967 20488 18705 19933
"200598_s_at" 18695 20185 18791 16282 14024 13021
"200599_s_at" 18484 16450 15658 13503 6406 14981
"200600_at" 14759 13089 12226 16027 12823 16794
"200601_at" 2729 17639 405 3990 6436 3458
"200602_at" 3953 19834 14144 1481 15552 3581
"200603_at" 4264 15217 11754 2483 5505 15762
"200604_s_at" 7173 16504 19256 5057 2588 14245
"200605_s_at" 2890 16792 12262 3308 3413 12886
"200606_at" 5284 16878 11642 3637 2664 2536
"200607_s_at" 18283 18257 20577 13643 19317 16093
"200608_s_at" 16353 15895 12152 14067 16954 15818
"200609_s_at" 2070 4747 12627 3460 14100 12635
"200610_s_at" 16997 16417 16203 17416 17648 15129
"200611_s_at" 6627 3482 13326 6718 4729 13787
"200612_s_at" 2082 18458 15665 3329 1999 21401
"200613_at" 17165 15109 18756 16295 14580 17604
"200614_at" 16932 4468 19440 5634 16039 15348
"200615_s_at" 4712 15128 14460 5533 4013 15860
"200616_s_at" 19536 20082 21939 17700 15235 20465
"200617_at" 18330 20575 19685 18084 20013 19533
"200618_at" 18817 20917 13241 18290 19327 19832
"200619_at" 16289 4842 16973 15359 15500 4422
"200620_at" 6241 16181 17783 14031 6288 3354
"200621_at" 2928 3096 15569 3895 3172 13080
"200622_x_at" 7438 19686 15879 6602 13025 4299
"200623_s_at" 5271 21468 14776 18502 20506 20675
"200624_s_at" 16881 18966 18896 15020 17726 17052
"200625_s_at" 6456 14841 12590 4584 14442 13190
"200626_s_at" 5810 16363 16728 2225 16882 16507
"200627_at" 6998 15525 14338 5177 15436 15267
"200628_s_at" 3685 1423 16828 2730 1357 2026
"200629_at" 2254 415 16047 2186 832 1035
"200630_x_at" 5476 15699 13261 6171 13304 4396
"200631_s_at" 5596 16362 17834 14755 13879 14612
"200632_s_at" 17178 3242 22262 13905 4684 4804
"200633_at" 12052 4968 11153 8650 8618 7639
"200634_at" 18504 16147 18354 16312 14327 20659
"200635_s_at" 17039 3635 5830 5252 19447 12562
"200636_s_at" 4529 17074 4499 5341 6325 13090
"200637_s_at" 16655 16827 5538 17823 13717 18731
"200638_s_at" 6848 15790 15491 13441 4842 14782
"200639_s_at" 3234 5146 13339 17483 14479 18297
"200640_at" 16568 15676 14645 15524 15124 13559
"200641_s_at" 7543 18563 17533 15249 5429 13470
"200642_at" 17089 17028 18513 14500 5626 15632
"200643_at" 3948 14712 13455 4627 16776 17411
"200644_at" 6156 18980 20531 18579 20274 18390
"200645_at" 4639 4149 14703 14108 5343 14466
"200646_s_at" 6726 2632 691 21057 20515 22048
"200647_x_at" 7693 2847 17526 6052 3309 14978
"200648_s_at" 4962 20186 21285 15299 4179 2761
"200649_at" 20196 17877 11734 21058 17678 14899
"200650_s_at" 17202 14561 19217 13835 18027 14434
"200651_at" 18432 4286 1890 5633 5169 16041
"200652_at" 2931 18145 19327 16575 6779 19521
"200653_s_at" 19384 21683 11831 14811 16298 4941
"200654_at" 20800 4661 15659 4217 5407 14371
"200655_s_at" 17889 17581 13226 14170 15841 14545
"200656_s_at" 17300 20345 14854 15895 14555 17965
"200657_at" 7463 4241 13340 13468 5824 14807
"200658_s_at" 19134 18797 19789 17016 5978 19290
"200659_s_at" 20589 19518 22077 17327 14391 21316
"200660_at" 6063 4571 11014 3693 2491 17758
"200661_at" 19198 4868 18329 17133 4388 21098
"200662_s_at" 17560 16914 18253 5559 14055 15582
"200663_at" 3630 17680 12118 14701 14432 3742
"200664_s_at" 2594 16623 11984 5074 2782 1200
"200665_s_at" 13881 11918 5977 7171 12166 6851
"200666_s_at" 4237 15309 12440 4174 5276 1447
"200667_at" 16845 18513 13211 14624 17256 16216
"200668_s_at" 4916 15210 14451 3262 5183 13439
"200669_s_at" 4820 14367 16628 5292 3659 15445
"200670_at" 6570 15452 11175 15544 16143 91
"200671_s_at" 19078 1999 4212 2411 6012 21901
"200672_x_at" 3461 3464 1623 14665 19254 15336
"200673_at" 4956 17018 11302 5002 4323 15413
"200674_s_at" 7647 3133 2558 14866 14846 4069
"200675_at" 16434 18507 18464 18831 14280 17164
"200676_s_at" 16279 21828 17012 21110 19699 3143
"200677_at" 5996 14916 13141 14465 4272 13321
"200678_x_at" 5535 1929 11795 4466 3409 14653
"200679_x_at" 17299 19548 18418 13438 13630 12574
"200680_x_at" 6785 14476 13308 6186 8728 13066
"200681_at" 6034 15513 16530 6686 5458 12505
"200682_s_at" 17915 19529 17448 14615 15178 15542
"200683_s_at" 19548 20963 21224 16642 15576 5022
"200684_s_at" 21583 20225 21293 21609 18286 18883
"200685_at" 16937 20205 18407 21523 22144 13958
"200686_s_at" 2583 14974 12336 4946 5135 13161
"200687_s_at" 21017 17948 17069 18166 18026 16614
"200688_at" 6780 19903 14620 3735 18789 19890
"200689_x_at" 5398 5169 2374 6714 5164 5024
"200690_at" 19466 15304 19114 4540 5807 17899
"200691_s_at" 4581 5214 17758 15003 5332 17137
"200692_s_at" 21133 17830 16849 14012 5773 17617
"200693_at" 4727 17624 18313 14409 4841 16300
"200694_s_at" 18428 17994 20046 19109 18686 20758
"200695_at" 16782 14985 17998 21229 6443 3721
"200696_s_at" 1015 14489 1587 2318 2778 3762
"200697_at" 2288 3916 17378 19364 17452 13771
