"inst_337" "inst_848" "inst_965" "inst_2433" "inst_3295" "inst_5294" "inst_6695"
"1007_s_at" 4912 15413 19133 2629 1951 18771 5477
"1053_at" 13473 17431 1884 16523 14499 13869 14861
"117_at" 17926 5269 9202 11692 539 4970 317
"121_at" 5311 20496 4762 21904 17693 19853 14348
"1255_g_at" 1622 8083 10560 6746 7165 7608 12767
"1294_at" 14667 7019 13283 17940 1019 6756 1046
"1316_at" 17455 12500 13640 14031 17167 7856 18788
"1320_at" 4732 491 9031 6917 6728 3718 21000
"1405_i_at" 6933 10439 8593 14086 5821 1346 18349
"1431_at" 1700 8672 9982 16642 18314 11811 16666
"1438_at" 1359 754 471 4543 20688 15220 15777
"1487_at" 3179 19661 21601 16343 18411 816 6134
"1494_f_at" 4518 7757 7822 910 19808 5247 1960
"1598_g_at" 6544 21086 1365 22173 21195 22198 15066
"160020_at" 17804 5791 11353 20004 21841 6888 499
"1729_at" 10911 17733 5713 10612 17217 13697 16517
"1773_at" 3690 19962 17456 21808 21028 937 17878
"177_at" 20118 7527 12101 2276 3046 9554 18568
"179_at" 2808 2894 2012 22184 19948 13752 5534
"1861_at" 2367 21173 6543 16656 20565 13941 14706
"200000_s_at" 13457 16163 6767 16106 13049 14895 6416
"200001_at" 2814 4830 4503 17994 16201 16911 17921
"200002_at" 13470 4486 6562 10491 15922 12488 7805
"200003_s_at" 5557 8825 6349 4968 8103 2160 9944
"200004_at" 13703 15411 7010 15701 14119 17216 6970
"200005_at" 15980 15108 5549 13880 4985 19462 5569
"200006_at" 3931 15530 17324 12582 15479 14912 15178
"200007_at" 14325 16228 4662 12578 14847 13570 16359
"200008_s_at" 5187 5567 16838 20146 18812 14529 2442
"200009_at" 5907 16614 5694 13747 5569 13740 5400
"200010_at" 2478 15942 18674 10951 14291 14980 2812
"200011_s_at" 13184 19226 18081 14908 14268 18584 6890
"200012_x_at" 5726 5343 4336 1994 13141 1754 14445
"200013_at" 14438 4202 4452 9975 15956 12955 7268
"200014_s_at" 14282 15405 6705 12479 5406 17250 16286
"200015_s_at" 15350 17528 5785 16152 19851 18319 17393
"200016_x_at" 5085 17552 4517 4858 15475 14799 15752
"200017_at" 15605 9247 7016 5130 8305 12508 15707
"200018_at" 6592 16306 17660 5112 8277 12165 14604
"200019_s_at" 5262 15698 6418 5067 14226 12702 6628
"200020_at" 16056 18050 17568 16202 18741 19789 6077
"200021_at" 14230 8866 5646 2202 8518 1626 10065
"200022_at" 3651 16012 5292 4995 8139 13660 7707
"200023_s_at" 10815 16119 5707 10452 4864 17763 17953
"200024_at" 5439 16294 5364 10026 4770 13186 14023
"200025_s_at" 13317 16169 5224 5110 14024 12062 17521
"200026_at" 17580 16289 2594 5295 8526 1746 14563
"200027_at" 13609 15757 5059 12254 15908 17502 17461
"200028_s_at" 12845 17954 17167 11743 13186 19878 18641
"200029_at" 4247 5320 17441 5041 5510 12000 5410
"200030_s_at" 4926 16103 4610 11234 5180 15595 8099
"200031_s_at" 4986 9310 6123 5101 8258 2247 9997
"200032_s_at" 5484 8923 19012 5134 8310 12114 14592
"200033_at" 15832 17700 4083 13176 13773 13508 14973
"200034_s_at" 13845 5663 4554 10465 15045 13898 3926
"200035_at" 3318 2881 20233 2523 14305 20099 3308
"200036_s_at" 5519 5326 18441 2792 13270 15076 17593
"200037_s_at" 14125 16613 6016 14376 15057 15961 18312
"200038_s_at" 6363 16049 18780 5263 8480 2044 7701
"200039_s_at" 14462 17386 18373 16959 14375 15099 6167
"200040_at" 14690 17231 6444 16075 13422 18229 15273
"200041_s_at" 11584 19250 3806 17159 17356 17560 4816
"200042_at" 3581 17652 7208 17419 15016 11886 15063
"200043_at" 16414 18018 18818 16696 18136 16079 15975
"200044_at" 5864 18717 17044 17204 17083 16261 4817
"200045_at" 3584 15493 3737 14041 4336 15400 8417
"200046_at" 3591 19713 6277 12992 5189 16876 5916
"200047_s_at" 18615 20443 3804 17216 5292 17715 20102
"200048_s_at" 17117 17097 6452 13453 17019 14953 18260
"200049_at" 17046 2896 2754 18058 1699 12696 18393
"200050_at" 16366 2156 1473 13855 15893 13113 20199
"200051_at" 16374 2470 5576 14752 13765 13796 19570
"200052_s_at" 6243 5765 19885 17627 14426 16035 7381
"200053_at" 11313 15241 5038 11499 21757 16712 1540
"200054_at" 17666 5088 6530 15082 4052 12499 14976
"200055_at" 2457 18194 20042 12003 3168 17676 8327
"200056_s_at" 19117 20556 17745 18880 20097 21418 21192
"200057_s_at" 5507 16692 16775 11181 4613 15304 15126
"200058_s_at" 18397 4778 5699 17547 15911 15826 6387
"200059_s_at" 16830 17411 4143 12318 15814 18344 14284
"200060_s_at" 19632 5265 17391 20287 4366 14685 5948
"200061_s_at" 5661 9273 16789 5098 8256 1560 9995
"200062_s_at" 5502 9398 17609 4944 8073 1707 9937
"200063_s_at" 16891 9133 19216 5182 8367 1521 10027
"200064_at" 2563 4987 4536 17762 15149 15417 4864
"200065_s_at" 12276 15414 5412 15640 16271 18426 5625
"200066_at" 4081 17818 3642 11412 19987 15173 2912
"200067_x_at" 3446 15920 17890 12296 13948 16462 17885
"200068_s_at" 11949 4853 3823 13285 4599 17103 5573
"200069_at" 17080 18276 1401 16995 14346 18550 14407
"200070_at" 18648 16285 17920 1885 1534 1996 15477
"200071_at" 15341 16150 19212 16709 16266 19165 18799
"200072_s_at" 18835 2687 17131 17948 15506 16763 4636
"200073_s_at" 18566 16485 4080 11536 14997 17943 16890
"200074_s_at" 12046 15830 7093 10906 15557 13688 5567
"200075_s_at" 5190 5188 17516 12489 18961 15771 7473
"200076_s_at" 4974 18688 7185 10584 15934 18175 15481
"200077_s_at" 11484 15117 17006 10109 14397 11952 14002
"200078_s_at" 4155 20774 19727 12095 15185 16937 18052
"200079_s_at" 5796 16245 18028 14990 14546 18783 16285
"200080_s_at" 14398 19112 3476 2735 15220 12822 18945
"200081_s_at" 4379 3870 16815 10571 4988 12742 1934
"200082_s_at" 12826 5451 6293 5165 5368 13292 3562
"200083_at" 16604 15930 5918 15783 14938 18842 5564
"200084_at" 13214 16794 6910 14915 18117 18552 7798
"200085_s_at" 6178 15409 16891 12827 14586 14015 7760
"200086_s_at" 14707 5101 5456 13220 5214 15319 19080
"200087_s_at" 15528 3465 3908 12447 17023 17974 6027
"200088_x_at" 6041 9168 10730 4960 8094 2267 8015
"200089_s_at" 14518 4637 17850 10230 13674 12713 15392
"200090_at" 15319 4190 1411 12352 3874 19736 17573
"200091_s_at" 14641 17167 4025 2418 16945 2426 7906
"200092_s_at" 5064 5170 18104 5189 4990 1645 15299
"200093_s_at" 16675 17875 4140 13934 17982 15023 16634
"200094_s_at" 6207 15503 4652 12974 15030 13639 6046
"200095_x_at" 3510 8945 18406 5274 8496 2052 10058
"200096_s_at" 15496 15130 17137 18848 15563 20837 14571
"200097_s_at" 17163 20510 20676 17625 16214 18891 7669
"200098_s_at" 12359 5901 7046 16623 13994 19259 16729
"200099_s_at" 11863 9165 18766 5192 8388 2419 6932
"200593_s_at" 15186 5312 19457 16998 18676 16851 6199
"200594_x_at" 11001 16800 5272 18224 17547 13999 5598
"200595_s_at" 14616 16246 2796 18215 17771 18773 8404
"200596_s_at" 4408 5579 19574 16447 17493 14160 6246
"200597_at" 16807 5933 5494 21278 4535 12290 7020
"200598_s_at" 5732 1595 1584 15201 2834 13962 8020
"200599_s_at" 6177 5681 2031 12424 2342 13839 3050
"200600_at" 9686 12420 15454 15611 11773 3296 2021
"200601_at" 2736 21713 20544 21220 13520 22078 17170
"200602_at" 15001 3462 17814 13322 21348 16743 19129
"200603_at" 19594 19201 18396 12646 17446 18328 15978
"200604_s_at" 3108 16050 5264 12686 13076 12826 3487
"200605_s_at" 12573 18581 16748 15806 17584 20703 3171
"200606_at" 17600 18261 1909 1381 5269 20422 14881
"200607_s_at" 16450 16060 16902 14094 17978 17837 16793
"200608_s_at" 17814 16854 5689 14112 16897 17635 16675
"200609_s_at" 17775 19407 18355 12684 13361 17955 16895
"200610_s_at" 15062 19098 5734 18655 15851 14648 14034
"200611_s_at" 3570 2522 4627 16277 5449 16739 8134
"200612_s_at" 15577 16910 3238 1102 4049 21020 10
"200613_at" 12719 16745 17257 18862 14715 12776 6119
