"inst_338" "inst_1528" "inst_1945" "inst_2028" "inst_4667" "inst_5262" "inst_5627"
"200089_s_at" 11442 17432 6435 16419 15799 7887 12874
"200090_at" 17834 19879 19488 5584 17273 3089 15866
"200091_s_at" 15148 14110 6135 20380 6876 14634 13976
"200092_s_at" 3414 17037 18018 18630 17478 16203 7543
"200093_s_at" 14495 17982 3021 19821 2997 4409 13962
"200094_s_at" 12082 4481 5044 15841 8659 17423 5449
"200095_x_at" 1257 8271 18884 4959 11292 10544 7608
"200096_s_at" 14310 19342 3448 18738 910 7556 19499
"200097_s_at" 13675 20056 5855 3881 9038 14587 13161
"200098_s_at" 12673 17869 17968 18648 16021 16464 12284
"200099_s_at" 11696 14114 7255 19559 5122 10459 7548
"200593_s_at" 12700 16797 21568 1181 19113 15738 5637
"200594_x_at" 11655 5485 4189 17320 16425 15488 13416
"200595_s_at" 16871 17456 6161 21253 18284 4287 18123
"200596_s_at" 950 4700 18276 1022 4423 14893 11749
"200597_at" 15548 21607 21806 3583 15330 17520 17807
"200598_s_at" 834 3699 3207 3497 2919 3938 3700
"200599_s_at" 729 14152 6904 321 3698 6758 11500
"200600_at" 5706 12957 1072 17559 5933 12242 542
"200601_at" 12437 21654 2377 16065 20708 1856 20552
"200602_at" 14227 15029 21571 21869 5322 15745 21204
"200603_at" 14594 17893 4975 22114 5523 14765 18240
"200604_s_at" 2339 19012 2894 3642 16636 17861 15513
"200605_s_at" 3265 17277 19738 4503 16165 8016 16431
"200606_at" 12204 20616 6771 15264 6200 17849 15659
"200607_s_at" 17624 15111 21695 1937 6078 14493 4727
"200608_s_at" 14981 17140 1183 22196 7291 6146 15545
"200609_s_at" 1897 15470 20477 3020 20502 3837 15827
"200610_s_at" 8879 18187 4325 17815 17812 18258 14632
"200611_s_at" 3196 5589 3176 4116 4930 3474 5820
"200612_s_at" 15473 15604 2462 18344 7062 20934 12032
"200613_at" 16831 3461 6927 19996 8359 15065 14951
"200614_at" 3712 5106 6323 15951 7905 6921 11618
"200615_s_at" 3413 19234 18908 18146 8390 18474 2805
"200616_s_at" 17632 13681 7019 17407 7662 7390 3315
"200617_at" 14506 13095 2764 4693 7015 7999 4103
"200618_at" 10645 15171 20543 4304 6394 19164 17201
"200619_at" 3616 17932 2730 5643 4925 18059 4492
"200620_at" 11645 13639 19016 21002 6599 14672 3489
"200621_at" 9262 15030 2995 16188 16017 17549 14552
"200622_x_at" 1546 13450 4576 2935 3964 7013 14142
"200623_s_at" 10527 14982 18928 5434 18627 16567 4891
"200624_s_at" 8631 17917 2969 19669 4428 17055 11894
"200625_s_at" 14134 14592 4453 5106 5261 6430 11520
"200626_s_at" 8904 4858 18596 17050 17021 7414 17656
"200627_at" 9648 14975 3689 17614 8885 17242 5024
"200628_s_at" 1606 3793 6042 3930 5733 15190 4862
"200629_at" 1544 4210 6859 5410 6350 19624 2401
"200630_x_at" 11355 16322 6218 1429 16651 6068 4642
"200631_s_at" 12059 19754 7163 19308 16745 16224 13205
"200632_s_at" 12265 16085 6318 18831 6145 1892 19287
"200633_at" 2151 4028 20926 2503 11159 7901 7477
"200634_at" 8684 2992 6933 17174 15870 7651 5069
"200635_s_at" 1743 17198 20601 6706 3800 5700 12614
"200636_s_at" 12947 14030 518 8199 6098 4773 19212
"200637_s_at" 1856 4976 7248 12428 5019 18075 18392
"200638_s_at" 10621 18172 3090 20109 7133 18697 13685
"200639_s_at" 11036 19807 3082 20541 16868 16136 16390
"200640_at" 9109 5837 7093 19556 9154 17166 13321
"200641_s_at" 3554 14590 2702 5039 3477 18024 5692
"200642_at" 3108 14203 5775 19320 6562 6392 5800
"200643_at" 902 3682 7016 3519 5953 1918 13977
"200644_at" 9717 16625 3854 19282 9045 17537 17950
"200645_at" 2517 5498 2789 21044 19917 6313 14011
"200646_s_at" 1566 2523 14113 1373 2834 5531 2073
"200647_x_at" 8571 16745 19031 3667 4493 16407 12045
"200648_s_at" 3763 20038 9711 20797 17797 20488 18300
"200649_at" 727 1760 18579 20250 2250 18827 5539
"200650_s_at" 3147 5911 4995 16942 11031 7103 11921
"200651_at" 8717 4476 6075 17210 7815 15931 7593
"200652_at" 1679 5554 20295 18002 7567 3147 17790
"200653_s_at" 15604 19670 20026 18691 5856 18557 16248
"200654_at" 8500 5205 5593 17030 7549 7255 14046
"200655_s_at" 11292 18706 3813 19630 18163 7484 14087
"200656_s_at" 10655 14611 2546 18644 2792 8044 4350
"200657_at" 3544 13124 19490 18520 16752 7628 12081
"200658_s_at" 10166 13663 6629 1128 3791 15606 11994
"200659_s_at" 16148 17006 6857 1425 3310 16553 12008
"200660_at" 2552 14347 4630 20236 8022 4972 13295
"200661_at" 3975 13855 5248 1726 3684 3621 13615
"200662_s_at" 9842 5875 2727 16894 6134 16045 15580
"200663_at" 8944 15595 6776 2082 9290 4132 3572
"200664_s_at" 9196 15773 18084 15761 2207 19518 11642
"200665_s_at" 6473 11034 14161 5920 1146 8994 9590
"200666_s_at" 10229 16857 5246 1966 4640 7589 12891
"200667_at" 13743 14680 5164 17448 18626 15281 18997
"200668_s_at" 9397 14678 4593 5621 5992 8027 13746
"200669_s_at" 11852 15456 4635 1428 3770 16130 3771
"200670_at" 14233 17312 4991 21927 3710 7811 20355
"200671_s_at" 14723 861 16247 6959 15559 4202 19502
"200672_x_at" 19553 13682 6141 12660 19405 2089 3942
"200673_at" 3837 17829 4073 18255 7522 7998 13725
"200674_s_at" 1815 3474 19707 3567 16035 15392 7553
"200675_at" 9001 15762 5481 20491 17106 5648 20116
"200676_s_at" 15200 14350 21128 21530 4823 4984 16751
"200677_at" 8743 17634 3609 17675 16697 16870 13059
"200678_x_at" 8892 4124 19575 4249 8389 7675 15538
"200679_x_at" 2148 18444 4323 2853 17652 14869 14305
"200680_x_at" 3902 15757 6215 19114 5962 15717 7612
"200681_at" 9645 16454 7014 3206 16562 15668 5398
"200682_s_at" 9007 13661 18755 16364 4468 7059 16672
"200683_s_at" 12367 5271 7108 3590 8251 7262 5008
"200684_s_at" 8609 19577 3696 2011 16486 15193 3066
"200685_at" 20877 21544 19013 3993 5393 20056 20879
"200686_s_at" 16146 20429 18495 22106 8285 19040 5594
"200687_s_at" 2564 16825 4216 15811 2217 15424 14000
"200688_at" 16794 4908 4270 19626 21696 20020 20598
"200689_x_at" 1916 15307 1308 4426 16253 6525 15516
"200690_at" 9559 14897 1740 592 2712 20163 17280
"200691_s_at" 2250 5345 6348 2753 16603 6494 5496
"200692_s_at" 3152 16473 2959 3738 6673 5893 2588
"200693_at" 16321 16466 3434 18358 6768 16109 15309
"200694_s_at" 11578 16545 4337 3014 8247 7715 19100
"200695_at" 10560 19698 22165 2990 19431 3857 5047
"200696_s_at" 10425 3169 4780 5578 20046 16893 17764
"200697_at" 19373 14927 7459 20300 6911 2272 16622
"200698_at" 11608 13448 7008 17463 17127 7646 15636
"200699_at" 10308 16566 20319 2140 18765 6999 17784
"200700_s_at" 10202 3220 19585 3353 18523 6988 15850
"200701_at" 3438 2215 5785 15725 5984 18729 4544
"200702_s_at" 15888 3630 4432 3889 4717 1615 12290
"200703_at" 11970 15874 3360 19771 8822 18462 18422
"200704_at" 11223 13178 3153 5029 16869 15214 12895
"200705_s_at" 10341 13828 18448 5645 6685 15044 4308
"200706_s_at" 12615 16692 22 2718 2414 16625 11934
"200707_at" 3095 2729 4121 327 4054 17162 4146
"200708_at" 9828 5564 3277 67 7443 7097 5798
"200709_at" 1662 14269 6299 15867 17038 1333 20677
"200710_at" 16022 20516 20693 232 2633 2934 13715
"200711_s_at" 14258 14593 20214 2331 4813 6582 11688
"200712_s_at" 10354 13535 770 17949 1721 18870 16939
"200713_s_at" 10095 13822 19698 5611 19585 6519 17941
"200714_x_at" 16439 15004 19748 4492 7817 16961 5523
"200715_x_at" 967 2857 6460 16080 9252 7702 2757
"200716_x_at" 1910 4275 4569 1808 8007 15164 7599
"200717_x_at" 11117 13712 19091 19800 11158 10320 7474
"200718_s_at" 8642 16496 18450 20803 16373 17752 12763
"200719_at" 16192 14732 4783 20204 19413 6765 5738
"200720_s_at" 1976 15277 19337 2178 8788 16644 17291
"200721_s_at" 2503 19533 5662 18934 3585 1240 13964
"200722_s_at" 2025 21143 6098 2840 1024 19959 11857
"200723_s_at" 10385 18633 4914 16704 5741 15867 5191
"200724_at" 14708 194 10735 10915 1202 3012 22169
"200725_x_at" 1883 13471 20151 2649 7050 7409 13765
"200726_at" 11256 16188 5773 20476 15948 16880 14699
"200727_s_at" 17433 17413 18486 17669 21184 2646 13939
"200728_at" 13830 20162 17957 15977 16664 15679 3921
"200729_s_at" 15637 19978 5750 21856 5133 7783 18630
"200730_s_at" 9239 13414 5703 5630 6453 18105 13407
"200731_s_at" 9576 16541 18072 197 16964 4654 18910
"200732_s_at" 14547 16817 5581 18639 19544 4703 11908
"200733_s_at" 16119 21058 120 22232 4072 15884 14218
"200734_s_at" 8516 4285 5440 16685 3820 5884 3239
"200735_x_at" 8572 13609 20068 3951 17008 10447 7541
"200736_s_at" 7844 1956 3278 3893 15944 8382 6048
"200737_at" 10647 13664 21621 3254 8158 16846 16936
"200738_s_at" 11841 15151 3652 19356 8623 15326 11579
"200739_s_at" 2241 4601 19280 3644 1800 5066 5453
"200740_s_at" 13145 15810 18095 5129 8766 6225 11547
"200741_s_at" 3764 8274 5651 5650 11074 10178 7376
"200742_s_at" 9330 3250 19272 17239 4313 5513 15897
"200743_s_at" 12269 17653 18158 16147 7370 16616 14329
