"inst_342" "inst_435" "inst_437" "inst_499" "inst_576" "inst_632" "inst_2990" "inst_4392" "inst_4569"
"1007_s_at" 17754 8149 19430 9088 12801 1204 6988 2824 7410
"1053_at" 21820 8438 8064 8980 19038 3535 4725 15051 16107
"117_at" 713 14627 1577 1315 17832 15474 19619 11604 1245
"121_at" 7543 3359 5804 16622 1617 3091 20444 706 15616
"1255_g_at" 14032 2813 14970 10644 11365 6870 11814 8527 8517
"1294_at" 5776 3808 503 3096 4567 3008 18826 7552 653
"1316_at" 1849 14834 18135 4785 782 20443 1165 14124 19435
"1320_at" 19078 14145 21052 6814 13723 7947 10296 21932 9650
"1405_i_at" 10514 10244 11894 11449 6534 7201 17381 1456 14429
"1431_at" 13596 1449 14377 18774 14943 6904 21008 1596 7805
"1438_at" 2645 19033 19619 17085 2528 11000 304 15584 766
"1487_at" 21111 6291 3686 4419 4248 6083 20518 1851 2385
"1494_f_at" 3581 943 6528 3814 1098 5962 21976 21013 1998
"1598_g_at" 17872 15683 2617 17661 4056 2859 22178 16404 4331
"160020_at" 17453 3216 18612 2407 623 1779 15393 15381 8417
"1729_at" 2537 5163 3711 7141 18530 21979 1424 15708 1645
"1773_at" 5952 8222 20345 21405 13821 21608 21553 5118 16463
"177_at" 7469 4867 1091 716 625 5041 19135 569 19511
"179_at" 8825 15361 2385 6724 2074 3715 2335 20200 22225
"1861_at" 17511 6764 17595 6632 13767 5814 20254 2740 15420
"200000_s_at" 19968 16132 18603 16741 16108 16932 16372 7343 3235
"200001_at" 3358 5789 18411 17745 17828 18956 16289 4445 6533
"200002_at" 19601 7483 8513 18541 14890 6334 8447 15018 4766
"200003_s_at" 16808 7324 7636 16534 14243 16712 10850 9621 10264
"200004_at" 16429 16278 17024 16053 18255 18034 5175 6823 5741
"200005_at" 7643 14902 7317 18799 17150 3834 7214 6970 15012
"200006_at" 4715 7729 4094 5788 17636 6070 7447 7759 4427
"200007_at" 17106 15708 7023 9185 15602 18198 8268 17168 5414
"200008_s_at" 7109 14244 6986 6110 15022 6213 5743 19050 20636
"200009_at" 2618 4591 6908 8869 16106 18972 6753 6277 8124
"200010_at" 5310 2415 2980 4071 18427 3310 8973 14193 14802
"200011_s_at" 2351 15621 5887 20631 15783 17121 7042 2666 6772
"200012_x_at" 15630 17441 9178 17994 3470 4270 16729 17629 18280
"200013_at" 17835 15352 16598 16859 12711 18310 15611 15596 7112
"200014_s_at" 16145 15544 16828 8321 20047 5806 5176 17261 15450
"200015_s_at" 18066 16827 7873 8037 16653 2154 14917 3711 5411
"200016_x_at" 18803 14879 7694 15681 19949 17710 7857 9520 8375
"200017_at" 20130 17541 7551 5381 16351 5232 10939 9762 8254
"200018_at" 4554 4981 17152 20049 4219 18363 10927 9752 7056
"200019_s_at" 19249 8172 17359 7730 16572 5690 6647 9712 8306
"200020_at" 16158 16759 8996 7405 17141 17938 7970 6996 7242
"200021_at" 15494 14971 17249 7683 3784 5087 18491 9914 10497
"200022_at" 19724 14407 16710 8697 13421 3489 15093 9646 6482
"200023_s_at" 19214 16468 16256 7352 19243 4634 8957 7427 3533
"200024_at" 20270 16646 18433 19077 18040 21816 7903 14422 7876
"200025_s_at" 15550 15702 8953 15895 3762 17025 8331 9749 5633
"200026_at" 1362 4109 2771 17321 4787 16913 11027 9921 7712
"200027_at" 16576 5376 9163 17239 13564 5292 6869 13895 4476
"200028_s_at" 6923 4205 18803 7205 14706 16849 7220 6850 4905
"200029_at" 16207 20079 18566 16257 13692 4408 16260 17923 15734
"200030_s_at" 8880 7461 8341 15958 13666 2336 5065 7549 15117
"200031_s_at" 17141 14194 7248 16220 2052 4607 10919 9740 10359
"200032_s_at" 5301 6825 8993 8138 14586 17539 10943 9766 6534
"200033_at" 17973 7631 8192 18659 17311 19369 7382 7449 3204
"200034_s_at" 4173 6531 5099 16181 14141 6155 15145 15299 7574
"200035_at" 8176 16255 21772 17557 18857 17678 19978 6347 16985
"200036_s_at" 17766 6626 5513 6392 14046 4583 15459 14588 6793
"200037_s_at" 6625 8468 6883 17010 20289 19500 6598 4257 5400
"200038_s_at" 6686 6402 9172 16609 14289 20157 11014 9888 7309
"200039_s_at" 8345 5282 6101 16583 12111 6029 14877 5960 5582
"200040_at" 15867 16030 5611 7129 21080 17125 5543 5257 8109
"200041_s_at" 18795 16364 19503 18664 19539 20026 7135 6639 6722
"200042_at" 7101 3324 4282 15866 1232 4929 3900 4362 15621
"200043_at" 19628 15264 17536 7449 17532 2861 16640 7724 7880
"200044_at" 19224 17572 5536 6078 16919 5253 7563 4037 2092
"200045_at" 7512 3405 18815 5985 15957 3460 6382 4626 16113
"200046_at" 4284 16412 17293 5799 18324 4380 3993 14611 4945
"200047_s_at" 15844 16174 4987 17009 19956 3528 8350 5989 2822
"200048_s_at" 20402 15977 6189 8936 16497 6060 8471 5761 3182
"200049_at" 918 6953 21379 16231 13045 2938 20327 5111 6232
"200050_at" 5574 7662 3247 6226 19148 4676 5029 15312 16059
"200051_at" 21260 4953 19833 19888 18056 18497 4270 18086 8224
"200052_s_at" 18149 15739 9062 16949 18794 18854 7752 16907 6552
"200053_at" 15557 4926 9181 3386 3175 6138 1059 20152 5853
"200054_at" 18045 12059 4330 16825 14496 2975 17357 16655 17113
"200055_at" 16247 14603 4641 8977 15205 3210 7724 18157 5890
"200056_s_at" 3263 19607 3610 2740 21154 19944 15596 6268 15202
"200057_s_at" 6895 7641 17145 8323 16114 18102 7791 14339 6598
"200058_s_at" 20264 17227 16155 17527 15455 3332 17795 14727 15755
"200059_s_at" 19319 8488 6210 16437 16750 2400 8420 15369 17102
