"inst_3822" "inst_3825" "inst_3905" "inst_3908" "inst_4379" "inst_4382" "inst_4557" "inst_4560"
"1007_s_at" 19729 12904 2946 11540 2437 3313 6609 9135
"1053_at" 8308 9827 7368 16228 12321 10235 16860 7669
"117_at" 14283 20805 16142 7071 13273 15826 4678 13346
"121_at" 3492 10030 6055 9452 3349 11185 1568 4272
"1255_g_at" 15387 13883 14267 5150 14732 17506 13163 16430
"1294_at" 9176 20875 1733 18298 411 2911 20979 21298
"1316_at" 3996 1166 1569 2521 22133 21381 19810 11959
"1320_at" 7975 4248 6233 12870 534 369 15057 13846
"1405_i_at" 18654 14706 14085 6961 2320 4822 14865 18346
"1431_at" 20927 9913 2794 1959 20478 1661 21746 10161
"1438_at" 7979 6058 13179 12028 6239 8329 953 7439
"1487_at" 8005 4178 9036 18148 10090 6490 6816 4867
"1494_f_at" 1320 19274 21213 13518 1045 21077 20175 19329
"1598_g_at" 9516 11903 9365 20271 11098 5437 17548 12108
"160020_at" 14284 5706 21903 18646 8028 14852 8438 21357
"1729_at" 4552 2324 3871 11975 7971 12085 5875 4887
"1773_at" 5731 20369 21169 11597 11555 7497 8991 6498
"177_at" 3098 15077 9726 18281 21764 20809 2689 20887
"179_at" 20881 18672 3166 12163 11516 6521 21692 2062
"1861_at" 14520 20733 2196 21018 9946 12608 2692 9973
"200000_s_at" 20241 11456 3822 17297 11584 5815 4397 10585
"200001_at" 8045 10769 9582 12984 9267 13084 6809 6912
"200002_at" 20344 11574 13516 3133 17909 15046 6223 10503
"200003_s_at" 16230 15199 15823 5226 14337 17217 11041 14059
"200004_at" 11598 8654 9303 9925 18160 9209 8475 7825
"200005_at" 13083 6434 11414 13709 10240 12657 9180 8954
"200006_at" 14009 13344 9546 12040 10813 14616 7487 10330
"200007_at" 14517 11073 8398 15536 9830 14518 2989 10936
"200008_s_at" 4006 11245 20210 15482 6840 9870 17124 4858
"200009_at" 10504 12883 13275 12929 11864 14590 17394 19563
"200010_at" 14650 19311 13428 3119 9606 14294 3232 6548
"200011_s_at" 12043 5640 7357 14630 5974 6709 5491 8200
"200012_x_at" 20943 19660 21425 2505 19543 21110 17286 21161
"200013_at" 14479 13695 13198 9991 14251 17128 8673 11711
"200014_s_at" 10623 12691 7755 13743 19088 12219 15424 7730
"200015_s_at" 9452 11191 4352 11103 9707 10211 7091 7666
