"inst_1" "inst_2" "inst_3" "inst_4" "inst_61" "inst_1694" "inst_1816" "inst_1858" "inst_5068" "inst_5487"
"207269_at" 16556 2564 1575 20674 3379 7850 17466 21080 9009 18909
"207270_x_at" 351 224 54 479 21956 7958 11233 8857 15435 13358
"207271_x_at" 15129 11713 13593 16305 6540 12735 12202 16533 10838 13795
"207272_at" 14333 6806 14372 12100 7589 6338 13175 16972 11858 11821
"207273_at" 13274 7822 10198 14409 9412 8402 15141 12708 11411 14427
"207274_at" 8916 5693 11410 9848 6824 6375 16727 12282 13399 11655
"207275_s_at" 15566 4964 19190 17664 17322 224 7825 1333 18626 1111
"207276_at" 9093 8515 12370 13117 12427 9565 12900 15843 15617 13066
"207277_at" 5088 13978 16359 9642 6184 8847 17899 13093 11159 12685
"207278_s_at" 11789 6119 2029 8516 12594 10818 10597 12896 8425 18025
"207279_s_at" 2468 1607 1093 1278 5525 2962 13670 18007 9003 3351
"207280_at" 20915 17997 20505 18716 2686 11315 16316 13192 13866 11463
"207281_x_at" 9724 721 10095 10254 8440 13162 13457 17806 884 14946
"207282_s_at" 13297 6869 9888 11732 12219 13843 13882 16693 13446 11416
"207283_at" 21973 20913 21646 21764 21714 1116 2864 9454 22267 21822
"207284_s_at" 9822 10670 14183 14740 6403 13247 6522 17948 20242 13142
"207285_x_at" 14832 10236 13402 15803 587 14436 17825 19817 21954 15824
"207286_at" 14321 5871 9207 15440 12931 10433 10445 21776 17556 17826
"207287_at" 676 5933 9770 10130 471 18590 10779 10968 2709 1705
"207288_at" 12312 8740 11601 13388 9642 9757 14268 18286 15984 13888
"207289_at" 4249 12504 7306 9468 17823 8366 18064 18197 12007 2737
"207290_at" 14842 7814 2913 10512 8738 7714 12361 20899 9482 4624
"207291_at" 4877 14014 2289 4316 19700 1166 822 22270 4900 287
"207292_s_at" 14126 9694 13165 14455 9220 14184 4754 14658 20448 2079
"207293_s_at" 14830 10009 6628 11180 13081 7682 13162 14182 14029 1414
"207294_at" 15078 11607 14911 16190 10806 13241 16564 19032 16433 14189
"207295_at" 17143 2431 1107 5995 1221 10564 15801 14465 16208 15118
"207296_at" 13694 6557 12033 7204 17853 8537 10827 12310 21233 14464
"207298_at" 5867 4505 5874 4034 143 9568 12928 16271 12410 11086
"207299_s_at" 14615 7200 11507 15792 6527 8117 10823 17349 15793 551
"207300_s_at" 19632 20593 7526 21962 1292 13263 12204 17608 16542 9992
"207301_at" 12911 11572 14666 16126 11068 14307 10403 19726 11308 3244
"207302_at" 12720 11727 15043 15468 6590 18619 18356 15131 11539 4695
"207303_at" 4214 18306 3624 2406 20829 9159 5932 21486 20141 3749
"207304_at" 12032 8292 11117 12939 13435 5900 2658 10320 21567 11236
"207305_s_at" 6144 16846 15298 8928 19425 5313 20100 3815 8970 4821
"207306_at" 14717 11749 10821 14806 7200 8788 11939 19751 21514 14724
"207307_at" 12272 6590 9071 11300 13631 8944 9957 16344 13998 16106
"207308_at" 2645 3705 11720 3399 11259 14605 11125 18993 2043 17450
"207309_at" 4485 1170 674 786 20919 20461 5574 17100 20917 898
"207310_s_at" 4016 9546 406 8204 8740 10725 16744 19093 796 14738
"207311_at" 10387 1204 13242 14745 6888 12259 18349 12690 16514 21305
"207312_at" 15419 20823 17930 22054 1959 7807 9764 19266 227 12870
"207313_x_at" 17013 1920 7049 378 1734 14323 10020 21022 13440 10754
"207314_x_at" 13518 3467 12081 2685 11449 7626 15884 18109 11561 11499
"207315_at" 12305 2473 9095 9796 19525 13040 10986 17098 14569 3389
"207316_at" 11465 5802 9512 15028 13627 13572 14222 17272 13215 14853
"207317_s_at" 13488 7910 10361 11973 9243 13855 10073 13871 14016 12907
"207318_s_at" 3466 12712 2158 6330 3159 16755 19590 8580 9606 7774
"207319_s_at" 3254 4812 2055 6216 4134 3332 8432 3123 6805 3506
"207320_x_at" 15784 4647 15293 6539 17267 16945 6513 8192 3783 9668
"207321_s_at" 10471 9415 9658 10966 12110 16828 10750 19402 891 9735
"207322_at" 12715 5837 9314 4133 11833 12937 12641 16272 12521 14859
"207323_s_at" 21530 21645 21377 22184 559 12754 11435 17567 14180 16394
"207324_s_at" 4477 11346 15015 16041 13594 10144 9753 17637 15922 10481
"207325_x_at" 15166 11702 14407 16168 11895 13996 17799 14978 14168 15069
"207326_at" 14558 10129 14892 15629 11705 13390 12191 18012 21817 11457
"207327_at" 9840 2231 9252 5363 9149 7637 11 20664 384 11583
"207328_at" 14579 10608 14551 14865 8731 19002 12839 16164 15410 1770
"207329_at" 709 10268 1741 2483 5507 7653 18000 12593 15132 15677
"207330_at" 2124 1060 2319 820 3084 9525 12622 13150 12016 15001
"207331_at" 9398 11125 9616 10379 13332 7109 19287 3262 17204 19587
"207332_s_at" 15585 14687 7628 8767 15836 6109 9170 9734 10106 9813
"207333_at" 14426 2320 14121 9245 7813 7453 17681 13109 16315 16440
"207334_s_at" 13148 8139 10387 14188 12716 13841 14755 8128 3329 14586
"207335_x_at" 18830 21295 18030 9125 6218 16288 8735 10329 19800 6066
"207336_at" 13184 6821 13019 14219 10319 8453 13539 18665 11393 10276
"207337_at" 12247 8719 8693 12279 10669 9056 16402 12831 6927 16215
"207338_s_at" 1046 18708 3937 1746 22009 17756 357 3578 19587 2419
"207339_s_at" 15689 12129 15345 16714 8690 6828 11518 11761 16136 15439
"207341_at" 8910 9110 3966 10167 11091 13457 18190 6635 20583 14848
"207342_at" 13808 11875 14936 16307 13618 12506 16584 16013 11260 15012
"207343_at" 6239 15779 1497 6177 4223 7425 17848 19397 10697 11487
"207344_at" 11472 6400 9882 10442 11750 9575 12980 16597 6142 10464
"207345_at" 5158 1850 3233 5036 4498 8794 20030 20173 10364 15840
"207346_at" 9750 4206 6024 7790 5117 5330 16865 14882 22219 1712
"207347_at" 3690 261 3845 4879 15988 8744 1613 10583 5440 21217
"207348_s_at" 5662 2760 1288 5152 3437 167 13935 3590 19906 13139
"207349_s_at" 9349 6030 14005 10037 7663 8009 16228 14668 15460 8330
"207350_s_at" 16469 12266 18209 19542 7379 19418 690 695 8056 1166
"207351_s_at" 2989 106 1323 194 1957 7128 8242 939 8141 12152
"207352_s_at" 12643 1631 12793 5022 7883 7 17608 2056 15705 22269
"207353_s_at" 9295 59 11716 3336 16003 10282 16822 18158 14673 9977
"207354_at" 14330 10714 4800 11488 21215 8487 12315 13029 13190 11060
"207355_at" 11313 5616 8694 9934 6928 11432 16460 19112 1143 20917
"207356_at" 11903 10480 13426 12535 9560 12330 10101 15874 11277 10469
"207357_s_at" 19146 18818 17121 21641 15107 19877 7803 21633 8027 21148
"207358_x_at" 6343 4711 6421 7127 4711 21286 5667 1300 10587 3899
"207359_at" 21738 14761 21540 21824 10725 13363 15198 12733 1136 13687
"207360_s_at" 13275 7849 11317 13517 9020 9353 17652 51 4074 15555
"207361_at" 9186 5415 9117 5564 10606 7786 12764 15089 13264 2280
"207362_at" 13566 5834 14049 11544 5220 7621 9894 12595 12271 16315
"207363_at" 8790 5803 9321 14027 10320 14858 13591 15112 537 15902
"207364_at" 9486 6886 10455 11992 11142 12063 10366 16418 16292 15223
"207365_x_at" 15993 17989 20783 7269 3016 5429 2815 21422 1847 20117
"207366_at" 5377 1439 4116 8361 1774 2681 18361 21857 18822 20489
"207367_at" 1642 1491 264 2534 4236 12964 14598 13092 15054 13110
"207368_at" 13370 5489 9705 13566 11910 9029 16966 19078 5616 16122
"207369_at" 5412 2013 1319 3977 710 9125 5290 13008 13353 20235
"207370_at" 14073 11609 14774 16298 13040 10873 17107 12542 12268 18785
"207371_at" 9606 10652 12991 15508 9853 11114 9796 14377 13834 13569
"207372_s_at" 10296 11217 10631 16228 12363 13838 16280 20311 307 10163
"207373_at" 12692 8961 9890 13658 9823 8173 13199 17446 15527 13561
"207374_at" 19033 14803 18359 18361 8314 7468 11675 13027 3013 15033
"207375_s_at" 3521 885 20987 3789 19702 17632 2284 14118 3825 19921
"207376_at" 13863 1658 149 13704 21609 12799 13185 14294 11629 15494
"207377_at" 12386 8598 12432 13324 11138 6905 16859 17753 15384 16016
"207378_at" 11515 8568 10980 13340 8678 9638 12856 16297 12453 11789
"207379_at" 2430 1147 7072 12200 9269 7313 10517 11925 22279 10107
"207380_x_at" 1463 2640 21415 20579 15644 6730 16638 21212 12041 312
"207381_at" 11259 9312 10164 9883 12903 7679 17513 19051 12181 10917
"207382_at" 5929 20385 21667 3711 222 10951 9841 15301 13333 17065
"207383_s_at" 10430 5965 4559 12001 10599 13451 16559 18708 10739 15637
"207384_at" 11851 7758 9725 11485 9029 14908 18409 20826 12744 16068
"207385_at" 10547 8551 13023 14198 9119 3171 18538 18566 12868 19018
"207386_at" 1663 3543 1901 12550 14979 9304 13526 21115 9216 4984
"207387_s_at" 13381 11724 11043 12864 13472 4120 979 3867 10009 7801
"207388_s_at" 6257 5075 5345 6673 20400 4143 13632 21154 20519 22261
"207389_at" 1990 1121 798 6002 16273 8198 18346 11724 9204 4422
"207390_s_at" 7784 4223 4221 5243 18467 5023 5281 17811 2867 6574
"207391_s_at" 22161 15099 7929 20239 5151 22139 15 9635 20460 8605
"207392_x_at" 4362 12396 6037 184 3167 11201 13984 14786 2237 203
"207393_at" 11403 11728 386 2061 20883 14085 10352 13470 10953 12212
"207394_at" 1282 2202 2179 799 9048 16684 328 21898 17158 166
"207395_at" 5919 17399 4675 2355 2156 13209 12790 19724 10662 10180
"207396_s_at" 20825 14068 15938 18829 15385 5031 18655 1318 21498 1910
"207397_s_at" 12315 7513 11976 13379 9647 10428 17624 16967 20204 14045
"207398_at" 491 3540 619 1086 2151 6550 14210 15964 12473 11804
"207399_at" 8088 4935 14492 5566 19301 10713 13335 20238 13070 5528
"207400_at" 2010 4675 2633 1684 4998 605 14007 15393 19671 19842
"207401_at" 2536 2553 11661 12814 17353 12223 12170 21023 46 11223
"207402_at" 18538 14289 17909 19194 10897 13146 14469 14252 16467 11159
"207403_at" 14523 2786 437 2974 21995 13130 12001 16914 10738 261
"207404_s_at" 1072 10407 13870 15771 6872 11721 13787 15757 20472 19911
"207405_s_at" 22116 21230 21618 19721 21783 5124 5055 99 7935 16758
"207406_at" 11035 9350 11834 12998 9754 13349 16479 15332 15274 15193
"207407_x_at" 9400 5427 8775 9782 13141 6913 10938 21145 16234 953
"207408_at" 20520 2816 19784 21630 6071 1026 17179 19809 20041 813
"207409_at" 8732 6120 10181 10561 7927 7988 10637 18086 13038 13721
"207410_s_at" 13442 9739 13435 14488 9895 12826 17003 20431 18314 15591
"207412_x_at" 14865 6693 14357 15423 6398 8763 18572 11115 1955 11163
"207413_s_at" 12454 15159 5544 17453 156 8834 12344 18636 12166 9999
"207414_s_at" 7567 15709 6063 21443 21537 3412 10004 4225 15091 19379
"207415_at" 11411 11796 1603 11920 8997 7469 17890 20824 15899 10908
"207416_s_at" 8553 17125 16983 21358 805 2038 18810 4699 22104 21159
"207417_s_at" 7369 5440 9580 6153 15392 6679 1854 2851 6091 12406
"207418_s_at" 13250 10382 13131 13549 9278 11108 16164 15618 15524 13294
"207419_s_at" 10416 6466 8808 15251 8132 13595 6072 6448 5042 1711
"207420_at" 1957 17732 20383 21061 20320 6940 12071 13181 14468 2706
"207421_at" 4472 6782 3903 147 7134 10625 14976 20076 12791 14626
"207422_at" 15070 11519 14680 16040 7000 7877 11755 17829 14950 9962
"207423_s_at" 2661 325 4839 1076 1361 10593 10170 14116 573 160
"207424_at" 14934 6528 10219 16046 13091 10930 17847 19563 18373 21178
"207425_s_at" 3683 3081 2324 20244 19789 18480 13450 21085 2376 2170
"207426_s_at" 259 17055 20000 850 21681 6713 10565 3892 3046 5809
"207427_at" 11488 10191 13746 16205 12108 13525 11906 12147 7729 10992
"207428_x_at" 1519 21881 15575 2366 16818 658 1794 5912 6750 3705
"207429_at" 20517 17118 20041 20818 12794 10573 15248 14421 14610 10891
"207430_s_at" 13491 3256 13271 3981 8079 5670 16208 15844 12116 8267
"207431_s_at" 19950 21656 20052 21306 5231 4752 8666 8893 17746 8280
"207432_at" 9099 1558 8918 10233 1330 13713 12462 15471 11027 11610
"207433_at" 20778 17042 6931 21026 19897 13253 15304 19806 16085 11506
"207434_s_at" 14370 9119 11664 12873 9305 10928 10312 19309 16104 94
"207435_s_at" 3019 13078 5839 4740 4701 202 79 11916 2463 7990
"207436_x_at" 3728 3594 3673 17680 17780 20270 18963 21984 2059 2463
"207437_at" 10095 8291 10973 12940 11094 11473 10680 17892 6870 10157
"207438_s_at" 4134 16172 15390 8381 18451 22148 8060 8405 17399 7536
"207439_s_at" 21928 12175 3257 21363 606 18921 81 15792 3215 20584
"207440_at" 11479 3189 12953 12265 10155 10639 8716 21689 20473 20318
"207441_at" 11181 7816 11484 14841 8822 7874 12715 13510 14210 15638
"207442_at" 9351 6538 11240 12193 9310 11652 13296 17239 12415 10223
"207443_at" 11610 5651 11396 11259 12301 6971 17923 14200 12223 10372
"207444_at" 11350 6006 10861 14114 10872 9630 13545 19429 13662 15082
"207445_s_at" 3431 2383 4719 1014 14870 8185 14688 14836 16432 19892
"207446_at" 4430 1989 4086 19732 2334 10867 10729 18438 11806 15725
"207447_s_at" 13293 9530 12889 15621 8428 8022 18368 20869 16194 13021
"207448_at" 12306 8682 10964 13356 11914 11600 10124 19875 13713 10837
"207449_s_at" 47 896 212 244 10394 14025 337 19116 11119 10979
"207450_s_at" 11327 8781 9476 13000 8478 13257 15896 18100 2538 10764
"207451_at" 13537 11397 13732 15405 6920 13635 16060 13461 13893 14354
"207452_s_at" 14716 9715 11002 15259 7112 11231 16896 19385 15816 13565
"207453_s_at" 11767 8723 10579 11118 11374 10042 10013 19169 22023 13677
"207454_at" 13056 10853 9936 13626 12728 12955 10167 19416 11455 1553
"207455_at" 15252 10257 2907 14523 14226 7543 16803 12212 14484 17648
"207456_at" 14186 9229 9061 15299 12986 9345 14171 12268 11135 11375
"207457_s_at" 19227 1667 18597 19761 21908 6579 14740 12985 10682 10016
"207458_at" 1774 645 893 1435 2070 18636 5126 18812 1250 7690
"207459_x_at" 2583 803 25 14067 20748 14088 12068 12267 15541 14197
"207460_at" 11037 11598 7069 15146 12314 10681 16829 15904 14236 12362
"207461_at" 9033 5259 12214 13096 7141 6327 13005 14550 16198 16069
"207462_at" 1443 71 5312 18382 669 13644 16624 14622 14540 14020
"207463_x_at" 7520 13331 17042 22218 17626 14239 3774 13019 18224 10039
"207464_at" 1331 1570 6377 19195 20982 2286 14056 22053 1350 12749
"207465_at" 13879 11143 13199 10904 12796 6354 9653 20916 15525 11030
"207466_at" 18565 2104 1343 4952 21607 9242 14576 15782 319 18911
"207467_x_at" 6684 21778 17743 9091 13800 16908 5252 5655 9506 4863
"207468_s_at" 9865 7019 13325 14365 7169 11860 15191 19469 17371 11966
"207469_s_at" 5574 21611 20761 4911 20698 3443 21075 8738 19031 9014
"207470_at" 12746 5475 8973 10119 9456 13897 12205 19001 15302 15003
"207471_at" 10956 8172 13494 10826 13552 12325 18037 18319 11825 11753
"207472_at" 13244 11532 14850 16095 6438 12327 9668 17589 12991 15519
"207473_at" 2996 2175 5216 20231 17529 8760 16114 13506 14425 15458
"207474_at" 11809 11232 14912 15877 12606 7381 1144 22197 3039 16164
"207475_at" 14112 7302 14302 15459 6425 10561 10087 13667 11259 12607
"207476_at" 9036 10497 13517 15250 6957 6804 9927 17900 16525 16317
"207477_at" 9053 5459 2820 14041 16476 13842 18128 21090 14550 11905
"207478_at" 18931 4092 20347 20005 9012 10197 14089 15076 16273 1784
"207479_at" 12428 8461 11108 9982 7126 8099 15306 13382 15397 13341
"207480_s_at" 6768 16519 19661 19381 5725 21599 9008 1262 16795 21232
"207481_at" 14053 11527 15009 15679 13077 6864 16585 12249 16077 12894
"207482_at" 8345 17063 16966 7600 21276 13937 15967 14107 7072 16047
"207483_s_at" 5599 16601 18343 16610 14423 15946 6368 6469 18059 7300
"207484_s_at" 21464 18149 22215 22238 5025 2446 3245 4923 6180 2729
"207485_x_at" 10884 6937 9250 11753 8741 13136 16213 1267 15419 13170
"207486_x_at" 22111 2177 21490 21158 19607 11647 15103 15715 16893 15276
"207487_at" 14726 11167 14585 15833 6613 11041 14260 14974 4199 5810
"207488_at" 11804 7431 11097 12361 7840 14823 16342 21267 11497 2330
"207489_at" 12831 8007 10876 13801 13526 12158 9938 14555 11090 12975
"207490_at" 1055 4264 3024 3111 17125 8 1505 1089 20159 20174
"207491_at" 22178 21775 21832 19921 539 12900 17900 20685 7902 1212
"207492_at" 17464 22114 8093 17353 11397 21274 5944 7189 9971 4886
"207493_x_at" 13726 6864 9884 10651 11933 3184 10814 19693 14178 14170
"207494_s_at" 10799 7853 11899 13662 11264 7860 7222 15005 553 6202
"207495_at" 13594 9346 11569 11531 8871 21 15017 4900 526 22160
"207496_at" 11589 10879 5508 14179 13730 12667 11506 20668 14222 11258
"207497_s_at" 20483 20255 18046 19607 18272 13749 17732 18768 14642 13841
"207498_s_at" 5522 776 1544 15182 3074 14879 10214 11897 735 16680
"207499_x_at" 19067 20857 21969 21897 17462 3050 22175 10146 16707 874
"207500_at" 9283 5653 9755 10741 6680 6677 15154 20386 7562 20053
"207501_s_at" 2892 3038 4290 4406 281 11419 15359 19514 14649 16826
"207502_at" 12043 8239 12143 12960 11117 13157 15802 20339 16002 16323
"207503_at" 15806 16964 577 8103 20617 11025 12199 19991 1176 19401
"207504_at" 20402 3856 2376 2247 1094 13018 13064 18150 13223 13545
"207505_at" 21127 11999 21212 22215 2977 14854 17951 13706 179 16399
"207506_at" 19969 19536 3076 8305 4172 16237 13847 17230 5201 487
"207507_s_at" 16124 20023 17716 18634 2825 4875 6721 10024 17497 6305
"207508_at" 7457 20345 17620 16502 20777 17795 18660 10804 10048 7760
"207509_s_at" 21482 22105 19840 7858 149 8895 17767 22178 7214 352
"207510_at" 4024 378 2147 5027 18091 10701 11433 13787 18463 330
"207511_s_at" 392 7475 757 865 9545 22261 1109 205 2613 18198
"207513_s_at" 2723 21429 3869 6794 18454 20749 20586 889 6154 19909
"207514_s_at" 10910 7939 10587 11785 11573 12280 16773 14149 10794 13236
"207515_s_at" 2101 15168 8034 6230 2823 3952 9601 540 8670 21824
"207516_at" 1594 8786 15031 14845 16483 11907 11547 12855 14565 13219
"207517_at" 10898 7427 14498 16182 13599 9174 7907 20912 18607 17067
"207518_at" 13133 10566 14150 13708 7629 20458 17553 17975 17043 20875
"207519_at" 4387 241 13060 65 749 14382 9895 15598 12931 13511
"207520_at" 13408 9118 12638 13795 9280 11530 11193 10356 20332 10674
"207521_s_at" 18885 14635 18228 19452 11123 3649 13516 21567 14573 12369
"207522_s_at" 437 4580 864 124 21427 19720 9961 1208 12015 3413
"207523_at" 15036 10890 14800 14775 6954 7782 4725 13597 1299 3742
"207524_at" 1056 2052 1119 1251 15907 1987 9028 11146 5454 22084
"207525_s_at" 20318 18147 2995 17273 16212 15916 5154 22174 3537 9185
"207526_s_at" 19415 15313 12312 2536 16484 13186 5744 14061 3732 11250
"207527_at" 1861 1545 972 4757 13120 4252 12916 20213 11114 10178
"207528_s_at" 7237 4715 3639 6419 16293 11934 14631 3707 22163 18081
"207529_at" 7640 2868 19666 19852 21494 13200 10064 6481 14583 8153
"207530_s_at" 9962 5258 8851 13190 9872 9493 13032 15952 15405 14551
"207531_at" 8512 6539 12726 15747 11473 8805 17438 13022 3622 610
"207532_at" 8381 5587 13921 10614 17227 10195 17491 21696 15282 1320
"207533_at" 13826 7834 12812 14911 8150 12393 13279 17148 11170 10413
"207534_at" 14147 11643 11230 16212 6778 6449 12629 15823 11093 13975
"207535_s_at" 15473 3735 15696 18184 5840 15407 21832 11195 21510 21809
"207536_s_at" 697 8804 11624 3893 20596 11505 18469 20412 4401 17818
"207537_at" 596 537 1753 16999 20920 12598 11353 18779 12947 14608
"207538_at" 9079 5232 8745 9895 6979 9752 17121 12784 14269 10817
"207539_s_at" 12366 5675 8940 11569 9733 6369 14116 19030 11279 13196
"207540_s_at" 13592 10501 14559 14942 8793 21220 22207 4770 20853 21015
"207541_s_at" 7848 2803 2950 7217 18645 2989 3718 4682 9572 9664
"207542_s_at" 19228 693 1868 907 9574 13578 10495 18195 11085 14229
"207543_s_at" 7104 15737 6529 19807 2849 20826 7382 7072 19886 20769
"207544_s_at" 9825 7304 6620 11746 4504 9991 13265 19838 1998 12961
"207545_s_at" 4631 11718 12998 14073 10740 20536 1316 7501 2739 19194
"207546_at" 14974 8988 2917 8351 5796 12038 11305 17521 12178 13704
"207547_s_at" 277 234 15751 17743 20742 14492 10542 18925 10979 14525
"207548_at" 9498 10218 7434 15027 7127 13805 17935 2382 14429 4880
"207549_x_at" 5775 14234 6483 8194 15576 2654 21082 6228 19121 19374
"207550_at" 11359 11329 13888 11513 12233 11261 10457 18315 7062 21814
"207551_s_at" 3193 1324 2830 2004 14576 4429 8773 2862 10430 17909
"207552_at" 10298 1779 931 1160 21219 13940 15505 20809 14945 12491
"207553_at" 20191 15746 21489 6793 757 14327 10528 20206 16225 17274
"207554_x_at" 2963 1842 2779 8764 2214 7745 20864 12569 21509 21973
"207555_s_at" 14958 350 13854 4408 19748 10612 16835 16778 10626 14786
"207556_s_at" 960 16297 1780 2798 19021 5778 8305 6715 3161 18444
"207557_s_at" 14293 9886 8293 15399 13860 9273 15195 13509 10784 12350
"207558_s_at" 14873 6087 10159 10633 7378 5660 13875 14134 15755 21993
"207559_s_at" 3687 3891 2984 20875 2568 1964 1529 6218 911 8172
"207560_at" 18838 12899 18564 19928 13808 7035 17029 20051 11733 10626
"207561_s_at" 2486 9102 2918 12721 1288 8778 14334 13520 20115 21681
"207562_at" 12849 7986 14364 14519 8468 6708 10048 16332 12235 10712
"207563_s_at" 2567 15843 18252 19467 2612 1405 3713 10995 6439 21651
"207564_x_at" 214 2506 1043 9330 16148 19955 860 1275 8666 2093
"207565_s_at" 20142 21452 19752 8960 15721 4030 19516 658 2679 18314
"207566_at" 4167 2550 13930 13901 21137 8439 10245 21790 15508 14854
"207567_at" 8939 7016 9167 10243 7106 7460 17246 17265 12281 15921
"207568_at" 4481 2955 7059 2470 15778 14719 12509 20746 2481 208
"207569_at" 15330 18398 17205 21872 14273 9540 10179 20075 15325 14984
"207570_at" 11364 10297 11106 13745 8716 7852 12674 16090 10957 12789
"207571_x_at" 5042 2406 15257 16585 12822 8679 11124 4176 18050 12563
"207572_at" 5015 1108 930 1503 13190 7526 12262 19092 13062 8861
"207573_x_at" 19464 18385 20205 6381 16152 18023 6483 10319 16738 8617
"207574_s_at" 21909 22094 17836 8892 1184 16162 2063 10277 7583 6834
"207575_at" 5100 11723 809 16341 6374 9104 13788 13020 13561 10593
"207576_x_at" 1412 2371 19608 20536 9255 8976 17661 17242 13345 14410
"207577_at" 20842 13938 824 21091 19646 12924 9711 15514 12129 14518
"207578_s_at" 7496 4290 7 2 12081 678 11109 11576 237 21360
"207579_at" 9581 6396 14864 14919 6913 13639 10237 12624 11526 13138
"207580_at" 13987 10728 12606 11262 12552 11328 14787 12448 11315 12552
"207581_s_at" 11242 6137 10796 10786 14819 12392 10068 20563 5753 10177
"207582_at" 9872 5380 10766 10387 6515 10689 13538 19304 913 20504
"207583_at" 9474 10015 10506 10990 10352 8060 14318 14945 11409 11418
"207584_at" 8927 8950 11320 9951 11075 8833 11845 17099 12655 16474
"207585_s_at" 15396 18166 18106 8453 17812 16164 4256 5738 18227 6380
"207586_at" 21280 18801 20963 21305 11316 13544 14450 19017 15697 14563
"207587_at" 11561 10455 4806 7938 15807 13014 12607 16479 10700 14628
"207588_at" 9087 6066 9213 11355 10033 11174 10451 18279 10896 11746
"207589_at" 11057 7227 8971 12393 8669 6696 10178 13808 13794 14050
"207590_s_at" 991 2670 2542 8846 800 4279 5670 1958 19780 6712
"207591_s_at" 6308 3203 2566 1550 6629 8562 849 14054 2259 17581
"207592_s_at" 1790 21913 8453 21749 691 14390 13236 17985 15404 10538
"207593_at" 21038 4126 17600 21916 2758 12770 10803 18830 15281 2559
"207594_s_at" 449 2265 190 4306 20977 275 16461 4146 22125 2911
"207595_s_at" 22055 14840 20462 7108 19927 17377 2755 6363 457 368
"207596_at" 9730 6299 5918 10503 20477 12790 15206 16809 13206 2977
"207597_at" 11653 1017 5141 9240 19697 8059 12089 12915 13786 11569
"207598_x_at" 15610 3247 3649 19217 20700 1644 21782 22087 9700 888
"207599_at" 8635 8671 9032 9777 9930 7122 16024 12910 12874 11460
"207600_at" 19261 22121 21858 21902 19297 7131 13439 12348 10845 15964
"207601_at" 20659 14336 17695 21723 164 113 12305 19972 335 20152
"207602_at" 21811 3438 3717 8143 18667 9114 11588 17949 1772 12535
"207603_at" 21600 19675 21380 21707 7768 13183 10152 12626 18372 12915
"207604_s_at" 16285 20165 3393 1722 4968 15239 22097 9339 2454 727
"207605_x_at" 5314 18989 18088 17915 21181 2512 22074 21354 9900 19454
"207606_s_at" 4772 21395 1810 3845 19924 18776 19187 10991 6918 5494
"207607_at" 12210 8716 12362 12992 9810 13574 12886 15869 12495 11456
"207608_x_at" 21535 19661 7587 18190 4734 1755 9004 22130 21914 17980
"207609_s_at" 12789 5457 12633 14230 12290 7905 14566 12492 12827 13605
"207610_s_at" 14551 10035 11562 16119 7678 6893 7464 9371 20938 11018
"207611_at" 20476 15517 2974 20788 12948 11223 15516 17759 14976 15204
"207612_at" 12013 8287 11984 11958 13229 12036 16087 13494 606 4201
"207613_s_at" 11522 5445 12610 12751 6448 12951 17033 19742 16318 14947
"207614_s_at" 5050 19571 19381 18641 16090 18441 2975 5418 4884 2236
"207615_s_at" 13220 11368 2774 14108 8230 12243 13587 17855 12472 7972
"207616_s_at" 15448 14070 17284 8789 15797 1550 8102 7233 19193 19081
"207617_at" 13506 11737 14981 14691 13414 568 15270 15269 7176 4378
"207618_s_at" 6009 17096 6947 18693 15511 15130 9185 10336 17547 17850
"207619_at" 8691 5226 11795 13062 12455 9663 16385 15255 286 14753
"207620_s_at" 6162 2478 4446 4244 19019 805 488 21862 2527 6468
"207621_s_at" 21967 14513 3426 4348 16920 5922 3205 21359 18689 6441
"207622_s_at" 3206 13794 2863 9301 14311 2817 19137 5579 7475 1657
"207623_at" 13030 8513 9460 12368 7784 12484 21414 3535 2725 16467
"207624_s_at" 15020 11767 3660 14288 2774 118 21922 11695 5242 1022
"207625_s_at" 37 42 184 16864 19540 564 8510 4590 9283 7343
"207626_s_at" 14475 7730 1040 12565 9030 7909 17596 10771 13741 14289
"207627_s_at" 14227 11018 13966 11479 10518 9777 5898 3996 594 11932
"207628_s_at" 18221 18822 16320 9219 16510 5104 7666 5919 17084 6184
"207629_s_at" 716 2615 3069 1346 2270 8038 21028 9990 20268 2114
"207630_s_at" 2748 14035 7213 6653 4493 3306 2976 8899 18543 7045
"207631_at" 13849 8874 9437 10136 8057 6373 10851 20788 13525 6235
"207632_at" 9550 10071 9761 10145 13007 9557 14641 14402 10922 12098
"207633_s_at" 825 8930 992 13574 4184 7329 9809 12659 12044 12900
"207634_at" 11066 814 678 351 1513 12096 14829 19851 12262 15509
"207635_s_at" 14598 11809 14974 16197 9468 14069 17103 13588 15966 15261
"207636_at" 131 260 1153 527 17494 8017 18604 4393 167 21203
"207637_at" 9868 6989 11549 12577 11460 6339 15659 17062 13427 14073
"207638_at" 14032 9912 14328 15514 7604 8013 15847 20646 15351 10645
"207639_at" 12912 6840 9011 14275 11230 14151 12161 18429 11969 10731
"207640_x_at" 11331 9864 10553 14604 10085 7274 18312 14336 13960 13297
"207641_at" 6715 1382 21638 21844 14973 10140 18327 17340 5984 828
"207642_at" 3609 682 4805 473 887 6627 14391 13462 11063 3499
"207643_s_at" 21771 16980 3124 3448 17564 16031 9279 9834 2026 5901
"207644_at" 21685 17176 21480 21780 6367 6934 15500 21276 12658 14054
