"inst_1" "inst_2" "inst_3" "inst_4" "inst_61" "inst_1694" "inst_1816" "inst_1858" "inst_5068" "inst_5487"
"200061_s_at" 7429 16189 17932 9504 14585 15517 20730 21748 12523 18238
"200062_s_at" 5966 4330 15509 17298 4597 15473 19834 21722 12426 17755
"200063_s_at" 19956 16856 18713 19419 16515 4525 20344 12132 16605 21294
"200064_at" 16974 16451 16691 8373 15510 4652 19251 8562 6547 6897
"200065_s_at" 6893 18504 4179 8114 1955 5447 19919 9526 7652 9167
"200066_at" 20206 18973 5953 16463 14730 2367 4936 6211 9729 6364
"200067_x_at" 16277 13527 16090 7240 2268 18987 4312 9301 17004 8631
"200068_s_at" 19445 11936 16183 16945 15706 17097 5556 10144 6824 17083
"200069_at" 20431 21918 16083 8583 22071 20615 1610 5048 7588 6015
"200070_at" 17382 19283 18092 9417 5165 18751 6367 7489 4246 20022
"200071_at" 8136 21569 17033 3176 19045 5903 6573 1113 8559 8990
"200072_s_at" 17839 16912 19645 5877 19587 5610 3979 6584 3850 3623
"200073_s_at" 17040 22181 19362 17569 15669 5981 3876 6787 17904 7960
"200074_s_at" 8291 16329 19110 17889 4397 5988 8025 11990 18780 8834
"200075_s_at" 18823 20558 16355 7134 18827 4857 18774 4672 16732 3008
"200076_s_at" 18719 3694 5724 8503 17892 2343 19156 4739 3484 9020
"200077_s_at" 16092 14345 17283 7673 6116 4895 9108 11879 18044 6946
"200078_s_at" 16011 13235 6541 6565 14503 16388 4531 5679 7006 9684
"200079_s_at" 8474 16838 15052 9291 14794 19686 7687 11019 5577 5468
"200080_s_at" 16252 21378 19947 7751 17499 16134 9527 11346 8742 17175
"200081_s_at" 15611 15345 7410 8975 3602 4999 7372 11566 10484 18129
"200082_s_at" 6857 15606 16976 17631 4739 16593 9534 21641 19763 7841
"200083_at" 16484 4045 19756 17906 4769 4949 2717 2768 6284 18477
"200084_at" 19354 20148 8498 4829 6321 19038 6343 6760 7350 9320
"200085_s_at" 18678 16866 19036 7089 16740 5979 6671 10883 7149 7709
"200086_s_at" 7486 12114 15284 8242 14141 15691 20142 8850 18192 9525
"200087_s_at" 15503 19846 5558 4537 18243 18408 6735 8636 7604 3513
"200088_x_at" 8166 15045 16314 9596 14958 15434 20540 21792 10431 18179
"200089_s_at" 17020 18737 16579 16450 16016 5255 8781 21348 18022 17153
"200090_at" 17279 16992 19351 17348 14574 18484 9133 11100 9962 19521
"200091_s_at" 8069 15316 17747 6607 4591 5187 7000 11755 21290 5899
"200092_s_at" 16353 16203 18730 9183 14635 5452 19213 21384 5960 9809
"200093_s_at" 16516 16760 19053 9648 14814 4201 19283 2467 17351 7888
"200094_s_at" 16949 17335 8361 16609 4085 3042 6325 11619 8534 5776
"200095_x_at" 15348 4557 6499 4238 14511 5834 7396 21572 12631 9889
"200096_s_at" 7438 19738 16445 4891 15851 5510 7007 1994 20227 4107
"200097_s_at" 7694 21081 18241 8935 17613 15739 2290 6255 6914 6558
"200098_s_at" 18014 13807 6909 16540 18733 17501 6745 4785 8045 8590
"200099_s_at" 8482 17551 16972 18009 13815 5857 8989 21778 18391 8175
"200593_s_at" 17806 14964 15441 19235 19180 5242 5104 7307 5180 5879
"200594_x_at" 6434 16079 8245 6644 16732 17818 4944 10996 5293 8771
"200595_s_at" 19185 22060 19216 19056 16679 19255 2452 1790 5591 5540
"200596_s_at" 17873 20601 19830 5397 1769 1394 8026 5957 5701 3542
"200597_at" 19017 16720 18379 6913 19569 16480 18785 3630 3589 17200
"200598_s_at" 2827 19578 3794 17905 16801 5155 21008 5654 20142 6442
"200599_s_at" 6882 21852 20388 5075 17248 17028 2233 8378 7132 5583
"200600_at" 8924 5635 12100 15021 6750 13562 18693 8949 6601 10844
"200601_at" 8369 15467 4841 7010 19181 1195 3489 18 6498 16861
"200602_at" 2930 12466 2043 3425 14520 15002 8351 92 19174 3987
"200603_at" 16970 21609 19290 6987 16308 20382 2133 8358 7443 4846
"200604_s_at" 19383 14305 6197 16726 15138 5997 1942 2736 4678 18658
"200605_s_at" 19020 19921 19309 7968 14223 2853 8871 2419 20716 8012
"200606_at" 15644 18838 15727 4821 16830 5179 5954 13773 9843 21188
"200607_s_at" 8448 14479 15443 21196 15564 3093 19848 5502 19337 6736
"200608_s_at" 18699 21063 21324 17612 5300 5276 5866 4218 9973 9145
"200609_s_at" 16401 18562 19104 8542 6023 15275 6340 6150 6363 4178
"200610_s_at" 16423 17685 18624 5318 14700 3941 20045 8395 9140 17082
"200611_s_at" 8124 15343 6362 7863 18175 6245 6148 5859 3751 5069
"200612_s_at" 6630 2914 16040 4296 14160 339 603 1242 19821 21529
"200613_at" 16282 14589 6868 18481 14501 4064 5149 9920 9352 3087
"200614_at" 16210 12440 8471 9694 17559 17153 3379 8919 8900 8017
"200615_s_at" 2402 635 663 673 16439 5422 5650 5949 9748 17783
"200616_s_at" 4595 16639 19517 21171 13894 15624 20691 11060 17092 5931
"200617_at" 15592 4829 6503 6820 15659 15269 8515 3943 4707 6408
"200618_at" 7774 17121 15680 7178 5811 18804 5730 6981 8984 5542
"200619_at" 5488 13532 17427 9226 15959 16314 9533 5668 5389 7004
"200620_at" 8096 12855 4915 17301 6215 3824 6084 9340 17622 3307
"200621_at" 5198 4469 16235 5546 4079 16907 8155 3960 7971 7982
"200622_x_at" 5283 4049 4859 16940 4610 5809 18928 3759 4692 8786
"200623_s_at" 17513 14512 15223 19747 13899 16434 2211 8917 20905 18924
"200624_s_at" 17456 12772 18349 7825 15539 1937 2484 2553 6635 19267
"200625_s_at" 6043 15318 7561 4286 4419 16081 1783 9604 20059 5939
"200626_s_at" 19907 16454 17520 7872 16519 16514 93 6321 6481 4562
"200627_at" 6488 14804 15796 7682 14566 6035 8903 10386 18470 4488
"200628_s_at" 5842 12074 6157 17623 14577 1141 1785 2313 19987 8312
"200629_at" 16329 13224 7521 7619 18076 15887 20571 7859 3521 19428
"200630_x_at" 6404 2454 5156 17242 588 3330 9563 11010 18747 6963
"200631_s_at" 17326 14568 17752 8161 6077 18377 7848 6165 9764 8426
"200632_s_at" 7579 12339 7911 18544 16525 4685 8296 8322 2217 21906
"200633_at" 17537 15085 6375 7996 3877 5570 19565 11783 12522 8273
"200634_at" 6212 2248 4468 5735 16627 16221 7322 8493 17602 3488
"200635_s_at" 8496 14572 7966 17586 4534 16918 8229 14874 19676 3686
"200636_s_at" 21358 14058 21187 17572 15615 21211 7109 15985 7786 17959
"200637_s_at" 2273 3391 3559 6874 6345 19895 19923 16047 1906 4463
"200638_s_at" 8477 18125 17135 7542 5506 4950 18765 5032 17570 9393
"200639_s_at" 21289 18546 18095 20464 948 16566 20005 3883 19640 19756
"200640_at" 17026 14496 20558 17027 14433 4325 7156 8954 6795 7716
"200641_s_at" 3292 12039 7413 7894 3835 1961 3445 5762 19949 8897
"200642_at" 7968 16192 18671 7380 4046 5509 8404 9491 9624 6969
"200643_at" 15437 15849 16068 21743 3142 1692 9509 7681 7483 2843
"200644_at" 17901 19531 19795 20359 14999 16138 7381 8014 19730 8070
"200645_at" 8202 17951 7774 4662 17005 17744 6470 9444 6415 5274
"200646_s_at" 6794 12903 6416 6363 18917 77 6275 21347 1554 266
"200647_x_at" 17003 12622 15160 7284 19137 5813 6247 8508 6755 3983
"200648_s_at" 8285 2443 1367 8329 2677 1900 19945 3285 17470 21120
"200649_at" 17955 16391 7819 20226 6340 3767 2108 11650 8082 8203
"200650_s_at" 16040 16398 17791 9054 5308 16641 19082 12169 12387 7718
"200651_at" 7277 13119 8444 7295 16317 5838 19742 21361 17416 9343
"200652_at" 5975 16095 8279 6903 16115 19048 7241 5416 17251 19342
"200653_s_at" 8541 20555 16380 7679 20102 1458 4642 622 17318 3594
"200654_at" 15496 14584 8409 17003 17476 15930 2444 9840 6017 4182
"200655_s_at" 17226 16187 20527 16426 14443 18834 19312 8032 18344 20742
"200656_s_at" 7328 21048 8472 7244 16144 2035 6207 8001 7302 4686
"200657_at" 6671 11912 7888 6452 15260 16349 5921 10405 8451 18426
"200658_s_at" 17935 18203 17668 18000 17840 4217 4610 2429 9403 8029
"200659_s_at" 17329 15992 15646 4484 19623 3908 5258 7392 4047 2891
"200660_at" 7668 13769 15372 9578 6201 15164 8222 10973 9515 5945
"200661_at" 16700 4066 17344 19791 3108 18325 1038 9736 10309 1151
"200662_s_at" 18492 19553 16971 9692 16918 17743 1706 5826 8093 6221
"200663_at" 7783 15046 8535 9603 15126 18402 8733 3972 18495 8214
"200664_s_at" 17555 14264 6403 8603 19172 2253 3735 9747 19966 5208
