"inst_455" "inst_995" "inst_1053" "inst_1156" "inst_1215" "inst_1286" "inst_1640" "inst_2641" "inst_2675" "inst_4439" "inst_5010" "inst_5212" "inst_5575" "inst_6174" "inst_6664" "inst_6975"
"1007_s_at" 6071 1907 1034 16922 2005 7081 4849 18372 692 2390 2230 889 10430 21565 5586 2095
"1053_at" 15591 21392 18288 16744 20641 2817 5923 16259 20172 20981 19138 21238 16074 19946 19453 19210
"117_at" 14642 7917 13259 18004 22 21765 7667 13177 14996 22 9665 7076 7041 12236 15388 5639
"121_at" 17627 368 18305 95 14561 4908 3464 20359 16695 19663 16307 8050 10593 13738 18824 2588
"1255_g_at" 11442 6524 6599 6312 5234 12755 9939 11659 9795 11549 12116 11096 4925 6442 6398 7009
"1294_at" 21156 10373 3296 15048 1381 7680 10600 15768 19791 8778 19939 5640 10751 17342 1335 2497
"1316_at" 3000 7866 11606 20554 14069 19999 10924 20146 15579 1888 2877 1368 19231 15493 19020 15583
"1320_at" 1946 567 13206 11007 12492 16776 14777 9634 8386 516 15559 9770 13159 5159 950 8616
"1405_i_at" 7972 13058 4107 17923 7010 19312 7566 14141 3683 14494 300 1442 3456 15505 10413 7118
"1431_at" 8864 7969 10092 19749 13991 11073 10766 21256 21523 15651 3413 18347 14697 15782 16376 12333
"1438_at" 5297 15663 5853 10524 8741 10559 3514 20041 6754 5150 20592 21675 21381 851 5056 711
"1487_at" 21076 4046 15770 4185 12933 7516 4484 1450 13263 4068 1492 6251 15310 14239 19492 18458
"1494_f_at" 17621 1704 13748 17976 16440 4978 622 4840 6203 3340 7782 1769 1837 21520 4540 9311
"1598_g_at" 14128 21639 1484 13406 20457 21642 21907 4823 22193 7995 7674 4183 11969 12637 4764 21286
"160020_at" 16495 4736 5466 14958 1428 22020 8361 19146 607 1210 4164 17463 2613 1971 1770 5938
"1729_at" 817 16500 1209 19143 21844 1806 16940 7536 18490 3756 7814 4326 21666 12505 19275 14909
"1773_at" 3680 22055 19455 1521 3430 3295 1037 316 1011 7100 19064 16664 15291 13841 14517 16204
"177_at" 15354 8080 6019 21015 7880 19622 13264 9618 17269 6622 2614 14770 9603 4609 4041 12088
"179_at" 13678 55 6043 1416 14164 21481 18941 3372 1036 20861 19946 16514 11887 20008 13932 17959
"1861_at" 5028 17437 18768 4041 13489 6332 5743 19837 16081 20945 21590 19560 2206 18839 15991 3985
"200000_s_at" 15162 15891 15727 18727 17097 19903 16238 18826 16861 15726 2557 5082 20054 17196 2559 17883
"200001_at" 2662 4997 14904 5016 15012 8151 4561 16778 14270 9149 17472 17471 11643 14923 14019 13388
"200002_at" 20127 16985 14170 5574 13354 6580 19991 16019 5808 16551 18101 16544 10075 14521 11728 13289
"200003_s_at" 13819 9230 1178 5348 4299 19488 5388 14974 7962 11861 7256 6136 2754 6617 7248 3288
"200004_at" 17432 16579 17531 17896 17429 6852 19017 16447 4464 8677 9085 6987 16186 13990 15495 17143
"200005_at" 15225 17784 14426 16459 3108 6498 4704 18683 15519 18601 17496 6912 13082 16961 18048 15140
"200006_at" 15499 15322 14054 16198 14639 6966 16028 6115 13658 10203 17112 16388 12493 15426 11512 15167
"200007_at" 1707 15171 17764 17653 15008 7371 16189 6183 5712 9109 6212 4881 10484 15009 12795 14935
"200008_s_at" 16531 17226 18514 3208 14710 583 2571 15657 5530 21075 22118 18084 12838 2987 19841 17379
"200009_at" 5917 5006 14154 3808 16176 5270 5954 17667 5729 18064 18890 16928 11083 4786 17844 14349
"200010_at" 14392 19279 1962 16202 13583 7404 5648 6862 7963 8549 17473 5911 10194 6619 15267 12854
"200011_s_at" 2110 15629 16642 20566 17148 8135 18317 19638 17689 6938 4649 6545 20432 18153 12373 15709
"200012_x_at" 3055 9100 14396 5305 14905 19139 16765 17235 7929 10117 7984 16146 1791 6581 4654 2442
"200013_at" 4901 16865 1329 5462 13434 19061 17528 4929 5942 8691 17016 6784 9799 11728 5716 14961
"200014_s_at" 18551 5595 15164 16428 17704 4620 16206 14876 13729 10256 17120 6873 12055 16224 13416 18496
"200015_s_at" 6245 16809 18923 17280 14342 5481 15384 3145 4273 6976 4203 5018 16849 14356 12040 19029
"200016_x_at" 5140 15011 16344 15954 14939 19292 4705 14771 7907 8554 7751 7642 9072 6551 5759 13333
"200017_at" 15311 9177 2839 16903 13869 18993 16195 6521 8050 11951 11531 10761 4773 6720 5441 13803
"200018_at" 14848 16109 15759 16698 13865 9169 17413 16357 8042 11942 7402 4767 4761 6713 4793 14171
"200019_s_at" 18326 5119 2471 18348 14114 19560 15832 15404 8013 10029 4105 3465 10815 6686 3424 13769
"200020_at" 16057 20323 19160 20033 18680 1598 3203 16412 5576 19166 18208 18145 17467 17693 19348 18454
"200021_at" 5644 16249 1354 17840 2437 7634 18443 7651 8139 12039 15754 17079 4904 6822 7398 3192
"200022_at" 16440 5815 14241 5197 4013 19307 16268 16272 7977 16245 16458 16034 9227 6633 3333 3463
"200023_s_at" 15807 15709 2521 4904 13476 7758 16651 17085 12937 9854 6518 4819 15722 14068 5126 14954
"200024_at" 4418 5500 1986 4715 4468 8995 3675 7053 8015 17117 8619 16238 10310 6689 3864 13874
"200025_s_at" 17526 15952 1917 17693 15274 8594 19311 5967 8040 16999 8030 7206 9851 6712 11405 13483
"200026_at" 2726 4567 14090 16110 4777 20034 16781 7203 8143 12045 4601 16718 4912 6825 3930 12859
"200027_at" 17338 16563 16012 4756 13496 8554 16399 5942 13297 8634 6171 4650 14282 16726 5733 15808
"200028_s_at" 5873 20368 20297 16179 20739 6816 17650 18331 14845 19983 17684 19856 19578 17484 13965 18846
"200029_at" 16568 5099 1307 16101 3331 9214 5344 15006 8003 17514 17215 17370 9599 6671 4965 3390
"200030_s_at" 5822 15032 2333 16619 15259 5695 15280 16936 13937 17764 8724 7044 10495 15140 12195 13554
"200031_s_at" 15853 9130 2509 4252 3414 19728 16784 6051 8033 11936 8845 6832 4752 6707 7306 13329
"200032_s_at" 14522 9377 14339 4770 3711 19757 15377 14825 8053 11953 16185 15956 4776 6724 4345 3127
"200033_at" 5880 17115 17044 17466 13464 4772 15843 15547 3910 9264 7484 5586 12936 12685 14676 15923
"200034_s_at" 14569 15506 16477 15124 3944 8494 6106 7682 4810 9392 16477 7472 2788 4674 12077 15036
"200035_at" 15231 17263 1973 20791 868 21050 20933 6639 17772 4460 982 1685 15788 15944 3521 19240
"200036_s_at" 16611 5546 2416 16122 14046 8379 4460 6034 12816 17096 16016 6571 11319 6610 4643 13135
"200037_s_at" 4959 17919 15335 16875 15417 3666 3390 15637 6451 16627 7258 5425 12052 15654 14540 15555
"200038_s_at" 14932 15246 1255 16740 3633 20244 5563 7194 8122 16172 15935 7418 9230 6797 12161 13029
"200039_s_at" 3859 16712 16232 20006 13133 7335 17571 6577 14443 17517 6174 6317 12703 16263 5057 15581
"200040_at" 16056 15267 16188 19982 17505 6922 17800 15870 15518 16074 7786 6048 15810 18416 15641 17822
"200041_s_at" 15810 16484 15717 18128 17575 8472 5499 7351 14114 16119 7728 15455 14489 12946 13180 16858
"200042_at" 18402 6021 17686 18758 16725 5338 18781 4725 6234 9478 9061 18070 15350 17407 17385 14654
"200043_at" 15478 20049 18124 20368 17141 7140 18098 6247 17553 19730 16642 4909 12361 19699 5652 18302
"200044_at" 16919 18036 17189 18530 19841 6528 5791 16033 13050 16243 7525 15415 14322 17133 15150 14339
"200045_at" 6055 15275 17262 18159 14862 8912 19006 16715 16170 16355 17784 16726 16531 18639 17140 13966
"200046_at" 4762 19917 14590 16251 18939 1133 4167 16698 2516 9719 5287 4765 13248 17119 14751 14826
"200047_s_at" 4948 4000 14575 21392 16967 3018 2840 6227 6170 9445 8082 4428 12577 17305 15542 3906
"200048_s_at" 16520 15392 15432 4780 16248 7965 5579 5629 4840 9408 8591 5133 12490 14500 12899 14855
"200049_at" 2949 21786 16942 4821 20902 7179 16216 18502 15324 17749 6047 8154 18270 5036 19526 1639
"200050_at" 19358 16480 21596 3288 17461 2749 3796 16257 5006 9417 16516 6608 13489 12743 13115 16388
"200051_at" 17277 15173 18942 17742 16355 20215 15704 3693 17127 8386 16158 18363 10822 16776 14555 17058
"200052_s_at" 19271 18058 14495 16154 15997 2978 5217 6148 12837 17476 20612 15848 11922 17029 17105 17672
"200053_at" 6002 3570 2606 20603 21019 19270 16107 5061 5187 4759 19173 1131 9667 17514 3973 428
"200054_at" 15664 20480 17899 17180 16609 1863 1634 5647 4573 8637 16118 7644 20642 15375 16885 18574
"200055_at" 2016 14941 1836 5634 4606 20432 17227 4866 15960 18211 3898 8297 12554 17065 5155 15108
"200056_s_at" 20764 18806 19327 21693 17788 5514 5835 15105 6353 16452 7727 4011 14516 19415 18460 21439
"200057_s_at" 4707 5979 15112 17255 15402 7323 5750 14955 14439 9827 7161 4685 10532 12677 5610 14631
"200058_s_at" 19859 16650 18240 19263 19226 7895 18567 4807 17382 6031 6477 5610 17001 17690 13146 16684
"200059_s_at" 16021 5387 16325 5025 13008 3302 16973 6275 2737 16258 18375 6435 11267 4683 4347 15726
"200060_s_at" 2091 18901 2574 18651 3112 7933 20095 4129 15634 16674 6628 16804 14880 19190 18934 17711
"200061_s_at" 13676 9309 2298 5702 7825 19442 16933 7451 8031 11935 16353 17286 4749 6705 7305 2892
"200062_s_at" 5915 9167 1821 15135 3609 19927 5779 9834 7951 11843 11358 10543 4615 6604 7240 3251
"200063_s_at" 15541 9265 2559 16201 13656 7878 19169 3720 8079 11976 11594 16680 4810 6752 7338 3831
"200064_at" 2837 16421 1842 4859 15879 6205 16422 6449 3971 8957 20034 7516 12793 13477 15195 14885
"200065_s_at" 4999 15016 15215 4507 14831 7305 4472 7223 4124 8174 17458 5264 13901 12380 4684 13493
"200066_at" 3346 17066 581 19556 15865 3571 3242 6351 16765 7263 18061 7493 11128 12185 20555 15807
"200067_x_at" 16031 4910 2076 18697 15478 4066 5834 6507 6495 9954 6897 4139 12396 14493 15361 13036
"200068_s_at" 18942 15770 2841 5439 13349 5375 17333 18687 4817 7578 3866 4908 11121 11874 11733 3902
"200069_at" 16395 2644 19037 18542 18669 1610 18802 19219 18254 9672 4115 4459 20856 19622 18270 14772
"200070_at" 2550 3307 15050 21499 19854 20513 21047 6958 18668 5799 612 5664 12950 4233 1380 19000
"200071_at" 17612 16697 16202 5342 18606 2537 3141 4459 5445 4711 4796 2861 16760 15852 19004 17788
"200072_s_at" 14029 17616 2158 18983 16690 6088 15985 19869 13262 17726 20463 7560 14711 16914 18828 16360
"200073_s_at" 19544 19181 20659 20261 19560 6357 16130 16928 15638 17081 4617 19664 13602 14912 13633 19490
"200074_s_at" 17816 16220 14534 5156 4216 8099 16069 6333 13127 8134 16400 7166 10462 4647 4455 14082
"200075_s_at" 3361 5534 14429 16960 13183 19909 17259 16950 13833 5543 16944 7471 16768 18072 11174 19745
"200076_s_at" 4018 18130 17732 5556 14390 3628 5599 17908 17558 17296 8675 16266 14503 11235 19068 18085
"200077_s_at" 6268 15081 1978 18325 3830 7099 4434 15282 5539 16323 17075 15526 9253 12712 11776 13950
"200078_s_at" 19204 17438 14715 17892 3683 7973 5102 15622 4514 7177 16012 3087 11516 15847 17429 16456
"200079_s_at" 15932 15635 14949 18635 12860 6254 5902 17796 14170 15771 19054 16708 13412 13612 17608 15787
"200080_s_at" 16659 18957 2092 17841 14869 7726 18411 16073 6287 18886 16310 4009 2687 11709 12828 14955
"200081_s_at" 14070 4914 14776 5247 4744 20379 5118 5402 5825 16516 17450 7615 9307 4564 12493 12846
"200082_s_at" 2849 5893 15356 5732 4349 7982 5704 5878 8071 11969 17688 17336 9979 6740 4897 13073
"200083_at" 14275 17216 14070 17803 19325 19534 1491 17902 2961 6233 8864 5209 15937 13188 12641 13215
"200084_at" 16189 18357 19389 17478 17687 4658 6188 16906 12792 16647 16396 6698 16132 15716 15014 15196
"200085_s_at" 19144 16682 2130 15010 15153 8639 15345 5631 14084 9487 17643 5095 12139 16529 4064 15133
"200086_s_at" 15036 5188 2236 5370 17053 6896 16185 15666 15412 18292 7381 4799 9976 17793 15209 13844
"200087_s_at" 17493 15141 16259 4113 18232 4210 5996 6063 2494 6425 8566 4547 12480 5018 18569 16181
