"inst_2175" "inst_3754" "inst_3835" "inst_3929" "inst_4310" "inst_6030"
"200594_x_at" 3023 11293 7567 12643 11225 11030
"200595_s_at" 15081 17569 2500 13709 16227 14114
"200596_s_at" 15099 15563 19144 16025 3115 12301
"200597_at" 11614 16046 5480 15821 3208 11173
"200598_s_at" 13725 18774 18064 11199 19871 17722
"200599_s_at" 16881 14665 7817 12987 9527 13892
"200600_at" 14235 9488 3348 8391 3005 6825
"200601_at" 11199 14633 7561 16664 10604 13157
"200602_at" 21342 11568 2230 18087 9735 21293
"200603_at" 14166 13172 8907 10759 11930 13144
"200604_s_at" 11899 16840 8398 17152 12155 17740
"200605_s_at" 14931 16410 17556 16574 10915 21521
"200606_at" 4260 15113 7419 3012 14862 18032
"200607_s_at" 14468 20270 21349 15904 20631 16803
"200608_s_at" 13512 12293 16680 11275 9385 14825
"200609_s_at" 11694 14180 7095 11870 13607 18864
"200610_s_at" 16891 12098 3592 11876 11266 12707
"200611_s_at" 15444 18170 16456 16822 13164 15340
"200612_s_at" 20767 21146 21585 21918 19989 10830
"200613_at" 16147 13081 8700 10594 9513 11377
"200614_at" 20485 12080 7668 6370 9488 9438
"200615_s_at" 11294 13245 8113 15525 14732 16417
"200616_s_at" 11914 4013 20519 3305 21681 12802
"200617_at" 12874 12331 4699 15341 10886 12794
"200618_at" 11854 10257 7428 10607 2866 14547
"200619_at" 15039 17521 2450 12045 14653 15557
"200620_at" 4365 10024 15348 12974 10347 16396
"200621_at" 17733 15760 6510 10273 14713 16267
"200622_x_at" 17345 3759 4926 12071 14207 15719
"200623_s_at" 2233 17749 19003 17494 351 9521
"200624_s_at" 17258 21135 6805 16703 9427 16745
"200625_s_at" 13012 2720 3218 3672 2607 11588
"200626_s_at" 17713 12815 2659 4862 11722 13624
"200627_at" 4154 9704 15441 11322 2917 3267
"200628_s_at" 15429 16321 15961 15064 1829 12996
"200629_at" 12835 10383 6338 4335 13790 16293
"200630_x_at" 11891 11277 8834 11790 18916 2990
"200631_s_at" 14373 11127 3774 10791 12913 14311
"200632_s_at" 12933 3958 19379 10625 14077 9008
"200633_at" 13922 5505 10965 6459 10652 5041
"200634_at" 14769 10668 5284 3985 9317 9679
"200635_s_at" 11634 20633 17845 17236 17086 11175
"200636_s_at" 9679 14068 7984 12567 11707 14521
"200637_s_at" 6743 14550 19451 19498 15087 18586
"200638_s_at" 13866 12813 15902 13147 2620 11770
"200639_s_at" 17654 10463 6532 4767 11033 16228
"200640_at" 13410 4042 7309 13089 3264 11027
"200641_s_at" 17330 20366 17728 17636 2879 14449
"200642_at" 14056 11117 7615 12653 9705 12482
"200643_at" 21197 11053 3791 21049 9343 12759
"200644_at" 15228 16180 15668 14638 9773 13133
"200645_at" 16574 12726 5564 12115 16805 14732
"200646_s_at" 17067 21704 21615 13057 202 3191
"200647_x_at" 16177 11289 6530 13426 14297 17430
"200648_s_at" 13651 13876 18271 19561 16957 16836
"200649_at" 2251 2300 16638 2841 1400 12212
"200650_s_at" 6640 5395 5127 6307 4765 3275
"200651_at" 6585 3138 8759 6589 9525 3391
"200652_at" 14229 12386 7952 14578 20298 15163
"200653_s_at" 12380 15589 6119 11682 3043 13502
"200654_at" 12252 10940 6243 11913 2782 12463
"200655_s_at" 15771 13513 3801 4245 12322 10074
"200656_s_at" 11532 9939 19226 11205 10077 13212
"200657_at" 12795 10449 16066 10502 9147 2719
"200658_s_at" 4144 12318 7434 13717 14707 18273
"200659_s_at" 3885 17468 2598 12351 14831 17785
"200660_at" 13703 10007 4723 13005 2058 12308
"200661_at" 17277 2729 8087 17767 10136 14139
"200662_s_at" 15268 9547 3897 13353 12674 14240
"200663_at" 1898 11271 8772 13260 2922 13754
"200664_s_at" 19257 14317 20216 18941 19202 20096
"200665_s_at" 6500 8531 14996 2730 17994 5269
"200666_s_at" 17883 9436 15471 13683 11953 16684
"200667_at" 4408 3395 15128 11090 18389 11141
