"inst_325" "inst_449" "inst_484" "inst_489" "inst_493" "inst_544" "inst_836" "inst_953" "inst_999" "inst_1057" "inst_1160" "inst_1219" "inst_1644" "inst_2679" "inst_4443" "inst_5216" "inst_5579" "inst_5947" "inst_5952" "inst_6178" "inst_6938" "inst_6979"
"207636_at" 19791 19924 2087 1195 19974 5219 4440 7246 12627 13969 4388 6729 6636 9627 17627 8706 20757 1132 11685 17076 12641 2372
"207637_at" 8640 15507 10335 6935 12293 12176 8457 7234 10704 12869 9194 11046 6446 15840 8846 5580 15288 9769 16746 4513 5357 9170
"207638_at" 12833 9783 9410 10379 10630 10458 3802 11881 6114 6998 7685 10332 5153 9437 8397 5232 11186 9835 14561 9316 8672 12268
"207639_at" 12923 13805 13098 9431 15199 13014 10990 13054 12228 15788 14127 11827 12019 18995 12274 12327 11576 10150 20253 5127 9365 13565
"207640_x_at" 10849 15778 11925 9118 12847 16285 8717 6054 893 8716 8087 11830 11739 11141 7698 11979 12327 10028 12911 13492 11305 7399
"207641_at" 16366 19622 8867 22126 9487 19261 12128 13618 5602 17146 17193 7044 6680 1931 1722 12199 16225 15436 7665 1952 13101 135
"207642_at" 9802 21666 4488 7358 8369 12451 6641 6664 7255 14576 14955 12613 10660 21433 3462 6056 14839 11385 16843 5787 9789 6510
"207643_s_at" 1816 3918 6822 16408 6118 2689 2515 14988 1153 3319 15950 1018 4693 3753 5741 5102 18976 2410 3798 11157 3106 17850
"207644_at" 18277 13388 12734 6345 19464 11676 9787 6575 11668 13611 7300 13049 7259 18808 6961 8515 15891 11745 17179 4030 5345 11968
"207645_s_at" 6301 8173 7945 2508 18604 4478 21088 19403 2459 3665 3395 3744 16903 10931 5716 17569 17888 21975 3768 18566 641 532
"207646_s_at" 22177 3901 19532 3572 91 20471 8846 5430 11903 11833 12183 11801 4844 13292 13398 9058 15017 11275 17574 6790 6565 7634
"207647_at" 13507 11171 10157 11458 15445 18052 10605 5126 9690 11862 7503 6657 5932 15251 10617 6657 11744 6850 13131 3545 4917 6462
"207648_at" 16838 1168 22234 382 10967 11151 7617 10267 11169 10105 9336 9859 6352 15234 12288 11441 15306 367 11480 6420 11327 10007
"207649_at" 20168 20751 4083 2497 3149 12843 11240 5466 3572 7935 6766 18224 9831 15890 21049 6363 15950 2318 21098 5678 4361 13189
"207650_x_at" 9059 13937 12176 7800 13101 16039 12072 7199 8845 11686 9474 8761 8874 18412 9570 11398 12419 10498 12843 6156 6164 8589
"207651_at" 12101 13941 10045 9767 12219 14776 8729 8627 11172 10379 13711 9755 12223 19276 12277 6425 14021 1338 13712 1813 7959 12374
"207652_s_at" 8979 13691 11315 11702 10369 12518 7254 5020 5461 10420 11535 8832 9554 16286 8287 6757 13583 7247 13614 5803 8200 9487
"207653_at" 11674 15623 19124 7832 6825 18749 12115 9335 11874 12931 12895 8638 9380 2099 10333 5621 14869 281 13575 17981 5514 12726
"207654_x_at" 14783 15960 17243 16368 6361 2369 20122 19967 16012 5838 6148 18079 14074 12648 14136 20199 7358 13304 12060 12168 15830 17256
"207655_s_at" 15735 13847 5143 7489 14364 12892 3017 4742 10644 16697 7229 11907 1471 14407 12645 1212 3979 1678 14256 8154 12661 5860
"207656_s_at" 14333 13337 10879 11446 14785 17101 6412 11271 6791 10002 11500 5724 11521 16948 11332 5503 11485 10404 15744 6947 7113 8505
"207657_x_at" 18468 4171 7860 20036 5701 6575 2674 16476 3939 3911 16102 16449 3167 11345 3291 4150 7348 11908 10745 16220 14264 14525
"207658_s_at" 17714 14574 11830 9419 12257 10766 11460 10426 6091 9477 4864 54 8865 4653 21058 1401 8602 2133 918 10165 210 20627
"207659_s_at" 12854 11284 5715 7914 6789 13314 10699 6678 5932 14857 11229 2208 12177 429 7044 11933 13779 7562 2954 9617 7417 6393
"207660_at" 19146 20263 109 13425 5222 5889 3538 13970 5193 15216 7335 9604 12379 17032 12240 5728 10850 4248 16555 4220 11900 12479
"207661_s_at" 8506 16334 4699 5734 19990 10833 6450 9439 5667 6389 11316 5679 9342 21837 12659 6242 15410 11161 15500 21780 5659 12017
"207662_at" 7698 15291 19190 5695 15713 18320 8359 6207 13261 16161 7263 8910 13827 19374 10761 9274 321 11806 16302 4757 8746 1626
"207663_x_at" 2127 20414 12686 21794 18069 3067 6872 13344 10138 11751 10398 10240 9573 18027 11537 10462 10827 8504 14805 3495 7369 10359
"207664_at" 12158 15517 12086 8222 12210 14028 12758 2375 9766 9148 1352 4122 5482 6256 10114 8721 983 4755 521 13462 2135 10409
"207665_at" 20659 12837 16108 107 18487 1459 9425 7768 2952 7474 9633 2018 6886 2699 2085 638 702 17995 8225 1105 11281 7549
"207666_x_at" 19265 22163 20337 9147 9242 18367 12154 5441 11487 16628 8105 6852 13415 19786 9040 14325 13213 15257 12121 6387 532 13923
"207667_s_at" 17650 17568 7139 1630 16913 6241 2170 21808 2375 1925 3112 1068 1884 11485 20530 18053 16592 14930 2776 14295 21006 21677
"207668_x_at" 20275 3587 20745 15418 5108 3692 17293 17286 14650 6270 5554 13701 15790 3592 7064 15596 9415 13313 9021 15364 13708 16060
"207669_at" 12001 10381 12727 5511 15369 16366 3296 12008 9125 17242 9870 10911 13289 7931 11010 11916 20524 6551 12677 7662 5880 2120
"207670_at" 14768 2841 606 14210 17801 3319 9576 8799 8227 11978 15802 12864 13100 4512 10018 6785 15366 4184 12586 17590 9303 7000
"207671_s_at" 13754 10922 21835 13930 22129 12921 10528 10526 13102 16634 2256 11463 10126 21447 1405 5521 11475 11756 14009 18096 11175 6551
"207672_at" 10588 12327 13352 9914 13642 18446 5368 9788 7530 7748 15370 6493 13210 1998 5895 8546 11595 11721 15998 9164 4980 5904
"207673_at" 13512 10369 13743 7934 10778 11789 6429 11515 6508 9676 15519 10803 3142 8414 963 6600 330 4395 16676 4279 13967 11324
"207674_at" 11761 13833 12345 7725 14690 1837 5443 7738 9163 10674 60 9050 5099 398 10190 8430 15214 7046 17227 10261 8178 9962
"207675_x_at" 16654 3017 4823 5322 20268 20481 2031 2204 14846 9917 9855 5314 15777 10513 1928 718 17609 2894 640 14740 2710 18117
"207676_at" 7312 1507 19327 18231 20933 11248 8053 580 6625 16732 7850 12009 3237 20965 19351 21149 19452 22069 21416 7215 1346 61
"207677_s_at" 9249 13554 13993 5621 12345 18978 5970 2152 8613 11794 20584 8233 8596 10815 11053 7866 10321 9325 12845 18789 8228 9507
"207678_s_at" 12533 14125 10559 11431 11117 12453 12142 12862 7500 8920 14357 6861 13701 15778 18770 6791 18717 20650 21650 8981 12433 1211
"207679_at" 5488 9703 4700 5499 12826 18366 4429 12216 4547 14960 14253 12264 7029 19204 1531 5805 19433 11003 16480 8185 11375 7142
"207680_x_at" 3457 15825 2312 21214 20707 10364 3096 11771 10321 7663 8962 9779 12294 12939 8930 6539 8198 9216 13580 9506 11763 6063
"207681_at" 11465 10837 18607 11663 14978 19587 5028 7023 10872 10121 21515 11921 6781 19939 8364 10273 13656 15640 13437 14442 4857 8509
"207682_s_at" 14185 9908 13918 8042 12976 16455 11814 10252 11920 7645 11499 10152 10598 18241 11500 5869 12921 16485 16236 3559 10249 8102
"207683_at" 12178 10384 11279 7525 13438 13134 5042 8232 9265 11350 10357 8172 8501 16136 9677 7814 12167 10694 15110 5328 8080 9386
"207684_at" 17776 5364 4612 1659 20531 9324 4373 10150 12349 16348 5625 9185 9662 20431 20903 18083 8829 7260 17143 16931 13106 7647
"207685_at" 11328 12889 10525 9518 13379 14317 4438 7707 6845 11928 11961 8129 8167 15672 10011 7681 14067 7601 14493 4112 7611 8951
"207686_s_at" 2648 22241 19752 8919 390 8883 19783 15422 466 13505 220 18283 15121 2319 18746 22069 2139 21817 7828 12660 12077 17232
"207687_at" 15241 17146 3434 798 5835 351 3509 6973 10174 16394 15465 7828 7179 10153 5907 203 1568 17206 13493 12582 220 7548
"207688_s_at" 1512 1545 15981 4393 20898 21829 19841 710 15198 20725 17575 15554 17523 13339 4857 4113 19697 13806 5814 16223 18438 15810
"207689_at" 380 12496 1898 5220 18247 12797 20228 10883 13081 13313 20274 2009 7194 5830 19313 1145 4734 8872 20998 17010 485 11516
"207690_at" 21807 3287 4495 20896 20667 12478 6856 8234 5141 11216 15015 6087 9261 7944 12704 10805 15480 7656 13878 807 8535 10941
"207691_x_at" 21120 22066 3928 20300 8111 3683 12225 7725 348 16946 2251 6604 6648 5388 12855 15005 4194 20302 18563 13817 3027 1094
"207692_s_at" 21061 4716 5579 14607 21458 1958 2966 7749 5893 15335 14288 7782 9959 5172 6184 8855 12200 11608 4366 8800 7857 12507
"207693_at" 11005 15648 10289 10954 14755 17403 8805 12407 6522 15532 14752 9373 5606 6942 9695 12222 4696 2537 13219 1652 1629 13933
"207694_at" 9909 16564 14870 12866 11873 12285 6704 6044 10922 13674 8383 11933 9247 14359 11905 10718 10254 6568 16644 14290 6112 9913
"207695_s_at" 5964 15613 11613 20809 13347 7030 19868 14522 16557 1428 14200 8324 21929 16881 10058 15914 17826 3740 16822 8754 1612 17414
"207696_at" 10018 12240 13577 5543 12611 17498 11432 6778 10518 9120 8193 5547 13141 14909 10577 12303 14011 17961 14966 3447 9836 6425
"207697_x_at" 9083 9865 13305 7780 11968 12829 6399 7219 7899 15990 8794 10296 10267 5075 10879 10859 14724 7052 15913 10547 9569 11097
"207698_at" 21642 21735 21944 516 21675 7579 5549 6437 4992 11308 3374 6723 10719 18255 11758 10094 12957 11250 13079 8209 7589 11751
"207699_at" 1758 21386 20750 21559 3316 12353 9052 1377 8895 17013 5210 361 1269 20884 260 14565 1999 798 17814 14697 5367 479
"207700_s_at" 3127 4935 8096 13674 6108 3817 14118 17971 3336 5861 16609 19472 2949 1031 4874 14685 2446 14558 2678 17195 2866 5008
"207701_at" 19500 17018 8514 3048 5382 19360 7634 6883 10785 12494 9425 12886 9189 19501 2211 8276 15155 8929 16083 1547 2132 191
"207702_s_at" 10013 12255 13005 8101 12496 14415 9504 5639 5504 11319 9501 9830 8355 17691 8831 9609 10522 10105 14025 5012 10751 9252
"207703_at" 11754 9866 12455 5654 14843 10866 10607 8546 8457 11489 10573 8139 7939 7857 9893 9800 11583 10169 15186 914 8257 9527
"207704_s_at" 12581 14163 3062 11661 9419 866 11117 5732 5740 16665 17233 541 5638 5085 20714 3460 19402 21352 9824 20914 720 12647
"207705_s_at" 20362 6436 6453 20501 19169 21388 12905 18837 15968 5715 12866 17398 3104 11230 15207 20376 17325 4899 21191 2722 22103 2666
"207706_at" 14428 9430 13463 12307 15718 12507 3700 8802 5592 10383 11906 5740 9817 14966 13022 12170 10510 10659 16161 4036 9731 11563
"207707_s_at" 6554 8892 14231 17120 19308 5058 15094 4088 14042 2885 17255 1123 2135 8677 16416 18672 7479 12574 11649 11517 3579 17101
"207708_at" 16335 5830 3052 4595 7397 384 11713 8170 2579 14334 3832 5128 13351 20289 1135 470 566 1601 991 18964 12149 7229
"207709_at" 18136 18162 5794 8519 6312 13309 5307 3492 726 16413 9438 17971 9420 19515 21005 4905 13709 1523 18821 575 4829 7920
"207710_at" 12978 14437 21688 15434 11079 16362 4225 5388 6307 11333 12329 9527 9661 15449 11736 8587 11054 9304 15157 8911 8182 9475
"207711_at" 15146 4441 1851 17324 3908 19748 176 1686 22065 13835 16728 21527 1616 4847 1304 12414 699 3514 4654 12149 2459 793
"207712_at" 19464 10770 14066 4073 11378 12971 17762 3980 19288 17835 8423 12073 1402 21505 10375 21991 20220 11985 6219 5430 13386 1756
"207713_s_at" 17767 9045 4764 16963 8170 2772 21706 14229 14153 15599 3754 370 4700 8048 15421 2920 3344 14737 8650 21503 17916 824
"207714_s_at" 9 6 7 62 9997 11189 24 25 25 18 455 9 27 7 134 206 49 352 19 4 26 25
"207715_at" 19727 15417 1888 9996 10498 10465 5455 8923 6002 12444 8579 7783 4883 8563 10775 6408 12513 10995 16958 6107 7267 10519
"207716_at" 19336 16781 6339 17968 7638 946 8268 6927 7024 15803 4230 12444 3618 6787 9032 6258 3492 20772 13681 2155 490 14047
"207717_s_at" 4300 602 18956 20197 12178 10709 22244 20573 16064 21599 8321 2100 19549 16561 17151 14079 8001 20279 5413 673 16827 15414
"207718_x_at" 19739 18594 14359 19040 20743 7584 6999 11973 8476 10748 14077 11899 12561 18325 12784 7438 14119 10577 19629 995 11554 7886
"207719_x_at" 754 2817 9381 15125 4088 4716 19900 1920 21006 2478 6426 19641 15281 3030 5090 3160 1066 12257 3527 19209 13988 14783
"207720_at" 10693 14344 9626 7468 13260 10407 6223 12355 5220 12036 9487 7881 6702 16873 11258 7631 11719 10011 15488 6699 7473 8815
"207721_x_at" 18301 16675 1414 3284 21340 4500 14929 16540 4510 3632 6555 4264 2835 11498 4988 19203 7749 4937 9628 14597 14178 4979
"207722_s_at" 49 959 22078 12566 21140 8501 16465 4322 16238 21320 20899 13803 15414 3252 16989 1889 4865 22121 7819 11484 2833 1683
"207723_s_at" 13000 15102 9457 12107 14100 12521 5779 11352 7967 10980 7472 836 7633 16738 12067 9670 15349 7058 16796 7250 8078 11099
"207724_s_at" 16947 17113 16821 14728 1860 3995 16602 19517 4227 3766 21403 604 4491 2045 21073 4756 3207 15678 20823 14385 13213 18032
"207725_at" 19930 19202 2608 7535 21848 11323 8061 10519 13377 16716 8736 7032 6791 14795 10428 16052 5677 5792 14321 9204 11587 12503
"207726_at" 9749 10702 12087 9876 10653 11130 10518 11839 11408 13613 14297 5490 7951 16546 9141 5405 10862 11414 16653 6482 7512 10605
"207727_s_at" 2738 1931 7318 406 19275 5026 15020 21967 17975 19386 16717 901 21476 13841 7090 22038 21321 17685 20272 18085 16920 4990
"207728_at" 8656 17270 20500 6525 20153 10643 12224 4802 908 15994 12233 7195 576 2990 21679 1748 20246 2452 11531 1541 9340 13698
"207729_at" 15300 19843 7787 10081 1897 17173 7721 5235 11086 13599 10604 9837 10451 14410 11699 7399 15118 15656 16570 3732 8237 9514
"207730_x_at" 15460 7424 18719 960 887 4423 12353 20818 20886 17844 17368 20438 22112 10745 19349 20823 16765 614 20134 2948 21994 1232
"207731_at" 5119 11572 8059 21053 17495 9640 9056 9303 8554 10337 10191 5902 8486 15801 10901 9795 11938 8396 16489 3485 12499 8926
"207732_s_at" 1644 18636 14838 13709 21901 11292 20078 18267 21340 21516 14865 18989 4170 15752 20838 18965 21213 19223 21900 791 2706 21691
"207733_x_at" 7368 16357 8426 19945 19234 1152 20305 1530 2803 13551 11630 8381 60 14958 366 337 3709 955 10838 8628 867 14298
"207734_at" 6365 8130 1972 20379 17392 7285 17793 6104 13433 14607 3502 2942 12074 503 6650 1540 16406 4932 10066 15199 12840 18869
"207735_at" 12387 21167 7006 3986 18315 22218 10554 7440 1751 14604 21004 460 13650 13835 7640 19362 6526 10536 21177 21529 12190 14054
"207736_s_at" 10125 12724 11059 8375 13832 15253 8397 8338 7693 13318 10550 8814 8305 19901 8330 11376 13574 10978 17755 5752 12311 11456
"207737_at" 8262 11068 13495 9754 13785 14397 7552 294 20568 14671 422 12275 14619 6495 2148 5111 16942 11446 7248 11704 946 2566
"207738_s_at" 3395 642 21187 16458 8428 10342 2636 14637 15816 107 15051 21366 3170 17288 924 13043 6630 19397 5665 8756 14943 4323
"207739_s_at" 12603 11507 3886 10883 8926 17744 9797 5509 13369 16196 8898 7435 12797 17159 11825 12136 18047 20424 12245 8240 6078 3491
"207740_s_at" 6857 19557 8549 3349 4566 2497 21251 20423 18118 5248 2557 4507 20313 11564 15047 21310 19406 13865 18726 11352 3167 19830
"207741_x_at" 21965 3453 4158 6129 16915 21728 5505 7521 8448 10385 10172 6072 9555 17381 11263 10946 12875 7814 14386 8639 8632 9846
"207742_s_at" 6452 21633 17179 14951 22071 5336 3343 10061 3014 15420 8950 9764 6898 16297 8449 10244 2457 848 14900 12627 5408 6744
"207743_at" 11964 14438 10465 8904 15715 17428 3130 5926 11562 10063 6919 5470 6086 12606 1144 6117 14286 19610 15859 3557 8052 9352
"207744_at" 13234 12536 10830 12085 12796 14007 3761 12633 7719 6607 7830 10592 10283 18342 9139 5447 10989 9411 12338 5514 9114 6305
"207745_at" 13133 12850 11762 9522 14877 14737 20301 7054 7665 14834 11183 6263 13879 21475 13214 1173 21553 21830 406 7392 5115 3360
"207746_at" 21457 19667 18294 5173 1798 3554 1162 3125 20835 3781 2116 3009 20400 1755 20486 15990 3648 13704 19111 10635 4214 3754
"207747_s_at" 2200 11710 16202 21073 17949 13323 7496 3436 5941 6819 8197 10915 963 14960 3460 650 18035 10873 12856 5129 1709 13493
"207748_at" 1267 3045 19246 3613 6080 2332 10806 6278 10435 6433 10925 8388 13540 12876 11827 261 11153 21416 16612 15123 2908 7254
"207749_s_at" 21155 21612 8384 19661 19200 3334 14408 20458 4436 21800 14975 5022 375 19493 6701 3469 1320 22195 7627 6461 20950 569
"207750_at" 10350 12245 12034 8092 12596 14128 3365 3324 6808 8488 9744 11151 12378 16752 12257 7428 15269 1676 12610 1104 8413 2198
"207751_at" 8010 17717 384 15575 21580 11162 3613 8447 12569 6648 15275 12690 13055 19660 9543 10172 10233 2840 12404 9018 11853 5930
"207752_x_at" 263 19492 9926 9006 13903 13620 10700 7585 8523 15028 15257 12295 10881 18811 13278 11704 10887 8553 12737 6239 4711 6884
"207753_at" 11254 823 15886 6091 1397 8255 12212 1300 13325 7358 19021 20018 13810 8507 4760 1595 7640 1493 5882 3326 2143 1978
"207754_at" 20787 9270 1441 17574 22001 10299 8215 12830 2147 7385 7712 18667 8804 805 21450 934 5661 15029 4435 10511 17290 14282
"207755_at" 21985 5141 20077 18177 9303 1813 4588 10035 192 8404 9424 13121 7837 21908 18757 614 1000 3037 22036 1707 5733 6870
"207756_at" 13073 12031 13841 6016 12004 15389 7381 13786 10213 11496 14074 5616 7904 17211 9923 6864 14344 612 16410 8537 8554 9772
"207757_at" 9204 12787 11573 10528 12481 10017 4112 10123 12142 6404 8800 12894 5225 16539 12408 7242 7980 19900 12633 7051 5409 11088
"207758_at" 7440 10367 410 18617 20914 7987 7480 10492 12084 9979 7089 11663 6319 12708 13160 9176 10342 1126 7599 6203 3037 10017
"207759_s_at" 19829 6063 2060 2867 2323 4394 4380 12970 10929 14272 3048 1966 12725 5743 7279 865 14088 8424 21232 3112 11416 11590
"207760_s_at" 2422 9124 8224 14192 3752 20908 12523 19097 15221 19155 18688 15128 20953 7873 3915 19100 16005 6069 5189 13372 16969 20415
"207761_s_at" 3980 5820 5149 21744 5975 3895 15314 15344 4700 2190 19586 5395 1174 280 16322 19439 3295 15886 1210 10707 15319 4712
"207762_at" 14388 9612 10992 11243 14459 16888 9154 10579 10220 7146 13238 12496 11541 15378 12070 7730 14238 9926 17254 6617 7769 10143
"207763_at" 11878 21653 193 11500 15783 15353 4472 6737 7948 11343 13968 10958 10466 2937 20166 9665 12703 11621 7660 6930 9409 8368
"207764_s_at" 19717 19948 21616 17460 17620 18913 10492 21142 495 13349 10995 13341 10437 16947 21916 15655 21548 10010 21797 10052 5597 13649
"207765_s_at" 21951 8811 3583 5391 19042 8723 6802 10551 7424 8786 12952 17247 13759 20183 15294 8840 22112 18711 19714 18290 12401 6172
"207766_at" 8913 14056 13482 10353 11087 18569 6995 11764 12469 15396 15525 1317 12720 11618 9600 11659 13461 10780 15867 19592 976 11452
"207767_s_at" 21920 5387 9282 13644 78 4019 12597 12497 10812 12984 7446 7314 13139 21267 8580 6290 5719 11904 15392 4215 1832 260
"207768_at" 10116 12757 11950 8503 12833 14943 6313 8399 9071 12367 12272 7358 8592 19754 9809 7650 13858 9078 13556 8510 7540 8878
"207769_s_at" 17985 20084 8679 18807 4647 19231 15839 19668 17721 18476 17378 17021 19273 13695 19720 19488 21158 12339 12050 14920 20054 19981
"207770_x_at" 2047 164 4218 109 3400 21622 4657 8419 10242 6520 11271 6509 8255 18368 9497 8410 10655 9951 15835 3421 11747 9794
"207771_at" 5944 1429 758 19534 431 8202 3782 5839 9636 8243 15582 12782 10706 12465 1148 11079 231 21768 21332 864 1116 7732
"207772_s_at" 8253 18478 13514 7951 1472 16623 12103 7242 7736 16289 13162 9020 10937 13003 17414 7194 17918 1698 15430 5478 5359 10283
"207773_x_at" 8092 12965 13675 8575 15153 14159 4646 11417 11450 14355 14213 6664 6384 5109 8462 10824 12049 6988 16936 1660 6569 12777
"207774_at" 21058 3353 14376 19846 6732 21957 9825 7354 5207 7636 15486 18745 3153 21488 17114 16885 9392 21750 22100 9969 5634 13796
"207775_at" 8727 13754 4702 9506 10521 17524 5624 12335 8754 6483 9905 9454 7669 16175 8850 6305 2771 12660 16782 3549 9057 9729
"207776_s_at" 2390 17653 19920 6273 4817 12968 6483 10039 11528 7780 20500 18586 10520 10148 21837 5106 7248 14077 18253 17210 721 11931
"207777_s_at" 14137 13073 5036 6147 10256 17368 9082 9027 11896 7899 13831 1268 12735 9596 13092 11100 10467 9553 16055 20226 9593 7892
"207778_at" 13591 14367 9942 9559 12213 16611 11849 9981 8178 11294 9632 8583 10989 14780 12012 7915 10539 8515 13347 3884 5978 9643
"207779_at" 15086 8876 13322 7476 11237 13855 3630 6397 13579 16428 12650 9873 7622 12235 1043 174 332 2888 19440 16721 4065 7443
"207780_at" 15871 18145 16519 8901 17544 13127 5516 12496 9046 7082 8088 6208 9861 18226 1874 4275 15927 10184 14808 1933 7376 6917
"207781_s_at" 13752 13968 10973 6728 13770 14365 4926 12482 5851 7006 11510 17993 12090 5437 21256 9455 8320 15843 2077 6739 6740 12460
"207782_s_at" 17642 1878 15858 13851 8252 2787 19069 19535 15981 391 214 2356 3231 2882 18574 16566 21004 22254 20079 3330 13344 16433
"207783_x_at" 2777 19059 3271 1416 17025 20870 6052 8510 8169 18997 10194 4222 14697 16047 9776 7575 11876 8990 14765 4904 3275 5066
"207784_at" 8191 12061 12974 11540 11419 17036 2544 5315 13472 12182 15368 6815 9428 21062 9014 8065 12777 10127 12501 7771 11384 12276
"207785_s_at" 5972 3507 5018 12653 8620 6392 13819 2440 17469 4002 6500 17902 15933 4802 16705 12779 7056 17858 3560 17265 21022 3515
"207786_at" 12602 11797 2823 13314 21822 20103 6639 15502 20250 5704 20392 16785 4722 22090 17132 18122 21913 20878 2494 19321 16142 16289
"207787_at" 11002 10489 10798 7480 10631 13538 7291 8820 8348 11716 8997 9179 8907 14578 10352 7023 13175 10429 15841 4715 4859 5897
"207788_s_at" 19044 16133 16811 17843 17273 12006 12503 17978 17225 19647 9604 19869 2978 11395 3543 2883 20018 14746 5304 20209 19655 19931
"207789_s_at" 20623 16032 1119 16564 9030 16169 3517 6627 12023 15382 13346 6333 10141 14509 9267 6324 11646 13621 17298 6470 10218 12020
"207790_at" 17191 4364 4891 14451 20869 16633 1294 897 17697 8308 13830 380 10335 10411 5823 4420 19777 18071 19364 547 9914 4636
"207791_s_at" 16697 7956 17062 17637 2787 20268 13548 3011 16514 4488 5706 17972 14086 5641 18661 19364 17802 19624 8097 14650 18471 17152
"207792_at" 12097 15059 9668 5699 10699 17509 11178 8795 8395 7937 8103 6044 11627 18639 8922 7697 12995 9963 16491 6969 7686 9023
"207793_s_at" 13248 14841 11312 7488 11397 9971 3359 7106 8512 6630 11586 8086 11953 18332 13639 12064 15134 7905 12817 4612 7674 9014
"207794_at" 18351 5306 996 12602 8434 1839 4187 8904 11237 11566 4856 12786 9358 11426 11899 9041 13721 18036 16795 9565 9685 9236
"207795_s_at" 1631 21662 21713 839 19215 11473 5722 5562 8615 11219 11749 5743 10757 19590 12051 9211 12153 8392 17549 6789 9650 8726
"207796_x_at" 5076 18518 4427 3101 2035 16745 11123 10113 2404 7880 12877 11634 5347 17767 10544 9024 11061 7774 1450 1786 9553 13624
"207797_s_at" 12501 13752 18888 8805 15630 12904 4284 11297 8566 12397 11377 12467 6028 15842 11934 7901 13796 7913 6632 8398 9489 9599
"207798_s_at" 279 14638 3060 4026 14432 15124 2027 7743 456 15821 12565 11930 10404 12022 3458 11047 9649 9601 21090 22118 11495 10025
"207799_x_at" 12705 15207 9651 10277 13866 14441 7245 10118 11050 8872 9376 13188 1941 22001 1039 961 21821 20493 4981 9085 421 13559
"207800_at" 20113 14536 2315 6517 3124 11300 4676 229 8828 15930 13656 19238 5211 17793 12441 6128 14140 9992 21679 9464 5678 10687
"207801_s_at" 821 7990 3508 3689 17972 18822 15166 14954 19700 19047 19674 4460 18896 6547 20164 4426 20196 18493 8810 12092 16744 20444
"207802_at" 10611 15414 11916 8338 12641 14494 3235 10620 7154 12673 12401 6541 6269 16519 6786 5915 10640 1333 14709 3828 7155 8531
"207803_s_at" 13869 14503 10005 9046 11391 13100 9212 9257 8517 8863 12784 11339 12819 18171 647 10350 15921 5504 11275 9354 11441 12866
"207804_s_at" 7500 12038 13061 5475 11594 16931 3065 5539 7964 6293 13593 11578 11903 18603 8349 7956 14252 9416 15727 8346 9928 1417
"207805_s_at" 3565 4304 9272 4933 5485 2062 13348 4534 13989 18118 5002 4217 2802 13346 13622 14859 17922 2868 10429 10906 3830 16604
"207808_s_at" 10997 4118 3378 11436 1662 17100 1246 691 15668 8506 2436 2311 653 241 16563 20391 2953 21732 4834 19166 21149 14308
"207809_s_at" 17231 4765 16825 13253 16677 21360 14421 16693 4215 17569 17537 13508 16769 6124 3651 17768 17754 14396 4851 14924 15604 4064
"207810_at" 13553 13069 7913 12375 11993 16762 3801 3817 3067 14522 12478 12787 11020 17270 13536 5793 13646 18277 12732 7605 9459 9300
"207811_at" 9039 12399 12011 8227 13645 14727 12265 10725 11548 17087 7586 6295 9435 7300 10792 7107 11134 1529 17180 1605 1246 1217
"207812_s_at" 4360 5169 8547 14515 7121 9525 17961 17720 17932 5092 17777 14467 19563 5751 14743 19688 7017 14726 7508 17551 16603 17803
"207813_s_at" 19912 18874 19074 15967 6686 17809 16852 21598 4035 20199 2501 1338 18054 20269 6795 13551 9762 12274 21209 13649 21737 20718
"207814_at" 12774 10209 11675 6066 11440 10754 7861 5640 2124 11693 12068 10908 8959 16624 11494 7075 15189 9741 17492 7477 7461 8804
"207815_at" 14330 14658 10392 12309 13136 10536 3619 6617 11337 7797 10963 6777 9941 19297 13421 6349 12423 11284 17125 7166 7210 8130
"207816_at" 21480 15175 17421 7255 14678 10091 5592 5015 10750 10238 10260 7942 7921 14547 10182 7472 10958 8867 16536 7795 6957 8375
"207817_at" 9910 13529 13701 5924 14712 17319 4075 6725 12602 15619 8816 6915 12432 16939 10565 8385 12734 4189 19887 344 9679 6859
"207818_s_at" 10009 11215 9646 7663 12603 14514 15764 12387 13346 8562 18517 7549 7363 20199 11054 6186 15651 11100 13086 18260 548 11114
"207819_s_at" 9491 12085 10052 9405 11772 11885 9769 5396 5340 7610 12451 6967 12632 21467 11697 6017 3157 19163 13694 11195 10409 13682
"207820_at" 17268 18475 2271 7378 18635 15968 8512 5780 6682 15507 7141 11616 6149 18243 9673 9823 13087 14701 14659 3449 11837 7170
"207821_s_at" 15094 9088 7365 14017 18602 7574 19025 20912 16351 18492 18144 15735 4291 3134 7148 16264 5778 20978 3331 12631 16564 18515
"207822_at" 11849 2855 6652 22077 2393 10772 3333 8897 13073 14981 13132 11351 6198 9203 4389 1958 6954 20017 15400 6090 4360 5302
"207823_s_at" 9380 8363 21706 888 21280 22145 4629 9712 536 7425 9258 11988 6736 9385 11560 14246 1768 1121 12210 5400 12745 3003
"207824_s_at" 19538 6267 1552 3551 19060 7768 21307 15585 19257 3273 2100 456 3400 13468 2108 21285 9854 22215 19342 21447 19250 16091
"207825_s_at" 12095 14220 10541 11530 11557 12983 2989 10896 10817 13764 14723 12151 5320 15966 10933 6288 6979 5408 14571 3663 9813 13083
"207826_s_at" 16605 19159 22274 13838 122 17119 17221 20276 15519 4741 12561 21605 2880 17913 19307 19542 17144 5276 21375 21765 14473 21668
