"inst_325" "inst_449" "inst_484" "inst_489" "inst_493" "inst_544" "inst_836" "inst_953" "inst_999" "inst_1057" "inst_1160" "inst_1219" "inst_1644" "inst_2679" "inst_4443" "inst_5216" "inst_5579" "inst_5947" "inst_5952" "inst_6178" "inst_6938" "inst_6979"
"200016_x_at" 15176 3101 14385 15747 3879 7284 2786 3709 15278 18458 4925 18978 14007 15995 6454 5117 8621 8831 11042 4842 13611 5392
"200017_at" 3080 17625 17840 13953 4367 9242 5481 3799 13872 18720 16384 14179 4826 16122 9859 7771 12002 9214 11898 5013 14131 15677
"200018_at" 15765 18434 8138 14126 16937 20435 12700 14771 4800 6231 17480 16296 15374 16114 9853 4640 11989 9191 10679 5003 13291 18113
"200019_s_at" 14640 8044 15290 12902 19138 8940 12348 4112 17795 3274 17326 3653 16568 16090 14284 13174 18028 5844 18517 4975 17168 17647
"200020_at" 2382 17986 7356 12730 7024 2055 16296 14950 4392 4752 16175 4686 2770 6881 19664 4892 3605 5965 7049 13006 3398 17972
"200021_at" 5040 19218 8972 14847 17138 19791 5895 2231 8363 6163 6343 2666 1870 16201 9945 12570 12126 9488 15379 5108 4288 4905
"200022_at" 5950 8258 6257 4317 9520 4542 5852 15760 15701 17366 5339 2484 3893 16062 7193 3207 15947 9027 8964 4923 3986 3598
"200023_s_at" 5614 6260 7132 16215 5228 9126 15746 16266 17992 1944 5385 3789 16312 8057 7336 12843 5639 15801 9651 13600 14973 15484
"200024_at" 6565 8318 15684 14910 17334 9308 12722 4781 13767 5722 6359 5087 14062 19865 17514 14029 9754 14411 11856 4978 16130 17074
"200025_s_at" 5137 5372 16597 4730 9063 20058 12352 4778 15693 4770 5754 5403 13975 16112 6849 3263 8696 12105 9960 5002 13249 14607
"200026_at" 7425 18549 2781 1528 19836 20567 12685 14709 13637 5955 16777 13621 17403 16204 9948 3420 17661 9497 9752 5112 3972 5534
"200027_at" 5717 8731 8020 14864 5142 9115 2279 4863 15975 2179 15943 13934 16622 13531 15603 3848 4952 12581 7346 18991 14790 14506
