"inst_1559" "inst_5777"
"200699_at" 21122 18249
"200700_s_at" 3294 5476
"200701_at" 2035 14620
"200702_s_at" 1698 18051
"200703_at" 1944 13700
"200704_at" 17555 20009
"200705_s_at" 2017 5707
"200706_s_at" 4556 6459
"200707_at" 1186 21307
"200708_at" 16335 14382
"200709_at" 19859 14475
"200710_at" 19535 5933
"200711_s_at" 17019 17497
"200712_s_at" 17228 6796
"200713_s_at" 2883 14640
"200714_x_at" 18000 3219
"200715_x_at" 17399 5337
"200716_x_at" 3574 13191
"200717_x_at" 18521 9031
"200718_s_at" 17347 13633
"200719_at" 19118 20626
"200720_s_at" 19687 7118
"200721_s_at" 17570 18316
"200722_s_at" 19806 19974
"200723_s_at" 19750 15394
"200724_at" 10663 19372
"200725_x_at" 15863 7087
"200726_at" 19648 17343
"200727_s_at" 17864 17625
"200728_at" 17299 16319
"200729_s_at" 21374 15588
"200730_s_at" 1662 1089
"200731_s_at" 22098 696
"200732_s_at" 16225 3967
"200733_s_at" 22184 673
"200734_s_at" 15741 13375
"200735_x_at" 19009 13538
"200736_s_at" 405 7532
"200737_at" 20259 16303
"200738_s_at" 15451 14117
"200739_s_at" 19634 19054
"200740_s_at" 16789 17027
"200741_s_at" 2788 13705
"200742_s_at" 18773 16901
"200743_s_at" 4621 15906
"200744_s_at" 18664 7112
"200745_s_at" 19373 13055
"200746_s_at" 17079 7013
"200747_s_at" 17902 20396
"200748_s_at" 907 4952
"200749_at" 15896 17237
"200750_s_at" 20310 15475
"200751_s_at" 21217 13501
"200752_s_at" 21002 18240
"200753_x_at" 18080 16095
"200754_x_at" 20110 15529
"200755_s_at" 21594 4092
"200756_x_at" 20497 2087
"200757_s_at" 2939 6847
"200758_s_at" 3396 2461
"200759_x_at" 1310 2854
"200760_s_at" 16535 18571
"200761_s_at" 888 21063
"200762_at" 128 2370
"200763_s_at" 16183 13410
"200764_s_at" 14928 11587
"200765_x_at" 6632 8230
"200766_at" 3911 19632
"200767_s_at" 2041 14713
"200768_s_at" 20996 19016
"200769_s_at" 18619 18960
"200770_s_at" 21571 18186
"200771_at" 16457 4695
"200772_x_at" 18304 13855
"200773_x_at" 17452 7617
"200774_at" 17930 6552
"200775_s_at" 20221 14024
"200776_s_at" 21967 14828
"200777_s_at" 19924 14801
"200778_s_at" 1171 4756
"200779_at" 4206 148
"200780_x_at" 1586 7016
"200781_s_at" 2998 13337
"200782_at" 17763 5313
"200783_s_at" 22022 19208
"200784_s_at" 10298 11889
"200785_s_at" 4777 15833
"200786_at" 19274 13925
"200787_s_at" 2759 5966
"200788_s_at" 3647 4034
"200789_at" 3799 19648
"200790_at" 18750 3625
"200791_s_at" 15754 14033
"200792_at" 16245 15983
"200793_s_at" 640 4440
"200794_x_at" 18482 19150
"200795_at" 8222 8260
"200796_s_at" 1469 3119
"200797_s_at" 21171 4511
"200798_x_at" 4186 1240
"200799_at" 13977 21587
"200800_s_at" 21325 22119
"200801_x_at" 4604 13910
"200802_at" 20271 735
