"inst_2314" "inst_2352" "inst_3624" "inst_3727" "inst_4284" "inst_4749"
"1007_s_at" 16906 21325 17162 9821 16497 16602
"1053_at" 18809 4394 17982 7023 20318 16510
"117_at" 15360 19705 9188 496 6349 10049
"121_at" 20539 21337 21059 8882 15060 21173
"1255_g_at" 13543 12350 7583 11320 6373 10524
"1294_at" 5073 20751 311 498 1468 20488
"1316_at" 21308 21389 15061 20653 1475 21616
"1320_at" 11145 13810 21880 813 1223 196
"1405_i_at" 12639 5140 6606 15386 4658 11938
"1431_at" 21465 10870 1425 2910 14849 3368
"1438_at" 5090 14183 22154 2645 20471 18450
"1487_at" 3110 2193 14932 10047 16181 13891
"1494_f_at" 21768 11376 21900 22092 16347 20699
"1598_g_at" 18918 1077 14028 20731 16222 5891
"160020_at" 184 1112 19006 433 22181 18540
"1729_at" 16917 2210 12948 21104 18406 3009
"1773_at" 7482 18336 22170 20319 10752 21261
"177_at" 18884 936 2294 12663 19565 13837
"179_at" 3007 1298 21421 19230 17857 5298
"1861_at" 6872 17228 21056 5290 8819 1828
"200000_s_at" 17839 20637 16914 18666 18806 13033
"200001_at" 8224 5810 19331 7061 17108 4924
"200002_at" 6983 6072 9904 9584 10076 14488
"200003_s_at" 11589 7149 5626 12451 4397 8796
"200004_at" 5325 7900 4187 7559 10630 18533
"200005_at" 5782 17336 14835 5583 13025 14348
"200006_at" 7746 5470 13916 9524 9303 16999
"200007_at" 8340 6049 13443 8935 8309 14113
"200008_s_at" 9247 5225 21199 3326 17690 4496
"200009_at" 16087 7190 14452 4282 13727 17059
"200010_at" 7500 6815 10390 8309 10392 13594
"200011_s_at" 19018 20483 12760 17437 18564 6766
"200012_x_at" 17694 16780 2506 10019 2358 14279
"200013_at" 5647 3793 4089 9489 9133 13887
"200014_s_at" 6521 5463 17924 18417 11254 5774
"200015_s_at" 7051 5115 10716 18260 10129 20452
"200016_x_at" 16462 17051 10773 16403 2368 13742
"200017_at" 11612 16899 5732 12542 4486 8926
"200018_at" 11773 7923 5723 12537 4478 6729
"200019_s_at" 16076 17477 10977 16539 9562 4912
"200020_at" 5191 5093 11004 8920 11622 13178
"200021_at" 11852 3840 5835 12633 4580 9070
"200022_at" 11803 5266 5643 6892 9330 6518
"200023_s_at" 3658 5915 17776 18411 11696 13796
"200024_at" 16830 17424 12782 10075 2544 13574
"200025_s_at" 8907 7181 5721 9531 2487 15718
"200026_at" 11751 10704 5838 9993 2196 13228
"200027_at" 16249 16758 11341 8127 13032 18116
"200028_s_at" 18187 17929 12335 8231 18505 13827
"200029_at" 16408 7614 3504 17128 8560 14038
"200030_s_at" 17566 7167 13964 16794 9263 13931
"200031_s_at" 11668 10617 5717 12526 4464 8897
"200032_s_at" 11752 10502 5735 17336 2317 14254
"200033_at" 9333 3164 10372 8860 8710 20165
"200034_s_at" 9209 7984 5629 8892 9841 16397
"200035_at" 6342 20510 2392 6715 17175 17617
"200036_s_at" 16125 18580 14449 17455 9616 13461
"200037_s_at" 3986 2420 10012 18311 2577 17565
"200038_s_at" 16405 17418 5812 9889 12682 16655
"200039_s_at" 17578 7913 16340 9970 13492 13021
"200040_at" 16251 17103 11947 9675 14450 12938
