"inst_592" "inst_1608" "inst_3223" "inst_4666" "inst_5261" "inst_5626"
"1007_s_at" 4468 3328 17638 2814 13414 3689
"1053_at" 18884 20886 6424 18489 20070 15844
"117_at" 18798 12208 14389 8597 6895 11151
"121_at" 17017 21452 21540 18383 16728 18103
"1255_g_at" 9826 11962 10574 13670 5581 7650
"1294_at" 18006 21029 21582 22197 1003 4989
"1316_at" 2977 1302 21193 22190 21849 1401
"1320_at" 19045 5247 9612 19339 20537 20105
"1405_i_at" 12800 138 14793 6670 1617 11692
"1431_at" 10123 7374 4222 9486 2463 22144
"1438_at" 15682 11569 244 4780 18478 3269
"1487_at" 17733 16586 19626 6419 20879 20752
"1494_f_at" 6586 3535 18024 4789 1721 639
"1598_g_at" 19545 20335 16840 16549 20699 15550
"160020_at" 17498 16404 3676 3583 370 116
"1729_at" 15827 3915 16986 4573 13000 17664
"1773_at" 21138 4350 21142 19414 15983 18657
"177_at" 4967 17855 12137 21916 11298 12899
"179_at" 1814 1260 5760 217 1440 19217
"1861_at" 4229 7535 20025 5311 9373 15851
"200000_s_at" 2946 16557 19596 2864 15726 4385
"200001_at" 15720 18275 6900 5529 16459 14883
"200002_at" 15636 17921 6715 18405 9480 13877
"200003_s_at" 5373 17016 15156 12270 5050 8759
"200004_at" 4482 15978 5798 8027 12175 5357
"200005_at" 18402 17040 6473 9849 16573 16005
"200006_at" 15308 18363 8116 16750 11149 6652
"200007_at" 17935 16151 4671 9187 12449 14754
"200008_s_at" 5534 19890 5307 19562 16881 19371
"200009_at" 16331 4724 15198 19389 11227 13645
"200010_at" 2387 18526 7435 16940 9375 6226
"200011_s_at" 6340 837 18475 2816 16950 4396
"200012_x_at" 15653 4838 15825 16931 1656 14238
"200013_at" 16667 16973 6354 17412 9469 5879
"200014_s_at" 4658 19556 8266 9530 12030 19672
"200015_s_at" 17536 21140 7953 18543 16875 15489
"200016_x_at" 1612 16788 6844 17246 9404 15625
"200017_at" 15201 1908 10356 17952 5227 8873
"200018_at" 15335 18340 10349 12369 5217 8865
"200019_s_at" 15959 19577 8292 16597 10419 14016
"200020_at" 19501 20324 6890 10368 11638 12993
"200021_at" 6948 2058 10436 12490 5412 8999
"200022_at" 15258 17534 15591 8025 9602 8780
"200023_s_at" 5629 3646 15091 9648 13838 5900
"200024_at" 4587 17221 17550 17235 10382 13626
"200025_s_at" 4266 17182 7615 18019 9665 13657
"200026_at" 21331 17309 10439 8934 1780 9004
"200027_at" 5784 19780 16205 6502 11760 14969
"200028_s_at" 4640 19030 6892 4975 11819 13010
