"inst_335" "inst_603" "inst_1692" "inst_1814" "inst_1856" "inst_6006" "inst_7303"
"1007_s_at" 5258 15846 4746 3743 4241 4675 19197
"1053_at" 19411 5018 20041 8088 17945 15238 3645
"117_at" 3983 2608 7763 2 333 8705 2
"121_at" 4357 4029 4502 4221 15436 3471 14627
"1255_g_at" 1858 9605 11168 14704 7290 11356 8206
"1294_at" 16279 385 16618 12090 17870 21311 10103
"1316_at" 15802 7337 10994 13495 12782 20211 20883
"1320_at" 12047 12706 1862 13231 9102 1475 6813
"1405_i_at" 9446 11051 13592 12260 3369 8341 12388
"1431_at" 1742 10394 7606 19862 9753 4187 7031
"1438_at" 15077 16135 1966 16233 13872 2018 13760
"1487_at" 12864 15454 4593 19930 14859 4120 3856
"1494_f_at" 11783 3212 19774 12364 11196 2609 13309
"1598_g_at" 5983 22137 1442 811 10159 3547 16959
"160020_at" 3328 6573 21147 6016 9669 3633 17581
"1729_at" 18191 19216 3271 3823 5057 14054 4877
"1773_at" 3444 16918 1443 791 15156 21619 20101
"177_at" 15213 10693 11678 19150 4405 10827 2021
"179_at" 4457 16789 16262 22125 22138 21826 16016
"1861_at" 5051 19252 4754 1868 16854 3989 1269
"200000_s_at" 15748 15779 17455 20331 3341 13995 3125
"200001_at" 2757 7152 4232 5453 15233 12916 4925
"200002_at" 15568 15435 17540 10116 18457 15339 4073
"200003_s_at" 6330 6107 15089 20578 15506 13791 13773
"200004_at" 16173 6466 16733 9250 18205 14700 15039
"200005_at" 15619 15450 3426 4140 15514 12385 15573
"200006_at" 6823 4356 14949 10815 16882 14182 4257
"200007_at" 15903 7270 16485 4435 19532 13484 3207
"200008_s_at" 6283 4307 1844 5373 14550 14713 13613
"200009_at" 12573 5647 15375 10038 4346 14041 17507
"200010_at" 2148 819 14671 7320 16180 5625 3383
"200011_s_at" 12850 15108 15328 3841 14766 13695 19268
"200012_x_at" 6360 15888 15134 21001 3180 4982 2355
"200013_at" 15647 4926 14945 21265 14999 17373 4771
"200014_s_at" 14023 7158 15181 6762 16904 14336 15200
"200015_s_at" 16506 15923 16200 7204 19442 18158 4318
"200016_x_at" 11787 17724 16071 8437 16996 14969 15821
"200017_at" 16475 17291 15405 20291 16200 12656 3815
"200018_at" 5568 15904 14531 9113 15494 14078 14400
"200019_s_at" 5728 3710 15121 10712 16663 14417 3613
"200020_at" 13527 15706 19899 2679 1639 17509 4297
"200021_at" 14614 3321 16706 10360 16252 7746 15670
"200022_at" 3656 16625 14648 8981 4323 13120 4865
"200023_s_at" 6233 7792 15277 7508 16172 13404 3133
"200024_at" 4863 19102 2488 20182 14391 13732 4808
"200025_s_at" 13478 6927 15537 10233 18131 12314 4524
"200026_at" 19025 20012 4330 9719 5069 13090 4365
"200027_at" 14039 4864 3712 9770 18627 12877 4667
"200028_s_at" 12443 16757 17553 8364 17043 5813 18155
