"inst_142" "inst_2320" "inst_2359" "inst_3804" "inst_3886" "inst_4362" "inst_4540"
"1007_s_at" 3711 16179 14134 4341 6691 15420 18800
"1053_at" 17958 18958 15896 18273 9876 11059 4424
"117_at" 6697 10686 14362 10352 15317 5070 12852
"121_at" 20510 16255 21702 13117 19921 4026 18256
"1255_g_at" 7277 9115 7806 5605 10206 7509 14739
"1294_at" 19044 21516 15589 20154 21729 2817 21785
"1316_at" 18405 3930 1610 12849 16638 21700 10748
"1320_at" 3245 9769 10451 22002 1105 1632 13695
"1405_i_at" 11606 8209 18820 8877 10164 7871 15230
"1431_at" 13634 3933 788 3281 14096 2957 2512
"1438_at" 18143 4551 10662 18312 20050 18243 21687
"1487_at" 1603 4285 14424 15697 7621 20605 19200
"1494_f_at" 16490 21040 10203 903 809 1646 20602
"1598_g_at" 21741 2400 2493 2575 18057 4680 9918
"160020_at" 21863 13655 462 4243 2283 20025 3710
"1729_at" 5278 6251 4316 12660 17056 20368 3547
"1773_at" 128 1813 14150 20647 7031 15188 19923
"177_at" 9356 16173 2511 6390 7495 20856 21828
"179_at" 3323 20111 9990 10868 19895 4339 22228
"1861_at" 6695 4362 19127 19688 3852 14410 6127
"200000_s_at" 6432 4324 1399 12101 18840 13290 20364
"200001_at" 5764 15642 13337 15751 5745 12382 7880
"200002_at" 4209 16286 19510 10451 7788 10643 7636
"200003_s_at" 5988 8494 13878 6526 11710 6308 12445
"200004_at" 4054 13946 13302 10723 18602 4736 7841
"200005_at" 4158 5368 4373 5049 7579 13615 8719
"200006_at" 6520 15035 14853 10315 9060 11462 8370
"200007_at" 6384 12822 13976 4370 6706 10889 17269
"200008_s_at" 2814 13047 21380 18969 5367 2773 3651
"200009_at" 2013 14612 4147 14126 8545 3132 9563
"200010_at" 16333 4322 16225 12335 8487 4644 5747
"200011_s_at" 18512 17309 3062 13046 17770 10403 10391
"200012_x_at" 6472 5377 4559 4673 15925 6264 19594
"200013_at" 17456 5485 16671 11273 16892 6223 17655
"200014_s_at" 3938 16859 16272 12029 19549 18756 10539
"200015_s_at" 4264 18768 16710 12763 18151 12524 7830
"200016_x_at" 6292 13296 4327 6447 16908 6220 16963
"200017_at" 20774 8420 13962 6623 11815 6441 12549
"200018_at" 7046 8366 4235 6615 11800 6431 8222
"200019_s_at" 3095 13264 13459 10633 16203 6391 16961
"200020_at" 3840 3780 14252 15192 6340 3978 9238
"200021_at" 16620 8273 22216 6732 11924 6574 12660
"200022_at" 1791 12778 13240 10430 11723 6330 8260
"200023_s_at" 5979 14130 13511 4581 4193 11798 7565
"200024_at" 6210 13689 13243 4378 9869 4313 17217
"200025_s_at" 19595 16913 12960 10149 17687 6429 9798
"200026_at" 19097 8283 7551 6738 16726 6578 9850
"200027_at" 2816 17637 15744 13047 16345 11195 9580
"200028_s_at" 3605 14428 15068 17325 7184 11144 7985
"200029_at" 17008 4273 4332 10695 16119 10743 18239
"200030_s_at" 5562 13749 13764 4292 17321 3544 17150
"200031_s_at" 19247 8406 7525 6606 11794 6419 12525
"200032_s_at" 16918 8456 7491 6629 11817 6444 17744
"200033_at" 5391 14782 13198 10445 9567 4716 4636
"200034_s_at" 6270 16959 15435 11725 16044 4747 17616
"200035_at" 19403 5729 1014 3274 9525 13250 19529
"200036_s_at" 3984 13369 15965 10585 6311 14321 16957
"200037_s_at" 6800 12662 14604 13529 16556 10895 6393
"200038_s_at" 17553 12586 13374 4460 11904 6547 9729
"200039_s_at" 6614 6313 17621 14238 7875 10317 9510
"200040_at" 18776 13851 16502 15780 6942 12595 9362
"200041_s_at" 3554 5344 18241 10279 8735 14420 9094
"200042_at" 6394 17826 19912 10254 6040 15934 4234
"200043_at" 4415 17829 20519 12787 18196 14244 7512
"200044_at" 4485 16560 17150 16327 16168 10321 7749
"200045_at" 4504 15762 13090 11452 8858 13099 9260
"200046_at" 4470 5228 17655 15757 6859 13196 4076
"200047_s_at" 5677 13492 18900 13352 9544 14953 7237
"200048_s_at" 3138 6137 16955 10841 7658 13396 7971
"200049_at" 6120 4793 16086 12955 17403 10840 10248
"200050_at" 7048 12498 19820 3707 4444 14555 4945
"200051_at" 16499 15458 3771 16395 9943 14689 8692
"200052_s_at" 3793 13864 18784 15224 8196 14371 3769
"200053_at" 20504 629 20925 16246 20730 16635 17804
"200054_at" 18748 12843 20096 17428 16643 20005 7245
"200055_at" 3818 13784 15412 11847 16223 11250 18940
"200056_s_at" 1033 18570 14532 18802 16548 17658 8297
"200057_s_at" 17000 14919 4837 4971 8771 11063 18341
"200058_s_at" 5467 14917 17178 12446 17124 15040 9267
"200059_s_at" 5367 16204 18401 10708 5230 12994 9538
"200060_s_at" 4548 5592 15773 16583 19330 16072 6640
"200061_s_at" 16454 8332 4724 6605 11792 6417 12524
"200062_s_at" 6765 8393 4895 6510 11697 6290 12432
"200063_s_at" 17358 8254 4939 6659 11855 6480 12578
"200064_at" 2918 4981 13582 10492 8463 10561 8129
"200065_s_at" 4545 15417 13652 12499 6572 11111 9999
"200066_at" 3725 14912 17429 17685 5229 1233 3256
"200067_x_at" 18031 15181 17497 12320 4374 15104 10208
"200068_s_at" 17449 5350 3878 17066 6921 10525 10743
"200069_at" 284 14453 15978 14992 9117 20931 7111
"200070_at" 19554 14426 4704 13348 20169 17119 18807
"200071_at" 3893 15542 20147 19868 8734 18018 6849
"200072_s_at" 2167 4328 14503 13839 5623 3462 16852
"200073_s_at" 17400 5406 14850 12451 5681 10302 9750
"200074_s_at" 16292 15874 14635 12708 18007 11312 9457
"200075_s_at" 2201 16910 18476 4825 9741 13427 5088
"200076_s_at" 18872 20285 19073 10801 16303 16047 9083
"200077_s_at" 16628 5781 13386 10449 9404 4154 17067
"200078_s_at" 5545 12829 3811 11431 18002 10852 4872
"200079_s_at" 1719 6058 19237 12373 4649 11457 3896
"200080_s_at" 3649 16443 13594 12468 4425 3883 18116
"200081_s_at" 16487 14157 16424 12918 6724 4775 10612
"200082_s_at" 16743 12507 13567 6649 16326 6466 8633
"200083_at" 19555 17270 17914 11808 6336 11804 9834
"200084_at" 1567 16731 18217 14975 6755 16426 4863
"200085_s_at" 1091 13500 15417 12628 16320 11196 6995
"200086_s_at" 17715 14864 14354 3195 16252 12302 2920
"200087_s_at" 4514 15065 15004 16081 6425 2686 17430
"200088_x_at" 3446 8248 4826 6520 11706 6304 18169
"200089_s_at" 5077 5629 13686 12987 16913 4767 8839
"200090_at" 18279 12697 14557 10402 8926 15436 8442
"200091_s_at" 17816 15149 15781 10238 8542 3524 9947
"200092_s_at" 5806 13150 14145 4230 11861 6490 8653
"200093_s_at" 5661 20353 20921 15523 6574 14771 10387
"200094_s_at" 1984 5701 17517 11432 9191 16277 7956
"200095_x_at" 17134 8341 4955 6722 11914 6560 12643
"200096_s_at" 1918 3340 20656 2226 7877 16371 8731
"200097_s_at" 4709 13088 4602 14739 9728 14757 6360
"200098_s_at" 19391 4451 15016 4906 8651 14451 7951
"200099_s_at" 6252 8373 7437 6670 11864 6492 10349
"200593_s_at" 3643 13750 19318 14765 5778 13251 10044
"200594_x_at" 5991 15488 3899 12717 9308 10700 18072
"200595_s_at" 3960 15981 16663 17475 17166 4327 18708
"200596_s_at" 19279 17928 17583 16469 9774 17511 4701
"200597_at" 20835 14704 21203 18826 18081 13511 2946
"200598_s_at" 1609 17698 20091 10804 3451 18306 1935
"200599_s_at" 694 2956 2045 14124 6801 1949 8983
"200600_at" 7326 2214 13975 12139 6199 6746 19854
"200601_at" 197 17816 16549 15146 18946 17454 4748
"200602_at" 5737 4284 18630 16497 17638 20623 9422
"200603_at" 5134 15223 16969 14982 9781 4132 7209
"200604_s_at" 827 12820 20164 21269 4863 13543 3981
"200605_s_at" 6860 20411 20803 19002 2036 15577 5698
"200606_at" 17445 2478 596 12350 4421 15169 8228
"200607_s_at" 19783 3845 16355 12610 5005 21410 4362
"200608_s_at" 17773 14207 15305 16984 4995 14598 9007
"200609_s_at" 19569 15007 19346 16403 16056 11772 7614
"200610_s_at" 5610 16065 15953 12784 6042 10770 18833
"200611_s_at" 2651 14276 16257 16912 16410 15457 2356
"200612_s_at" 18590 19079 18500 10244 6036 22189 19117
"200613_at" 6047 13448 18726 10593 16780 16002 6675
"200614_at" 5479 15596 15708 14729 4935 6314 7214
"200615_s_at" 4131 17760 20082 14357 16735 16661 5175
"200616_s_at" 17765 16150 18354 2492 6923 21491 1577
"200617_at" 19981 15517 3378 16838 17405 11131 19092
"200618_at" 17004 21016 16730 10468 19993 14508 19141
"200619_at" 19813 4739 14899 12700 16521 19352 9720
"200620_at" 5006 18686 15319 12266 4402 3568 5551
"200621_at" 5877 16470 17540 3813 17663 11736 9717
"200622_x_at" 5532 15592 16151 10605 6185 13436 7106
"200623_s_at" 2022 3266 13965 3818 9091 15693 18656
"200624_s_at" 5267 6207 20249 19233 2869 14314 4473
"200625_s_at" 3538 13521 4426 13355 7477 3461 18319
"200626_s_at" 932 5526 15274 13909 8197 2862 6770
"200627_at" 3341 14170 19837 11912 7973 3115 6423
"200628_s_at" 18540 1747 20863 11279 6138 17777 879
"200629_at" 3077 2842 16935 17236 9009 14687 8007
"200630_x_at" 21378 5439 4816 15692 18390 2402 17496
"200631_s_at" 16648 17101 17308 14164 4566 15116 9449
"200632_s_at" 16559 14708 13588 10182 8581 11664 17286
"200633_at" 6788 8376 13624 6604 11791 6416 12523
"200634_at" 5212 14815 17590 12917 17783 3225 10368
"200635_s_at" 2586 16274 5385 13157 19688 19871 19160
"200636_s_at" 21359 20687 7681 12092 18923 17354 20738
"200637_s_at" 18987 3614 7672 4874 18709 18928 20719
"200638_s_at" 3585 5853 20103 12840 8462 2874 7473
"200639_s_at" 19406 13735 17925 11270 20407 4078 17152
"200640_at" 18504 12559 15976 14418 9908 2364 17696
"200641_s_at" 5777 5512 20853 13852 4447 1959 3976
"200642_at" 6103 15911 17735 11175 8168 11376 9505
"200643_at" 5419 16485 15904 2875 9852 18801 20667
"200644_at" 18060 17880 19622 14536 16333 14670 17145
"200645_at" 2033 15559 13120 11890 17327 4080 7259
"200646_s_at" 509 18656 13996 18162 19890 13156 4185
"200647_x_at" 16823 4922 16568 19067 8351 11124 6845
"200648_s_at" 2653 2723 21636 20854 9262 15281 6237
"200649_at" 3712 4854 20263 16079 9830 16884 19417
"200650_s_at" 5839 15856 12989 6467 17520 10498 12399
"200651_at" 5185 13736 16100 4174 11896 6540 9385
"200652_at" 1977 16981 18573 12111 7070 12922 5435
"200653_s_at" 6781 5339 18071 16572 19773 11485 3249
"200654_at" 3881 5706 3686 12172 9517 13447 8031
"200655_s_at" 1614 3417 15762 16388 5440 3553 17666
"200656_s_at" 6892 14707 19096 16653 18928 16461 6868
"200657_at" 5858 5098 13137 4926 9471 6315 10175
"200658_s_at" 1942 4192 16287 14637 5390 10572 4558
"200659_s_at" 6304 3698 13498 17194 5138 13970 9507
"200660_at" 3452 13316 13202 13691 16816 3226 18331
"200661_at" 19306 5673 2498 15455 8455 15601 9298
"200662_s_at" 4149 4512 2234 4995 5581 13877 5562
"200663_at" 5531 16301 14080 13860 17112 16757 17986
"200664_s_at" 2525 15071 21601 10175 8901 20799 6949
"200665_s_at" 11367 10321 5023 6311 13331 9944 1398
"200666_s_at" 4803 15793 20137 10292 19470 15809 2820
"200667_at" 19927 13252 3315 10107 4522 15430 17679
"200668_s_at" 18333 14067 13389 11179 9514 4658 5333
"200669_s_at" 17917 4177 18166 12188 3916 4393 4242
"200670_at" 4145 17536 21053 19212 3894 18412 4376
"200671_s_at" 17649 21164 11351 22005 181 10689 22018
"200672_x_at" 21151 2776 14869 21714 19951 3563 20811
"200673_at" 207 12722 18254 12282 5647 15881 5535
"200674_s_at" 16671 6423 3162 6674 11869 6500 19546
"200675_at" 4858 17390 4742 11286 9315 11071 10135
"200676_s_at" 16307 4839 19631 20065 9904 3600 21168
"200677_at" 2238 17250 14822 4803 17052 14185 5865
"200678_x_at" 6636 2706 14218 14022 19455 15470 5366
"200679_x_at" 747 5945 20711 16529 17993 13246 8969
"200680_x_at" 17826 4777 14477 6724 11916 6566 17211
"200681_at" 2756 15836 15687 11766 9011 13193 7257
"200682_s_at" 6259 14813 17901 12288 9634 13765 18316
"200683_s_at" 719 4254 14200 10487 7163 4197 4496
"200684_s_at" 3409 5146 16215 20842 9632 12176 18069
"200685_at" 15796 19743 18492 16659 18797 17226 17813
"200686_s_at" 5069 16484 18284 4453 19720 14746 5841
"200687_s_at" 18732 19230 13587 17297 8218 16117 10532
"200688_at" 20684 12630 2665 16037 19902 20134 19441
"200689_x_at" 17104 5216 13086 3787 17630 6557 18039
"200690_at" 124 19606 4725 16400 19082 11904 9818
"200691_s_at" 5394 12567 15431 13963 8809 4250 6191
"200692_s_at" 1948 17468 17929 13979 6061 16718 2819
"200693_at" 5792 14484 16165 13850 8802 13670 4641
"200694_s_at" 3768 16118 3614 15830 17117 11499 3902
"200695_at" 18400 2375 19461 3280 5153 3032 7555
"200696_s_at" 6390 17906 13620 20855 4274 11072 5499
"200697_at" 389 18146 4095 12757 18307 13085 18426
"200698_at" 19284 16487 20394 16132 3104 3708 16928
"200699_at" 16670 17071 4855 14550 5041 3007 17555
"200700_s_at" 6221 13641 2528 17400 8133 3592 10133
"200701_at" 3475 6156 2821 10400 7071 3994 6829
"200702_s_at" 20521 6199 19359 10706 8791 18575 5485
"200703_at" 18677 12738 17975 13351 18648 10423 8670
"200704_at" 2323 18483 3801 17389 19411 11009 21203
"200705_s_at" 17045 6405 4209 4596 17057 4067 8667
"200706_s_at" 16656 5438 3592 11740 16639 4336 2126
"200707_at" 5152 2418 17187 11831 5578 12188 21012
"200708_at" 19286 6147 16117 12494 8758 12788 6763
"200709_at" 2573 15784 18588 17172 5626 12968 9895
"200710_at" 3269 17951 2158 4141 16441 16498 19087
"200711_s_at" 5195 18577 20184 14075 7003 12443 8361
"200712_s_at" 3921 17864 21218 20060 1963 19450 6725
"200713_s_at" 4715 16669 4024 2412 3803 14070 4666
"200714_x_at" 18208 3686 15454 13722 4782 14157 17182
"200715_x_at" 2744 4006 14842 14808 8612 11268 4308
"200716_x_at" 5487 8477 3781 6713 11905 6548 9529
"200717_x_at" 5672 8288 7461 6602 11789 6413 12521
"200718_s_at" 3600 12791 12900 10209 15928 6359 18086
"200719_at" 20156 15985 2384 16247 4004 3590 5308
"200720_s_at" 1773 14522 13793 16235 5221 18207 2595
"200721_s_at" 4719 17529 4290 12174 15881 15474 8612
"200722_s_at" 3621 17485 20477 21407 6795 12481 1257
"200723_s_at" 2470 12643 16739 13607 6827 16942 5523
"200724_at" 5144 17321 8356 127 21269 20009 22139
"200725_x_at" 5192 5722 4470 13202 17192 6368 17776
"200726_at" 16290 20073 20610 15884 3648 18028 9207
"200727_s_at" 2745 17520 16433 11147 2736 15416 17248
"200728_at" 1316 12736 17847 19692 4635 13083 4545
"200729_s_at" 5421 12543 16884 19621 5624 11160 3214
"200730_s_at" 6660 14947 13600 19175 2771 2054 2113
"200731_s_at" 19112 3551 18165 20832 8204 3889 2518
"200732_s_at" 18115 17253 16947 17311 4171 2034 6612
"200733_s_at" 6376 5674 21357 19608 1643 3542 9610
"200734_s_at" 4064 14875 17424 10933 9201 13328 9673
"200735_x_at" 3942 8506 14113 6663 11858 6488 17190
"200736_s_at" 8623 10256 13328 3983 10818 5690 7829
"200737_at" 1419 17206 16148 15233 3376 18084 5457
"200738_s_at" 6646 12648 15399 10926 8772 12884 18484
"200739_s_at" 3442 5617 16805 13730 5350 13679 5201
"200740_s_at" 2496 5241 14320 11035 8268 13121 7671
"200741_s_at" 18601 8292 7447 6511 11698 6292 12433
"200742_s_at" 5929 3282 13076 3135 19444 18670 3903
"200743_s_at" 18195 2668 13410 11759 16110 13804 4768
"200744_s_at" 2903 5682 20777 4467 6620 13563 6151
"200745_s_at" 19751 5093 18057 15731 3831 15357 8833
"200746_s_at" 17728 15212 14359 16760 3947 4003 8160
"200747_s_at" 466 15549 3499 13520 17607 19451 10024
"200748_s_at" 3485 14147 2452 6736 9551 3512 19026
"200749_at" 3012 18143 13816 14457 5919 11235 6164
"200750_s_at" 3909 13377 16425 6584 16684 6379 17820
