"inst_389" "inst_404" "inst_506" "inst_869" "inst_911" "inst_977" "inst_1023" "inst_1081" "inst_1184" "inst_1243" "inst_1668" "inst_2703" "inst_4467" "inst_5240" "inst_5603" "inst_6202" "inst_6959" "inst_7002"
"1007_s_at" 20992 15498 14045 3410 6724 4300 2221 2805 19573 2769 10000 96 8943 9827 7481 21863 5994 20632
"1053_at" 1922 21831 15439 19347 8526 17739 18954 4590 18891 17455 21702 5988 18395 6205 8017 13678 7539 3611
"117_at" 18793 14113 15148 16568 14339 5459 14625 15198 21774 10286 18391 9547 2766 18300 11475 3048 9272 16519
"121_at" 5023 13815 4653 8206 7116 20088 6164 4669 1092 5760 1809 2437 16696 4903 18287 16446 2120 8896
"1255_g_at" 5556 2414 7009 13806 12082 8197 11279 11996 13732 11144 14049 14798 11833 13036 13241 10555 9048 10936
"1294_at" 19960 6586 335 14690 10799 9154 1169 9578 1671 352 17588 9415 21696 10415 21730 5924 6281 19032
"1316_at" 18631 1832 2400 12191 9719 8993 4382 9278 18832 1294 3864 2126 20032 1975 7793 6175 6071 3134
"1320_at" 11394 2586 2665 11821 11471 7155 2649 7099 14313 9418 13638 12072 631 7505 442 7988 16764 15422
"1405_i_at" 1838 9864 9123 16903 9365 11884 13591 9720 6544 14635 15283 10346 15074 17480 15755 6088 2299 10835
"1431_at" 21003 13587 9211 12681 11290 9218 10862 14662 2968 7056 13483 18794 21828 21205 20260 20395 10609 18732
"1438_at" 978 22107 12665 20450 1678 17556 1388 14951 16352 1655 19797 11668 9579 8578 3549 1750 17314 6250
"1487_at" 21931 4775 5373 5527 21628 19504 19718 18264 2892 20052 3013 4699 17468 6444 5076 13508 3038 7205
"1494_f_at" 5938 1137 17732 3508 9761 8972 10889 9255 1537 18879 14754 10631 19106 19697 21370 21989 11023 9953
"1598_g_at" 19359 13553 4605 21381 20002 15104 1144 224 16806 15968 1177 21828 2003 9232 2442 1138 4284 19177
"160020_at" 2996 1967 2686 4022 15248 12787 10817 8720 5497 2276 15407 1337 7950 20090 8339 21737 183 18832
"1729_at" 20256 3024 5238 4509 6137 19850 4556 1869 22051 2872 4299 3966 20501 2494 9452 20602 6901 20233
"1773_at" 1231 2810 19989 20135 20763 21481 21463 17572 3233 3345 4674 20317 1995 9982 20344 14754 13694 20307
"177_at" 6374 4224 2235 15261 11026 5516 8294 9251 120 7121 11047 17448 20179 300 626 21601 16835 18558
"179_at" 14124 15630 4031 21706 162 5097 14537 10946 1749 18931 5815 2343 6123 9126 9029 6393 128 21516
"1861_at" 4544 1839 1466 20768 8068 20305 6573 5409 704 17369 19349 7139 9126 10932 3199 19186 6488 5041
"200000_s_at" 2552 17487 5459 3734 3171 3616 5494 3474 21083 20201 6868 8508 8781 8297 10938 17350 5598 9916
"200001_at" 17330 13757 18722 6104 8078 15124 4847 2963 4217 3980 6388 9483 9347 8494 5876 7343 4845 3918
"200002_at" 6165 15691 16149 9019 18022 4954 16963 17600 19226 16325 20975 19058 18186 19043 18384 16420 17831 19451
"200003_s_at" 14391 14881 14417 13971 12260 3600 10378 5303 8117 7595 8941 12616 12374 11291 12126 8983 7282 19107
"200004_at" 15541 13258 18062 19176 19399 15221 17195 4864 20386 16058 9238 9581 10103 6720 11450 17923 19566 20300
"200005_at" 14732 13811 16850 7690 8451 16263 7046 18627 5460 7495 7848 10724 19067 11103 11696 13897 19646 10225
"200006_at" 16161 16827 6243 9500 8156 16763 6950 17227 18824 17353 19260 10087 16814 9177 10810 18051 7115 9541
"200007_at" 3531 14971 19504 6230 7231 4219 15751 18813 6339 7359 9957 7836 10711 9697 9826 16039 6652 6916
"200008_s_at" 2719 4299 6393 6480 3338 15289 18898 5254 4391 7617 21047 9591 17466 9079 10471 14050 19228 10278
"200009_at" 2771 5452 14251 20641 18863 17149 16954 18083 4927 18941 20091 8383 17694 19148 18770 6427 8328 20288
"200010_at" 19600 4053 1276 9429 6719 14785 5308 17218 8945 7483 19395 12618 7095 9675 11021 8986 7580 10118
"200011_s_at" 2811 19214 19631 19161 20119 18788 5645 2788 19919 18721 4581 20140 8744 9374 8996 15713 4148 8338
"200012_x_at" 3414 14796 15307 20499 18479 4714 10693 17643 8243 4823 20411 12580 10597 19436 19333 8946 18467 19150
"200013_at" 6531 14615 3765 9149 6328 14742 7004 6298 8085 5990 20166 8344 8883 10396 18296 15125 8165 10587
"200014_s_at" 6405 12640 14727 9238 8341 15397 6726 3740 9070 16739 7338 7126 16651 6057 11209 15006 6629 7853
"200015_s_at" 2953 18352 16691 6889 6539 16936 16045 17029 6396 6145 7550 5845 8286 7834 6511 16888 5975 5682
"200016_x_at" 5366 12301 15200 10243 11759 5051 16327 4941 6268 15850 6849 12561 8441 10813 12025 8913 5609 7118
"200017_at" 16471 16753 21264 13343 12439 5096 10528 17459 18048 7296 19669 12703 12457 14206 14602 9093 8379 10066
"200018_at" 14838 5399 5550 20099 8546 4450 6687 6321 8176 15782 10320 12694 12448 7667 14588 9085 7790 19922
"200019_s_at" 16120 12944 14761 19367 8427 3974 5955 19392 20089 7372 19370 12665 10840 6823 10873 9057 17380 10320
"200020_at" 14321 15375 17065 20814 19415 19974 21702 6241 20365 20676 20786 19029 21459 18787 12302 18797 19333 19658
"200021_at" 2222 14945 16239 19278 11864 2466 10534 3902 19926 16878 8849 21564 12541 19767 14717 9190 8906 10054
"200022_at" 16847 12329 5374 20137 12024 4010 15957 19752 6857 6672 20075 12631 17462 9932 18365 9000 19191 10577
"200023_s_at" 5709 15238 3814 5510 3912 3759 6488 2682 5339 16684 5576 6690 9373 9762 6044 13471 3914 6841
"200024_at" 4391 13208 17180 19243 6752 3961 6308 5000 17901 7631 19539 12668 16191 11441 11586 9060 8571 19714
"200025_s_at" 14435 4874 6292 19399 7311 16534 6161 5813 18361 6052 19425 12693 10458 9800 12135 9084 8027 19137
"200026_at" 16094 5262 2229 19949 18871 15287 18279 5959 18874 6833 10274 12786 12548 8115 14723 9193 8543 19401
"200027_at" 14292 13136 17562 7408 18768 17727 18823 18411 18720 20365 9128 18149 19937 19025 11035 19673 8042 19692
"200028_s_at" 16343 18756 17618 10103 20726 18378 16412 18003 7298 17993 19224 17919 17808 20085 18304 13549 19382 21031
"200029_at" 14293 4430 16571 10313 12004 5130 5391 17901 8866 4341 19416 12654 17082 19914 12320 9041 8382 19057
"200030_s_at" 4289 15058 5840 10434 18549 4245 6046 4786 8436 7516 19988 9996 16377 11216 10400 17766 7762 10605
"200031_s_at" 17032 4396 5705 13326 12416 4467 10510 18000 18367 15940 19503 12684 12443 10155 14580 9079 7414 19988
"200032_s_at" 16254 12896 5050 13550 11673 4498 10232 17692 19256 7920 19952 12706 12460 11310 14604 9098 8837 19588
"200033_at" 3180 17703 18616 21508 19328 20912 20045 19405 7811 6858 20459 7761 17435 10136 18771 17206 20389 20207
"200034_s_at" 6347 14680 15432 20270 8273 15277 17077 18956 19046 16793 20672 9145 9176 9998 19113 16100 8924 20796
"200035_at" 2940 18037 14897 6291 18147 4538 4772 602 19100 6149 7648 19556 5059 2826 4714 15996 6172 10237
"200036_s_at" 14636 2675 17847 8236 3917 3663 16051 18768 18277 8136 8289 10640 16255 10027 7708 8976 6197 10150
"200037_s_at" 4385 15358 21446 19503 18463 15907 17549 6134 7641 7220 6381 7354 10530 5611 8440 13670 18965 9238
"200038_s_at" 17417 13510 14709 13596 11621 15389 6706 17449 19556 4910 10100 12767 10738 18972 18348 9163 18251 19986
"200039_s_at" 15294 12468 14907 9935 4966 16958 5015 18519 20281 15626 19430 19494 18048 10199 11031 18137 17775 20720
"200040_at" 5328 14142 17066 8229 8679 16548 5327 5620 8790 20588 5272 8900 10364 18825 10015 15681 4641 7647
