"inst_2570" "inst_3432" "inst_3815" "inst_3898" "inst_4372" "inst_4550"
"200594_x_at" 12528 15637 13014 9981 6200 6215
"200595_s_at" 11957 17664 5850 7187 15283 16165
"200596_s_at" 11742 20835 1990 5441 17692 16325
"200597_at" 5089 16990 2291 12588 16524 20404
"200598_s_at" 9990 15332 15637 13072 14807 4890
"200599_s_at" 10841 16861 4296 9129 5963 5774
"200600_at" 7696 9808 12731 15322 9600 4494
"200601_at" 11345 1696 19974 6382 18756 2752
"200602_at" 2108 21764 19617 7986 17107 6176
"200603_at" 6897 15399 13028 11500 6128 4747
"200604_s_at" 1322 5878 2296 12496 7643 6242
"200605_s_at" 5919 3408 2525 6461 5767 6652
"200606_at" 21341 5635 15184 9848 15882 5590
"200607_s_at" 7691 5526 4336 5470 19601 6740
"200608_s_at" 7193 16758 14696 8905 7015 3598
"200609_s_at" 6631 3701 18274 9787 8222 18682
"200610_s_at" 19741 15758 13506 8862 7748 3717
"200611_s_at" 5284 4646 18894 9217 8361 3226
"200612_s_at" 20870 21959 732 4140 1564 19590
"200613_at" 6491 16588 13412 19583 8380 6112
"200614_at" 10993 16827 12740 9714 10804 6563
"200615_s_at" 11792 4651 13306 10287 15183 9278
"200616_s_at" 8984 18517 3305 9408 8256 17507
"200617_at" 12882 3713 12503 7982 7459 6124
"200618_at" 7885 5397 17252 11485 9095 17045
"200619_at" 6602 4310 5496 8331 19551 3592
"200620_at" 6402 6615 12625 7882 6918 7002
"200621_at" 7883 17178 6962 10798 6835 6596
"200622_x_at" 3308 20004 14070 8929 18344 5056
"200623_s_at" 21596 21982 13351 3378 6235 19556
"200624_s_at" 9075 6996 4991 6407 8602 3649
"200625_s_at" 6451 19105 13489 7719 6760 9269
"200626_s_at" 11083 20455 13096 8857 5832 1794
"200627_at" 12077 6967 5986 13112 7144 5799
"200628_s_at" 2061 2789 4951 7464 8228 3153
"200629_at" 8964 19780 4641 8326 14729 20562
"200630_x_at" 11159 15499 12275 20071 4303 9380
"200631_s_at" 12567 18423 15924 7931 17740 17590
"200632_s_at" 3913 21126 14945 2889 3496 9618
"200633_at" 12322 6908 8616 15171 10905 11637
"200634_at" 11196 5849 4759 12365 8979 6677
"200635_s_at" 5117 4437 5657 4576 2925 2117
"200636_s_at" 16106 18697 14944 8309 16771 19504
"200637_s_at" 15574 1465 3892 7450 3161 19546
"200638_s_at" 7200 6930 5079 11570 8294 4977
"200639_s_at" 9633 15783 15200 11629 18269 6327
"200640_at" 11090 5389 5898 12004 7816 9254
"200641_s_at" 7027 1778 2070 20243 6457 7746
"200642_at" 12890 17038 6055 11666 15832 5927
"200643_at" 4530 19977 16924 8579 20313 16098
"200644_at" 6964 18546 6041 13035 5497 7259
"200645_at" 5441 4598 16966 12302 4938 8287
"200646_s_at" 13386 2984 19978 5217 19345 19225
"200647_x_at" 11062 16515 18810 11648 16139 18528
"200648_s_at" 3812 6217 3613 11044 18565 9766
"200649_at" 11158 720 18681 8403 4338 6072
"200650_s_at" 15221 5631 8478 12861 10731 11511
"200651_at" 15447 4791 5630 15283 11031 6665
"200652_at" 11496 18630 16873 11966 5582 9402
"200653_s_at" 5258 17217 14014 19901 3940 1022
"200654_at" 11436 6653 12430 8954 8439 8892
"200655_s_at" 8948 16350 12181 7228 15855 18263
"200656_s_at" 6919 4087 16013 6796 5704 2872
"200657_at" 10796 4931 12762 12207 10806 16828
"200658_s_at" 6126 4003 6401 9204 8094 6317
"200659_s_at" 8676 2386 7045 8267 15259 19452
"200660_at" 11494 4516 6542 11921 7981 5895
"200661_at" 6580 2935 12822 6616 17892 7398
"200662_s_at" 9816 5534 16154 5690 8295 6441
"200663_at" 5635 6886 12772 20134 3862 4672
"200664_s_at" 2031 3105 13986 7409 5618 17083
"200665_s_at" 16853 10622 9122 17222 3786 17967
"200666_s_at" 10402 5420 16218 8713 3631 7612
"200667_at" 9012 3742 15805 5374 19072 4881
"200668_s_at" 10572 15477 12580 12226 7655 9100
"200669_s_at" 8706 3729 3878 9998 6239 8056
"200670_at" 7916 18192 16259 8715 15810 4546
"200671_s_at" 19155 532 17109 20606 21881 20267
"200672_x_at" 630 304 1690 8015 8430 19594
"200673_at" 6873 15480 12618 9462 3543 2606
"200674_s_at" 15409 7069 8687 15248 10993 19476
"200675_at" 7397 4424 17292 10118 6377 4982
"200676_s_at" 10636 640 17926 525 3707 21648
"200677_at" 3055 2213 12718 10588 8449 5561
"200678_x_at" 9377 17139 13943 6724 15538 4034
"200679_x_at" 5723 18622 2338 12469 17258 4976
"200680_x_at" 13385 19040 8740 20244 11059 16641
"200681_at" 9366 6716 14924 13118 5551 16337
"200682_s_at" 8216 4324 4382 19512 5038 16831
"200683_s_at" 7499 16099 15688 7430 16469 6405
"200684_s_at" 1625 6366 14759 5266 8969 17193
"200685_at" 6612 21498 16779 11202 15427 16999
"200686_s_at" 670 3018 13488 6632 2924 2074
"200687_s_at" 9328 6192 19003 8098 8523 9253
"200688_at" 4367 18280 16125 8458 20809 19821
"200689_x_at" 12957 5181 6127 19546 11050 9758
"200690_at" 3955 18455 17458 7800 3663 18691
"200691_s_at" 6206 4382 4690 9871 15449 16902
"200692_s_at" 6942 16221 6632 8044 6761 3360
"200693_at" 5111 5198 14393 10630 6075 4198
"200694_s_at" 6498 17158 16962 9457 4238 2878
"200695_at" 10408 3372 20068 8180 2366 20040
"200696_s_at" 5068 22102 19027 5586 4435 6550
"200697_at" 9751 19378 15126 2049 5472 17779
"200698_at" 10294 6439 5967 9400 18374 16922
"200699_at" 9969 20040 4658 8276 17487 19193
"200700_s_at" 13197 17105 4762 10642 14913 16596
"200701_at" 7302 19143 6781 8492 9153 17541
"200702_s_at" 12341 4700 14254 12066 5209 7462
"200703_at" 9980 16842 14620 19777 4425 3542
"200704_at" 3030 16287 19307 12308 17298 6707
"200705_s_at" 15270 17504 6243 20463 16792 18007
"200706_s_at" 1369 1918 15677 3404 7370 19630
"200707_at" 3083 16505 16357 2771 19244 6667
"200708_at" 10214 15472 14938 8136 8190 7884
"200709_at" 9470 19093 15558 3505 19834 4834
"200710_at" 4209 2879 4615 11176 18975 8188
"200711_s_at" 10441 20824 5620 3598 15339 7025
"200712_s_at" 5241 5538 14728 3948 8340 3718
"200713_s_at" 6806 4885 6044 10924 7662 16026
"200714_x_at" 9759 16042 6593 3910 5440 7522
"200715_x_at" 12930 5323 5847 12663 6679 8276
"200716_x_at" 15453 5721 8728 15292 11040 8442
"200717_x_at" 15343 16138 8614 15169 10902 11636
"200718_s_at" 10289 6365 13406 13232 10851 6569
"200719_at" 8178 6913 14460 4673 5546 9227
"200720_s_at" 20355 18582 16134 12516 8540 6910
"200721_s_at" 5539 4260 17996 4799 5944 16036
"200722_s_at" 4552 4220 6728 9073 8875 21187
"200723_s_at" 7104 6157 5924 11899 7211 9015
"200724_at" 17970 18866 2561 2855 22184 22084
"200725_x_at" 11693 20263 12360 19956 10860 9161
"200726_at" 7880 16886 6434 3943 17884 16458
"200727_s_at" 9899 20598 2503 4358 3192 2207
"200728_at" 11867 19447 2554 8629 8451 5319
"200729_s_at" 1333 3898 5690 6457 5948 3346
"200730_s_at" 7932 16464 1608 9860 8647 4202
"200731_s_at" 3556 17129 5394 12183 3079 4435
"200732_s_at" 9710 20244 2568 8667 15205 6644
"200733_s_at" 7438 16368 13931 10892 5630 1614
"200734_s_at" 13268 21648 4883 13167 19298 20393
"200735_x_at" 15401 15735 8677 15236 10977 6941
"200736_s_at" 11342 12045 16842 17331 13032 18570
"200737_at" 4269 3002 17637 5543 5777 5678
"200738_s_at" 12665 16569 8753 11150 16279 9285
"200739_s_at" 9747 16834 16529 8731 17168 9308
"200740_s_at" 11082 4330 15619 11042 8728 7437
"200741_s_at" 15257 17809 8523 15077 10782 11550
"200742_s_at" 5269 3340 15848 7452 17774 17627
"200743_s_at" 8442 20664 14640 11053 16698 9191
"200744_s_at" 4836 16739 6616 8559 8185 6724
"200745_s_at" 6569 5617 6820 6010 7275 5674
"200746_s_at" 10296 4914 15450 6508 5084 6220
"200747_s_at" 4199 6053 18798 4694 16162 8239
"200748_s_at" 2496 5924 8749 13027 6219 16634
"200749_at" 7811 16628 14973 5059 8691 8009
"200750_s_at" 11063 16059 8594 15145 10870 9485
"200751_s_at" 7181 3867 4754 11294 8289 7147
"200752_s_at" 6091 6725 5186 10610 4173 8688
"200753_x_at" 3306 4763 5806 11045 6144 3898
"200754_x_at" 12581 15424 6994 11391 15558 17537
"200755_s_at" 5968 18785 12746 10998 2257 6913
"200756_x_at" 4104 18190 1435 19932 16762 9708
"200757_s_at" 7276 4864 5064 4190 16937 9036
"200758_s_at" 8988 2963 16863 7938 17097 18821
"200759_x_at" 7697 2777 7125 1331 16534 4476
"200760_s_at" 7809 19186 5304 12892 7066 17099
"200761_s_at" 2836 6018 13511 8533 5205 3029
"200762_at" 4386 4385 14972 3115 16860 9297
"200763_s_at" 15413 15700 8691 15253 10996 11707
"200764_s_at" 4522 6576 18493 9368 18118 13328
"200765_x_at" 2976 5343 10777 10378 7644 11506
"200766_at" 20248 16536 17717 5705 17331 19763
"200767_s_at" 8066 15282 7042 8555 7176 3967
"200768_s_at" 10016 20855 3614 10654 6072 16706
"200769_s_at" 3200 15923 2052 12329 3288 18574
"200770_s_at" 10111 20041 3430 7031 17082 1595
"200771_at" 2449 4737 12874 6075 4211 8340
"200772_x_at" 15372 17255 8650 19619 8355 8858
"200773_x_at" 13411 6057 5462 20494 6360 5945
"200774_at" 10678 15682 14027 11741 15582 16426
"200775_s_at" 12864 17130 1906 10625 4379 20101
"200776_s_at" 3511 4114 2073 10379 9213 5853
"200777_s_at" 4332 17193 4611 12097 6899 8633
"200778_s_at" 5272 6304 4589 12902 5417 17898
"200779_at" 11051 17052 13464 10926 15151 16626
"200780_x_at" 11679 19037 12247 13311 8291 7680
"200781_s_at" 15327 5695 6111 20367 10879 8718
"200782_at" 7252 20864 6565 4686 5997 6285
"200783_s_at" 19894 4824 4671 8670 8641 19508
"200784_s_at" 15989 7566 19530 15424 12462 18767
"200785_s_at" 19065 10850 22095 16500 13515 11394
"200786_at" 7794 5800 5372 8781 9266 7807
"200787_s_at" 5212 6829 2160 20682 19585 9550
"200788_s_at" 4312 16468 6200 13012 6549 7880
"200789_at" 1923 19609 12886 1962 16294 7254
