"inst_1000" "inst_1058" "inst_1161" "inst_1220" "inst_1645" "inst_2680" "inst_4444" "inst_5217" "inst_5580" "inst_6179" "inst_6939" "inst_6980"
"200051_at" 17490 19218 5862 19349 20337 8437 16193 18432 16932 20287 19877 18641
"200052_s_at" 6184 4797 4839 13085 16011 5027 7728 7801 14553 7911 16214 16473
"200053_at" 21309 21042 21842 19783 20785 22006 20515 18704 20859 21954 21723 19647
"200054_at" 17383 3913 3474 17728 18591 6704 9582 17777 18329 7294 16579 17964
"200055_at" 4574 2140 4552 14052 5010 5405 7842 15037 6518 7324 4045 6032
"200056_s_at" 18185 18353 6085 20775 17149 3801 17541 7772 14487 7329 19675 16020
"200057_s_at" 15857 16684 18291 15805 15897 9144 15531 17539 14629 14919 16009 17093
"200058_s_at" 16646 17625 5422 16938 18428 7095 16414 16927 18293 6820 17403 18465
"200059_s_at" 16663 4437 16209 13579 15174 6991 10238 6870 12742 7515 16244 15481
"200060_s_at" 16500 19514 18822 21718 19402 15956 18203 18524 18050 15547 19148 19387
"200061_s_at" 9511 5249 6914 7844 5792 11060 11783 15928 8952 9699 15713 6254
"200062_s_at" 9591 5200 16369 4350 5815 10983 11693 10617 8835 9612 15415 6406
"200063_s_at" 9311 4929 7409 13257 16349 11109 11823 10890 9013 9742 16148 15007
"200064_at" 4735 16711 5499 4898 15321 6071 7795 7805 12965 7923 15790 16634
"200065_s_at" 6028 4680 18265 15401 5111 16806 9658 7480 15092 15611 6758 16289
"200066_at" 3106 2730 2634 3197 2803 2191 7522 3737 3684 4062 1699 3871
"200067_x_at" 19891 5180 6602 14648 15216 6377 9887 15431 15506 6404 5268 16012
"200068_s_at" 15685 18351 17538 13818 15382 9179 8170 7817 13694 13682 5226 5832
"200069_at" 21616 21863 19219 20499 21593 15331 20930 21476 21850 7812 21586 18759
"200070_at" 21082 19520 16755 15630 21341 17605 20918 19112 15117 14323 19352 21703
"200071_at" 21167 21794 19947 18043 19516 8406 17721 21007 20634 19054 21783 18248
"200072_s_at" 17019 16592 7177 15251 16150 6837 17065 16233 15483 14218 16430 16993
"200073_s_at" 17990 18337 20439 14790 17076 16721 17057 17473 16590 18542 16735 18032
"200074_s_at" 5152 4958 6430 13438 16347 8405 15490 7453 13868 15173 16469 15278
"200075_s_at" 4135 2072 1174 3633 4966 1995 4884 5827 6037 3852 4044 4875
"200076_s_at" 19380 19369 7621 19814 18684 18835 19861 18873 18576 16131 19913 18606
"200077_s_at" 15024 4205 7562 5024 4924 7513 15977 7081 12975 7513 6291 5685
"200078_s_at" 5020 3588 7580 1968 2431 7039 4258 3714 5317 15669 4220 3103
"200079_s_at" 5573 5158 5784 4772 5442 7447 6194 7786 13740 7278 4850 6096
"200080_s_at" 15334 3765 16658 5008 15841 6357 9952 5373 6613 7558 6388 15021
"200081_s_at" 5682 17319 7568 4571 5696 8899 15975 14992 14150 13712 16001 6213
"200082_s_at" 6106 5449 7085 13985 14473 11099 11813 15783 6946 9731 15490 6495
"200083_at" 22047 22004 21734 21490 21768 20956 21780 21270 21523 21127 21852 22093
"200084_at" 17393 17567 17736 18051 17690 9365 16442 17143 16313 15600 17223 17138
"200085_s_at" 5309 5118 4906 4396 5421 7231 9670 8078 13314 14467 6126 6667
"200086_s_at" 15403 17133 6933 16317 14509 6289 15400 7208 7112 6919 6787 6608
