"inst_1000" "inst_1058" "inst_1161" "inst_1220" "inst_1645" "inst_2680" "inst_4444" "inst_5217" "inst_5580" "inst_6179" "inst_6939" "inst_6980"
"201868_s_at" 19276 19046 18518 3196 21373 19080 18260 17280 18223 15304 15160 21583
"201869_s_at" 20411 21770 17591 3527 5086 19675 17761 18291 19443 21083 2416 21814
"201870_at" 3672 4386 18188 17385 3431 6436 17261 5769 15525 17011 4077 16074
"201871_s_at" 1689 1494 1464 1227 2271 1461 2330 3315 5066 4631 2305 2187
"201872_s_at" 19864 18846 20873 19713 20109 20522 20383 20656 20883 20331 21392 20745
"201873_s_at" 20397 21436 21550 20880 20359 20468 21419 21336 20973 21326 20546 21464
"201874_at" 3215 5072 16 4618 3389 46 7469 7652 5445 92 18972 4373
"201875_s_at" 4098 16858 95 2057 15157 329 8038 4815 13460 145 4960 3759
"201876_at" 20897 17481 22180 16989 19864 22131 17253 19567 19720 22170 17999 19849
"201877_s_at" 17066 16877 18077 21343 5337 6399 17407 4673 14632 13859 5502 18307
"201878_at" 17960 4438 1606 16062 17094 3034 4462 3775 5041 4499 4759 15425
"201879_at" 5262 17572 2048 4952 4126 2967 4707 4668 3695 5011 5830 15660
"201880_at" 18410 4993 2708 4821 14476 4321 6541 7699 13836 7551 15514 6014
"201881_s_at" 5314 3258 2385 3758 4751 2047 2222 3200 6106 2654 5840 2950
"201882_x_at" 9663 12385 13620 10725 5982 15064 12670 14514 12774 12943 10533 10205
"201883_s_at" 20169 20171 2090 3514 18851 16015 7847 20995 20916 15721 17943 21263
"201884_at" 3079 9642 15770 13717 15281 2973 6482 12335 20166 12516 7435 7942
"201885_s_at" 2594 2648 1223 4224 2913 2515 6187 6254 4378 2261 3016 3158
"201886_at" 2802 634 7060 16122 2027 4542 9290 5871 3633 2815 16306 5842
"201887_at" 15923 17208 20745 14606 16767 15986 9096 19555 16930 19622 6482 18333
"201888_s_at" 18854 19025 21108 14791 17719 16801 16498 15074 16593 18465 4810 18647
"201889_at" 3663 3094 3393 4524 14904 2964 4697 5561 6512 5741 5990 15128
"201890_at" 5165 16766 21689 2189 16379 21706 5660 5887 14821 21484 4571 5321
"201891_s_at" 3156 2385 16576 14008 2462 11147 7623 3152 3456 9778 3224 3384
"201892_s_at" 4689 5625 3952 15789 4158 4625 9205 4832 6469 4567 4180 5266
"201893_x_at" 7887 7665 7873 11734 7415 12642 9972 14443 7673 1670 11790 13203
"201894_s_at" 4856 5554 17163 13964 16070 16843 15313 18751 4455 15602 6477 4720
"201895_at" 19548 21165 20366 16597 18281 21556 20649 19885 18781 21516 21287 21754
"201896_s_at" 4970 16477 3083 19004 16551 1132 18719 20283 17545 4162 17912 15304
"201897_s_at" 16659 5305 16296 16503 16956 6855 16143 17737 15680 14917 17441 17205
"201898_s_at" 3186 2439 5984 3063 3485 6485 3251 4406 5091 7540 6219 5405
"201899_s_at" 2546 3541 4256 3797 3834 4498 4218 3223 3550 7015 1992 1849
"201900_s_at" 2720 2443 3868 4978 3385 4785 7361 4791 4529 3965 4501 3139
"201901_s_at" 20088 20612 20026 19790 20597 18463 20018 20764 19664 19761 20687 21042
"201902_s_at" 20882 16733 17713 18180 19278 19158 17134 22017 19666 18484 21589 18734
"201903_at" 15230 16398 4596 18714 18642 8941 17329 17380 18119 16252 16483 16225
"201904_s_at" 20668 19344 8309 14942 20035 13371 16898 7597 16494 11282 18432 6631
"201905_s_at" 2858 13703 12856 12896 5681 11990 4862 18628 19171 10849 20298 16195
"201906_s_at" 17475 18510 15589 13975 3004 8544 15409 3005 19596 10386 3429 18262
"201907_x_at" 18702 12159 11260 5650 3278 9864 19760 17487 20071 8032 6634 459
"201908_at" 17363 20619 3540 790 17627 6998 15990 16389 17967 3366 18888 17651
"201909_at" 12686 15411 9151 8913 5077 12040 13609 14733 18544 10473 11641 13905
"201910_at" 15986 16914 10593 15791 19965 13224 20894 8146 16420 6326 21396 17832
"201911_s_at" 6083 19275 13439 14228 17244 3132 17888 18843 21714 12708 5285 16498
"201912_s_at" 16828 16847 19839 4339 16721 18244 8386 17688 17723 19075 16796 17241
"201913_s_at" 17714 16642 6280 19126 19357 7321 18083 20363 18910 15882 21461 20338
"201914_s_at" 15853 18014 19871 4917 15911 16218 16192 7206 5813 19287 18396 15830
"201915_at" 5695 16415 21474 13434 19241 18917 7488 2677 5863 20057 1482 1811
"201916_s_at" 15285 17365 19772 17177 16867 17651 9766 15953 17343 17923 16291 5523
"201917_s_at" 4975 1882 6048 13587 4742 8771 2496 7989 6979 13612 16386 17077
"201918_at" 5497 18091 4935 5197 16077 17459 4002 6742 6236 14898 5852 5529
"201919_at" 5677 16679 6898 14169 4620 16104 5179 16230 13871 14088 5952 16401
"201920_at" 19302 18924 17359 2582 19423 15409 8022 19126 18289 17255 17906 18949
"201921_at" 6054 4586 19683 13379 5327 16957 6970 6578 6854 18543 2772 6085
"201922_at" 16223 16430 5055 3306 14916 9031 9664 16899 13398 13762 16222 14972
"201923_at" 16478 5498 17224 14925 14968 8639 7457 7846 14091 14708 15244 6270
"201924_at" 1101 483 3125 1320 639 2170 1203 1903 959 5482 1059 2189
"201925_s_at" 3677 3393 19518 370 1647 15408 1191 4660 5043 18830 3786 2299
"201926_s_at" 4196 2102 18967 449 2582 18316 1634 6192 6325 19327 16199 15801
"201927_s_at" 15067 5176 4958 14354 19279 7492 6146 16360 15319 6194 15527 17639
"201928_at" 18850 17704 16228 13473 16940 8658 9190 7912 17631 16317 16850 17758
"201929_s_at" 17593 18368 5227 3488 16525 18186 9294 16035 14393 16923 17318 15242
"201930_at" 18962 17791 20436 18968 19282 20057 18165 18198 18469 19014 18645 19021
"201931_at" 3291 4497 6818 13663 5204 6134 5952 6153 6782 7751 5829 5400
"201932_at" 22078 21741 22237 21907 21815 22138 22203 22092 22185 22159 22189 22125
"201933_at" 17160 3609 18724 14567 17672 6390 9085 16702 14133 3000 6292 15840
"201934_at" 21330 20253 18461 21644 21622 15307 20704 20913 21412 18426 21015 21209
"201935_s_at" 20155 19361 19641 20700 21362 17870 6615 17083 20093 18998 19688 16357
"201936_s_at" 18817 19796 19415 21334 20670 15949 21044 19917 21267 19154 21500 16972
"201937_s_at" 18755 17530 5091 16449 18608 17280 17634 19572 17454 6891 17447 20387
"201938_at" 17444 16680 19598 16016 18246 16491 15243 15188 16738 16975 15386 17673
"201939_at" 21304 22165 14049 98 21989 3314 174 21650 21551 5495 22116 22107
"201940_at" 3555 1216 1952 3708 2422 2007 1724 1749 2897 3340 1883 3572
"201941_at" 1313 1952 2107 851 1148 2729 1929 2268 2797 2749 1044 1890
"201942_s_at" 3231 1059 3896 2897 4060 2168 3727 3244 5708 2380 3800 3604
"201943_s_at" 2160 781 2809 2674 1421 2349 1708 2048 1932 3012 3537 980
"201944_at" 15759 16475 16993 13224 15318 6106 7442 7970 14476 15353 6429 6242
"201945_at" 4917 11844 6729 14059 4219 18632 10112 18060 13524 15422 18383 17562
"201946_s_at" 15209 16884 16621 15207 14595 6165 7033 7838 6143 15958 17177 15088
"201947_s_at" 17081 5149 16394 15487 15621 8207 15677 15825 14976 15176 16825 16079
"201948_at" 3446 1543 3048 3878 3927 6356 6281 3193 6449 15555 5146 15506
"201949_x_at" 5021 3686 6624 16341 17966 3102 7353 5069 15905 15185 6378 19250
"201950_x_at" 5446 3510 5116 4838 15426 6533 15421 16536 16602 16136 18157 17130
"201951_at" 369 7908 20428 4404 497 15524 3799 655 2169 17449 600 513
"201952_at" 1179 722 18858 3933 573 17369 5553 1226 1239 18972 889 814
"201953_at" 2868 1353 1980 2646 1485 3137 2935 2776 3862 3383 3870 2766
"201954_at" 16988 17052 18192 17281 15646 18647 8648 7540 14759 18555 15472 15874
"201955_at" 6036 3739 2058 13784 4362 1835 6712 5390 5632 2727 4317 4804
"201956_s_at" 16821 17087 6019 19357 15108 8716 16652 17442 15047 15169 18107 17118
"201957_at" 1859 4374 6125 2601 2528 4571 6520 15228 2060 3341 3409 3645
"201958_s_at" 13945 8528 8157 6250 12592 8397 9037 1560 14577 2298 9098 7240
"201959_s_at" 4506 17296 16471 3991 15079 16422 5001 4751 14407 17977 5083 15858
"201960_s_at" 16781 18447 6628 4906 2947 6929 3546 15097 5750 16697 16619 5721
"201961_s_at" 2593 1210 4760 18308 4300 6611 4516 2799 1079 17472 514 1696
"201962_s_at" 544 380 5932 20427 3596 6386 3710 1137 13978 6581 676 1309
"201963_at" 1505 2560 17292 840 1794 5522 478 3181 3538 7275 1232 1998
"201964_at" 5040 3251 4883 18901 4985 3859 5456 3609 15805 2923 4385 3476
"201965_s_at" 6144 3431 3155 4854 19699 4722 17668 5350 13026 7680 15926 3295
"201966_at" 18453 18269 20302 20393 18455 20371 19559 17553 17175 20231 17588 17927
"201967_at" 17604 5365 4746 19782 15568 16564 16222 8080 17717 15623 6789 3035
"201968_s_at" 2741 1800 21144 19560 3132 19116 7497 4886 6011 20105 709 5538
"201969_at" 16009 18969 20784 18435 17403 18548 21077 6625 17437 19754 18042 21568
"201970_s_at" 5124 16943 19686 18609 16030 18538 19378 6843 13373 17617 6906 6467
"201971_s_at" 2906 967 140 1292 363 168 617 1853 2388 157 4742 1033
"201972_at" 1944 2616 68 3033 1513 509 1238 2706 1446 443 1260 1469
"201973_s_at" 16665 5471 18907 17690 14544 19020 8933 7797 13359 19355 15494 14974
"201974_s_at" 8199 15439 13974 10636 6946 7971 1993 13332 12394 13006 12759 4546
"201975_at" 20850 20527 21423 21754 21489 16521 21750 21877 21778 21469 21737 21509
"201976_s_at" 1743 1047 2006 1024 1754 5444 2355 1323 2754 6856 923 2815
"201977_s_at" 21686 21022 18225 19935 20556 19032 20864 21192 19052 17298 6907 21803
"201978_s_at" 15251 20071 21351 20356 20995 16656 21402 22015 19172 19233 20535 21589
"201979_s_at" 20231 19643 20818 21751 18313 16127 15795 17808 21206 16178 20067 20962
"201980_s_at" 3892 937 1616 3613 2436 1663 1804 3851 3525 4222 2135 2872
"201981_at" 10967 13102 9290 11852 13993 4042 5842 8906 3283 13953 3604 11629
"201982_s_at" 11545 9899 14059 10414 13200 11767 11409 14484 4345 1420 13872 5981
"201983_s_at" 5069 16154 7939 13998 18110 17732 15358 6830 16596 10957 18271 594
"201984_s_at" 13005 8254 14241 17344 14455 14530 10089 20784 3904 12211 14546 2500
"201985_at" 4130 3508 2367 16436 3901 2784 5897 6797 15237 3688 5886 4756
"201986_at" 20335 21535 19285 21337 21165 16774 20365 20220 20601 18627 20782 20961
"201987_at" 20516 21433 17880 20898 21229 7302 20023 19274 19554 20000 20536 20721
"201988_s_at" 3780 1135 2657 3850 2877 3526 3661 4417 4650 2955 17643 5793
"201989_s_at" 2477 2594 1944 4227 2097 3162 3349 3433 4380 1520 3730 3414
"201990_s_at" 5201 1007 1843 14333 1206 3031 3865 5799 4142 2278 1347 1162
"201991_s_at" 16711 20244 18042 19321 19031 16735 16186 18016 17667 19357 19446 19435
"201992_s_at" 19338 20241 20124 15391 20116 20584 19054 19179 17997 15370 19962 20030
"201993_x_at" 16528 5589 18884 2731 19785 17531 18450 19561 19019 19911 20062 20374
"201994_at" 4072 5659 17704 13164 5534 7804 7965 15315 6285 14740 5795 5910
"201995_at" 337 343 1071 152 377 2990 436 518 541 282 447 681
"201996_s_at" 20828 20031 16859 4198 18493 16940 15398 17923 16921 14433 19177 17689
"201997_s_at" 18131 20904 17662 4203 19485 17927 8359 19374 19871 18549 17872 18006
"201998_at" 7268 8216 21192 3639 590 21471 7521 773 597 20892 8794 7089
"201999_s_at" 2895 2113 304 2059 2374 1328 5689 5347 6448 1393 3087 3768
"202000_at" 20533 21064 21595 21789 21035 21791 21861 21643 20917 20776 20046 20392
"202001_s_at" 16250 17854 18999 18376 18458 17160 16719 16250 16003 18396 17312 18040
"202002_at" 11215 16311 9138 7663 11559 12764 11583 14391 19060 11507 13438 16169
"202003_s_at" 16553 18147 20504 17274 17189 20219 7852 15149 13393 17888 6785 15312
"202004_x_at" 4678 16551 3757 17816 4192 3894 8336 5585 13782 6973 16285 3075
"202005_at" 5091 16604 19513 3722 16812 22144 5049 18024 18885 7538 6826 17677
"202006_at" 20406 21013 21609 20050 19410 19797 21353 19672 19600 20677 20021 19404
"202007_at" 12306 11624 10063 13884 10515 9909 8589 9613 11133 14800 7508 8649
"202008_s_at" 10494 12358 15419 13939 7559 16894 6505 9789 14093 16219 6502 4961
"202009_at" 4464 4479 20312 17510 15678 7410 15968 1397 2591 14136 16770 633
"202010_s_at" 18205 20019 19291 17341 18868 15790 20378 20154 20924 15397 20557 20223
"202011_at" 19204 20706 13800 3958 18930 5292 3757 17950 18320 15779 18092 19199
"202012_s_at" 5854 4556 355 3136 4074 3148 5833 6219 14740 976 3337 17570
"202013_s_at" 2556 4735 1233 3689 15106 1931 4377 4102 4436 2498 16391 4504
"202014_at" 618 9588 21361 19525 838 16463 18427 3562 1165 19028 16298 5970
"202015_x_at" 18458 9635 16150 5295 16746 19471 20609 20056 17602 21088 16176 5887
"202016_at" 17740 18332 16611 21846 16352 8296 21123 17761 15498 4916 16688 16891
"202017_at" 3270 4564 233 16333 4029 1655 7249 7478 4559 2449 3860 4880
"202018_s_at" 12946 11828 8861 8441 8249 10791 10296 10633 10360 10670 7444 13244
"202019_s_at" 2352 2163 3709 4409 17985 4615 6960 3640 4173 1942 3063 5481
"202020_s_at" 5184 5121 2620 14344 3820 5024 6815 5634 5837 3896 4532 4335
"202021_x_at" 18670 18344 17750 19172 18662 17767 16462 18341 18848 18965 19506 19094
"202022_at" 30 12 3965 3017 16 3743 2735 57 81 4793 39 26
"202023_at" 22198 22255 8277 19282 22152 11348 4262 22164 21855 9292 22178 22145
"202024_at" 6103 5352 2229 14388 5762 1599 8736 6860 15936 5632 17171 16627
"202025_x_at" 3760 2635 1850 1185 1917 1587 2155 2179 3468 1222 3571 2323
"202026_at" 16921 17662 18226 17994 17841 6121 15914 15969 16610 15434 18890 6017
"202027_at" 1391 1221 491 14916 2818 812 2919 1720 1698 1403 1521 450
"202028_s_at" 4176 5536 6565 18430 15542 16823 9431 3702 5101 14207 15350 15766
"202029_x_at" 5418 5231 6769 3913 5431 10957 15474 14888 6345 9587 15504 6297
"202030_at" 2666 2962 16703 16571 2599 5926 8048 5904 4584 14286 4977 3749
"202031_s_at" 4621 2168 4603 4992 3591 8110 10216 2658 4628 18217 4731 1893
"202032_s_at" 21875 21947 21282 3407 21756 21080 17342 21815 21896 21258 22243 19064
"202033_s_at" 2340 1141 2461 1451 1460 3431 2594 2380 2805 3070 4020 3155
"202034_x_at" 2358 418 2510 1682 1178 1114 5868 966 1181 4607 1443 796
"202035_s_at" 9685 11564 8454 10907 12287 10232 10691 10998 10259 8839 10989 10625
"202036_s_at" 12921 6898 13152 11367 6369 13022 13233 9870 10223 8567 9294 12008
"202037_s_at" 13764 13640 15977 2021 13409 13641 14146 10057 11844 12258 7773 9733
"202038_at" 1975 1555 759 13227 1921 725 5991 2045 2200 1151 1390 1440
"202039_at" 19278 20135 17040 2623 21612 17564 20009 6973 14506 14994 3493 4274
"202040_s_at" 3775 5147 3750 14041 15181 4086 15504 15732 5486 6924 16302 2909
"202041_s_at" 5190 4259 4704 13183 15349 5974 7879 7430 14212 5746 15234 15596
"202042_at" 3008 3872 1250 16246 5226 2200 7425 6996 13806 3283 4725 15217
"202043_s_at" 19122 17789 19191 13055 17598 6547 6841 7911 14595 17532 17127 15739
"202044_at" 3858 18387 6383 6424 674 5312 5192 15638 3326 15144 16723 18692
"202045_s_at" 17080 19482 20654 5077 3695 2116 16564 19350 18268 4413 21815 20572
"202046_s_at" 15904 17861 9849 13451 3812 7568 6118 19052 19018 19525 15404 19188
"202047_s_at" 20218 19955 21043 18361 20809 20545 19972 16268 17895 19546 6846 20457
"202048_s_at" 4012 4532 20706 20435 14679 18200 19581 15655 17255 20304 16916 5749
"202049_s_at" 18168 21785 7507 20626 20859 16016 19001 17773 20100 17285 18323 20553
"202050_s_at" 16969 19582 16430 18249 19560 15893 20148 18936 18032 6520 16835 18021
"202051_s_at" 21065 20842 16519 20369 20564 9240 20865 20958 19927 16597 19999 19831
"202052_s_at" 5411 19613 11364 20013 17138 9705 21405 17738 15223 10790 6392 18675
"202053_s_at" 5383 1598 2720 3359 5764 17585 4642 4946 5659 4572 5744 5537
"202054_s_at" 15072 2002 1144 3564 3019 4568 6674 4493 3512 6962 15902 5409
"202055_at" 19914 20283 5898 20276 19011 6680 20488 20113 20160 7919 21084 18777
"202056_at" 18193 21017 16834 21182 19192 9043 19155 19746 19001 6496 19751 21452
"202057_at" 16633 5562 7313 19378 19145 16109 16395 17928 14557 15014 15198 2685
"202058_s_at" 19384 19811 4991 18749 17647 5894 17394 18351 17254 14702 21374 19783
"202059_s_at" 18663 19920 5072 19398 17895 7637 17669 19154 18572 15465 18880 18851
"202060_at" 2333 789 585 564 1738 366 1110 1913 1380 951 1251 982
"202061_s_at" 870 654 1215 1944 668 1526 2223 1489 1545 1726 876 1112
"202062_s_at" 711 1972 545 4630 2033 1003 3870 1493 766 907 1831 1207
"202063_s_at" 2174 6857 1248 18205 7565 1057 7314 651 832 150 1871 8466
"202064_s_at" 2334 795 975 2031 2016 1558 2511 2146 2772 1817 636 17175
"202065_s_at" 3998 3020 1445 2558 1640 5693 4405 1734 3859 14523 4956 1755
"202066_at" 1221 1413 2161 3307 2962 1258 2920 1816 2700 2836 960 2055
"202067_s_at" 1272 863 17653 1513 4738 15948 5621 5807 6542 20685 1779 5260
"202068_s_at" 2158 1910 19115 4155 4318 8107 4475 4277 6063 19170 3225 3807
"202069_s_at" 2339 747 717 1189 1642 1457 936 2301 1205 2446 1867 872
"202070_s_at" 1406 1142 764 3611 859 1138 1422 1684 2128 1166 1259 1008
"202071_at" 1848 2250 1302 238 3136 1811 1199 3437 5217 1926 4406 3220
"202072_at" 15268 20640 19196 21910 21827 19634 18370 18338 17550 19713 6384 20236
"202073_at" 408 7342 4140 19045 180 5850 2325 271 893 14271 83 1515
"202074_s_at" 246 105 7287 1986 186 2928 2951 200 489 106 201 442
"202075_s_at" 8685 8429 7477 13061 14684 17417 5892 9956 951 4009 7019 3362
"202076_at" 4793 3947 2508 19093 4103 2147 6071 3849 5463 2329 3778 3109
"202077_at" 15675 5617 6183 17599 14929 5333 15638 14977 13309 7939 15877 16551
"202078_at" 20290 19622 19494 18416 20261 19420 19243 21044 20116 20136 21176 21551
"202079_s_at" 1700 8968 16513 1447 2416 19896 4703 3900 3933 15110 1927 1582
"202080_s_at" 486 1153 18965 474 1428 16278 1209 669 1454 17400 525 1273
"202081_at" 3693 17223 4316 2789 15124 9504 3867 6959 15826 7283 5843 15779
"202082_s_at" 1054 336 1805 16219 440 979 2849 1447 565 4505 290 366
"202083_s_at" 2942 2096 3695 3615 2500 7358 2976 1637 3415 13777 848 3204
"202084_s_at" 606 1370 3514 4479 1070 1913 5912 819 1403 5600 367 388
"202085_at" 18261 19055 2181 19342 17460 2266 19998 16888 16497 2255 4716 16749
"202086_at" 10873 6817 17360 21658 11815 13053 18990 3148 13304 22140 8873 12577
"202087_s_at" 2743 17273 1317 17848 5385 2758 16325 4373 12798 1389 2497 5431
"202088_at" 15746 4889 2170 4398 14502 2093 7325 5173 12991 2473 4635 6061
"202089_s_at" 5013 2593 954 2493 3734 1932 2043 3906 4626 1493 3743 4831
"202090_s_at" 5233 3840 6229 15682 14977 5862 8689 16835 5521 14819 16879 15079
"202091_at" 19116 8053 2013 16985 13149 20714 4619 4017 17573 5752 11322 8705
"202092_s_at" 4035 17060 1195 17733 16835 3095 9224 16883 17100 1149 19783 16104
"202093_s_at" 21576 21327 16204 18877 21354 17010 20616 21328 20541 16423 20197 21621
"202094_at" 18789 19465 4916 19992 18774 2671 17592 20210 18788 6547 19953 18129
"202095_s_at" 6104 18581 6359 19404 17803 5078 17963 17818 17811 15294 18655 19389
"202096_s_at" 5208 18218 6869 16535 15122 9269 15544 5332 15849 7609 15723 5843
"202097_at" 20071 21071 19842 20450 18710 17067 19241 20613 19578 18313 19524 20733
"202098_s_at" 19090 20841 7327 20530 18306 8588 19119 15967 18522 6098 17798 20205
"202099_s_at" 10387 15184 10372 5617 14100 1986 19233 14610 20113 3218 8550 7637
"202100_at" 5725 2874 18063 14530 2981 19504 5486 4666 4290 20625 2886 1830
"202101_s_at" 15184 1245 20514 13978 5808 20193 3139 3002 15386 19836 19741 1882
"202102_s_at" 20233 21750 18997 20375 20954 16609 19543 20341 20021 18953 18170 19814
"202103_at" 20936 13010 20512 14287 20854 21043 18363 15234 16194 20306 18627 18493
"202104_s_at" 3625 4044 1252 17946 18335 1434 7217 7524 17026 4836 17285 18518
"202105_at" 5321 2459 1398 15184 17595 1950 3985 7568 16498 7743 20351 16576
"202106_at" 18944 20053 4195 19456 22033 3126 18115 19918 20012 7130 6048 18796
"202107_s_at" 20224 20882 21567 20174 20255 20536 20179 20638 20095 18081 19625 20388
"202108_at" 2706 3445 3052 18900 5335 5812 3279 4073 3989 4217 1877 2457
"202109_at" 17768 18750 2838 13830 19050 5946 8192 16491 18414 4618 15530 20437
"202110_at" 3938 4737 16277 5095 5821 7404 10077 15044 12833 14648 5807 6370
"202111_at" 19372 19461 19974 14591 19730 17326 18757 19382 16662 20009 17580 21003
"202112_at" 9667 13238 13172 9419 10708 13907 13171 10584 8201 8926 9541 9283
"202113_s_at" 2117 1744 3731 2763 679 3287 3411 1783 2575 4815 3365 1583
"202114_at" 1394 854 6097 2793 721 4210 3876 2886 3344 19069 2051 1315
"202115_s_at" 4968 2079 2851 14481 3722 7827 6330 4319 13483 14704 4492 15556
"202116_at" 20742 21131 7548 17138 20207 8272 18796 18391 18769 15003 20149 19921
"202117_at" 18354 17421 16712 20552 18874 8062 19341 18131 17690 15405 16929 17226
"202118_s_at" 5807 5429 187 2130 2748 180 3545 3593 4718 96 4133 2949
"202119_s_at" 4835 17181 52 3141 3371 149 3953 5670 5887 114 3781 5252
"202120_x_at" 5501 2039 2256 15139 3092 4965 15953 7461 15405 17962 18924 15667
"202121_s_at" 16031 3983 7202 15129 16220 15500 8095 7387 15807 18469 16837 16204
"202122_s_at" 600 711 2635 15892 3187 5361 5461 1230 3164 18591 15839 1287
"202123_s_at" 19421 20398 19356 19817 19981 19478 20510 19844 21314 14673 19648 20168
"202124_s_at" 545 1436 2003 3838 426 988 1877 1409 944 2283 2278 2587
"202125_s_at" 1039 859 955 3405 1115 672 2137 943 1833 2666 737 1290
"202126_at" 21276 21272 20861 18288 21125 20557 19953 21161 20711 20091 21269 19680
"202127_at" 19231 19623 17237 13092 19270 7182 5181 19392 20971 16388 20578 20380
"202128_at" 2739 4396 811 3982 4823 440 2690 2830 4018 2851 5365 1284
"202129_s_at" 1097 655 2080 1267 554 1327 1048 1650 1869 1830 1650 1289
"202130_at" 1680 734 2120 1363 988 1640 1504 1523 2918 2183 1056 1586
"202131_s_at" 2311 4619 3019 3779 1207 1486 1812 2153 2193 4097 4723 2929
"202132_at" 4277 376 2936 1884 1304 9465 20346 2523 1112 1732 4522 711
"202133_at" 1568 1867 7932 1590 1979 9845 18554 1457 1555 8045 1905 1759
"202134_s_at" 2496 2063 7974 2251 587 15922 9533 5369 2804 12617 1229 1402
"202135_s_at" 20164 4293 6039 13332 14722 16148 9687 15079 19111 17686 18643 16723
"202136_at" 20813 21361 22167 20699 21845 22238 21682 21662 21492 22258 21504 21698
"202137_s_at" 21917 22003 15648 20513 22116 20311 16029 21771 21964 20767 22136 21696
"202138_x_at" 17236 18007 16196 21226 18366 17416 19866 18742 17637 17723 18347 17539
"202139_at" 5006 2288 5263 3909 14773 5335 3639 4430 5026 7845 6382 3860
"202140_s_at" 17694 16825 5452 16331 16443 7099 8600 16292 14711 16685 16415 5217
"202141_s_at" 2665 2327 1471 3402 1725 1631 2760 2691 3594 2046 2235 2236
"202142_at" 2465 834 1446 4637 2100 3120 2539 5439 3928 2041 3621 2426
"202143_s_at" 2677 1437 1936 3610 1772 1568 3205 2279 4103 1534 6238 3309
"202144_s_at" 16161 18762 7484 16609 16880 15753 16856 16472 16373 15171 15778 17633
"202145_at" 16700 3603 4336 16618 16679 19528 8847 18522 19181 14814 17137 20732
"202146_at" 20470 18744 5856 742 19729 7775 2289 17838 18773 17998 19172 18455
"202147_s_at" 19048 19657 5623 2208 21375 5358 1447 18066 17660 19462 18691 19431
"202148_s_at" 15642 17631 19151 17908 17102 17165 9540 16633 18179 19376 15616 18868
"202149_at" 110 16 7467 5 96 6115 145 489 348 4941 35 224
"202150_s_at" 167 716 3848 128 198 2673 466 1088 1982 3417 880 471
"202151_s_at" 4704 4638 17302 17494 16682 7181 7650 15235 14563 18575 16348 5427
"202152_x_at" 20522 20328 19223 22160 15283 21976 21736 19611 20053 19723 21454 17222
"202153_s_at" 22004 22063 21960 22031 22212 21870 22226 21885 22117 21508 22179 22078
"202154_x_at" 1722 871 467 5120 1907 7170 2954 1299 4226 14027 903 1431
"202155_s_at" 16591 21145 18666 15370 17107 16520 17562 16754 16094 15318 19797 15860
"202156_s_at" 12706 10930 20228 5891 10270 20859 11391 12751 7189 20827 11631 10588
"202157_s_at" 11969 10281 20710 6334 6076 20309 11925 9159 11137 20392 9699 7492
"202158_s_at" 6714 5862 20296 12694 14346 18500 20418 15157 15921 19898 11275 12965
"202159_at" 16950 18339 19768 16147 18145 16265 15800 19770 17973 18590 18660 18587
"202160_at" 21975 22164 21907 21963 22123 21669 22224 21915 21994 21928 22101 21974
"202161_at" 17041 20124 4009 16885 17542 18736 17706 19726 16743 15326 17269 21203
"202162_s_at" 3761 1784 18694 20225 602 6649 3834 2841 2570 17523 2371 2336
"202163_s_at" 1916 3874 17197 4614 3462 18021 16157 4029 6656 5042 3157 3074
"202164_s_at" 2213 2090 17654 15488 2217 16062 3353 2110 2845 14646 3240 974
"202165_at" 3380 1040 1605 3232 2003 2096 1781 1120 2377 3276 1183 1647
"202166_s_at" 1225 857 4322 2278 1078 3634 1562 1829 2232 14469 1398 1280
"202167_s_at" 17044 20269 18386 17330 16597 15941 9450 17999 16353 16373 17979 15051
"202168_at" 16586 5539 18350 18192 16189 17442 15612 15932 18053 18420 19353 17763
"202169_s_at" 5515 5242 6400 19932 4540 3775 6896 6401 14486 6062 4015 5577
"202170_s_at" 4335 4085 4819 15983 17158 5576 9473 6116 14693 13530 6157 5464
"202171_at" 21067 18075 19983 21045 20697 17828 21372 20547 19776 20192 21695 20248
"202172_at" 17673 5545 3900 21633 19900 6960 20999 6611 15854 16718 17047 19953
"202173_s_at" 20259 16651 17700 21747 20274 15874 20524 18464 18971 17338 20439 21178
"202174_s_at" 17174 3895 18288 4579 15739 9165 4728 16243 19304 18514 17138 17177
"202175_at" 5707 4890 2375 14047 15046 2926 16999 7922 17305 1867 2656 18643
"202176_at" 3482 19906 1213 14438 15429 2900 5990 6086 13920 2370 17334 16264
"202177_at" 613 14897 13403 4999 18373 19858 8278 8073 13993 1374 4082 19918
"202178_at" 4972 5145 21420 4276 1761 21846 4653 5305 4546 21141 2696 4050
"202179_at" 16371 18474 3941 4038 5122 4767 7378 6999 16127 5923 19579 6462
"202180_s_at" 400 5214 4374 13583 466 317 5154 550 411 1130 1096 128
"202181_at" 771 356 936 403 1074 2752 403 994 868 4578 232 3306
"202182_at" 21736 21049 18355 6882 21684 20560 14853 21775 22264 17346 16654 21425
"202183_s_at" 20147 19826 19395 18364 21268 19903 21178 21313 20441 21563 21514 20761
"202184_s_at" 2839 2695 1054 17309 3415 857 8329 3785 4895 1575 3112 3734
"202185_at" 17904 4011 20342 16269 19728 8831 16927 17050 17464 18478 17213 18140
"202186_x_at" 12954 8779 15858 7197 8860 13008 16783 12660 12549 10679 14345 14228
