"inst_4409" "inst_7345"
"1007_s_at" 15498 2978
"1053_at" 16549 19703
"117_at" 6931 6239
"121_at" 18946 21118
"1255_g_at" 8885 9008
"1294_at" 4995 15230
"1316_at" 17344 8004
"1320_at" 5067 12095
"1405_i_at" 11709 3025
"1431_at" 3216 11371
"1438_at" 15265 2608
"1487_at" 20633 6172
"1494_f_at" 21394 7735
"1598_g_at" 17623 19501
"160020_at" 13779 19731
"1729_at" 15739 2629
"1773_at" 4343 4791
"177_at" 12030 7996
"179_at" 21354 14746
"1861_at" 14320 19924
"200000_s_at" 12384 2574
"200001_at" 12590 17395
"200002_at" 12123 15810
"200003_s_at" 8107 15131
"200004_at" 18399 15234
"200005_at" 6073 5492
"200006_at" 15663 15998
"200007_at" 12145 16948
"200008_s_at" 3704 15240
"200009_at" 14784 15868
"200010_at" 12714 6133
"200011_s_at" 17867 6023
"200012_x_at" 6023 3888
"200013_at" 12629 15320
"200014_s_at" 13424 16494
"200015_s_at" 18091 5919
"200016_x_at" 8016 15029
"200017_at" 8241 5752
"200018_at" 8231 16683
"200019_s_at" 12355 17354
"200020_at" 14971 5997
"200021_at" 8386 17796
"200022_at" 8127 16527
"200023_s_at" 14695 15546
"200024_at" 13181 4254
"200025_s_at" 8227 16750
"200026_at" 8393 14906
"200027_at" 15095 17066
"200028_s_at" 6142 17776
"200029_at" 6002 16281
"200030_s_at" 13361 14958
"200031_s_at" 8217 16942
"200032_s_at" 8245 14833
"200033_at" 19384 4526
"200034_s_at" 13968 5657
"200035_at" 19730 14769
"200036_s_at" 6305 17482
"200037_s_at" 14980 17549
"200038_s_at" 8356 3262
"200039_s_at" 15428 16437
"200040_at" 14501 5944
"200041_s_at" 16358 6155
"200042_at" 3257 16128
"200043_at" 5223 16056
"200044_at" 15650 15906
"200045_at" 15603 15059
"200046_at" 13170 15822
"200047_s_at" 15111 17428
"200048_s_at" 11990 5862
"200049_at" 12320 14478
"200050_at" 4340 15274
"200051_at" 17453 5218
"200052_s_at" 12341 14629
"200053_at" 2696 21768
"200054_at" 12121 15178
"200055_at" 16313 16252
"200056_s_at" 14108 17157
"200057_s_at" 13481 14694
"200058_s_at" 12706 4656
"200059_s_at" 12111 17546
