"inst_3452" "inst_5773" "inst_6248"
"200659_s_at" 18912 15044 16455
"200660_at" 15486 12864 15533
"200661_at" 4555 13067 18902
"200662_s_at" 5422 4735 20312
"200663_at" 3238 13443 12436
"200664_s_at" 4105 16928 17062
"200665_s_at" 6234 7226 8479
"200666_s_at" 17205 16116 15980
"200667_at" 16400 3308 20468
"200668_s_at" 14035 5863 18839
"200669_s_at" 19093 5633 19764
"200670_at" 2644 13497 15035
"200671_s_at" 14514 19031 2262
"200672_x_at" 21605 18101 2098
"200673_at" 17236 15118 14279
"200674_s_at" 3088 14002 2051
"200675_at" 3954 17958 18082
"200676_s_at" 683 19100 17166
"200677_at" 4398 3967 17380
"200678_x_at" 17169 18474 16730
"200679_x_at" 18611 6258 14060
"200680_x_at" 4432 15905 13314
"200681_at" 18233 13298 16132
"200682_s_at" 16270 13575 18097
"200683_s_at" 3123 13937 15893
"200684_s_at" 17008 16135 18726
"200685_at" 18719 19966 18451
"200686_s_at" 2804 3077 21244
"200687_s_at" 15126 16309 13731
"200688_at" 19212 20095 12770
"200689_x_at" 5226 5979 12256
"200690_at" 18052 12427 20228
"200691_s_at" 3303 15792 20103
"200692_s_at" 15304 15829 15702
"200693_at" 14419 13105 15777
"200694_s_at" 3530 14609 18373
"200695_at" 18045 17216 19379
"200696_s_at" 20790 15963 2117
"200697_at" 17487 18504 16792
"200698_at" 19385 6561 16610
"200699_at" 14865 14483 18372
"200700_s_at" 19840 14661 16803
"200701_at" 21452 17400 12191
"200702_s_at" 5510 4885 17589
"200703_at" 14645 13622 14327
"200704_at" 17950 18571 19406
"200705_s_at" 13768 4684 14044
"200706_s_at" 1836 6005 15954
"200707_at" 17499 14421 20302
"200708_at" 2421 17638 13704
"200709_at" 4386 14154 19233
"200710_at" 14347 18028 15897
"200711_s_at" 4509 14861 18077
"200712_s_at" 3982 6673 17368
"200713_s_at" 3245 3556 18139
"200714_x_at" 3875 5756 12805
"200715_x_at" 5171 18145 13507
"200716_x_at" 5214 4781 16676
"200717_x_at" 15842 8224 2867
"200718_s_at" 5389 12539 13077
"200719_at" 15780 12675 13390
"200720_s_at" 5207 17698 19082
"200721_s_at" 5163 18471 12404
"200722_s_at" 21025 3738 16522
"200723_s_at" 16641 6714 16585
"200724_at" 9554 21109 210
"200725_x_at" 14648 3839 2756
"200726_at" 2457 12564 16947
"200727_s_at" 1483 13718 15429
"200728_at" 19653 14490 13600
"200729_s_at" 15225 14746 19944
"200730_s_at" 21539 18600 15277
"200731_s_at" 16635 16915 13310
"200732_s_at" 16675 17645 16483
"200733_s_at" 3767 4330 1860
"200734_s_at" 3178 12469 20057
"200735_x_at" 15494 14175 2951
"200736_s_at" 8254 12948 6633
"200737_at" 17370 6729 17221
"200738_s_at" 18054 15002 14315
"200739_s_at" 2847 16150 14367
"200740_s_at" 2616 6348 16526
"200741_s_at" 4374 6155 2224
"200742_s_at" 2901 5078 21928
"200743_s_at" 14312 14942 16649
"200744_s_at" 4547 19402 13783
"200745_s_at" 13825 6279 20968
"200746_s_at" 1702 17115 18664
"200747_s_at" 14931 15995 14106
"200748_s_at" 15213 12658 12477
"200749_at" 17930 13799 20594
"200750_s_at" 15416 14389 12695
"200751_s_at" 18075 16432 14671
"200752_s_at" 2976 15486 13211
"200753_x_at" 14033 14584 18888
"200754_x_at" 16058 15837 12745
"200755_s_at" 3815 6137 18623
"200756_x_at" 21686 2565 21368
"200757_s_at" 15132 14497 14640
"200758_s_at" 13958 12466 15853
"200759_x_at" 19752 3930 17892
"200760_s_at" 17164 15347 15914
"200761_s_at" 16335 15591 20035
"200762_at" 15831 17090 14443
"200763_s_at" 15334 12830 11842
"200764_s_at" 17365 433 14725
"200765_x_at" 3656 6893 2358
"200766_at" 2929 18620 19777
"200767_s_at" 17970 12553 14969
"200768_s_at" 18388 13837 16707
"200769_s_at" 19089 15120 19547
"200770_s_at" 17419 14670 18459
"200771_at" 3106 15681 16853
"200772_x_at" 5275 12648 13550
"200773_x_at" 14972 5822 11822
"200774_at" 4119 13446 17817
"200775_s_at" 16879 17679 19283
"200776_s_at" 14317 15253 15714
"200777_s_at" 14069 3748 19337
"200778_s_at" 17017 12489 18593
"200779_at" 17143 13439 16409
"200780_x_at" 5349 6196 15209
