"inst_5904" "inst_5909" "inst_5944" "inst_5949" "inst_6395" "inst_6400" "inst_6435" "inst_6440"
"1007_s_at" 4495 6515 4964 8293 10307 13805 18087 3773
"1053_at" 19601 20390 18178 18031 11111 11307 6446 13343
"117_at" 8455 6901 14729 15901 19147 8190 11040 18016
"121_at" 6649 6489 6059 3376 12586 18619 20749 8044
"1255_g_at" 9624 10134 14799 15749 3532 6788 10840 14463
"1294_at" 19510 21779 9443 5461 16144 4301 5671 22142
"1316_at" 18798 21291 15397 19148 9214 13352 19475 2197
"1320_at" 3861 1331 7658 1784 10742 4075 6134 15153
"1405_i_at" 6663 7601 10573 15060 5665 9121 11331 18917
"1431_at" 17524 20607 5541 1806 3964 3651 2525 20295
"1438_at" 19058 22200 8313 21406 4120 20258 16983 20755
"1487_at" 15091 5916 16253 3027 11160 16538 17661 5170
"1494_f_at" 4406 21388 22251 7422 11011 1288 2839 1698
"1598_g_at" 1983 19180 3282 11312 16634 15591 6237 5463
"160020_at" 176 20884 2088 6301 17494 11103 19163 11025
"1729_at" 2659 14315 5432 2339 15390 18142 7540 12496
"1773_at" 20098 21257 20846 11057 3966 13899 20616 7418
"177_at" 20099 501 20903 2821 20407 2336 13919 15935
"179_at" 14784 2610 15572 18034 17393 1874 165 1909
"1861_at" 15716 2501 9830 7631 4208 12520 2557 8060
"200000_s_at" 12609 6535 3042 5942 18431 13395 17947 7125
"200001_at" 5657 14318 16002 11169 10221 13409 8772 6261
"200002_at" 6828 6525 16247 7899 4195 11646 7860 10685
"200003_s_at" 8915 9572 12360 14107 6640 8228 13161 16532
"200004_at" 11322 16904 6935 8308 8952 5479 6478 9986
"200005_at" 11991 16889 17591 8450 13642 13656 15434 12652
"200006_at" 13972 6815 8079 6699 6839 12633 9129 10872
"200007_at" 13281 12932 18373 19500 15806 11713 15335 13464
"200008_s_at" 18627 21751 20290 11141 9022 11855 2886 11816
"200009_at" 14014 15376 8594 7520 8735 14294 8998 9469
"200010_at" 11480 13044 15999 18052 6642 11255 7635 10809
"200011_s_at" 3498 16837 6011 8898 10415 5287 15829 9453
"200012_x_at" 8869 6027 12285 9309 6596 5230 10170 20880
"200013_at" 12887 6382 9058 7119 6559 8119 9608 12019
"200014_s_at" 14183 13604 8790 8612 13936 14061 8127 6329
"200015_s_at" 16977 13558 7536 5129 12860 5215 17337 4600
"200016_x_at" 8827 12462 12196 16749 6557 8117 7836 12693
"200017_at" 9031 9795 12592 11089 6749 8380 13323 16812
"200018_at" 9020 9773 12561 10230 6742 8363 13301 13033
"200019_s_at" 8986 5930 8828 18591 6713 8314 9603 13521
"200020_at" 12783 17722 8816 19737 17523 12466 18450 10773
"200021_at" 9149 10016 12867 14541 6872 8555 13473 17137
"200022_at" 8932 4893 12404 17795 6661 11477 13181 12285
"200023_s_at" 13098 6971 16019 10301 10931 12945 5519 11616
"200024_at" 14567 6656 7677 10641 6715 8320 8577 12657
"200025_s_at" 9018 5432 12558 10825 6740 5583 10230 13002
"200026_at" 9154 5141 12878 8728 6878 8565 13480 20081
"200027_at" 13891 12362 5869 8135 12496 12479 7559 8711
"200028_s_at" 3931 18632 17935 10540 10783 15293 8184 12298
"200029_at" 11271 4572 9076 17306 6702 6134 10097 12972
"200030_s_at" 5808 14209 16566 8514 4534 10607 17350 13356
