"inst_2567" "inst_3429" "inst_3812" "inst_3895" "inst_4369" "inst_4547"
"200594_x_at" 6882 5678 16205 9705 5845 17238
"200595_s_at" 8219 17099 5671 17890 5155 7594
"200596_s_at" 8201 21585 16808 18666 19210 10124
"200597_at" 1845 18601 20940 3492 19060 10734
"200598_s_at" 557 2160 4054 1163 1491 1799
"200599_s_at" 4574 4266 15550 1570 2923 4914
"200600_at" 4608 13026 6674 10414 3259 9558
"200601_at" 625 20293 3966 8767 5887 9004
"200602_at" 9884 3328 14631 21243 18732 11016
"200603_at" 8687 8265 16159 8581 5273 7850
"200604_s_at" 1148 5149 20774 7006 8885 6573
"200605_s_at" 4546 6631 19076 16298 10287 4859
"200606_at" 20120 4861 6414 5854 8372 7290
"200607_s_at" 2387 2008 7062 6104 9980 7004
"200608_s_at" 10385 7650 15050 3960 7653 4720
"200609_s_at" 3076 5738 18759 8825 5064 9720
"200610_s_at" 6949 1969 14493 5751 6338 4119
"200611_s_at" 2267 3228 17818 16606 7779 10279
"200612_s_at" 20025 21648 3202 3681 4711 2176
"200613_at" 7120 18521 7321 9403 19180 17408
"200614_at" 9009 19395 15746 7078 16523 10681
"200615_s_at" 3171 1861 14784 9494 4240 19112
"200616_s_at" 1447 4318 5013 5232 6785 1688
"200617_at" 2968 5087 18465 17395 6110 20595
"200618_at" 5379 3001 7427 17809 10372 18241
"200619_at" 8122 7751 6836 9271 6570 17162
"200620_at" 8038 7181 16187 7052 11122 7260
"200621_at" 6462 8479 2409 8322 5716 3519
"200622_x_at" 2478 17835 4468 8284 19979 18459
"200623_s_at" 8803 21543 5214 4982 19792 21074
"200624_s_at" 7123 2726 17028 8921 8130 3704
"200625_s_at" 10362 19135 6827 8540 6157 19512
"200626_s_at" 7244 17963 16446 18304 10047 3816
"200627_at" 10559 7305 8788 15687 10612 7279
"200628_s_at" 733 746 3355 2549 6309 4159
"200629_at" 3371 17891 18667 3394 8655 4629
"200630_x_at" 5258 7823 7471 9447 9053 9916
"200631_s_at" 7082 8406 15836 16474 10760 8854
"200632_s_at" 21412 21360 2767 1212 2882 3895
"200633_at" 9922 17285 10315 11645 12839 12935
"200634_at" 8417 7355 15888 17941 11061 18412
"200635_s_at" 15510 19057 2332 19884 5532 2732
"200636_s_at" 13949 19089 15354 20394 20545 17799
"200637_s_at" 12984 2577 18703 20076 7198 6692
"200638_s_at" 5942 7495 17043 16510 8910 5993
"200639_s_at" 18137 5272 6767 18990 8606 8250
"200640_at" 5954 5963 15442 16345 16586 10819
"200641_s_at" 6170 3107 18341 18554 7210 4785
"200642_at" 8335 17540 7210 8272 17733 17355
"200643_at" 7679 7439 4944 8167 16607 18784
"200644_at" 19421 5116 16358 16458 10119 7259
"200645_at" 5643 7030 8055 17296 10876 7569
"200646_s_at" 4566 19785 19792 18171 17010 21759
"200647_x_at" 6914 18591 7270 8512 10562 17339
"200648_s_at" 6686 3699 6997 9727 17382 19036
"200649_at" 7181 4466 4264 20636 6294 10702
"200650_s_at" 13031 17130 10185 17393 12678 12814
"200651_at" 13266 8356 17193 11755 12953 10963
"200652_at" 2646 1517 16149 4224 3157 8935
"200653_s_at" 6587 19666 4146 18297 6661 7754
"200654_at" 6298 7700 5765 5252 4958 19398
"200655_s_at" 7941 19719 7439 6384 17433 10883
"200656_s_at" 5323 1050 16686 5425 5761 7578
"200657_at" 9119 8292 14336 16927 12742 9973
"200658_s_at" 6748 3971 5143 6801 18389 18126
"200659_s_at" 3048 5670 8768 6527 17199 18673
"200660_at" 5902 18610 5554 5266 17322 19188
"200661_at" 3908 19798 5495 8738 16910 18433
"200662_s_at" 8885 8318 17445 4945 6435 8175
"200663_at" 9960 17153 6152 18798 10418 4915
"200664_s_at" 3436 1348 5878 326 342 249
"200665_s_at" 14661 9018 8910 14583 3436 22053
"200666_s_at" 3590 1953 3579 646 1128 1214
"200667_at" 5653 2648 5833 8601 17695 7686
