"inst_419" "inst_426" "inst_997" "inst_1055" "inst_1158" "inst_1217" "inst_1642" "inst_1700" "inst_1822" "inst_1864" "inst_2677" "inst_4441" "inst_5074" "inst_5214" "inst_5493" "inst_5577" "inst_6176" "inst_6936" "inst_6977"
"200064_at" 3607 18581 12756 14837 13727 14157 3303 18184 18916 10212 13350 5091 15426 4290 15710 2996 13449 16145 14615
"200065_s_at" 13197 5079 13336 17669 14109 14800 2910 15717 17491 7424 14628 12098 6242 3062 3865 11832 17031 4642 13951
"200066_at" 19417 1939 15082 21659 16532 1663 16241 4062 20360 2735 4136 14800 19721 14490 17515 2509 17254 17088 19155
"200067_x_at" 15688 6777 16958 15529 3412 16830 15416 16775 5812 9826 12728 16926 17955 13503 17015 17096 13512 2497 15373
"200068_s_at" 13072 6485 13488 15866 13786 18773 14045 5695 4174 8826 13400 12698 3538 5146 7361 10921 16268 3685 13716
"200069_at" 19677 4553 20948 2396 18410 20835 21436 17290 20101 3871 16926 12192 18133 3303 18117 12368 16127 20327 16225
"200070_at" 19301 16139 19506 20537 21176 19706 15871 21310 4543 5611 20180 21363 17355 18829 5395 17262 14967 2011 15159
"200071_at" 21273 3793 14026 14738 17067 18200 21190 19538 6162 1930 16312 19791 6787 20191 16401 18022 18753 4233 1928
"200072_s_at" 12823 17670 17391 14652 16984 13003 17824 17519 20599 7974 11414 13947 19429 4628 14733 15936 16263 6665 14178
"200073_s_at" 20590 4971 12505 15907 14722 3881 18613 3572 6117 11359 18691 16747 14861 14563 15654 3501 14410 3547 16395
"200074_s_at" 13490 5434 11730 14230 3174 4292 13882 1946 18190 11190 12161 11876 15209 14847 7030 3737 4415 17356 3196
"200075_s_at" 17133 5630 17200 17569 17311 1994 14447 17449 4234 3319 19429 15534 7524 14001 4386 10955 13093 5438 17404
"200076_s_at" 11194 15243 14978 14712 15810 2007 3428 19260 18958 8073 12437 19785 17821 2982 14826 17567 12963 4807 18138
"200077_s_at" 15279 2851 11669 941 16672 13186 3565 4255 7056 20832 13877 11936 7790 12676 14743 3227 10888 6495 14165
"200078_s_at" 11139 7251 18779 18261 14692 15044 16594 15021 6363 7170 12522 17912 5569 3087 3073 14012 17057 17534 17267
"200079_s_at" 12495 6685 13133 14333 14362 16244 15678 19743 5446 9177 5060 12493 16958 3064 6665 10703 11389 4275 13764
"200080_s_at" 20078 1418 15540 16208 15770 13401 17405 1957 18926 21022 17029 12621 5235 998 7045 3309 10999 17470 14230
"200081_s_at" 3473 15729 1528 2193 3423 13667 13163 4477 6824 10927 13074 12469 7114 3734 7830 10513 3978 4513 3768
"200082_s_at" 1823 6722 2311 14204 3999 4283 2482 5023 5514 21198 6707 8098 7699 3146 6074 3188 6300 5785 3464
"200083_at" 21993 634 20125 18236 18824 17287 15055 2735 21237 2946 17084 15695 8196 15346 18833 12528 17343 5342 14546
"200084_at" 18858 2849 13865 17184 14693 4973 18661 5542 3794 8788 15858 16191 16394 12782 18476 13501 16933 4724 14813
"200085_s_at" 2044 3759 14048 1999 14862 4067 14554 16907 6176 10315 14374 16608 16637 4861 6411 14147 13715 3761 14635
"200086_s_at" 12009 2858 12893 18360 3611 13798 3594 3882 6460 8816 17073 15728 17067 15138 6260 3380 12923 4483 14214
"200087_s_at" 18817 16204 12987 17784 15334 13583 14249 16335 8173 7642 17302 4026 4114 5203 6843 12779 12418 19559 17239
"200088_x_at" 1740 15584 5739 2440 3849 4436 3390 4890 7979 11565 6618 7989 15069 4403 5475 5713 6170 16635 3676
"200089_s_at" 16315 4493 2253 16617 4028 2016 13407 4224 7888 11559 10971 15052 14684 18366 7513 13355 6339 6981 4088
"200090_at" 16283 878 20669 18420 15293 5145 3498 15721 5639 8810 15261 11807 18800 2493 7594 17329 14767 2038 14865
"200091_s_at" 20110 1433 1663 14665 15805 2390 14029 2214 5649 11142 19681 15755 5632 13420 4817 2190 6214 16669 14840
"200092_s_at" 14592 5643 5436 2607 15605 1321 13105 4519 17224 11406 6722 6167 7881 13014 6076 10519 6318 18366 3317
"200093_s_at" 17040 1085 13763 15074 18248 3124 17548 15824 16847 10223 19837 19096 14687 19628 15717 12062 17993 16675 16870
"200094_s_at" 14234 16673 13060 18506 16239 4184 14020 15441 6155 11326 15439 12512 5157 19112 7062 3617 11816 18522 15914
"200095_x_at" 13456 16793 5871 1201 14578 5070 3707 5720 7553 20859 6766 8161 10298 14007 8041 5963 6365 16434 3953
"200096_s_at" 19964 5493 18976 708 16416 17941 18346 618 6884 5960 20154 6140 18190 4649 15939 13091 17470 3784 16747
"200097_s_at" 19766 18040 1959 20782 19540 19787 13293 15131 5969 8343 18253 5807 14302 3217 17403 3621 16342 18128 15130
"200098_s_at" 13287 4883 18235 17704 16119 14194 16259 17518 20276 5193 5028 14330 17809 15255 19114 15588 13834 5360 14528
"200099_s_at" 10846 16582 5656 2177 14609 3707 2278 5750 7023 21335 6725 8119 5548 7821 7085 5900 6321 16628 16258
"200593_s_at" 18370 20480 1309 14309 16833 17963 17394 17573 5963 8832 13655 5245 18458 16896 17430 3215 3907 18806 16397
"200594_x_at" 17585 6162 13326 15366 17369 19600 15578 18240 18937 11187 13625 12486 15940 18887 18378 14695 15218 17496 14090
"200595_s_at" 17639 2247 13848 16156 19179 16136 19689 15451 3944 8775 20432 18432 6023 17385 18368 17522 18496 17481 19390
"200596_s_at" 12638 19507 16116 1711 20278 3953 19188 16927 18663 9479 14493 15214 5628 20549 3254 11192 15857 17446 18204
"200597_at" 14963 2513 13592 18121 15100 22150 16553 4287 21502 6560 3621 13776 15046 13901 19978 11633 20824 2907 14279
"200598_s_at" 14047 16476 11718 14951 15568 1395 3400 14968 111 9661 16360 17078 1168 3314 4842 10405 14012 4779 15906
"200599_s_at" 19218 2625 15160 17262 16313 2702 16396 3711 1400 7622 18505 15169 513 16027 3556 3801 19040 5497 1889
"200600_at" 4256 11639 11306 12726 19154 19950 9257 12099 5720 9508 18246 16603 5896 6935 9364 8352 16813 14636 5611
"200601_at" 18766 6993 21564 21393 19122 15009 21607 3468 19998 1649 20051 19095 3777 21816 16218 18802 17746 4650 16421
"200602_at" 16839 16511 13994 14554 18044 16958 21114 1025 18127 8171 20135 21310 1190 18133 2545 13405 21406 3591 20907
"200603_at" 20743 4606 14053 18843 19182 20355 17834 2502 17893 9190 19939 5927 5173 17142 14765 3161 18047 16080 18096
"200604_s_at" 13224 20025 11735 2145 14945 14276 16117 18209 1536 2418 21133 20999 18172 13238 2997 16927 17430 2676 4077
"200605_s_at" 20361 20063 12918 19928 1736 19120 19308 16499 2262 5461 20551 14585 7452 19727 17872 21347 14516 6294 17369
"200606_at" 20674 2196 13135 19062 10534 18714 2429 2140 7331 15177 14466 19475 4091 15511 15048 19236 16137 1940 3224
"200607_s_at" 19368 19253 2073 2475 18110 1677 2360 17846 17796 3248 4707 12905 18632 13201 5992 14484 13678 18617 16985
"200608_s_at" 19855 1956 11994 18018 20822 13791 18383 3039 16956 7272 20801 13795 14881 14402 15126 12258 13373 17205 16979
"200609_s_at" 20218 17288 16396 21887 18945 15916 16911 20854 5983 11207 15615 15336 6507 14969 17447 12049 19280 5792 13736
"200610_s_at" 16439 6106 14088 16204 15450 13123 15895 5694 20783 10951 19844 12209 18239 15000 19238 14049 18313 4646 1777
"200611_s_at" 12111 5562 13409 1009 17585 14495 16797 15165 5906 5731 13280 16783 15913 17186 16978 14891 18986 6219 15434
"200612_s_at" 12956 15244 19681 2735 1496 14465 13907 518 1635 11579 13159 493 3545 18452 15480 19123 20662 1880 22008
"200613_at" 11150 16703 18795 14509 14173 5059 14469 15740 17387 7532 14181 17070 14434 13483 7299 15839 16990 4509 3160
"200614_at" 12199 4298 12247 14685 3467 14633 15428 14918 6900 5060 16046 11941 5563 14175 6918 2107 13577 17095 14070
"200615_s_at" 15030 5138 15621 19915 3929 3597 18354 17408 2127 8258 3945 13622 17221 3415 19756 19468 15548 16224 3611
"200616_s_at" 11682 6916 19185 17976 14335 17283 13584 19725 6532 10842 13860 3457 8010 1647 4950 11018 10820 6700 15521
"200617_at" 15655 21978 17618 17266 19481 3600 18702 20884 3235 6816 13551 18282 5023 15898 6083 12082 17368 1868 17911
"200618_at" 15561 3318 14665 19612 14913 18494 12764 18770 17334 6871 18101 4906 7194 18577 14904 11920 17631 17811 19311
"200619_at" 1661 3992 12684 2045 3296 17540 13283 3480 20527 2837 19491 17180 5414 18235 7543 10566 21659 976 20347
"200620_at" 3173 15417 16886 17535 15201 4025 17030 15518 6542 9032 13457 17116 6587 1993 1914 13804 12603 4508 3933
"200621_at" 10797 17382 18997 15260 3616 14704 17550 15733 3829 6976 14773 17861 6554 14270 7404 13839 16110 3192 15701
"200622_x_at" 18109 16217 14594 1767 2589 2493 15031 14925 7015 8486 4991 19491 8127 12566 7173 3416 15678 4778 19880
"200623_s_at" 14698 7198 20928 18966 22264 3835 17359 18981 5254 3788 4031 15995 21417 16523 3284 17682 17784 20050 18515
"200624_s_at" 15902 4794 16776 17105 19744 4685 18698 1394 4190 5886 17406 20502 16226 17643 16989 16445 19052 4392 14269
"200625_s_at" 18833 1616 14667 19421 4380 2422 15931 3095 7693 10358 15538 20330 6463 14045 7875 15191 17362 15977 16557
"200626_s_at" 18927 4546 19231 1639 19463 19202 17895 1907 20053 11367 20509 20942 5695 1847 4147 2814 12256 3120 13983
"200627_at" 15800 18319 2091 15658 3601 3488 2710 4781 18649 21542 13609 3689 7985 2827 5462 2145 13821 17921 13635
"200628_s_at" 13770 20585 1636 20049 18507 3119 15357 1608 501 1091 11093 16564 749 14977 989 11187 16854 19848 14445
"200629_at" 18521 15601 18141 2244 15086 21296 17407 17210 139 8278 11480 19247 908 20112 16047 10961 17586 16968 19011
"200630_x_at" 12631 21650 11641 16214 17202 13099 2952 5918 17461 21059 4609 15182 7353 12914 16137 12510 4468 19396 4310
"200631_s_at" 17168 17492 17064 17070 15720 19291 14703 20125 18065 10101 12926 13791 7430 18555 19431 17821 14003 4937 17687
"200632_s_at" 17542 1528 19563 5844 1620 15230 2890 18830 1208 7707 16441 12739 388 19693 113 19617 15170 17480 22229
"200633_at" 3717 4738 1864 2165 2414 4537 13263 5748 6859 8649 11332 8064 10179 13018 6511 11159 12922 4357 14761
"200634_at" 14515 1162 11681 14302 17372 14035 16806 15737 19461 8177 18046 17783 8201 14833 6757 2988 15126 6597 16922
"200635_s_at" 16416 6787 21401 20509 12843 19172 14793 19309 6236 15136 6500 17485 8035 15416 7186 15298 10156 3636 20938
"200636_s_at" 3443 1507 20739 20747 7875 20253 18251 22054 19718 14233 9114 17966 5166 17840 6477 13909 4562 17424 15197
"200637_s_at" 10831 21019 17622 2262 7566 16715 14377 20940 5916 16068 5074 2263 1910 14232 18337 17524 5612 3110 18833
"200638_s_at" 20493 17945 11736 14202 13770 3338 3794 4181 6670 8273 14020 12613 7427 14269 16109 13572 12792 5167 14684
"200639_s_at" 19002 4007 12695 21088 16260 13345 3520 15489 17231 5285 16459 18472 5878 14850 5557 13290 13790 16766 19984
"200640_at" 11740 7199 13513 15346 15037 16047 15680 16330 5988 9117 15193 13639 6654 5215 15100 10001 15128 4683 13882
"200641_s_at" 3839 19404 1505 14557 3685 2670 3575 2053 1626 9902 12534 4641 14558 3375 4225 11655 12265 5470 3368
"200642_at" 17309 3548 2409 15087 15271 4463 13005 5819 16863 11558 17851 12687 15742 16375 6335 11836 12119 6052 13846
"200643_at" 17194 4302 13307 16621 14688 18286 16128 17818 1217 4028 20397 18168 2135 20618 2805 2638 12472 16666 19476
"200644_at" 18045 17272 19387 14940 4350 17490 15209 18583 7864 21896 2499 12686 21406 17013 16040 17469 19259 18237 15612
"200645_at" 16380 4415 16493 19700 4064 16070 13281 15900 4333 8693 14123 17615 7025 3540 4953 12768 17711 5058 4291
"200646_s_at" 570 21697 13382 22242 19050 20067 1241 17410 914 11009 12774 18326 6978 367 1991 17798 4226 796 17472
"200647_x_at" 12746 5529 13373 1207 15368 19075 18026 19589 19946 8663 4783 20525 7973 18665 15772 20270 15270 18202 2446
"200648_s_at" 10789 21512 14199 2552 20029 4851 20455 1048 3661 10246 17284 21177 18989 16579 1410 12847 16858 20590 13728
"200649_at" 13869 19816 19658 19422 19942 20848 19098 22099 4162 9547 17962 14031 2991 16873 2652 3853 17757 16561 18019
"200650_s_at" 13136 3570 2189 14858 15578 13075 16968 5637 17613 21318 6578 7940 10045 13495 7906 2401 6128 6752 13832
"200651_at" 3470 4949 11645 2043 2866 4170 14378 3275 4781 10347 6754 13548 6067 5160 5286 2735 6350 16643 14866
"200652_at" 3838 16456 17953 14542 16681 15666 14332 5057 3150 4163 15770 14871 16434 1580 3176 13608 17261 5881 4084
"200653_s_at" 18514 1350 12171 16073 3203 13249 16246 4191 19242 5576 19163 4631 4859 19777 5147 13327 15453 19908 14399
"200654_at" 11734 4672 16171 14300 14115 3811 18365 19330 5114 9975 17694 19541 3145 16582 4165 3138 18439 5424 15205
"200655_s_at" 15146 4674 14365 18738 17572 17353 13427 19143 20491 8703 15134 18000 19361 17254 15365 18220 11743 5680 13742
"200656_s_at" 16440 17417 16005 18943 14863 2547 17235 4405 5593 7513 13831 13054 3216 17009 7922 2338 16804 6454 15487
"200657_at" 3308 17652 11884 15164 14657 18011 14764 4553 17000 11328 5026 6521 14367 2414 7996 10094 14684 5781 13668
"200658_s_at" 10916 19067 13239 14725 15374 2750 3116 15379 19138 5496 15487 12952 16302 13645 16559 14411 18792 6736 3147
"200659_s_at" 1895 7088 16413 701 16286 19908 804 17344 19805 22048 3851 14403 21230 3184 18935 20929 19298 908 16445
"200660_at" 15366 4849 1908 15571 14605 1938 3446 17990 6112 8999 15256 17441 5404 3204 3678 2478 13809 5944 15264
"200661_at" 12913 6935 16789 1313 19928 15830 14054 18624 17456 8410 14935 13518 5699 16442 3560 14341 15046 6571 15993
"200662_s_at" 19093 4513 17662 14714 18665 13503 21141 15827 7776 8151 15175 21024 15783 13711 7182 9974 18309 3249 16479
"200663_at" 11984 4931 12766 2132 3967 14907 1838 2923 7341 11039 19235 11952 6748 17562 3432 10736 13465 5590 1783
"200664_s_at" 12486 3814 18982 14462 19494 3805 1205 431 21643 5300 12475 15782 21782 4941 1650 16236 17433 20794 14932
"200665_s_at" 8858 10025 5956 7491 11230 9546 11465 9403 9326 12395 7926 12517 3954 10953 11903 8663 4568 9554 6881
"200666_s_at" 12485 6794 15392 15531 21568 17478 19296 15258 18586 7465 13845 5682 19637 18792 5301 11090 17451 5675 13793
