"inst_419" "inst_426" "inst_997" "inst_1055" "inst_1158" "inst_1217" "inst_1642" "inst_1700" "inst_1822" "inst_1864" "inst_2677" "inst_4441" "inst_5074" "inst_5214" "inst_5493" "inst_5577" "inst_6176" "inst_6936" "inst_6977"
"202032_s_at" 1746 3384 21566 906 18879 890 21750 4891 2101 3007 14789 20303 14296 19554 3997 16208 14234 20649 1060
"202033_s_at" 18733 19908 14167 385 4365 21266 13392 14901 562 1718 18560 18716 1531 20096 7058 18051 19278 18185 14073
"202034_x_at" 15524 4972 21279 2767 21115 13546 20909 1738 5077 93 19889 20943 2787 13601 2156 21156 14231 18261 19660
"202035_s_at" 6076 13342 5788 7029 7837 10093 10455 9459 13785 13149 6875 7127 10285 7906 10909 6690 5236 11274 8510
"202036_s_at" 7783 12299 3820 7002 11676 11498 7130 6272 13347 16161 5168 9777 10981 5250 8378 4819 6567 9525 10286
"202037_s_at" 13497 17846 10428 11132 13443 7214 9410 8950 9164 16554 7779 7181 5475 5424 9293 535 9250 14725 4572
"202038_at" 19665 3399 17161 16140 20339 4075 19839 16292 17521 3285 19116 18250 14983 3917 16065 2241 16966 17175 16814
"202039_at" 20783 6221 17125 14967 18677 21578 21776 21070 18027 5532 20447 4268 20802 12764 2619 22178 4400 19160 22056
"202040_s_at" 17274 3162 16090 20065 18210 14230 15599 17504 2016 10992 14101 18667 6304 3430 1951 10791 3870 21487 2226
"202041_s_at" 12400 16312 14413 19146 4341 15027 15435 16280 17044 10757 12663 15603 16808 4680 5652 16759 3846 16176 14595
"202042_at" 16863 15958 17684 15115 3542 4769 14580 15859 20716 8367 12021 17397 19420 4873 16818 10951 13383 6185 15675
"202043_s_at" 18144 2295 17599 17904 21377 19668 16792 17154 17704 8270 20917 6076 15745 20423 17838 14515 11580 17561 15134
"202044_at" 2219 2657 6674 18581 8653 6857 122 1766 16040 21703 676 2787 15064 2763 19406 1332 22235 4181 3760
"202045_s_at" 2446 1010 12799 21236 20767 21453 18780 4422 2009 21680 1283 19736 1041 13075 2524 18590 2282 20474 22097
"202046_s_at" 19503 17438 280 14378 7124 13848 8563 2853 3382 14295 12429 20030 303 14071 19714 971 1595 21336 2673
"202047_s_at" 17606 7216 20470 17932 16392 21757 2829 20991 16842 20762 19357 4261 3217 19234 14915 19372 20847 1287 20927
"202048_s_at" 14906 253 18415 487 20281 19512 20941 22185 5822 21812 16850 21249 651 487 21554 1983 18642 19051 1353
"202049_s_at" 14268 1863 20879 21552 218 3716 976 2117 21443 6006 13175 3757 8186 16855 3361 17722 13431 3632 18751
"202050_s_at" 19349 198 14890 16404 16525 19910 18636 17704 5239 8038 13430 12606 14506 1973 21536 10656 12476 1575 15981
"202051_s_at" 19243 4944 17235 17149 14376 20456 21255 4746 8133 6480 18270 14644 19111 17438 19134 14463 16190 18080 21850
"202052_s_at" 22264 539 17434 21895 7527 21287 3044 1515 20312 15832 7259 6176 19023 4334 16943 20407 6630 20911 4235
"202053_s_at" 13874 761 19976 656 15758 1364 18146 20300 1134 21426 2837 17833 20762 1636 19176 18396 3455 17145 15673
"202054_s_at" 18824 21906 20991 2448 1079 19091 20906 4859 20080 9219 18395 21171 20626 15808 19330 15335 22139 21179 1364
"202055_at" 17236 17600 15954 2534 15776 14021 15315 19069 7010 6072 13681 17982 19579 3710 19192 15516 14745 19459 18417
"202056_at" 20727 2809 16304 16673 14641 19070 17490 19278 17549 2800 18160 13593 19506 2737 18854 18427 2996 6233 15504
"202057_at" 20239 4260 12972 15213 16729 17666 16364 1877 21477 1678 19886 17941 3060 21970 15795 10164 11445 21012 175
"202058_s_at" 13994 21579 16377 17472 20111 4222 18972 4576 5300 9966 5018 16051 17335 16515 19685 16740 17702 19284 15952
"202059_s_at" 12498 2501 22100 14449 21086 19118 18728 16746 4336 9606 11522 17266 14727 4284 15491 13365 18551 5033 16861
"202060_at" 21100 15228 19429 15330 19027 16862 20828 19000 19704 6963 16666 20380 16937 19559 7512 16151 16588 17082 16765
"202061_s_at" 14795 4998 12236 1456 16900 4139 17507 17868 72 3168 13878 5906 161 16745 7595 14495 11005 18168 14509
"202062_s_at" 14042 6424 20877 2184 20813 13976 12854 1928 28 5797 2834 13164 485 19249 19107 17492 14329 17354 2012
"202063_s_at" 6357 9215 7387 6498 3373 17909 8736 4860 59 14930 366 3394 1716 4757 17737 1812 821 7825 6185
"202064_s_at" 2738 17709 13138 139 17757 19305 13369 16521 692 677 4740 17929 315 753 21240 21057 20977 1401 21308
"202065_s_at" 11997 20770 12752 15244 1739 16407 19470 5379 1990 21894 19345 12256 15393 15786 2939 14094 15623 1178 20630
"202066_at" 1427 1256 14428 18590 14998 16514 16634 3558 5546 5925 16912 15672 4387 15962 5317 14513 16826 2675 16893
"202067_s_at" 9390 8877 20910 16007 19563 4434 20415 257 20897 1194 4447 3205 1304 19997 2130 14174 20147 19370 20819
"202068_s_at" 383 18406 18326 19048 14313 19817 21346 847 2381 1245 18367 13787 1208 12984 1106 16349 16091 2901 15311
"202069_s_at" 19781 15100 12376 18594 14661 2483 13758 16186 3837 8500 20476 6481 17137 2185 17255 2357 11317 17792 2987
"202070_s_at" 19269 15706 21387 1624 20395 17553 14200 18299 18232 10504 4662 18305 5622 16409 22050 14729 4350 20151 3704
"202071_at" 11219 17770 18592 18449 21533 15578 19395 19821 7594 7388 4577 17213 3798 19943 6479 18649 21459 6775 4491
"202072_at" 2144 19620 11600 21933 18894 18099 3780 17556 1436 10946 5005 4129 2274 13854 1617 15563 19058 1999 1588
"202073_at" 13891 6887 1264 5617 6593 19387 19888 3505 3132 13423 1108 16374 673 19923 2127 21533 11815 1789 14534
"202074_s_at" 2290 17595 16347 17719 13633 2995 1713 2153 4263 19936 9646 13523 1009 14921 672 15300 5964 1587 19967
"202075_s_at" 2517 14495 5035 12643 20415 14277 13196 10347 3566 6061 17487 13163 5904 387 11009 19357 14206 178 408
"202076_at" 11696 4220 17377 22013 3825 4856 13197 5102 4889 4005 12173 4229 4356 15720 17646 15743 3787 6878 17185
"202077_at" 12306 2904 13916 16400 3890 15868 13924 15825 19947 20938 10843 13021 14949 13072 14894 10155 12592 16186 14335
"202078_at" 18859 17856 14056 1951 4321 4203 16500 20366 19051 7621 11924 18771 18872 13366 17751 17023 16038 6808 15585
"202079_s_at" 13921 21437 11845 12973 22210 15698 18583 20776 1465 9918 15431 5802 3840 22104 2854 21723 3381 19427 18525
"202080_s_at" 4791 21218 13442 1420 3595 21878 19900 4035 17284 11335 21387 4106 4285 22128 1938 20301 21162 493 5748
"202081_at" 20301 6493 15558 808 1555 15026 17131 19817 19165 10232 4287 5810 3032 13717 397 16973 17406 2583 2599
"202082_s_at" 1617 20806 19757 2105 3844 2510 13673 3196 6529 10075 15285 20412 2129 3862 1318 10442 20737 603 17308
"202083_s_at" 3937 7803 1590 20269 22150 881 1929 18728 2433 21352 19912 13081 541 21779 4211 18236 21489 19914 3443
"202084_s_at" 17860 21441 15617 857 16276 909 20501 17790 1887 3981 14505 6507 3214 15141 15502 19223 11491 17500 14164
"202085_at" 21108 2449 16534 15382 20359 15315 16942 19452 2261 7463 12537 13126 4145 13890 4795 14236 18292 3496 19576
"202086_at" 255 17623 10930 12754 16854 2209 5708 6656 22168 9906 7199 1605 22170 11684 14531 367 21888 7023 10756
"202087_s_at" 2757 16680 13435 20679 20069 17714 494 20215 2383 21891 11231 6037 7736 13340 2856 13793 13749 15952 2969
"202088_at" 16087 2107 17124 2626 19127 20392 18164 5001 16993 9039 18071 19416 7023 16234 18007 17395 14750 5293 13953
"202089_s_at" 14040 19530 16628 16731 18429 21115 17265 4053 4711 4847 4959 15638 15125 2522 6370 14790 17879 16303 15436
"202090_s_at" 11814 3206 13956 16314 15255 14198 12775 4032 17894 10010 14717 13757 15592 16801 6872 15162 14401 18924 16770
"202091_at" 11477 11635 11596 4445 8946 4687 1476 17389 5262 6931 21450 22084 7560 2741 21360 12459 22040 11638 6544
"202092_s_at" 15027 19342 12797 15891 17613 16049 13353 5104 6750 21721 15205 5236 18129 3614 7292 19673 13284 19079 15275
"202093_s_at" 15119 1997 14707 2472 3869 4889 18316 18494 20476 2799 18715 17133 15338 18226 7637 11314 10911 2633 18291
"202094_at" 15213 17951 20287 17732 20230 17475 17058 21747 19551 7930 12115 15489 21196 15081 15295 11527 11203 17158 14270
"202095_s_at" 14086 5961 17908 14657 17891 4770 16319 16870 20589 11091 12831 18979 19802 16070 18564 14714 17404 18707 16513
"202096_s_at" 13595 16407 16112 19675 15465 14454 20665 16947 7951 9778 12174 13303 6596 18739 2020 18664 15735 2728 16325
"202097_at" 20525 15920 20568 19534 15569 19228 17872 16532 20701 6734 12031 12678 14880 13186 18937 15102 15013 3640 2294
"202098_s_at" 3134 18434 17664 15441 1264 15490 13643 18734 21107 523 17311 17633 7964 1767 3510 2499 11056 21394 1851
"202099_s_at" 57 10577 8083 9133 8596 6325 11669 7434 10975 19406 7747 20227 14014 11000 10185 21837 6425 7828 5097
"202100_at" 11044 15697 18440 16926 21234 3368 3632 16652 3785 2239 14041 16186 16532 3448 5021 13911 15387 1641 3706
"202101_s_at" 14758 18417 14637 552 18809 13859 20255 1086 21014 10427 16143 2913 21631 5182 19353 20631 11262 20665 2121
"202102_s_at" 16585 5829 17727 19719 18869 18620 2510 21580 7938 4661 11785 17255 6585 18404 15343 11729 20581 5400 17982
"202103_at" 16356 18769 18755 1915 1155 321 17054 926 2872 92 22124 5894 18548 15318 3677 18281 22056 21059 13860
"202104_s_at" 13990 5765 19807 20367 19703 22064 21314 16227 21371 21706 18244 15690 7084 19386 6093 12089 22073 20125 21464
"202105_at" 1988 19975 1653 15639 885 17078 19151 2295 4957 2593 3235 20298 3672 13698 5429 16544 15330 21046 16915
"202106_at" 12465 17404 991 2046 20615 4209 14141 19893 18420 4158 18306 12009 2740 2220 5218 3471 15373 5811 1134
"202107_s_at" 11616 7074 17102 18811 15637 21344 13226 19118 20339 9260 11213 6500 19900 13168 15342 14799 17848 1851 3677
"202108_at" 12747 1300 13322 17232 22029 15797 18064 2304 7772 7147 17234 14085 5433 3706 2691 13777 18403 18575 3057
"202109_at" 16677 2061 20873 19592 15331 13191 19467 21730 4539 10375 15354 19249 6150 15283 5998 3231 16572 19786 20419
"202110_at" 17082 1314 1140 16054 15598 3918 13646 4554 7138 10860 15206 12269 7589 15333 15587 15992 4317 5751 14091
"202111_at" 938 21314 21872 14244 21640 16051 13925 20579 20257 4615 20489 16504 8148 21409 4403 20378 20832 18425 3600
"202112_at" 5567 8453 2518 10634 11436 6866 8716 9623 15256 18206 6532 8656 11403 7471 8742 6608 605 9780 7082
"202113_s_at" 15376 4436 17944 15740 15666 14217 19895 4096 19600 2641 20821 19059 6080 14195 6543 19222 18932 20490 1807
"202114_at" 15845 15112 21003 225 19495 1952 15641 5216 3984 182 19462 15928 19846 22052 16778 16711 20221 17998 1708
"202115_s_at" 15295 15467 21124 21232 3880 14427 18635 2904 19208 9953 13828 17891 20298 15648 6028 10266 19373 16326 16085
"202116_at" 10956 1465 21020 14966 2656 3839 2494 14758 6062 1776 14640 15229 16273 16032 16728 18373 20503 16695 3720
"202117_at" 17995 6005 17628 17404 15648 20447 16347 15906 5980 9227 13944 12544 18844 14553 16183 16844 14764 6309 15489
"202118_s_at" 20171 1867 12046 15081 3345 13712 17016 5454 16991 2426 16481 20575 14833 4273 16680 17145 20776 20332 2490
"202119_s_at" 17127 15134 13213 16343 13891 17599 14564 19594 18097 5813 12194 12268 4939 15127 16996 14840 19466 4531 16126
"202120_x_at" 1438 6188 21261 16549 19291 18689 1222 22070 19050 7592 16691 20402 19516 21743 19189 17208 10757 18722 20370
"202121_s_at" 11877 17362 11943 16995 4246 3395 15535 18477 4796 9390 16054 5508 7634 13635 5387 13576 12237 21146 4265
"202122_s_at" 16825 20981 19262 17589 19236 12967 20145 20190 6727 9739 18753 19274 20944 20834 6513 3790 18386 20547 13538
"202123_s_at" 3290 5999 21221 20010 15900 20897 20619 18998 18850 5726 14813 16056 6851 2163 14901 13013 16712 964 20204
"202124_s_at" 16211 7092 20116 18478 14172 1925 18466 17505 21900 7924 20853 5315 18228 17763 20641 12046 12450 17023 1744
"202125_s_at" 17857 17502 19632 20025 19242 19133 21311 20376 6085 1527 15712 15904 14510 13590 5525 3820 15080 1109 16086
"202126_at" 20750 2498 15820 19585 17665 15465 15699 17083 17911 2607 17648 14904 7690 15857 20097 15623 18833 17488 17074
"202127_at" 13080 6034 19867 16632 20568 1197 13766 2642 18051 3508 21065 15098 20077 20281 20854 18814 12161 3542 21469
"202128_at" 17182 5921 20499 18712 2675 18124 14216 5609 19392 21507 1838 17501 16665 2184 18624 3782 19960 18300 2652
"202129_s_at" 3386 19669 2136 542 4280 5063 1395 2079 490 5042 12559 3630 14970 2878 3461 10661 12025 1232 18636
"202130_at" 20963 16888 15604 15236 13904 16220 17479 4762 2026 7880 17192 16641 6293 15829 5161 19570 15540 4963 19322
"202131_s_at" 21792 20183 12204 1352 16281 13074 1984 2922 1928 5993 17019 6065 17575 21140 15454 16294 18461 1076 19388
"202132_at" 16885 852 12664 18826 13651 2688 2760 21699 7838 13249 305 21204 16670 19337 19425 2559 3342 5579 13646
"202133_at" 20536 1124 21638 19114 7574 21185 21116 17658 20322 16232 7442 20590 21705 20857 14900 14141 6576 20344 15505
"202134_s_at" 978 6084 20660 22034 4645 1027 3541 2058 21956 17446 2867 15761 20170 18321 3058 22122 9129 21824 17229
"202135_s_at" 12163 17555 18072 14946 3539 19560 13381 5577 3711 9612 3994 17534 5170 3216 4408 18677 21277 19245 4039
"202136_at" 3793 16829 12939 16271 18178 14119 14474 17570 3565 11478 13909 5741 15789 4531 17451 11286 3692 5119 15306
"202137_s_at" 20104 21175 18329 2574 6067 21908 13763 1496 12691 22066 21028 17765 7348 16754 17844 19560 3373 21271 20167
"202138_x_at" 14414 16744 16370 2452 14508 17307 13182 21348 18857 11491 12249 14504 18712 5184 18914 15607 17526 6179 13762
"202139_at" 15836 6476 14880 15032 18267 13624 17545 15996 17010 4655 11844 15505 7491 20323 6923 10005 18068 18358 16464
"202140_s_at" 14849 21485 16364 631 17832 1422 20187 4193 18970 881 4390 20883 20206 15292 20121 13016 20060 17560 2148
"202141_s_at" 12492 16353 16326 17799 14270 19107 15451 18076 17020 8173 11824 12897 7522 3983 7515 16641 16999 16525 15174
"202142_at" 2076 725 11776 16425 19746 1979 14948 15074 1546 20704 16256 15831 16120 13933 5703 20555 16914 16694 19611
"202143_s_at" 1762 21316 14827 1974 16615 13097 2542 3904 2253 7135 14288 17677 14522 3439 14831 20026 13703 17430 14548
"202144_s_at" 13311 5230 15977 14593 2592 15068 3003 20826 6731 11413 12100 16987 17268 16565 17884 18647 12514 2422 14218
"202145_at" 2094 4168 18571 18607 9433 15399 21226 18529 18172 21540 4219 20074 20497 14549 2018 19240 21399 4478 13960
"202146_at" 21345 876 18437 14805 20826 2901 20597 17254 1803 932 19675 21002 3581 18779 18439 18747 14707 20502 21088
"202147_s_at" 20880 6150 21749 553 3540 13211 15391 18895 1308 259 3967 4545 1908 14923 6893 19343 18239 18823 14109
"202148_s_at" 11119 4462 20479 17299 17463 19878 20720 18823 5721 21778 18554 16854 3550 2955 7356 17133 14820 18619 15259
"202149_at" 17430 9926 13190 935 1070 5006 18595 64 20267 3933 19648 15877 3318 4421 995 14833 21230 284 815
"202150_s_at" 12862 191 17843 5855 552 19019 256 814 1941 144 11493 1895 1958 14299 7965 3322 12095 2099 3882
"202151_s_at" 3787 18531 16782 15351 19825 21333 14460 19381 18788 3799 15196 19341 20799 16266 19301 17663 16304 19777 16604
"202152_x_at" 18585 18277 1439 22282 21222 18775 19245 18489 17756 9812 17061 20499 2495 4064 21520 2711 3529 19976 19987
"202153_s_at" 11598 3226 16203 19265 18454 18971 16202 17763 22280 4808 19127 14955 17687 15256 17776 16832 11448 20133 3399
"202154_x_at" 18621 5107 15722 19586 21329 18614 3393 21589 20689 20956 13719 3988 21001 4222 4316 14514 20338 3053 15918
"202155_s_at" 19334 1227 19070 19574 17823 22172 22147 15079 6067 10718 19276 3338 17362 17179 20830 1534 10854 19685 21064
"202156_s_at" 6781 10243 9259 7070 16996 10960 8240 11993 12100 9989 16632 10305 12833 9291 12679 4969 19622 11979 8474
"202157_s_at" 13035 1731 4540 3795 15348 11602 10451 7391 14969 8847 18113 10227 11200 8343 10959 6666 15593 7310 7242
"202158_s_at" 4137 13493 9880 7590 20436 3302 10870 10904 10359 3305 19311 3592 11431 2788 13757 1214 17015 11587 11169
"202159_at" 17800 1207 20600 14751 20899 1390 16306 15755 17788 5933 3394 18093 16947 4974 17752 3664 20406 4702 20646
"202160_at" 20695 20517 12719 19759 20040 21006 3173 17644 8108 1433 11741 12936 6997 18472 4653 21483 16257 5951 19350
"202161_at" 16173 2969 19880 19546 119 13220 20633 16411 18634 5436 4677 21715 4323 12575 5464 17218 22272 4992 21250
"202162_s_at" 18874 16930 18183 14646 17681 1234 15573 3243 860 549 12538 13393 5670 1126 16592 14585 18331 2449 17908
"202163_s_at" 12279 468 14903 14999 16821 13536 771 21847 140 3838 21882 19920 3994 4017 1251 1213 4526 18492 20251
"202164_s_at" 13000 17112 17767 18490 19025 18291 18232 4080 2429 5338 17071 12669 2673 2354 2835 19067 14902 4087 17506
"202165_at" 17271 1498 18319 21087 2241 14155 16339 2935 2348 2352 17212 13880 2567 17731 17139 19622 4469 3951 20060
"202166_s_at" 20026 1583 12054 1052 18993 2277 19624 2563 2425 4215 19204 19258 14473 17679 3857 14801 3286 5601 4413
"202167_s_at" 14864 15625 17069 19217 18122 4964 17635 17996 7649 2390 4826 17845 15080 20889 5349 12392 19186 19277 3785
"202168_at" 13997 4608 14854 15939 14370 4176 14910 18168 3088 10470 19300 15418 16844 17090 6273 12657 11406 6414 4435
"202169_s_at" 18945 2117 16777 21988 17351 21026 19676 14857 18820 7255 21558 13500 17259 15799 18820 17639 16997 17896 15043
"202170_s_at" 14900 18270 14654 16710 3673 18003 20342 2861 17338 7806 15578 13449 19348 18746 18601 15704 16499 17035 18617
"202171_at" 13494 20463 2314 18132 14993 13436 13178 15765 2542 4523 13221 15987 4800 12800 3929 13783 15310 3255 17852
"202172_at" 17988 297 16940 21180 4035 20998 20951 4026 18789 9143 21008 13228 20379 4616 2431 18892 16740 1673 20470
"202173_s_at" 17580 19195 11997 16122 3639 15248 17279 2318 6093 5631 20953 14331 4227 12894 3222 17361 18692 2153 20299
"202174_s_at" 2248 20087 13371 19793 16732 19150 3248 4324 5394 2791 15313 12027 5096 16740 16965 15353 16811 2848 17876
"202175_at" 12120 3267 18463 20416 10548 17625 19798 17513 1684 4437 1834 15996 3073 20125 19931 11539 2220 20918 21944
"202176_at" 13768 17163 19245 21806 20192 18102 14205 16638 6714 2602 11796 5654 17115 21178 21923 21341 19131 16978 18144
"202177_at" 9537 9443 1274 11958 6010 949 14056 243 20584 14488 20972 13617 1240 19807 21085 1822 10959 458 21618
"202178_at" 22205 5773 19225 17797 3984 17285 18062 20131 862 21512 10831 20021 1048 14054 4197 17953 2511 20909 20920
"202179_at" 18228 20961 15998 15876 14523 14473 1792 1115 20343 20969 16165 16422 18777 16673 7080 17022 20145 4956 18549
"202180_s_at" 20323 341 11228 13650 7356 1554 158 17855 19002 2173 12506 22028 20305 18199 1130 11248 1895 19447 13186
"202181_at" 16914 4867 15302 1677 16277 19115 2630 20144 1098 4168 15009 4051 227 4560 4238 17265 19409 2909 947
"202182_at" 15664 21456 22009 17389 3941 7504 20015 2780 13359 6077 17647 11019 13799 5107 3649 2760 2023 19612 22258
"202183_s_at" 15381 5216 13134 16035 18947 14072 16778 19162 22259 1979 15212 4605 8024 21206 18277 12315 21109 18687 17899
"202184_s_at" 18103 245 14703 17899 20426 17134 18011 15235 20550 7193 15289 15853 16858 14761 16055 16961 15349 6335 18849
"202185_at" 14876 15387 20160 18497 19522 17905 21078 20931 19347 10121 4167 19395 4157 17443 2329 10372 20125 6300 17295
"202186_x_at" 6116 11123 9534 13120 5731 6746 5395 6187 13425 17355 337 15006 15383 6005 11198 6969 939 15044 12687
"202187_s_at" 17428 21812 21412 20422 21542 18933 22139 21478 2293 3512 3114 16333 18541 19744 21771 20324 15924 1602 21222
"202188_at" 12230 20826 14933 1286 16128 14087 20164 20402 20192 5385 12018 18249 14388 13414 16187 12994 16037 6867 15274
"202189_x_at" 14220 1772 17100 15787 18867 18715 17393 19867 18946 8189 5035 14771 15640 14335 6780 16193 17888 5377 4531
"202190_at" 10941 5520 19519 14880 15889 19450 19690 17910 3814 4634 12546 13273 16742 2868 21647 16566 18854 16063 2527
"202191_s_at" 4451 14076 786 5558 20487 484 9420 997 5896 1382 15545 21516 4584 17705 17020 2744 14161 8900 288
"202192_s_at" 3468 4222 4713 13466 3561 11127 10562 6279 11018 6609 15626 7647 14174 9510 8807 14686 3155 13485 6982
"202193_at" 10684 16188 12389 861 1396 20547 1577 22219 19987 7895 18575 17978 6138 4223 21120 19075 13003 22009 22230
"202194_at" 18280 160 19679 1139 16066 15555 18030 4757 1140 2237 15757 17613 1486 1884 5662 14883 15309 19499 19241
"202195_s_at" 19752 20994 17651 15086 1034 14426 3100 3101 1316 11283 14052 15712 5012 13225 3098 16213 3908 18066 18471
"202196_s_at" 7172 8424 9815 8665 10321 8916 8399 9139 15485 15759 5605 8448 12278 5239 8120 8597 7489 13913 7198
"202197_at" 14318 4864 12927 22045 19784 17179 19884 1035 17957 1880 21556 13882 4425 15004 19950 12434 3232 19779 21292
"202198_s_at" 16429 561 8350 11572 883 7418 1901 19275 2880 1166 13545 21649 603 755 13845 16803 20583 6245 9503
"202199_s_at" 3643 19855 18990 2689 15185 14352 16095 14816 2104 9952 13450 4313 15841 4285 2528 17187 11245 1180 2933
"202200_s_at" 15360 4832 19150 14386 15847 13708 17740 4665 17578 9232 16588 13121 16553 17640 19296 14168 14639 6100 15920
"202201_at" 12830 5163 19097 14303 19572 4567 17949 17593 16799 8331 19009 15289 16019 4384 4860 3819 22203 5662 15237
"202202_s_at" 6282 7253 8122 12105 8433 1163 11945 7698 12883 16421 291 21280 5217 6261 12129 1415 8291 11893 4946
"202203_s_at" 3765 20707 12356 20880 503 21956 22060 4031 521 21743 11625 18620 20693 19390 21205 22211 14099 22117 21507
"202204_s_at" 15914 795 12468 17056 16916 3225 21968 21558 4705 22242 15509 12106 14898 14329 19066 22098 1360 20803 21197
"202205_at" 12353 15462 13288 18341 21576 3372 21027 16553 2933 10467 18681 14349 5828 17765 6558 3162 3912 6227 1293
"202206_at" 20742 17999 17166 11937 8413 18833 20144 1061 19124 16466 14482 14518 21668 3821 21671 21952 17492 8347 1006
"202207_at" 18798 6349 18009 1469 20993 17669 21831 5337 21507 4739 21964 17854 20556 1385 4571 12883 18888 20090 21307
"202208_s_at" 4803 8075 11767 10352 11506 21596 16880 1855 20364 17885 18137 16245 20016 12365 15019 20232 1959 2090 265
"202209_at" 3426 18686 11611 16846 15161 1610 2726 15342 7702 7477 10945 13347 15606 13566 7607 3294 4460 5723 3783
"202210_x_at" 3261 19801 6386 13995 11207 71 3316 18971 1782 19460 673 17176 6429 6048 447 349 228 15885 13094
"202211_at" 13745 19995 16080 16071 21235 3021 18901 876 2415 1259 16073 5760 659 16219 593 21163 2448 5505 15785
"202212_at" 3111 6240 21734 17608 19863 16775 19408 20723 17718 3797 19829 21044 7646 18303 5853 11204 18920 5994 3640
"202213_s_at" 20652 21059 17065 1921 16661 21566 20580 16674 7326 21881 4087 3420 5997 15303 14753 2997 3285 16182 17223
"202214_s_at" 20322 4952 15030 14861 3288 16828 16141 16728 7284 3306 13443 11782 5956 4863 7540 17339 19033 5153 21015
"202215_s_at" 16965 6982 20750 21583 18978 21809 18149 18627 17008 7136 16139 14413 4309 4550 6505 11570 11183 1238 4324
"202216_x_at" 3537 18130 11849 18981 3710 2887 18173 19907 6043 5386 12138 12461 15154 16036 3564 13200 18641 20345 16702
"202217_at" 17534 20891 14865 17245 17093 4480 2007 21209 19405 9429 17764 18816 21187 2556 19673 18020 11221 2417 2353
"202218_s_at" 3565 5398 17004 11399 21286 22143 100 10483 5865 1668 11927 3367 14417 671 129 22206 10974 1486 15341
"202219_at" 9382 13690 14170 22091 720 19927 19383 22135 20966 9553 12551 4597 20462 2619 17057 16563 21304 5832 980
"202220_at" 17065 6144 15607 17805 15773 14760 12874 3864 3515 4071 16317 14907 8031 14058 16389 12543 15720 5668 4147
"202221_s_at" 18813 20753 16691 21870 19276 22127 1558 1120 841 608 4687 20672 15475 17691 6428 11125 18079 3624 21867
"202222_s_at" 7517 14957 9105 5126 10022 10028 2662 12181 3076 18569 5869 5471 9300 6926 16175 12110 17120 11708 1277
"202223_at" 18079 20638 14975 18211 16539 20032 404 2307 5306 1015 19488 18311 3526 15332 6676 20829 3068 16187 18895
"202224_at" 19787 6855 11700 2057 15940 14832 20405 20608 18631 2772 3026 16941 6055 16870 1159 3706 17081 20897 20132
"202225_at" 12488 18624 15720 20987 15398 15361 20248 18502 7206 1029 14489 19369 14686 16961 15988 13556 17817 16177 17893
"202226_s_at" 21900 21688 16502 1824 20452 1415 20922 17104 16816 1275 19203 21406 18651 19996 16804 18528 1253 19239 3514
"202227_s_at" 15770 3106 16038 21350 3009 16322 19224 17101 6677 7629 16904 19478 7470 5150 5289 19369 13951 16576 18043
"202228_s_at" 16195 7194 16402 18753 19525 18210 18424 2241 7868 7418 18241 16811 14891 16533 5029 13358 18348 4907 4476
"202229_s_at" 793 12959 2649 10961 11965 6081 4012 13597 9454 17450 3356 8267 10086 10796 6847 4309 9987 12246 7208
"202230_s_at" 14697 20941 18931 21631 18455 20894 16491 17012 21713 7390 19815 13001 6389 19664 18323 19124 17101 5887 20656
"202231_at" 20929 3888 12355 21414 14071 3125 13918 5647 18928 11135 19207 5275 4907 19165 18720 15015 4218 18765 14340
"202232_s_at" 21892 6617 14465 17561 15343 4279 15585 1735 6414 11003 16416 13178 7909 4954 17777 3866 10897 17963 17412
"202233_s_at" 11663 5965 1854 2891 13823 4423 3099 5436 7292 21254 16225 12618 15526 13931 7744 12204 12097 6153 15727
"202234_s_at" 19205 4535 20082 20926 19612 20060 14438 2868 17792 9494 18177 11916 18755 19089 2927 18302 17372 17411 1427
"202235_at" 10811 13931 737 419 2109 15383 21212 18864 20146 11569 13128 16212 4298 12606 19472 18225 15698 3894 3444
"202236_s_at" 16777 19552 13571 15860 16464 14681 16033 5565 2546 11570 15228 5113 7624 13484 4305 18091 20053 17597 17650
"202237_at" 9146 9360 7161 13722 5764 19278 6870 14480 4767 17024 3567 18849 7176 8370 9727 7389 7100 4337 10006
"202238_s_at" 9729 8508 5610 7951 9186 16489 7213 9609 1558 19771 8312 13891 1882 7989 9209 5122 8181 7731 7203
"202239_at" 16128 18910 16315 14674 19350 13866 17004 20060 6131 10593 16322 13179 19130 18951 19951 14894 14219 16241 16386
"202240_at" 17882 17961 20845 2382 1133 21279 12831 17827 20867 1682 12090 18927 21530 2230 4734 12846 14962 4794 17201
"202241_at" 15424 2186 13410 17088 15046 19254 3206 4446 19745 4630 16323 13953 5264 14623 1278 18807 14667 5971 21438
"202242_at" 20868 14960 10402 12079 10415 11567 8859 14278 16038 16600 8140 7524 14240 5628 2718 1993 9600 9422 4757
"202243_s_at" 14748 17380 12677 14615 3701 3329 14981 17720 18643 10564 15960 6471 5565 3869 17028 11146 13088 17501 13687
"202244_at" 16176 5915 13893 1718 3990 14723 15414 16690 17369 10037 15740 14600 7890 4463 7301 9988 13897 3391 15234
"202245_at" 15369 6027 18837 17919 16158 19268 19156 1038 7870 578 16430 14335 1618 20908 2473 13552 16817 3744 16580
