"inst_2309" "inst_2347" "inst_3619" "inst_3722" "inst_4280" "inst_4744"
"200594_x_at" 14508 19814 14251 7447 11100 4179
"200595_s_at" 18940 17352 6809 9326 19444 17004
"200596_s_at" 15513 17184 15099 5182 2876 15255
"200597_at" 19842 16876 19387 15828 17944 1768
"200598_s_at" 15164 16877 17951 16002 14078 4366
"200599_s_at" 13230 14374 8053 17263 15604 15148
"200600_at" 10518 18880 1293 17023 13160 15896
"200601_at" 20644 15363 16944 5161 12157 4771
"200602_at" 17963 16626 19003 2170 14676 15230
"200603_at" 17189 19248 14119 7898 13076 4883
"200604_s_at" 13242 20021 17885 18453 2346 19040
"200605_s_at" 20880 17692 14029 19786 14578 19664
"200606_at" 16286 6489 4216 17314 13541 3279
"200607_s_at" 2802 13611 6728 8055 16041 14857
"200608_s_at" 15417 16748 17093 8941 12338 15350
"200609_s_at" 15153 19674 2480 18451 2930 16193
"200610_s_at" 18047 17417 6649 6914 16035 15731
"200611_s_at" 12205 15333 14596 6412 5158 14899
"200612_s_at" 19513 13745 2829 1416 21050 22198
"200613_at" 4751 14350 16290 8366 11830 6568
"200614_at" 15833 20419 15965 9276 4991 15948
"200615_s_at" 12843 16583 7792 17307 13672 19887
"200616_s_at" 11340 14460 15187 5421 19832 4419
"200617_at" 18604 14213 8091 16536 17405 14678
"200618_at" 14785 21257 4459 7233 14028 6496
"200619_at" 3419 16652 2300 5932 3600 15215
"200620_at" 12263 15528 16115 18514 16518 14684
"200621_at" 17355 13973 8270 3153 17729 15951
"200622_x_at" 14558 17816 7788 5356 16363 5998
"200623_s_at" 16085 12297 7327 6421 15418 19842
"200624_s_at" 16260 20231 14891 21279 12140 16968
"200625_s_at" 19387 14413 6944 7735 12146 4781
"200626_s_at" 12714 15226 17126 6397 15231 17797
"200627_at" 13534 13945 6185 17520 2588 14872
"200628_s_at" 11701 16946 17770 16646 1005 3634
"200629_at" 11732 13943 4564 9251 12701 16512
"200630_x_at" 4578 14079 14654 16920 19329 6253
"200631_s_at" 15126 15613 5446 8574 18017 15033
"200632_s_at" 16719 14594 1488 8645 19554 13700
"200633_at" 6626 15305 9934 11338 6930 6602
"200634_at" 14178 17400 7595 8828 15540 14240
"200635_s_at" 14884 816 14702 1475 20962 5465
"200636_s_at" 16716 5195 2388 5370 20029 19047
"200637_s_at" 13318 6158 19793 1712 14072 5885
"200638_s_at" 13856 18317 8336 18262 2612 15965
"200639_s_at" 18006 21037 8171 9002 11681 3041
"200640_at" 15671 17276 14193 18210 11254 6058
"200641_s_at" 10945 17396 19022 20767 915 18729
"200642_at" 12171 15490 6711 6747 10868 17221
"200643_at" 17723 18466 18903 6611 14921 16732
"200644_at" 18753 22069 16830 7393 15451 15135
"200645_at" 15834 16232 16320 15527 13680 15837
"200646_s_at" 13746 1495 6672 1957 14329 19159
"200647_x_at" 15204 18325 7982 5634 19505 6257
"200648_s_at" 14554 21501 20255 8742 794 20235
"200649_at" 18802 12711 2179 4559 12604 19359
"200650_s_at" 11961 11824 7514 11225 6781 13629
"200651_at" 10886 13417 10026 17033 11987 15445
"200652_at" 13009 15542 17748 15490 18872 5051
"200653_s_at" 17349 15662 4321 3213 4451 1868
"200654_at" 12044 14206 16009 9038 14972 14026
"200655_s_at" 11608 15002 18630 6780 18188 16615
"200656_s_at" 16604 19839 20400 17573 3572 5459
"200657_at" 4023 12477 15175 16159 10824 5323
"200658_s_at" 10982 14911 18414 8606 13374 4474
"200659_s_at" 18053 20436 14930 2992 16976 3091
"200660_at" 14534 14208 7570 17589 12141 4921
"200661_at" 16090 19883 14889 6438 11976 15528
"200662_s_at" 14016 15565 16603 7628 13888 4522
"200663_at" 11285 14174 15318 6802 10871 2065
"200664_s_at" 12312 15194 19027 9544 1145 20610
"200665_s_at" 10310 6474 13643 10359 21744 10138
"200666_s_at" 16462 18950 16898 17247 13161 18298
"200667_at" 3158 18888 15589 9209 11705 2357
"200668_s_at" 4650 14431 7397 6233 3615 6494
"200669_s_at" 11539 17875 15825 18916 11033 18435
"200670_at" 16587 21305 17775 3494 18234 5340
"200671_s_at" 20672 9069 19766 15325 11638 18387
"200672_x_at" 20543 12985 6273 20975 14315 20142
"200673_at" 12378 20488 14480 16006 13512 4931
"200674_s_at" 4886 2358 7423 17303 3323 15250
"200675_at" 17217 19485 4648 16846 18841 5910
"200676_s_at" 21913 19705 16313 21075 14778 1718
"200677_at" 15592 14416 6414 6830 16408 6061
"200678_x_at" 3863 14121 3816 4969 16133 20387
"200679_x_at" 17071 13475 16559 8243 12400 16863
"200680_x_at" 12057 13454 10046 16283 11257 15671
"200681_at" 4070 13244 14131 9459 13304 14432
"200682_s_at" 11331 15642 8061 7986 4404 4681
"200683_s_at" 16483 17812 6497 17234 16706 17898
"200684_s_at" 20541 18577 14785 19391 12278 16476
"200685_at" 18482 15405 15946 15624 12274 6885
"200686_s_at" 19179 21407 7153 3447 12039 18133
"200687_s_at" 16296 16958 18302 9180 5106 4438
"200688_at" 15005 2066 2551 5423 16848 14847
"200689_x_at" 11105 3341 16455 9515 12997 6301
"200690_at" 4238 18734 7049 9066 15444 19900
"200691_s_at" 13783 17708 7491 9095 14283 13792
"200692_s_at" 15195 19959 18187 6942 13065 15158
"200693_at" 14418 17881 7474 15860 13008 3353
"200694_s_at" 14487 14109 5360 2566 14334 3876
"200695_at" 14012 19868 19700 21469 11488 20824
"200696_s_at" 12853 13559 6701 19149 20611 18918
"200697_at" 13144 12224 15945 18362 1741 14429
"200698_at" 18683 18053 3438 19506 12700 13349
"200699_at" 15062 2849 2615 15361 14048 16263
"200700_s_at" 14197 3508 15191 15915 17536 17088
"200701_at" 15494 12311 3879 16607 5044 17478
"200702_s_at" 14336 13659 15102 15573 17254 3160
"200703_at" 11444 17099 18684 7261 12180 4693
"200704_at" 17460 17481 3958 18284 18702 18399
"200705_s_at" 4378 3540 14358 17085 11590 5890
"200706_s_at" 3452 14005 19668 18483 18264 5141
"200707_at" 12420 16745 19216 2239 11261 19139
"200708_at" 11392 17979 6955 6881 12906 14353
"200709_at" 4486 14294 18286 1312 15966 17835
"200710_at" 13860 20002 1957 19625 2071 15595
"200711_s_at" 16154 18513 15189 17089 13034 16475
"200712_s_at" 18772 16313 16757 8110 3472 19254
"200713_s_at" 12273 14111 4681 17098 4179 2227
"200714_x_at" 15084 2542 14008 7944 17348 5143
"200715_x_at" 4698 13883 14023 8247 12299 15271
"200716_x_at" 6728 11885 10031 11431 12505 14450
"200717_x_at" 6679 6252 9931 11336 6929 8998
"200718_s_at" 11170 13513 15434 8590 13013 5035
"200719_at" 14595 20365 3363 17315 5259 19639
"200720_s_at" 13463 21494 17240 9311 15598 5402
"200721_s_at" 19184 19612 5982 16877 18353 16677
"200722_s_at" 17592 20290 15501 3473 2285 18094
"200723_s_at" 11574 16945 7810 16691 3002 13849
"200724_at" 2445 10811 2476 1127 17863 21425
"200725_x_at" 4688 2854 15219 9282 13861 6712
"200726_at" 17835 20304 7372 15823 13061 14634
"200727_s_at" 11326 13213 18568 17249 18446 3404
"200728_at" 18120 15821 17668 7616 11400 15225
"200729_s_at" 12929 17006 7218 7160 13996 5782
"200730_s_at" 17610 16134 17774 21022 1391 20944
"200731_s_at" 16828 14984 16869 19223 1684 19940
"200732_s_at" 17366 15066 17881 19001 11790 17331
"200733_s_at" 19914 19639 16274 3608 3587 4847
"200734_s_at" 3887 14210 15441 2065 14119 17139
"200735_x_at" 6863 12362 9992 11389 5198 9092
"200736_s_at" 9024 15327 11149 5483 12441 2220
"200737_at" 19811 13001 17543 17722 5185 6037
"200738_s_at" 11900 13522 6647 15923 11510 13464
"200739_s_at" 14292 12949 18475 7680 13589 16819
"200740_s_at" 11547 15394 15486 7375 4767 5375
"200741_s_at" 6696 6185 9849 11259 6828 8867
"200742_s_at" 14919 17982 17540 3393 16247 18892
"200743_s_at" 4773 15106 17937 4039 13596 13533
"200744_s_at" 11980 17694 16611 5651 14734 4837
"200745_s_at" 12040 18913 5138 9250 17211 13946
"200746_s_at" 16770 18417 17005 7133 13198 18206
"200747_s_at" 17475 13565 5485 4549 13871 19902
"200748_s_at" 13928 11839 16199 11446 10793 3928
"200749_at" 14564 16547 8259 8104 12316 16116
"200750_s_at" 12861 14828 14220 11312 4488 14633
"200751_s_at" 16170 19663 18539 20768 3652 14585
"200752_s_at" 14300 2726 4641 4254 12601 6833
"200753_x_at" 13372 18371 15682 9111 2516 15265
"200754_x_at" 11693 12731 5598 7614 4280 5387
"200755_s_at" 3369 14000 6747 19572 2488 6486
"200756_x_at" 12582 21241 19494 21171 775 19205
"200757_s_at" 17247 18684 5753 19927 4444 15173
"200758_s_at" 16627 17297 17926 15969 3720 5209
"200759_x_at" 3532 13572 2354 16433 15377 16416
"200760_s_at" 11853 16999 15193 8102 19420 16715
"200761_s_at" 11127 17902 6368 4919 11086 6119
"200762_at" 12433 19756 3866 7705 18094 3524
"200763_s_at" 6737 12041 9999 11398 7010 9114
"200764_s_at" 16412 17034 16964 10704 5849 18336
"200765_x_at" 3263 7918 4882 13475 8088 14836
"200766_at" 16493 3298 18793 6960 12715 2097
"200767_s_at" 17994 15555 5821 2517 16636 15104
"200768_s_at" 18675 12055 14071 15318 4130 14234
"200769_s_at" 19117 16936 20915 21046 204 20125
"200770_s_at" 15054 11665 16792 20461 14606 21202
"200771_at" 4162 12842 15541 19106 3465 2675
