"inst_3774" "inst_3777" "inst_3855" "inst_3858" "inst_3966" "inst_3969" "inst_4331" "inst_4334"
"1007_s_at" 6856 14983 4815 4808 4837 9299 16580 10341
"1053_at" 6601 5938 7757 5844 13225 19992 7983 5741
"117_at" 13349 4420 17440 13269 8143 15312 947 15530
"121_at" 4415 17380 20694 10027 3185 4524 17919 6398
"1255_g_at" 12495 10855 14976 12270 7745 14115 11167 14562
"1294_at" 1677 21934 8433 2861 1163 11023 2483 940
"1316_at" 3815 20707 12798 20447 3498 19303 340 615
"1320_at" 3912 539 963 4237 6386 6896 15742 20635
"1405_i_at" 1036 2413 13078 10901 12420 415 14384 12956
"1431_at" 2888 21826 20394 8660 3624 11556 4767 9351
"1438_at" 2534 2996 1263 20881 3472 17895 21007 20523
"1487_at" 2259 5549 20801 21882 15443 8985 20323 11578
"1494_f_at" 21411 21971 21192 1617 18127 5832 4847 5045
"1598_g_at" 3963 7151 19595 7499 2699 5783 21827 19228
"160020_at" 21455 21043 4240 5225 1637 1349 21591 19267
"1729_at" 3640 5678 7656 6741 15561 10488 9754 20346
"1773_at" 21094 5992 2684 675 21186 3997 20500 21425
"177_at" 16735 21729 1176 2869 980 7720 20498 20932
"179_at" 1814 20751 13017 5207 13809 19489 18493 18584
"1861_at" 7709 19712 6088 3884 13215 11493 19033 19089
"200000_s_at" 7303 6401 5271 5812 7091 18616 9003 17498
"200001_at" 7864 5258 12214 9709 5641 8316 17387 8929
"200002_at" 7547 12968 11023 18444 13668 11427 9413 8854
"200003_s_at" 11222 8641 14962 12253 9233 13649 11672 13950
"200004_at" 6731 6261 9460 17607 16319 7247 16953 10164
"200005_at" 9668 5369 10393 8987 13546 17680 9091 8402
"200006_at" 7996 14317 12197 16755 5484 11196 5912 9581
"200007_at" 9333 13713 6097 17352 14651 9544 8456 11344
"200008_s_at" 20985 3866 7161 4229 16442 4650 3963 21743
"200009_at" 9136 6829 12328 18122 7472 9549 4702 7099
"200010_at" 6401 2903 9805 16935 6726 8419 8353 10764
"200011_s_at" 8126 12523 9957 10030 6848 10505 18532 10371
"200012_x_at" 17018 14768 20121 10087 7293 19289 9553 11101
"200013_at" 7408 7234 12226 18507 5487 10683 17378 18271
"200014_s_at" 9568 14252 4327 16790 5821 8254 7972 9101
"200015_s_at" 6703 15176 7876 18479 14360 11368 8523 8181
"200016_x_at" 11165 8580 12245 16305 15685 13569 8795 12259
"200017_at" 11300 8722 15088 12368 9342 13769 11762 14042
"200018_at" 11293 8715 15077 12359 9334 13759 11750 14031
"200019_s_at" 8984 7261 19658 9201 16589 18482 6766 9970
"200020_at" 15235 5510 12101 17104 17031 9100 8100 8762
"200021_at" 11390 8813 15208 12493 9462 13892 16062 19632
"200022_at" 15497 6505 12952 10117 9251 13672 8182 8697
"200023_s_at" 16693 16566 8601 19402 13364 19838 8278 5692
"200024_at" 8825 4715 19923 9146 7387 16991 8262 12033
"200025_s_at" 9779 14866 12984 17909 9331 13756 7874 7139
"200026_at" 11392 8816 11509 6836 9465 13896 8349 11297
"200027_at" 9441 16876 11342 10254 14934 9674 5256 6600
"200028_s_at" 15244 13552 10529 17347 15959 7922 16896 4562
"200029_at" 15609 13691 19492 8738 6153 11634 9449 11127
"200030_s_at" 16289 6494 19903 16536 13679 11700 16363 19371
"200031_s_at" 11287 8707 15064 12350 9326 13746 11744 14023
"200032_s_at" 11302 8724 15091 12370 9346 13773 9702 12129
"200033_at" 8324 13402 12316 18477 17572 17320 16780 18840
"200034_s_at" 9494 6191 19813 8818 9239 13656 16581 19077
"200035_at" 5194 15035 8785 19333 13339 19385 18969 7044
"200036_s_at" 16221 13999 9828 9903 13000 17967 6894 6726
"200037_s_at" 5513 13834 10280 18992 16030 9106 9941 8455
"200038_s_at" 9439 7179 15188 12474 9440 13866 7530 10693
"200039_s_at" 15443 13007 11173 9015 6028 11747 4292 7780
"200040_at" 16445 7003 12876 19123 16007 9318 15340 8867
"200041_s_at" 16819 5359 12738 18126 6555 17782 17049 9957
"200042_at" 16930 12624 9692 8001 12879 10565 17999 6909
"200043_at" 2697 6625 11283 7577 5103 9734 17708 12010
