"inst_1599" "inst_1957" "inst_2041" "inst_3214" "inst_5000" "inst_5419" "inst_6318" "inst_6654"
"200079_s_at" 2989 3336 4910 14891 12177 16139 8378 12079
"200080_s_at" 18908 22075 1264 4833 12046 6791 8372 5583
"200081_s_at" 6619 742 5744 13228 11813 4295 5785 14146
"200082_s_at" 5102 3313 4109 5368 11015 6729 8157 14241
"200083_at" 18868 18240 5225 16570 12479 17313 6415 12218
"200084_at" 6859 19627 3335 15917 14440 6081 7230 11046
"200085_s_at" 7724 837 7274 6550 11378 4716 7648 14922
"200086_s_at" 18652 18834 2961 6439 10536 6388 5000 12996
"200087_s_at" 20993 18962 2673 18611 16113 6430 6835 13769
"200088_x_at" 19310 3072 19756 8496 5523 9771 7261 4736
"200089_s_at" 19879 17718 3022 14835 11849 6580 8137 12927
"200090_at" 5633 18134 1502 19133 14075 16183 18842 3945
"200091_s_at" 20949 21149 695 5858 13859 5165 7501 12514
"200092_s_at" 19924 17820 4972 5530 2819 14274 6810 4588
"200093_s_at" 18583 20931 840 13825 12427 4033 5949 12268
"200094_s_at" 19568 20278 3016 6435 14373 5500 17962 15741
"200095_x_at" 19692 18554 18796 8659 5853 9932 10946 7172
"200096_s_at" 5062 17579 3961 16140 13438 20548 6137 19874
"200097_s_at" 19175 21593 4519 14827 15711 5285 6353 12921
"200098_s_at" 7586 16685 7661 13900 17506 17466 5989 3792
"200099_s_at" 20585 4724 5686 8625 5762 9893 7985 4758
"200593_s_at" 20447 16625 796 17577 19830 20646 17688 18343
"200594_x_at" 3229 20284 2226 5825 16215 14379 4940 12873
"200595_s_at" 19470 20615 1052 16586 20602 15787 19521 14913
"200596_s_at" 22112 1718 8073 18213 17940 18925 17717 17503
"200597_at" 536 17146 1163 13367 11237 14442 21649 17576
"200598_s_at" 18921 20124 8153 16244 13002 15632 351 12592
"200599_s_at" 18404 18546 447 5354 18992 6002 378 13804
"200600_at" 2070 20557 789 892 5945 1625 3521 15661
"200601_at" 1204 17976 7411 14609 12960 3470 15567 14568
"200602_at" 5887 22243 46 5106 11478 1581 8383 5123
"200603_at" 2181 22270 650 5353 17218 7316 6196 12811
"200604_s_at" 20375 3713 7091 13625 14759 4269 16955 17168
"200605_s_at" 2717 21688 3069 15667 17344 7624 7579 13503
"200606_at" 14102 19795 10726 5831 11407 3255 17494 17987
"200607_s_at" 22014 3705 2014 20413 18323 19405 17307 15228
"200608_s_at" 6939 22237 5254 15791 18036 7831 16443 18281
"200609_s_at" 19192 4942 6559 13410 13261 7875 4026 2577
"200610_s_at" 4769 21405 2762 5657 13395 16797 17063 14234
"200611_s_at" 19926 1757 5838 3887 14011 2937 5943 13831
"200612_s_at" 932 304 19769 2648 19551 5736 1634 21425
"200613_at" 4772 3765 19364 4677 14218 5944 5920 16386
"200614_at" 20374 4766 19349 13454 11650 14848 16083 12498
"200615_s_at" 19441 4673 8371 16543 3034 4908 5392 12030
"200616_s_at" 5011 15923 19423 14844 12805 16322 4053 15427
"200617_at" 5666 3939 3450 3456 18092 19286 2548 4896
"200618_at" 21139 18480 3784 16631 15573 4899 17084 11246
"200619_at" 20929 4588 4894 19525 2975 6214 15573 2642
"200620_at" 5322 5094 19658 6033 11224 5060 4207 13102
"200621_at" 19270 15664 4746 3398 11688 4302 5355 17194
"200622_x_at" 726 3294 3198 5087 10616 5882 6871 11923
"200623_s_at" 1335 1016 7944 15659 13599 17139 19743 11493
