"inst_593" "inst_611" "inst_864" "inst_972" "inst_1008" "inst_1066" "inst_1169" "inst_1228" "inst_1653" "inst_2688" "inst_4452" "inst_5225" "inst_5588" "inst_6187" "inst_6946"
"200039_s_at" 7817 13767 5625 15826 1831 3536 17339 4554 14338 7084 15091 6641 4553 7462 12978
"200040_at" 5904 14699 6546 4469 15644 15972 15109 15287 14206 3908 17305 3346 5332 2740 14787
"200041_s_at" 19258 18216 8688 17826 17811 19802 18361 19204 19213 19637 15318 19691 18583 18482 18349
"200042_at" 8514 20867 5314 16502 16536 19293 16617 16857 19819 9097 15886 16586 14272 7248 17224
"200043_at" 18660 13758 9107 18919 13610 18124 21127 7313 13215 15458 15954 2433 14453 12336 15478
"200044_at" 8527 17622 8362 5851 18128 17080 18461 5053 15587 7167 9786 7291 14389 7012 15314
"200045_at" 7676 15480 8127 18428 16820 20152 19135 17090 17681 19508 16829 18633 17098 18434 16684
"200046_at" 8112 4933 4460 16840 3885 16149 18339 5935 13574 15478 9626 5683 3791 8674 14881
"200047_s_at" 2388 3194 8992 16542 1938 17178 17545 3631 13347 8941 16641 6080 12766 7712 17810
"200048_s_at" 18115 16860 7405 4400 15090 17867 18923 16795 15001 16994 15233 14853 15055 11922 16148
"200049_at" 5139 13811 7334 3017 13832 2890 1573 2653 2371 3579 2063 4111 6284 1003 12194
"200050_at" 2560 2449 3443 2308 19055 16352 17624 3486 15639 6177 7310 3279 4046 10759 18931
"200051_at" 8979 5368 3253 2592 16190 16701 13735 18854 18450 16396 16136 2402 12894 10435 2379
"200052_s_at" 7259 4719 5105 5600 3070 2295 16943 6393 16235 7705 7499 6560 5296 7934 15650
"200053_at" 6308 5252 3710 17752 17734 1155 16949 3822 15895 7867 4485 1096 14466 5638 13152
"200054_at" 5621 3393 9133 18230 15438 16567 20025 17150 17624 8350 21176 16940 14698 11042 19183
"200055_at" 7189 17517 5973 4658 17157 3179 16878 7093 17136 9438 17002 19276 16546 11886 15794
"200056_s_at" 2244 15375 19029 15617 19869 16676 21307 3199 3656 6289 15403 4902 5572 5064 13314
"200057_s_at" 9416 5622 19040 5039 15023 17122 14402 17672 15028 9057 17011 7285 5969 9574 16013
"200058_s_at" 2851 16379 5112 3316 16069 3747 15236 16625 14218 7119 7526 2909 5553 5890 16189
"200059_s_at" 2582 13926 9396 5258 14928 16991 16254 6716 18266 7675 17767 6718 14929 9524 15689
"200060_s_at" 6526 14239 7747 5021 3041 17888 18394 3866 14426 17402 7064 15425 14402 9103 17923
"200061_s_at" 18794 4938 12549 15966 7483 4065 3741 10525 3515 11380 11397 16255 8516 14238 12577
"200062_s_at" 18527 5269 12398 15689 7257 4019 13670 15621 13726 11309 11309 9853 8402 14142 2696
"200063_s_at" 8177 15413 12802 15881 7324 16003 14865 16596 15288 11432 11438 10177 8585 14280 14850
"200064_at" 2131 307 2148 706 1140 365 110 325 275 458 2216 693 1125 1397 162
