"inst_5925" "inst_5930" "inst_5972" "inst_5977" "inst_6893" "inst_6898" "inst_7083" "inst_7088" "inst_7506" "inst_7523" "inst_7528"
"202233_s_at" 14913 6834 10061 14393 11522 5916 3654 8110 14426 6419 5898
"202234_s_at" 18266 2214 11768 8863 12935 1209 17261 694 778 589 2297
"202235_at" 18295 5488 11175 4736 2468 7955 493 4668 6354 748 2292
"202236_s_at" 14657 5171 2792 5787 307 9281 21751 2379 21892 2163 4137
"202237_at" 12199 2438 7660 4163 11396 15304 10891 869 14172 4530 611
"202238_s_at" 14322 834 16122 2075 174 13088 8045 1561 13023 11450 1324
"202239_at" 7183 3805 7597 14322 2343 5739 16092 4879 2213 4845 16207
"202240_at" 17372 15447 6743 7041 15012 19029 20954 19805 14669 3744 14973
"202241_at" 5492 5425 6981 7695 13051 5936 1966 3788 4914 3717 6100
"202242_at" 13903 9927 2170 10821 10295 16408 12190 12238 12594 11679 9768
"202243_s_at" 7699 15969 17559 14973 16352 7078 3817 18577 16124 16171 17297
"202244_at" 8781 17665 10702 17962 12747 9105 1857 18861 14987 13921 15433
"202245_at" 17992 12154 8042 17247 16651 6760 2616 3882 14989 17554 5024
"202246_s_at" 16721 4217 8168 15144 17146 18646 16609 3873 14994 14743 6355
"202247_s_at" 111 3043 18908 8236 21020 21876 18970 15918 15769 19448 1416
"202248_at" 4885 20156 1114 7325 13614 22 245 2215 594 1065 4139
"202249_s_at" 7677 5640 1828 14899 13928 211 3196 7302 20812 22105 18907
"202250_s_at" 1396 656 1757 7261 17879 3993 21411 20730 1578 21642 2730
"202251_at" 15389 3140 7763 5739 13793 5346 2950 4523 17634 3564 4440
"202252_at" 7017 16001 11477 7459 16281 6672 2043 17888 5397 18268 15627
"202253_s_at" 1140 5318 8065 16271 21789 20872 20893 19116 678 19832 17242
"202254_at" 5388 4862 2974 14892 2703 4796 18265 2408 1710 17090 6433
"202255_s_at" 4279 3886 9821 6238 11364 7715 1560 1706 17157 19458 5065
"202256_at" 2619 1007 8217 18558 14963 18699 16898 18934 4083 19226 2428
"202257_s_at" 14628 3092 8040 18513 19879 2269 4728 3505 16232 14669 6183
"202258_s_at" 4211 5934 3203 6245 4831 18667 20110 20709 6353 14548 19349
"202259_s_at" 3069 767 10171 19497 1881 4671 18071 5596 15191 17058 16356
"202260_s_at" 8209 15912 9301 8646 15786 6751 20083 917 3975 1417 2386
"202261_at" 17061 5613 9349 8691 18858 9675 19329 20082 15203 15109 6606
"202262_x_at" 4036 16065 8204 20202 14362 9094 17842 21423 17136 3972 21311
"202263_at" 4189 17768 6024 8704 12265 3808 20949 2263 18699 3714 20951
"202264_s_at" 1369 17323 7314 2952 15642 20449 14580 1920 4910 2482 15510
"202265_at" 16001 17096 2990 20037 3223 4827 15677 7003 16297 17796 18162
"202266_at" 7749 15710 2672 15373 15823 2421 18774 7425 16983 15299 19321
"202267_at" 6824 6280 21334 3127 16251 1650 5279 1971 8943 20738 5315
"202268_s_at" 15906 5828 6292 8789 1598 2795 13991 7900 6002 15597 17454
"202269_x_at" 16386 4477 21848 4997 21172 17339 5297 387 11696 1003 6368
"202270_at" 9554 14849 16966 9141 10045 11704 8658 9057 10015 12237 14110
"202271_at" 19475 6581 2274 6454 1534 6658 4657 3453 19223 16734 17555
"202272_s_at" 15857 3229 1328 5255 551 5693 17643 6588 20367 19336 20100
"202273_at" 4509 17814 19276 14696 18175 15987 6428 8692 8399 7338 7627
"202274_at" 9805 3082 310 505 1482 21609 13288 16306 18737 17832 16833
"202275_at" 16942 7725 11070 2549 15587 17779 13871 5729 6151 6127 6107
"202276_at" 3516 5759 1722 20312 12812 18640 18847 8102 3279 15951 17453
"202277_at" 18699 3930 4529 19828 2778 2700 17033 3597 6828 16617 5227
"202278_s_at" 16158 21018 18000 20507 708 21049 22258 20708 19855 1190 21675
"202279_at" 18908 7222 9403 7486 14190 7461 2833 6231 15315 15748 5468
"202280_at" 11309 12125 13154 10222 8508 15112 10621 14769 11353 7199 11629
"202281_at" 5625 6532 17595 5445 11142 3734 1478 2249 20014 18366 16877
"202282_at" 3779 4463 18003 5268 18449 7275 14648 3156 6404 14673 4504
"202283_at" 21578 10707 21048 11993 1894 1954 5329 14113 18838 21812 11134
"202284_s_at" 7774 112 19997 2069 1629 9132 2375 542 3896 15475 15613
"202285_s_at" 10566 12905 3892 11550 10092 18778 6224 10375 10847 11897 11135
"202286_s_at" 15567 2797 10091 6263 2392 9738 2810 6404 6893 13385 4797
"202287_s_at" 12194 10249 12217 1004 991 10945 9368 10957 20833 10361 12935
"202288_at" 8323 478 20732 1922 1217 8862 13763 976 2065 21451 16085
"202289_s_at" 7641 3093 5244 18835 18032 2498 17487 19239 1584 16952 15221
"202290_at" 1573 19012 5560 16117 17799 19160 21029 18181 18455 17623 20266
"202291_s_at" 17806 20846 18824 19039 4899 7210 17827 17503 14050 16477 12481
"202292_x_at" 837 18770 3898 14299 15118 3631 2453 8125 13879 18596 20248
"202293_at" 5284 16855 1083 16616 13301 1491 13851 5532 3499 17631 3312
"202294_at" 16412 4197 2916 6693 20454 8179 18974 18395 17752 4821 19844
"202295_s_at" 8075 6379 3220 6749 12399 8453 16238 5265 3454 13810 5450
"202296_s_at" 8124 6929 10332 15020 15219 9341 19780 4049 17519 13575 17608
"202297_s_at" 14672 5400 6521 14421 13311 7778 14154 1997 13898 19413 4162
"202298_at" 17729 5524 8986 18461 11943 7255 2644 7647 6220 4819 5846
"202299_s_at" 16183 8000 8318 15333 12441 3907 17426 8485 16090 15016 15726
"202300_at" 18819 7653 11455 4461 15031 5426 16192 5696 4177 15037 18666
"202301_s_at" 5260 6487 19853 13796 3154 2496 1850 6724 14203 16729 4808
"202302_s_at" 16606 6464 4151 17320 2477 4635 16620 5327 15661 5148 20415
"202303_x_at" 7886 17460 4656 16697 3501 3708 2310 8247 2044 16068 16789
"202304_at" 17879 17470 7040 15478 11308 9597 18949 3262 3568 15245 19371
"202305_s_at" 15681 7486 8328 3416 18091 19089 15199 4088 18002 4707 4802
"202306_at" 5274 16187 2802 15310 11259 18179 17359 6919 6059 16059 18493
"202307_s_at" 5877 1952 2354 3272 15169 19312 262 3259 20047 6342 2693
"202308_at" 6749 5928 1210 8870 20514 19317 4574 4336 6507 13546 4829
"202309_at" 16889 6347 9133 7850 11955 6965 13994 6460 6345 6863 3651
"202310_s_at" 22176 21165 22016 19169 21078 3753 132 3829 144 22128 17279
"202311_s_at" 12872 10512 17464 3135 9197 15089 10598 14744 11327 11054 18753
"202312_s_at" 18665 6918 12450 19771 11512 10493 12171 9847 1012 12842 20092
"202313_at" 15312 17114 3314 15956 16790 5859 18267 7595 20714 20173 15310
"202314_at" 16933 4637 18086 3632 11862 1594 3619 590 4283 3606 1854
"202315_s_at" 7695 4547 8481 7716 16149 4501 19460 17589 14634 15959 2240
"202316_x_at" 3410 18977 19362 20380 1785 2914 21833 19716 18886 17426 22141
"202317_s_at" 2604 18041 5725 17523 17572 4525 15116 2465 16038 6475 14287
"202318_s_at" 5005 2704 8402 5732 2783 1504 17559 4502 16171 16862 4184
"202319_at" 2797 20661 803 19780 1394 22034 16189 8064 18472 17793 1721
"202320_at" 4673 15270 6220 19949 19379 20105 3222 7239 18342 21315 4991
"202321_at" 3128 722 6178 8484 4344 9372 196 19857 21764 14092 1859
"202322_s_at" 7234 5921 5206 13830 16354 18382 20858 20252 17475 14531 18813
"202323_s_at" 3054 6631 10468 2516 18056 18468 3836 2174 18492 20704 3943
"202324_s_at" 3850 7782 5455 14218 4022 7694 3048 6083 17544 6089 16708
"202325_s_at" 15346 4651 11562 7142 4389 2913 3987 2838 4990 14419 4702
"202326_at" 643 5479 10672 8248 20432 18535 21583 21173 3073 19412 16964
"202327_s_at" 9078 11279 14392 13046 10652 10867 7412 11550 12101 9226 12463
"202328_s_at" 5442 3661 11951 15232 1381 1431 3421 3435 19693 21078 501
"202329_at" 8368 3968 8093 17296 14351 4704 19562 1195 19603 6802 2759
"202330_s_at" 6502 6993 4417 14055 3959 1701 16453 6268 6157 18084 6530
"202331_at" 15523 20034 8679 14337 15591 9896 17990 847 17011 16922 17168
"202332_at" 971 1784 18618 3654 18723 6004 1537 2741 1940 16924 858
"202333_s_at" 17167 7796 4853 21013 12020 3617 18946 17831 16100 17253 15817
"202334_s_at" 8488 18715 2293 21358 10806 7508 16076 2763 18774 20292 20153
"202335_s_at" 19997 9453 19561 17638 10145 2322 6896 10132 7634 1142 12939
"202336_s_at" 16304 5447 3431 16312 4636 6425 15490 5849 4980 13663 14204
"202337_at" 7930 16217 9497 15626 18130 4821 18208 18180 5923 4832 19394
"202338_at" 3587 16661 2399 20290 21812 21866 18478 2027 3238 18832 14685
"202339_at" 21467 85 7984 20320 2594 22138 19767 16570 4469 20782 5497
"202340_x_at" 5905 5899 476 20918 21912 21981 6402 2165 9108 5332 18373
"202341_s_at" 3711 19399 19496 16689 19173 1698 3749 22176 4082 6518 20596
"202342_s_at" 4857 18141 4186 20525 21578 114 17405 20715 4631 3713 20551
"202343_x_at" 6934 8706 11587 7927 14162 9523 17203 18088 3045 5060 14993
"202344_at" 7482 367 6894 6583 20009 2941 2008 19308 999 16290 16898
"202345_s_at" 3694 2781 7975 7565 2360 8441 18733 2825 3231 13392 3185
"202346_at" 19341 5879 2481 7031 2176 2306 16065 1649 17795 20658 17591
"202347_s_at" 15545 17392 7365 5518 14292 7565 14593 7631 14619 15465 6346
"202348_s_at" 15557 4823 5032 17541 3643 8923 18905 6996 18025 4988 18785
"202349_at" 8138 18576 7174 15412 19810 9251 14764 2761 16584 13693 14803
"202350_s_at" 4718 8417 5138 15141 4638 5960 15678 5777 5083 13750 15685
"202351_at" 16964 8742 3394 6198 4398 6372 16094 5048 15805 13924 5768
"202352_s_at" 16545 7982 8345 6151 2493 8925 17023 17968 18546 15958 18053
"202353_s_at" 18513 15634 4398 16750 1811 1816 15745 6742 6070 5804 17131
"202354_s_at" 15350 20877 8343 17414 19544 21789 21068 21727 17268 15002 795
"202355_s_at" 8554 15718 18967 7449 19925 1288 21524 20958 2303 6623 5006
"202356_s_at" 14972 5408 5466 17510 17011 9018 2303 3580 2370 1504 17905
"202357_s_at" 1376 12274 16876 9549 10126 11496 4870 11823 12160 9394 12994
"202358_s_at" 21024 21322 2053 18051 2552 2465 20381 22011 3405 2620 6074
"202359_s_at" 4887 4181 10273 7746 3382 2848 18901 17641 5641 4343 6747
"202360_at" 17310 4265 5232 6340 10928 3923 15950 8234 18405 5797 19612
"202361_at" 6237 15972 10376 8669 14630 18736 15683 7246 4865 6840 3947
"202362_at" 3885 4015 9905 18382 2063 7742 18914 3654 18731 6267 14723
"202363_at" 20343 19722 16118 16788 13508 13195 6060 8100 9023 9683 16631
"202364_at" 8136 7160 1610 3210 11405 5537 16312 4593 1902 1474 5424
"202365_at" 7627 17647 4653 20582 16926 8208 20770 5941 19816 6191 17999
"202366_at" 36 21050 5690 22216 15704 2495 9488 11198 334 20481 5913
"202367_at" 2197 7401 7595 5617 19285 18933 21816 2571 4883 5089 15698
"202368_s_at" 14880 8350 7671 6965 18036 21619 18859 19894 14695 18313 5401
"202369_s_at" 3924 4860 3271 14469 17264 19796 14179 20505 915 19398 16542
"202370_s_at" 7642 7099 2646 14725 12588 4776 17040 4286 14544 5609 18075
"202371_at" 16296 5628 9431 13759 15430 2007 3809 2558 6802 14723 6459
"202372_at" 17949 2602 8214 8583 4117 18689 14591 3674 18091 5608 18480
"202373_s_at" 18486 4115 7643 7392 14462 4591 19793 18342 3676 5339 5469
"202374_s_at" 3261 18407 1754 19628 14135 2924 15576 22149 21687 3193 21413
"202375_at" 6923 19728 19118 21012 15032 737 19113 19592 3955 15851 5454
"202376_at" 20715 11404 11041 4367 9083 1586 4190 12018 6287 4883 9594
"202377_at" 19379 18746 1773 18090 4824 7005 2296 19092 20134 14129 21300
"202378_s_at" 21408 7411 1027 20072 17329 22126 1300 8322 19295 21541 15236
"202379_s_at" 5647 8094 6424 3490 16309 7155 2548 18532 4586 14038 15981
"202380_s_at" 20866 4460 8498 7883 20150 3131 15477 8173 18179 1951 17764
"202381_at" 17405 19040 5634 16584 11122 5939 14948 8172 3559 6097 5393
"202382_s_at" 3619 2606 5076 17595 5047 2085 1858 2028 16258 20209 1525
"202383_at" 20972 1440 2918 18323 21529 19126 19613 6376 18460 17232 14567
"202384_s_at" 4446 406 9613 6107 14028 6356 16146 990 3989 2950 1546
"202385_s_at" 2026 1550 3517 19299 1688 2923 21581 3677 5364 14417 667
"202386_s_at" 8264 20811 8592 15862 12584 747 21224 2118 4053 14685 20912
"202387_at" 2781 891 7086 2104 4404 4386 4401 111 19081 2858 387
"202388_at" 18873 21062 2135 21848 21548 18880 8987 22147 1478 19488 21582
"202389_s_at" 19187 7245 7005 4055 19501 5056 155 100 16776 19971 21365
"202390_s_at" 19646 2968 1735 16413 18200 1392 1193 2709 15570 17548 19346
"202391_at" 8539 17820 8855 19504 17396 7820 4433 18138 15152 14932 18324
"202392_s_at" 4277 4186 5253 6949 15608 3305 2997 4514 2601 15033 3749
"202393_s_at" 16754 7368 2368 16743 13003 6767 14992 5827 19629 16195 6882
"202394_s_at" 4943 19035 2152 4275 19880 4288 1735 18526 3986 3511 3158
"202395_at" 14564 17462 3372 17645 14786 4841 15845 17720 16036 15631 19367
"202396_at" 16554 3359 2320 16138 4938 4644 14680 2317 18505 16781 6040
"202397_at" 8651 21163 11932 19593 18697 18476 18747 7617 6900 14689 2505
"202398_at" 20002 20488 1250 2789 240 22171 1836 10642 2077 3258 20281
"202399_s_at" 6240 16943 6690 5199 16981 7819 2992 5453 17313 14101 4344
"202400_s_at" 21665 1002 20611 15612 19610 21783 10450 16161 7140 154 3398
"202401_s_at" 20209 913 4254 3612 15241 20204 14010 6489 15853 6341 99
"202402_s_at" 16139 5351 18713 3355 17367 6984 827 4583 3019 4417 1318
"202403_s_at" 13341 5550 15448 10090 7134 16494 8030 15755 1736 9614 3504
"202404_s_at" 10341 13798 13034 21749 6009 20581 6293 8998 14746 5681 13062
"202405_at" 8843 17755 6609 6571 1281 19915 20093 8029 3509 18113 4690
"202406_s_at" 5437 4767 8533 5610 16307 5525 13835 4495 15012 14958 5873
"202407_s_at" 208 17296 1337 4397 19589 6183 21820 21581 22146 5396 19835
"202408_s_at" 6660 4243 7831 14260 15837 18027 1327 4440 15981 6928 14249
"202409_at" 13096 18667 7896 7793 20409 2146 351 19648 7976 9101 16092
"202410_x_at" 11226 21632 11752 22174 21994 13384 8415 12585 12764 9830 12382
"202411_at" 3908 9536 17831 12466 15935 10931 11275 11097 7464 3977 8817
"202412_s_at" 7121 7786 4899 2097 15465 4876 3903 8576 15413 4842 16463
"202413_s_at" 17237 16420 3889 15850 3592 5094 14267 7791 16663 17998 17993
"202414_at" 17664 1360 2603 14939 18157 3441 13891 5592 1209 1479 653
"202415_s_at" 5885 7511 5609 17245 10736 19688 3156 1531 4492 16057 1471
"202416_at" 20448 8477 6300 2150 16921 21021 3220 1548 18553 17238 5726
"202417_at" 3618 16940 7668 5717 15818 2584 15840 17809 2379 5727 14668
"202418_at" 7830 7727 7754 7347 19686 7157 19717 4025 3795 18990 3438
"202419_at" 16635 15986 6048 17251 14957 7633 20060 3549 21373 3635 440
"202420_s_at" 4160 7135 10792 3761 1321 7198 14087 4116 772 6778 17982
"202421_at" 16798 903 10166 20785 19509 7133 17337 21062 15809 19206 4052
"202422_s_at" 20690 1683 2832 6398 2547 20781 16901 240 15672 4935 1529
"202423_at" 8731 17172 4781 16367 17875 6240 19958 5595 19957 6338 15518
"202424_at" 8031 5807 18547 4720 18883 6199 17517 18853 16126 4056 5310
"202425_x_at" 7054 6207 4086 8894 4806 6035 2838 6101 16292 16977 3363
"202426_s_at" 4954 15550 5822 16777 21264 21008 3347 8263 6165 5904 5659
"202427_s_at" 17060 8077 6522 5669 716 3336 14703 18131 16452 19861 19119
"202428_x_at" 8373 4363 11592 5575 4072 19061 4258 3546 16767 14658 4649
"202429_s_at" 16123 2904 10633 4550 1536 5548 15162 3611 6876 15771 3169
"202430_s_at" 20948 17040 7792 6650 10847 1915 19311 114 18396 460 20957
"202431_s_at" 14885 44 19765 66 29 3979 20992 58 18614 14319 64
"202432_at" 14920 7373 6888 16661 12215 3403 16427 3265 1430 13565 18069
"202433_at" 5776 15701 3573 8481 4934 19947 15730 17636 15103 5146 14461
"202434_s_at" 9432 11350 14450 11178 9755 17417 7683 11818 9356 8940 14131
"202435_s_at" 21793 6836 72 5899 14262 1929 15568 20738 421 5716 20469
"202436_s_at" 8707 20457 6867 2344 15074 1036 17452 20627 1832 959 15690
"202437_s_at" 19451 17388 466 14410 12076 3040 14441 7067 3385 2143 15882
"202438_x_at" 20574 22093 18804 17611 17493 20477 21719 20110 21033 5687 14866
"202439_s_at" 2983 8708 3327 18629 15448 4655 1664 8374 4830 20686 6411
"202440_s_at" 2774 20216 18988 21236 21398 4533 2376 21894 1334 22062 15984
"202441_at" 19682 19573 2590 4915 17585 8364 15961 1459 17273 16014 4278
"202442_at" 17866 15611 7591 16381 12045 6824 14138 4581 15471 14105 6851
"202443_x_at" 16847 15244 7509 6159 10817 1378 14897 5402 13859 2937 14878
"202444_s_at" 7220 19428 21595 21996 18487 2770 21484 7508 20433 1133 22149
"202445_s_at" 16763 16678 19242 18002 829 8161 7119 15646 19301 16018 15175
"202446_s_at" 18415 5869 5027 14824 13440 4643 16507 5778 18470 5978 17108
"202447_at" 8726 7584 9652 5837 13507 6196 13895 7755 3993 3563 5062
"202448_s_at" 12321 14347 12886 11657 9254 17278 10589 14732 11315 12379 8229
"202449_s_at" 6365 15085 8064 5638 11934 9272 14485 7963 2886 2270 2600
"202450_s_at" 8600 17290 6051 847 14019 8375 14396 20971 14355 2944 16359
"202451_at" 16283 15822 7155 7244 12766 8819 3101 7334 15499 4540 3323
"202452_at" 5116 18587 21259 2619 19215 1147 21769 6412 4820 1539 21625
"202453_s_at" 7266 3164 17635 16980 2951 3102 21159 8367 21083 1668 18772
"202454_s_at" 8957 15700 10654 17893 16748 9364 20609 5685 6767 13944 16970
"202455_at" 610 19239 20505 20816 20024 20717 15225 20225 20349 21844 19521
"202456_s_at" 2163 21431 5531 18662 22171 291 24 21038 19191 20511 20462
"202457_s_at" 5749 2414 4230 5289 840 7238 18405 3391 15497 16748 14775
"202458_at" 17165 15271 6614 14013 16576 8064 17135 18955 4181 6912 19716
"202459_s_at" 20449 21148 2805 20757 3204 19206 18128 7233 16444 1632 22242
"202460_s_at" 18007 3266 5215 18649 19347 6655 2062 21009 9220 720 20910
"202461_at" 4936 15344 11043 6453 15680 8751 17866 7672 4169 14618 6300
"202462_s_at" 17822 4395 11153 3244 3484 5549 17068 2638 4944 15946 14950
"202463_s_at" 1741 17998 22170 17306 7001 1424 22259 603 6409 5299 17743
"202464_s_at" 19276 15663 10476 7239 2661 1299 2193 1667 3913 6850 3371
"202465_at" 5280 21902 15723 22144 15616 8710 12863 21373 1614 7767 725
"202466_at" 7530 6305 3313 3570 12105 7571 16082 3423 17682 3251 15464
"202467_s_at" 16640 8433 3141 8324 3566 238 14619 5684 5758 13619 16538
"202468_s_at" 20854 17396 3798 18042 4928 6586 2082 7615 4546 3632 16395
"202469_s_at" 8224 4920 6101 16103 14312 7897 4037 4388 15650 17535 15929
"202470_s_at" 17191 3058 6108 4140 14429 6281 17571 6585 2143 4788 17106
"202471_s_at" 4539 19161 18839 14618 18535 20316 21008 7439 14701 17588 15599
"202472_at" 18008 21850 17602 4005 21905 20839 3545 19999 21264 4871 4841
"202473_x_at" 3829 17838 20372 19755 15418 21256 11457 15744 21296 451 22276
"202474_s_at" 18992 7145 5939 6036 17812 7223 1618 6994 2081 20657 18084
"202475_at" 18626 6118 8687 13789 15693 7839 17578 18575 6212 14656 14542
"202476_s_at" 22077 1143 21900 17545 21234 22039 7169 10754 22265 19935 978
"202477_s_at" 7869 5575 10658 5803 20486 5855 20998 391 19102 20891 3661
"202478_at" 7758 22155 6985 22177 22071 12417 7172 22230 1125 21345 22256
"202479_s_at" 12677 22148 9031 21379 17576 13043 13048 21603 21533 11289 4066
"202480_s_at" 16326 21000 8092 20415 10910 20677 22020 3271 21236 5122 2198
"202481_at" 1424 21428 20676 20473 21727 1054 19093 20917 1376 3278 21534
"202482_x_at" 174 4994 20025 22002 1030 21826 4992 15493 1982 17383 21858
"202483_s_at" 6385 4289 3486 8549 13043 8556 17332 17676 14888 3862 6453
"202484_s_at" 16628 7410 6719 14794 11692 2458 16084 6287 15271 6552 14894
"202485_s_at" 21308 21992 799 113 2284 10894 8200 16443 9696 1108 9855
"202486_at" 17832 5243 3638 7681 11560 8013 18953 3020 16908 16464 16161
"202487_s_at" 16024 18010 18096 17068 12361 18094 2714 20896 17285 2269 21004
"202488_s_at" 3574 19336 11100 20559 19597 8573 18110 7641 3233 4156 6866
"202489_s_at" 4953 19453 11931 15991 21793 8725 16152 20415 14302 14127 5329
"202490_at" 20947 3915 484 6540 1511 18112 849 9204 1616 550 9092
"202491_s_at" 5882 4398 3188 6196 12085 2069 4102 3227 5661 4187 16117
"202492_at" 19046 17944 1590 20083 17186 19419 20852 4517 4736 833 6351
"202493_x_at" 12837 12711 14503 11230 7064 9930 11138 12071 9515 11629 9637
"202494_at" 4769 7620 18722 18295 12658 3747 15756 20880 6773 4876 15623
"202495_at" 19012 6680 10057 17604 12343 4434 16539 20408 19128 19708 16774
"202496_at" 20474 21955 4194 5148 15148 9764 19087 630 3637 13774 16533
"202497_x_at" 11368 8902 21134 13404 2528 12542 7382 11527 9165 7445 7281
"202498_s_at" 10165 10358 6579 1672 8352 10972 5331 15699 8039 12461 11425
"202499_s_at" 13640 14430 2285 3745 10682 16293 11532 10788 7885 12421 6267
"202500_at" 18707 20432 589 21397 17178 6200 22070 18701 2723 5277 20749
"202501_at" 20660 20879 2 14638 12871 6034 21151 4262 640 19906 19676
"202502_at" 19337 4013 4697 5988 3681 4630 14234 605 6533 6833 6537
"202503_s_at" 17904 15298 8488 16662 3779 8351 15331 7011 6403 14002 14219
"202504_at" 2518 53 10833 36 21546 21816 4793 68 1515 1881 1954
"202505_at" 18710 5124 1892 15048 11466 3328 16619 1380 6102 15296 6442
"202506_at" 4855 6420 1629 21233 16525 6255 2913 18476 20060 19514 21720
"202507_s_at" 1722 20143 15213 21913 16966 8698 11856 13909 12933 18809 7227
"202508_s_at" 9346 10931 14756 12436 7693 13896 13305 13239 13416 10181 8430
"202509_s_at" 2558 380 19332 603 22197 10617 6276 19537 2073 1114 5064
"202510_s_at" 14883 779 8102 969 1984 5848 683 865 2147 20467 1791
"202511_s_at" 17760 17696 7367 16306 3361 4656 17018 8591 16185 16789 17838
"202512_s_at" 20169 807 5260 15536 15413 19519 464 1074 1063 4286 21390
"202513_s_at" 1780 7551 19027 5352 16810 18708 13970 5892 16613 1725 19693
"202514_at" 5771 17303 2867 17618 11327 18108 19615 20606 14687 4497 22109
"202515_at" 8450 8512 6302 15362 13976 2951 17046 19837 3472 17427 18552
"202516_s_at" 2889 8576 2233 17696 21824 13574 22071 8503 18948 2579 22046
"202517_at" 12294 11090 6640 1545 19551 1943 11507 15762 598 11509 15329
"202518_at" 20524 4050 313 20897 18884 9822 17210 7046 18180 4170 4436
"202519_at" 18492 5245 3440 3831 13212 3386 1773 4834 17064 20092 4966
"202520_s_at" 17527 15565 3748 17924 14055 4869 14983 18186 6753 17252 19363
"202521_at" 16165 15119 5658 17053 15345 6453 15087 20092 16234 16408 20073
"202522_at" 15961 2200 7922 5341 3621 5512 4295 2348 16092 14182 4564
"202523_s_at" 7484 5554 20338 14220 10155 12373 20074 15513 6044 12600 7485
"202524_s_at" 12005 21243 21773 21780 8909 20097 534 17527 7705 7511 11492
"202525_at" 1890 22002 5288 4416 21004 3463 18430 18009 17298 5075 1581
"202526_at" 1050 346 5196 6258 21415 15917 6797 8727 442 978 16438
"202527_s_at" 18543 8384 2218 7008 461 790 19483 2941 12 1867 19678
"202528_at" 1692 16754 9618 5392 18874 8713 17636 5275 15069 14971 20373
"202529_at" 3034 8591 4822 14270 14824 4604 15743 6875 16416 17960 16933
"202530_at" 4897 7668 5716 6427 3987 3046 15069 17633 6650 3150 16362
"202531_at" 7550 520 21769 2220 20559 17911 20341 12316 18438 19420 1425
"202532_s_at" 2538 17984 19416 19520 15698 6887 17758 19001 15210 14945 4013
"202533_s_at" 7408 6350 6310 15886 1983 5005 19902 20137 20063 1178 17057
"202534_x_at" 7685 4616 7577 16915 4347 4307 4509 17694 13917 2868 5869
"202535_at" 7188 17772 4450 17632 17792 7485 17369 5569 2881 15516 6550
"202536_at" 15183 1473 9308 3708 1523 1848 3739 395 3833 6056 1518
"202537_s_at" 5317 1764 7884 3694 4568 18005 14985 1399 16788 6859 2561
"202538_s_at" 7544 5738 1359 4687 1618 8065 21347 2812 19655 14982 17371
"202539_s_at" 4255 3323 2291 5636 10903 3043 18080 4835 4882 6758 14421
"202540_s_at" 18035 7623 4835 18046 11648 2651 16840 7002 6481 17742 14520
"202541_at" 6922 7586 7087 3419 4306 3008 4479 894 16665 14214 15749
"202542_s_at" 17253 8209 8678 7688 4879 8025 4174 5264 16077 13975 6617
"202543_s_at" 19384 16906 3450 19012 3814 6190 4570 5059 16601 5973 20509
"202544_at" 8375 16323 19247 14928 4480 5263 16386 19584 16131 2093 5413
"202545_at" 2664 29 4046 81 91 2918 20206 60 14138 1669 75
"202546_at" 6466 15212 7321 8529 14984 4287 18885 19598 17264 6152 6848
"202547_s_at" 18052 7706 2400 4219 2518 19361 18884 18631 17958 15658 15958
"202548_s_at" 15352 6884 3666 3186 14761 4363 2914 5986 15113 14847 5648
"202549_at" 2584 18721 2265 19134 20646 19953 456 5199 20992 1785 2016
"202550_s_at" 15364 6683 5173 6109 16725 6992 16399 6641 4685 13985 5289
"202551_s_at" 18736 4431 880 2951 1221 1221 19371 1789 373 18063 2891
"202552_s_at" 14603 1461 4281 17286 12833 20281 10866 1021 16033 21008 1782
"202553_s_at" 18261 4328 9770 15656 18100 3057 19389 6924 19133 18307 15146
"202554_s_at" 7970 16753 8699 15052 16499 8346 15235 18349 4597 14540 6141
"202555_s_at" 19530 6449 20393 3578 2169 12418 13030 897 16477 8009 1502
"202556_s_at" 3859 21738 5311 3512 3510 9608 18418 19868 15430 5200 19080
"202557_at" 18565 18131 6361 17159 4459 2179 1389 5823 4467 13544 18126
"202558_s_at" 17536 17990 3651 19840 1908 231 14059 4433 18084 17331 19128
"202559_x_at" 20426 16066 9280 4716 17249 6689 17714 20052 17892 14412 17787
"202560_s_at" 15897 8752 2660 18961 11556 3255 17904 6790 19967 18363 3670
"202561_at" 16049 18449 677 20292 12797 2193 3737 19779 5680 1784 14256
"202562_s_at" 15102 16344 10350 6324 13700 3278 4707 18365 18908 19966 18323
"202563_at" 21023 7515 3989 78 10825 15373 11099 11342 12772 21429 7327
"202564_x_at" 4008 18358 5898 8818 20971 18884 21710 7529 16658 15003 3329
"202565_s_at" 14642 16756 10265 15988 18320 7708 14676 5004 2771 19079 17138
"202566_s_at" 18423 19845 20185 2450 3350 9074 13768 20661 20770 1657 4173
"202567_at" 7319 6064 10479 14080 14473 4061 4153 5513 5558 6184 14481
"202568_s_at" 6582 4539 9779 14932 14381 19919 17581 6015 2787 15153 2753
"202569_s_at" 5186 3722 6020 3109 2771 1246 4365 3400 17846 15510 1821
"202570_s_at" 21292 15259 17558 15355 18836 5119 17141 5190 6372 2614 4579
"202571_s_at" 106 17650 52 20425 185 21542 13226 21261 11981 17353 1071
"202572_s_at" 1218 4778 1970 17492 14708 3645 21942 2443 15058 18477 2431
"202573_at" 18687 3527 5727 6706 13492 7622 1377 2909 2274 6254 4149
