"inst_595" "inst_622" "inst_662" "inst_841" "inst_958" "inst_1715" "inst_2865" "inst_5084" "inst_5509"
"1007_s_at" 3931 19669 19258 4535 14433 21345 14021 2293 14511
"1053_at" 5833 748 1382 17580 16683 3497 11642 4007 14336
"117_at" 6625 13 15069 3080 2 21779 7463 12088 9112
"121_at" 5030 15697 16136 3421 2340 1707 11916 16328 13489
"1255_g_at" 10156 3606 10387 8402 7030 12065 6064 7780 6447
"1294_at" 2025 18050 2291 6968 6417 4252 19068 21008 18904
"1316_at" 3102 6437 18687 7574 11543 5287 10357 4650 3572
"1320_at" 16450 4963 987 10935 6028 15473 3002 9163 9674
"1405_i_at" 13957 7724 12539 4997 4497 21511 3137 13281 7443
"1431_at" 9757 4451 7573 14256 7113 8125 5966 14261 7216
"1438_at" 21421 16024 18401 4831 16988 9444 17827 2426 1682
"1487_at" 17015 16475 20706 18760 17256 3405 2292 4123 18681
"1494_f_at" 7249 491 19879 9991 5630 4083 151 10398 5337
"1598_g_at" 4837 2428 19426 16518 81 721 830 4999 6152
"160020_at" 20921 19614 17398 9966 2853 21914 2693 7320 20812
"1729_at" 1018 14275 5437 16740 2359 514 11653 4682 2153
"1773_at" 3814 16180 20018 20693 21608 13970 17328 3175 20419
"177_at" 5793 11238 13880 7222 10567 4099 7838 20047 8224
"179_at" 16192 1379 14984 3129 672 2021 928 5501 932
"1861_at" 20795 16693 13577 19739 19020 15724 12785 18284 3496
"200000_s_at" 17934 14522 4897 5737 14090 4727 13811 5463 3669
"200001_at" 5730 2420 2589 4561 2949 2714 14271 5599 5631
"200002_at" 6944 14285 3837 4660 13603 5452 2874 5325 4312
"200003_s_at" 5202 14014 2674 8998 3253 18787 5046 5486 3620
"200004_at" 15589 19466 15333 18131 15339 18938 11668 6472 17830
"200005_at" 16286 18215 4240 17564 14577 20888 14569 7009 13994
"200006_at" 6148 13880 4094 4712 15054 16246 11290 4996 13891
"200007_at" 6371 1993 4126 14967 15607 16187 12642 4839 13898
"200008_s_at" 15794 15418 13280 15091 17544 2447 16632 20149 5220
"200009_at" 16478 17783 14619 17212 16537 16590 10452 16045 14651
"200010_at" 18953 14742 13524 4424 3536 19495 2331 7226 13652
"200011_s_at" 5576 19159 5546 17607 16478 16445 15431 5054 16109
"200012_x_at" 6671 1276 3457 5320 2348 5982 1871 15013 13737
"200013_at" 15882 1773 16690 3763 3999 17269 2684 4764 13533
"200014_s_at" 5167 16376 3128 15144 17217 16215 15746 6012 15851
"200015_s_at" 17616 17263 17000 4236 17325 3547 17875 6357 15548
"200016_x_at" 15397 15557 14974 5792 3516 16195 11163 14784 14811
"200017_at" 16230 18257 1998 9044 14800 17880 2978 2701 6017
"200018_at" 7256 15131 13939 5116 13657 4000 2806 6966 5977
"200019_s_at" 21508 16370 3344 3904 2289 4335 10259 3773 4185
"200020_at" 21376 22085 21355 21162 21276 17420 18913 19464 16460
"200021_at" 15309 13922 18497 8681 2762 4658 2138 15974 8211
"200022_at" 17864 15346 15731 8782 13698 4765 2462 4336 2997
"200023_s_at" 16022 14570 1564 3662 4048 5521 12862 16306 15073
"200024_at" 17814 2558 3899 4321 2989 4945 10196 6163 4976
"200025_s_at" 15034 2509 2366 4576 14666 18580 10289 5366 5934
"200026_at" 2318 14189 17605 4879 13383 21236 1863 4060 4791
"200027_at" 7486 18471 3147 5218 14668 5463 15537 15552 15671
"200028_s_at" 17051 19497 19545 17078 14076 4509 16980 16717 6161
"200029_at" 17569 16119 2133 5298 3496 5342 2199 5239 5352
"200030_s_at" 4662 15670 15484 5110 13891 15947 2719 5889 4483
"200031_s_at" 17806 2138 2338 8984 2867 15841 5144 9280 5443
"200032_s_at" 16306 14839 4340 8631 13511 19565 2665 4267 14494
"200033_at" 18777 22099 21151 20249 20664 5059 13610 6611 17302
"200034_s_at" 5856 15340 2355 4799 13756 17544 1573 6402 15213
"200035_at" 21640 14134 17155 17433 15159 20164 18638 19372 4332
"200036_s_at" 17777 14455 1490 4040 2884 16636 10207 6207 4699
"200037_s_at" 20408 20557 16368 19543 19170 21842 16059 15991 17017
"200038_s_at" 5252 14276 3754 9064 3837 5244 2319 4859 13860
