"inst_2308" "inst_2346" "inst_3618" "inst_3721" "inst_4279" "inst_4743"
"200594_x_at" 11445 5237 16307 16004 13685 15629
"200595_s_at" 3241 5031 18202 19208 17496 5136
"200596_s_at" 7763 7248 17391 11787 16333 3783
"200597_at" 6165 8197 20290 21872 21267 17466
"200598_s_at" 8986 3759 5008 11059 20622 12542
"200599_s_at" 7369 2649 16557 15827 4153 11592
"200600_at" 18488 17059 8070 16795 15539 13012
"200601_at" 132 17352 17057 21653 10913 3997
"200602_at" 3312 2556 19595 10318 19491 20753
"200603_at" 9303 4663 14326 13483 11227 20503
"200604_s_at" 6139 1500 17957 21324 1481 18592
"200605_s_at" 8309 17939 13880 20444 12932 18265
"200606_at" 5336 15343 4039 12831 12328 13806
"200607_s_at" 8143 6343 5613 9562 21007 20925
"200608_s_at" 12665 5225 15869 12931 14396 15960
"200609_s_at" 5094 18910 3781 14442 4090 13037
"200610_s_at" 21388 4255 13704 13949 12318 15101
"200611_s_at" 7636 4294 16395 15563 2262 11522
"200612_s_at" 2987 6008 1696 202 17090 16354
"200613_at" 8301 18941 14933 11330 3826 12692
"200614_at" 10030 7102 12436 13644 3871 11543
"200615_s_at" 7162 7722 4316 18559 14261 14442
"200616_s_at" 8573 17490 15181 3300 18852 15668
"200617_at" 6536 18680 14712 15704 14828 12815
"200618_at" 12567 6337 13392 13096 16671 15945
"200619_at" 2132 2924 5087 9917 19471 4040
"200620_at" 10235 6511 16539 12623 12017 14281
"200621_at" 4277 6765 16527 10374 3742 13273
"200622_x_at" 11241 3031 12574 18245 13507 13383
"200623_s_at" 9978 18292 16828 3104 11479 2251
"200624_s_at" 7205 4465 15110 16329 12813 15563
"200625_s_at" 11635 5981 12441 13396 12792 3362
"200626_s_at" 5097 2376 16663 15607 14819 2785
"200627_at" 19126 7871 6341 12588 3821 14953
"200628_s_at" 20254 3409 3982 15833 11888 12063
"200629_at" 3899 5626 15634 13143 18562 14338
"200630_x_at" 11663 3083 13616 11077 3577 14821
"200631_s_at" 11050 3691 14257 12479 12178 4670
"200632_s_at" 6245 1908 3164 11101 12602 16941
"200633_at" 14945 7258 8234 5468 6278 11631
"200634_at" 8752 7868 16210 11873 1979 2695
"200635_s_at" 1503 13737 14428 12528 21557 19867
"200636_s_at" 12877 11265 19940 15674 15659 14699
"200637_s_at" 7593 10503 13184 10435 11867 16604
"200638_s_at" 8950 4157 13540 14885 10513 14102
"200639_s_at" 20911 18594 6388 9922 4451 13542
"200640_at" 8572 5881 14723 15608 12155 5129
"200641_s_at" 11665 631 13407 19361 4166 13874
"200642_at" 11145 7646 14810 3168 11625 16607
"200643_at" 10608 5875 19020 12481 18965 3462
"200644_at" 11725 18773 18020 15547 4499 15228
"200645_at" 10581 18410 6014 14173 2835 14435
