"inst_6559" "inst_6585" "inst_6589" "inst_7044" "inst_7048" "inst_7101" "inst_7106"
"200089_s_at" 3755 4883 6048 17951 5370 5046 6170
"200090_at" 15045 14826 16698 1316 3307 1666 21355
"200091_s_at" 4123 3506 4668 4609 13303 870 21427
"200092_s_at" 13824 14732 6464 18473 12961 5019 14880
"200093_s_at" 16459 13955 2951 4468 4242 2419 20872
"200094_s_at" 5929 16552 2989 17019 15469 17279 6012
"200095_x_at" 10439 9454 11670 8845 3285 5726 5848
"200096_s_at" 18113 17610 20869 7196 18088 18721 19804
"200097_s_at" 18642 17612 16189 8066 15973 2483 6972
"200098_s_at" 14741 14063 2932 6863 16198 2719 16365
"200099_s_at" 13807 12748 11447 8297 15477 15281 14706
"200593_s_at" 5987 3754 17881 1204 18485 19884 15497
"200594_x_at" 16645 4247 15404 4409 14043 5665 18402
"200595_s_at" 14441 16990 2644 4343 15027 2493 19603
"200596_s_at" 1659 4222 6352 3723 1258 1338 16743
"200597_at" 17917 21831 20210 1862 2968 5477 21062
"200598_s_at" 5065 17797 6163 3388 18994 20663 6357
"200599_s_at" 4045 3933 5052 8105 3758 3945 16960
"200600_at" 19877 19075 7961 3237 13443 12638 19108
"200601_at" 20887 17115 2495 593 21225 15725 21335
"200602_at" 21116 20477 6771 20132 1986 4463 21775
"200603_at" 18092 16839 5671 3789 13326 3482 20403
"200604_s_at" 19918 3098 19625 4402 16263 18287 20806
"200605_s_at" 21696 19936 21026 5567 18966 20848 15626
"200606_at" 20428 20512 17663 4079 18296 16435 21406
"200607_s_at" 21057 20772 21655 19229 21918 21556 3871
"200608_s_at" 19965 18016 4190 7257 17336 5801 19362
"200609_s_at" 14318 19942 6323 3811 13464 3511 16746
"200610_s_at" 18016 16038 2930 5646 4220 2307 20820
"200611_s_at" 6164 16967 16339 5838 15168 16885 17172
"200612_s_at" 25 535 617 20982 19751 20809 22265
"200613_at" 2658 3716 17100 9197 17475 19288 6163
"200614_at" 6245 14702 5991 6291 14837 4253 20021
"200615_s_at" 14530 4145 18566 8987 14490 17671 3366
"200616_s_at" 2508 4863 16291 7532 2552 2085 1901
"200617_at" 4944 13664 4336 4113 13658 15271 5990
"200618_at" 19117 15114 19821 4856 16350 15347 20634
"200619_at" 2021 5082 6932 3842 3863 16355 6795
"200620_at" 14463 15453 20087 6814 13425 15685 18852
"200621_at" 18564 13147 17909 4007 17644 17873 15048
"200622_x_at" 2806 2084 19169 9254 4629 18543 16937
"200623_s_at" 4574 14530 4375 5437 17088 930 18715
"200624_s_at" 18582 17903 21142 4356 21785 21978 20473
"200625_s_at" 3627 4257 6095 6470 5269 1386 21567
"200626_s_at" 14087 15763 19813 807 15334 1199 22077
"200627_at" 14265 12762 17019 5316 13754 4450 17645
"200628_s_at" 20318 22150 18598 2518 21219 21612 20095
"200629_at" 965 16937 5057 20986 13495 16642 2337
"200630_x_at" 15380 12772 4509 8966 4835 4473 14921
"200631_s_at" 16618 16207 15435 7803 13838 4206 15673
"200632_s_at" 4634 15169 16098 6176 3738 21659 17539
"200633_at" 9914 8927 5908 17829 4094 5350 6748
"200634_at" 15331 17398 6034 4708 4000 16122 17626
"200635_s_at" 5601 12610 20484 17825 13945 19892 20105
"200636_s_at" 15985 14865 14757 4925 13607 1805 21690
"200637_s_at" 18187 4735 20577 20035 304 21224 17438
"200638_s_at" 17703 16587 18146 17256 13508 18165 19605
"200639_s_at" 18724 15149 1877 3212 2601 17389 20159
"200640_at" 19686 17887 19007 9100 15386 16290 18421
"200641_s_at" 22167 21302 21891 4993 20812 22094 15453
"200642_at" 16346 14207 17748 6825 14384 5040 17246
"200643_at" 2495 15197 3346 1026 16876 5027 5864
"200644_at" 17652 14426 1864 8550 14190 17380 17048
"200645_at" 16096 4225 15170 6753 13243 16886 16544
"200646_s_at" 18801 16430 21576 2923 20988 18776 24
"200647_x_at" 14005 4027 5108 17365 2203 18578 17607
"200648_s_at" 14443 16366 5329 1650 21006 19987 19437
"200649_at" 4939 1528 16344 18920 17354 18812 2522
"200650_s_at" 9440 8410 16449 5637 4817 5060 16083
"200651_at" 4600 4082 7283 4540 14793 4399 7145
