"inst_281" "inst_282" "inst_2328" "inst_2368" "inst_3785" "inst_3866" "inst_3977" "inst_4342"
"1007_s_at" 17484 8464 6517 21232 11969 1806 17506 7263
"1053_at" 5692 10708 12590 3381 9469 6582 9356 3339
"117_at" 19629 7153 18404 21251 15510 15003 484 15026
"121_at" 17055 18556 6373 20812 8786 4486 20492 928
"1255_g_at" 6649 16480 17059 12023 17506 13165 14863 12976
"1294_at" 17147 19473 20539 22267 19013 8112 3924 1084
"1316_at" 2460 5209 21391 22183 2437 5073 11486 131
"1320_at" 12734 2218 186 15539 20197 2900 18767 18151
"1405_i_at" 14075 16987 14862 10272 13915 13190 1229 3768
"1431_at" 19175 9614 5135 2707 7261 18758 10257 9539
"1438_at" 5446 3802 12751 17055 7280 17547 7210 21235
"1487_at" 18886 18204 3579 3889 4489 20299 2853 6493
"1494_f_at" 19742 10957 2156 7430 21722 21525 3980 20223
"1598_g_at" 6219 5348 6835 20127 4288 8257 3925 3375
"160020_at" 19934 18469 12337 945 19874 28 21705 4434
"1729_at" 619 1810 1577 21395 6457 19093 18060 1863
"1773_at" 3191 2840 6761 1256 11343 4277 19252 16458
"177_at" 5414 16735 20885 20352 20331 19978 6052 21492
"179_at" 6777 7281 11759 16152 1998 6039 19807 3132
"1861_at" 21572 21141 14131 8838 11359 2080 2212 3679
"200000_s_at" 5003 6705 9875 2916 10699 7173 9668 7443
"200001_at" 5700 7971 10488 5530 10030 10788 9604 9527
"200002_at" 6857 20583 14046 21106 12066 9629 17421 10122
"200003_s_at" 17406 20457 16245 20283 15292 13149 13466 12433
"200004_at" 5457 6802 11296 7262 13028 8839 10437 17589
"200005_at" 8433 8119 5826 6415 11831 6618 7782 6932
"200006_at" 15548 20486 12575 10635 18905 7357 11649 8614
"200007_at" 8122 18362 8424 6294 13439 4430 17089 16092
"200008_s_at" 15429 7769 13493 4776 6005 17740 8111 21317
"200009_at" 15964 11593 13430 7157 10865 9603 8760 9530
"200010_at" 6315 17823 12709 10339 11022 10445 10066 9106
"200011_s_at" 2431 1771 8204 6831 10994 4746 17229 8623
"200012_x_at" 16080 18664 21072 20721 20191 19040 19592 9160
"200013_at" 16408 20873 13574 11101 13763 18784 10942 9890
"200014_s_at" 6983 18838 13519 9021 11465 8489 16803 8108
"200015_s_at" 7944 10259 11623 10440 11072 8632 6061 7795
"200016_x_at" 16097 18550 12661 7774 15236 9869 17839 9732
"200017_at" 5541 17648 16000 20507 15365 13273 13573 12497
"200018_at" 7711 18966 16158 11163 15361 13263 13565 12492
"200019_s_at" 19427 19929 13835 20813 19022 8214 10531 8090
"200020_at" 16806 8519 4294 4644 12656 9041 5275 8206
"200021_at" 17810 9491 16242 11089 15451 13397 13684 16342
"200022_at" 18640 19943 20480 20047 13497 11066 13486 8570
