"inst_224" "inst_384" "inst_390" "inst_447" "inst_849" "inst_966" "inst_991" "inst_1049" "inst_1152" "inst_1211" "inst_1548" "inst_1636" "inst_2671" "inst_3165" "inst_4435" "inst_5208" "inst_5571" "inst_5767" "inst_6170" "inst_6243" "inst_6931" "inst_6971"
"1007_s_at" 15688 17369 16232 15694 6189 16280 19265 17189 1123 7569 2211 15491 994 13447 5613 6020 18036 17680 3725 15148 17294 16834
"1053_at" 16227 18026 1152 14921 9297 16586 18347 20424 17541 4079 17589 20261 11664 19698 6216 18685 15971 19109 10467 16570 21341 15926
"117_at" 17914 18596 15917 3978 16307 7936 13008 5467 5580 9173 18110 11644 18482 9640 15540 8170 6656 198 12996 8266 5118 4369
"121_at" 15818 17859 18973 14170 10678 17771 17366 15074 4836 20742 5735 17325 2725 17223 20028 13865 19936 15562 11612 19107 20724 17303
"1255_g_at" 2367 13052 4658 10844 13516 7188 9304 6357 6363 10407 17173 7989 8705 8936 8824 9402 6917 7154 15902 5273 3968 4294
"1294_at" 4192 18040 4032 2821 13235 6211 9814 4439 3918 12313 4533 11590 1396 194 21586 815 11156 20099 6542 1484 8516 7920
"1316_at" 5636 15600 17903 18152 16312 6718 10612 12675 19182 4575 7099 7604 17139 21964 13890 21521 20429 21350 22183 15339 9218 13745
"1320_at" 20745 413 12132 16263 17969 12739 12316 11544 10945 15235 7307 12548 5827 9554 1085 7989 355 10585 16506 11380 4665 7242
"1405_i_at" 11774 6543 489 9352 14531 10283 10270 4679 4464 15152 729 9036 1750 9229 6642 10295 6939 10232 8385 6126 12110 1116
"1431_at" 15898 2103 17102 7606 12276 10042 7553 9769 18855 17860 16549 8914 21096 691 11839 16922 3168 21891 10288 8152 10358 11113
"1438_at" 21226 20639 9914 17375 21962 18299 21552 13316 13449 11703 11142 14403 9850 18939 15705 22211 22065 16561 3352 12377 9929 11695
"1487_at" 5379 13298 21538 5627 1605 18117 1488 1978 20680 5945 7066 735 19185 2984 15161 6376 19341 13093 7326 1980 13267 13533
"1494_f_at" 18085 18405 19601 3551 12455 9789 5941 4308 2991 19463 2118 10813 21396 3021 21509 15334 2547 601 20701 973 3816 8221
"1598_g_at" 17257 11378 17188 2819 20626 2305 19612 15958 1504 17021 3020 16097 22099 5572 18336 17666 22126 17611 22067 20231 21515 17190
"160020_at" 5643 16574 16872 15548 8559 7902 432 10614 12583 1221 935 1537 4622 21839 1770 16012 798 3771 22216 17645 11269 146
"1729_at" 21242 15957 22128 2781 5541 3753 20520 18683 989 20794 1347 14491 3111 20376 19148 6206 20851 4743 3068 19247 16898 16311
"1773_at" 8739 2189 521 2256 22115 18701 20106 18513 1296 20733 3840 21336 901 19585 20068 2885 20586 12453 10388 15224 12186 16987
"177_at" 20608 17006 16467 9260 14434 10146 7014 12168 19420 13832 20376 12207 22210 7914 17212 12889 1969 7934 21442 8947 5266 10835
"179_at" 19866 19019 19524 12684 1390 1795 9098 13173 443 20570 5627 22009 12701 19178 20475 1750 4076 20732 5203 3076 10634 12320
"1861_at" 5816 14843 4058 19116 21084 20916 17962 21821 15688 15992 1191 16453 14388 17390 3912 13768 15824 16963 7744 17134 15817 15545
"200000_s_at" 15018 12396 12589 18067 4763 13474 15226 16908 16882 18733 19195 3716 17697 4724 14245 17174 15659 13270 10406 17671 14557 2758
"200001_at" 5881 2391 13829 4492 3266 2776 3845 2222 17007 6192 19268 4315 14550 2980 6144 2684 2756 16718 8123 3168 3064 2724
"200002_at" 5108 3292 4279 17634 10217 2544 4466 1733 5059 3401 7067 4559 12720 13961 12792 4567 11497 14552 14052 12149 3476 11654
"200003_s_at" 7419 9627 12534 13936 13994 14056 8372 1145 3435 7442 4645 4016 6724 14185 7779 15853 4195 6867 16204 14179 13444 2610
"200004_at" 6022 14067 17156 17193 9275 14850 4827 17668 16982 3658 7174 14900 13508 13953 12605 15050 11000 11319 7547 15355 13105 15614
"200005_at" 14786 9666 4569 13759 7628 15392 14932 14565 16559 5018 21810 14369 15433 6561 11721 6407 13208 11505 9092 15994 12442 15325
"200006_at" 6787 2581 18148 15190 7624 13491 3897 14500 16237 4881 19074 13934 13215 13702 13734 5093 4487 12654 11705 17728 3135 13868
