"inst_1563" "inst_3179"
"1007_s_at" 21191 5447
"1053_at" 3720 20386
"117_at" 17745 9977
"121_at" 18132 3990
"1255_g_at" 16699 7309
"1294_at" 17164 133
"1316_at" 20660 18115
"1320_at" 6540 9456
"1405_i_at" 17106 10397
"1431_at" 7469 13245
"1438_at" 13767 870
"1487_at" 18072 15335
"1494_f_at" 20542 19341
"1598_g_at" 17797 12957
"160020_at" 1769 16256
"1729_at" 3099 5972
"1773_at" 2113 13696
"177_at" 17875 6461
"179_at" 4596 1048
"1861_at" 10925 3554
"200000_s_at" 18118 13465
"200001_at" 5950 5358
"200002_at" 5529 13188
"200003_s_at" 5279 6033
"200004_at" 2859 12910
"200005_at" 20388 11998
"200006_at" 4262 6187
"200007_at" 3219 12332
"200008_s_at" 19407 14076
"200009_at" 5549 13777
"200010_at" 4861 11856
"200011_s_at" 2916 12427
"200012_x_at" 5476 6308
"200013_at" 5709 12201
"200014_s_at" 4938 14047
"200015_s_at" 1422 13633
"200016_x_at" 5262 14423
"200017_at" 5389 7767
"200018_at" 5998 11958
"200019_s_at" 4126 12993
"200020_at" 17852 19771
"200021_at" 3473 7800
"200022_at" 19045 12649
"200023_s_at" 5720 14328
"200024_at" 6052 12072
"200025_s_at" 5245 12885
"200026_at" 4500 5855
"200027_at" 20760 15936
"200028_s_at" 20219 17908
"200029_at" 6055 4357
"200030_s_at" 18706 12652
"200031_s_at" 17246 7764
"200032_s_at" 4372 7769
"200033_at" 1320 11874
"200034_s_at" 17622 5221
"200035_at" 19285 5099
"200036_s_at" 17860 15736
"200037_s_at" 20157 14915
"200038_s_at" 17261 5354
"200039_s_at" 2290 12872
"200040_at" 5521 15857
"200041_s_at" 21216 14426
"200042_at" 18634 12292
"200043_at" 17502 17799
"200044_at" 18709 5477
"200045_at" 5434 13824
"200046_at" 1899 15345
"200047_s_at" 1220 13998
"200048_s_at" 17930 12459
"200049_at" 18990 12039
"200050_at" 19862 20090
"200051_at" 18513 13827
"200052_s_at" 19111 14095
"200053_at" 19701 18024
"200054_at" 21386 13808
"200055_at" 5957 4648
"200056_s_at" 540 14541
"200057_s_at" 18812 15029
"200058_s_at" 18930 16249
"200059_s_at" 4425 15146
"200060_s_at" 6245 15553
"200061_s_at" 5382 7763
"200062_s_at" 6016 7730
"200063_s_at" 2381 7781
"200064_at" 20804 14651
"200065_s_at" 17718 5397
"200066_at" 2441 17218
"200067_x_at" 2726 5524
"200068_s_at" 4941 17469
"200069_at" 20577 16446
"200070_at" 476 19036
"200071_at" 1322 18908
"200072_s_at" 2956 5617
"200073_s_at" 4370 6311
"200074_s_at" 5014 13189
"200075_s_at" 2051 5769
"200076_s_at" 19405 15190
"200077_s_at" 16911 12520
"200078_s_at" 6025 5385
"200079_s_at" 6155 4096
"200080_s_at" 3754 6258
"200081_s_at" 16870 5361
"200082_s_at" 4845 4911
"200083_at" 6067 5691
"200084_at" 4128 16017
"200085_s_at" 4884 12950
"200086_s_at" 1325 11871
"200087_s_at" 4414 17536
"200088_x_at" 17393 7734
"200089_s_at" 17153 12653
"200090_at" 4802 15774
"200091_s_at" 5393 5969
"200092_s_at" 4586 14163
"200093_s_at" 3232 14761
"200094_s_at" 19479 13778
"200095_x_at" 17935 7798
"200096_s_at" 1530 13214
"200097_s_at" 4747 4098
"200098_s_at" 21653 17561
"200099_s_at" 3621 7782
"200593_s_at" 18872 15949
"200594_x_at" 19258 15313
"200595_s_at" 17024 17159
"200596_s_at" 21511 18884
"200597_at" 21185 4922
"200598_s_at" 18186 13531
"200599_s_at" 18159 15065
"200600_at" 17036 20970
"200601_at" 5539 12854
"200602_at" 17493 14526
"200603_at" 663 14621
"200604_s_at" 20199 4606
"200605_s_at" 640 15707
"200606_at" 13862 5351
"200607_s_at" 17013 17436
"200608_s_at" 3328 18401
"200609_s_at" 5873 3691
"200610_s_at" 19934 17615
"200611_s_at" 4670 6238
"200612_s_at" 17264 17597
"200613_at" 19167 6263
"200614_at" 3926 13914
"200615_s_at" 5264 13177
"200616_s_at" 4538 13909
"200617_at" 4035 18986
"200618_at" 141 11836
"200619_at" 4797 3722
"200620_at" 1133 3357
"200621_at" 19760 16750
"200622_x_at" 19702 12470
"200623_s_at" 3929 14995
"200624_s_at" 3803 13015
"200625_s_at" 2035 5654
"200626_s_at" 19090 12572
"200627_at" 19141 14708
"200628_s_at" 19898 13995
"200629_at" 20265 13859
"200630_x_at" 3559 5634
"200631_s_at" 6129 15133
"200632_s_at" 1386 21822
"200633_at" 3994 12010
"200634_at" 6162 13851
"200635_s_at" 13740 15198
"200636_s_at" 6184 18143
"200637_s_at" 12328 2714
"200638_s_at" 1584 12211
"200639_s_at" 1597 2743
"200640_at" 6050 16415
"200641_s_at" 6231 5644
"200642_at" 16857 5914
"200643_at" 19739 19079
"200644_at" 878 18984
"200645_at" 3445 13463
"200646_s_at" 12845 12675
"200647_x_at" 19976 14231
"200648_s_at" 18381 5518
"200649_at" 2533 20444
"200650_s_at" 5532 5256
"200651_at" 17342 6288
"200652_at" 19781 15892
"200653_s_at" 3343 3677
"200654_at" 20433 14682
"200655_s_at" 1651 6235
"200656_s_at" 20461 13694
"200657_at" 17985 5491
"200658_s_at" 19196 4848
"200659_s_at" 20738 19167
"200660_at" 5042 5068
"200661_at" 18840 13728
"200662_s_at" 21696 15116
"200663_at" 3528 12640
"200664_s_at" 21755 20130
"200665_s_at" 8958 9663
"200666_s_at" 21002 18615
"200667_at" 5073 14831
"200668_s_at" 5939 13758
"200669_s_at" 5024 6316
"200670_at" 19292 18140
"200671_s_at" 10627 4406
"200672_x_at" 1802 17172
"200673_at" 1525 5733
"200674_s_at" 5663 5241
"200675_at" 18293 16674
"200676_s_at" 550 1677
"200677_at" 816 12682
"200678_x_at" 1233 3071
"200679_x_at" 5422 13925
"200680_x_at" 17795 13112
"200681_at" 18650 11893
"200682_s_at" 4548 6253
"200683_s_at" 1882 3747
"200684_s_at" 1668 13035
"200685_at" 1071 18255
"200686_s_at" 741 18003
"200687_s_at" 17983 16979
"200688_at" 2702 2590
"200689_x_at" 4393 5223
"200690_at" 5965 16888
"200691_s_at" 17459 17741
"200692_s_at" 19131 14758
"200693_at" 2200 12034
"200694_s_at" 4859 15635
"200695_at" 19733 4649
"200696_s_at" 5864 2308
"200697_at" 21153 12269
"200698_at" 6157 15340
"200699_at" 18168 4771
"200700_s_at" 3084 14844
"200701_at" 20383 1940
"200702_s_at" 3751 14008
