"inst_1723" "inst_2872" "inst_7457"
"200659_s_at" 575 12884 19113
"200660_at" 6647 15030 19125
"200661_at" 18898 16573 18818
"200662_s_at" 4169 13713 15016
"200663_at" 18581 10187 14348
"200664_s_at" 21825 18945 3801
"200665_s_at" 7173 7877 5859
"200666_s_at" 16913 11776 15859
"200667_at" 4799 14019 20328
"200668_s_at" 17065 11623 3964
"200669_s_at" 19099 14654 15633
"200670_at" 2661 15680 15774
"200671_s_at" 7941 20651 11040
"200672_x_at" 16129 1821 21924
"200673_at" 19563 11788 16776
"200674_s_at" 6461 1749 3280
"200675_at" 1587 19260 20894
"200676_s_at" 16800 16533 22038
"200677_at" 4714 14240 17181
"200678_x_at" 18369 9756 19639
"200679_x_at" 19500 10527 16390
"200680_x_at" 3317 1354 5368
"200681_at" 18798 11163 15302
"200682_s_at" 19728 13427 16604
"200683_s_at" 5953 17262 4421
"200684_s_at" 17321 18024 19994
"200685_at" 17272 21320 5414
"200686_s_at" 17512 21215 15122
"200687_s_at" 5152 16225 15865
"200688_at" 6201 21627 22000
"200689_x_at" 3008 1754 14945
"200690_at" 18054 20220 14667
"200691_s_at" 4839 12961 15306
"200692_s_at" 16560 18484 17731
"200693_at" 19173 12850 17404
"200694_s_at" 4678 15652 18119
"200695_at" 4042 21924 16369
"200696_s_at" 2774 11517 20430
"200697_at" 5427 18407 19533
"200698_at" 19186 11063 5002
"200699_at" 17705 11466 18788
"200700_s_at" 4394 13295 16611
"200701_at" 18603 10888 14237
"200702_s_at" 20078 17376 16550
"200703_at" 1033 12253 17942
"200704_at" 20826 11156 4888
"200705_s_at" 4587 10120 15976
"200706_s_at" 354 12232 14092
"200707_at" 3466 11998 3954
"200708_at" 4249 14612 15552
"200709_at" 20876 16835 16132
"200710_at" 17815 17124 15949
"200711_s_at" 553 17282 17812
"200712_s_at" 17046 21132 14231
"200713_s_at" 6030 11891 5492
"200714_x_at" 5944 13672 18708
"200715_x_at" 17643 8991 14030
"200716_x_at" 5736 9671 5261
"200717_x_at" 17086 4207 4624
"200718_s_at" 4581 2086 14859
"200719_at" 18584 19652 3614
"200720_s_at" 20427 18728 16578
"200721_s_at" 19171 11403 16959
"200722_s_at" 19737 20226 16811
"200723_s_at" 20746 15388 5266
"200724_at" 13867 788 12222
"200725_x_at" 6451 1589 18959
"200726_at" 16769 14874 3512
"200727_s_at" 6294 20772 16088
"200728_at" 19517 12736 3899
"200729_s_at" 18262 18588 18760
"200730_s_at" 20018 18871 15408
"200731_s_at" 5773 13513 14777
"200732_s_at" 16695 12581 2462
"200733_s_at" 19503 19434 20322
"200734_s_at" 2960 14021 5205
"200735_x_at" 19192 4284 4538
"200736_s_at" 5856 4901 7955
"200737_at" 22020 19495 18117
"200738_s_at" 4057 11098 13996
"200739_s_at" 18520 15949 14736
"200740_s_at" 6045 11007 14556
"200741_s_at" 17205 1919 5111
"200742_s_at" 20934 18611 2171
"200743_s_at" 2028 12995 2839
"200744_s_at" 18769 16956 4875
"200745_s_at" 20661 18382 17045
"200746_s_at" 17423 16224 18911
"200747_s_at" 835 12993 21687
"200748_s_at" 19484 1886 5105
"200749_at" 1975 21599 19087
"200750_s_at" 20124 9641 15377
"200751_s_at" 21538 11473 13923
"200752_s_at" 22115 12270 4721
"200753_x_at" 20452 17168 17744
"200754_x_at" 4971 9221 17987
"200755_s_at" 4999 16539 3887
"200756_x_at" 21893 16726 19571
"200757_s_at" 4323 11326 4932
"200758_s_at" 5165 11138 3735
"200759_x_at" 17053 12361 19957
"200760_s_at" 5029 16609 16937
"200761_s_at" 1505 15540 16579
"200762_at" 4641 13918 16073
"200763_s_at" 6031 2077 4307
"200764_s_at" 13662 17734 14618
"200765_x_at" 15559 11013 17666
"200766_at" 21059 16773 20986
"200767_s_at" 2886 19662 17969
"200768_s_at" 19506 20264 18888
"200769_s_at" 6115 19548 21710
"200770_s_at" 5030 20351 3726
"200771_at" 6392 13808 4299
"200772_x_at" 20572 9522 18864
"200773_x_at" 17118 2089 5536
"200774_at" 2843 14840 5138
"200775_s_at" 20254 2031 15869
"200776_s_at" 21985 15077 15454
"200777_s_at" 19020 12194 18142
"200778_s_at" 21503 14119 15681
"200779_at" 5381 9405 5208
"200780_x_at" 1629 9307 4659
"200781_s_at" 18464 1528 5024
"200782_at" 19209 13734 20588
"200783_s_at" 5099 20589 15457
"200784_s_at" 13977 4466 6602
"200785_s_at" 8238 3119 10946
"200786_at" 3367 10307 15197
"200787_s_at" 21016 20074 15070
"200788_s_at" 20095 13883 4483
"200789_at" 17504 14514 20162
"200790_at" 2400 19502 19816
"200791_s_at" 17819 12935 13987
"200792_at" 18485 11263 5126
"200793_s_at" 2497 20549 21462
"200794_x_at" 17603 12397 5287
"200795_at" 11660 15752 1199
"200796_s_at" 17429 22253 1993
"200797_s_at" 20094 18703 14920
"200798_x_at" 21816 19115 19203
"200799_at" 14316 9411 16751
"200800_s_at" 15574 12600 20653
"200801_x_at" 4652 4061 13771
"200802_at" 18245 12269 4239
"200803_s_at" 18332 10945 4696
