"inst_122" "inst_403" "inst_702" "inst_762" "inst_990" "inst_1048" "inst_1151" "inst_1210" "inst_1635" "inst_2670" "inst_4434" "inst_5207" "inst_5570" "inst_6169" "inst_6930" "inst_6970"
"1007_s_at" 2514 5693 20695 15868 18998 21388 1366 19832 15884 111 3272 3100 11421 21462 15339 17251
"1053_at" 3755 20942 3228 1593 14257 15487 19812 18716 17624 5261 13597 18648 14382 19976 16641 17953
"117_at" 3613 667 14269 6949 11209 13124 16321 10705 7893 13334 14994 6689 8824 826 5319 8990
"121_at" 5381 12555 3005 16709 18329 18974 2592 17923 21392 1412 20537 3289 1347 2672 21053 17865
"1255_g_at" 11246 1499 12920 11162 7476 6318 7546 8248 8965 7531 6093 6507 8848 4968 7898 6063
"1294_at" 15749 19598 487 1013 12489 12408 959 2539 11713 20465 20576 16936 19744 2921 1019 8850
"1316_at" 21311 5305 3553 12614 9368 13450 21935 5260 12302 3281 18924 21542 11620 17440 9707 15581
"1320_at" 19919 20768 7417 20390 11736 13080 5996 319 7426 7516 5604 5810 14562 3598 13068 7720
"1405_i_at" 8374 10495 12016 8574 5863 9056 16840 12883 8691 19865 9723 5498 5188 15655 12574 6172
"1431_at" 13940 13769 11363 11648 1633 3840 20134 990 10218 21642 19830 1889 10917 20961 5739 11712
"1438_at" 21568 21229 21859 3957 21455 9558 7280 5465 16005 10025 17304 12241 14524 8874 13794 12303
"1487_at" 16008 12612 17414 1114 19808 19631 14716 17530 19467 16300 3966 18161 20758 2606 18736 19485
"1494_f_at" 3095 2010 18122 16804 4743 9499 18763 3496 9994 21767 16954 12013 18165 2073 5891 9211
"1598_g_at" 18045 14364 1625 21445 2464 2122 203 20743 17073 22061 19600 970 20962 1625 18818 2496
"160020_at" 15565 3366 20945 18962 1093 13341 9218 3773 10743 21709 14479 188 1564 2935 6790 2070
"1729_at" 16124 3413 19026 14391 21835 1908 18029 19152 3800 20408 21170 16473 11616 16786 2196 20172
"1773_at" 9322 6113 7084 13584 1725 20045 210 3373 4136 19123 19423 21129 10830 18224 11428 2636
"177_at" 1300 553 11571 11407 10807 4804 134 9964 13115 22248 1784 9307 3722 17878 6919 11465
"179_at" 17202 14415 21117 21090 6152 13400 1193 18770 5452 5746 22154 412 16141 22170 1239 18729
"1861_at" 5123 5607 3111 14834 20904 18763 809 20016 15288 16871 18949 20331 15854 17628 4835 18340
"200000_s_at" 17320 15905 18256 17300 13368 14830 15784 16913 15274 5239 5251 14897 15848 10173 14893 14546
"200001_at" 18579 14871 2683 21813 15723 18084 5331 4658 5561 16205 4517 14397 15795 18413 3879 12703
"200002_at" 14694 18789 5817 1014 13486 14034 15503 14162 5578 15354 14170 14657 3415 10693 13948 14035
"200003_s_at" 2503 18194 3488 4041 6716 1353 4243 5257 17107 8749 7549 12577 4079 5091 16705 13760
"200004_at" 20214 17040 17619 3937 3266 2633 16988 3551 5331 15554 11565 12819 12436 12462 17235 14788
"200005_at" 4230 14435 6946 17783 16513 17324 16549 14428 5507 6902 16142 13341 12937 16858 3897 13912
"200006_at" 19493 13514 5266 4008 12949 13911 5075 14266 5156 13688 3972 14094 10861 11291 4548 12582
"200007_at" 5320 12929 4114 14501 14623 14671 4112 18475 17883 3604 13915 14415 10876 14258 14894 14760
"200008_s_at" 15729 7042 6299 16976 13736 13941 2865 16784 16993 13218 17544 16803 12930 15389 4721 13668
"200009_at" 16787 2316 5850 16304 12942 14074 16024 14805 14899 6267 16397 4522 12456 13467 14719 12308
"200010_at" 22059 5250 1381 1061 13832 2052 15637 15057 16242 8751 13420 12319 3853 5093 14658 12735
"200011_s_at" 17603 13567 2615 16425 15390 16249 19819 4791 16740 18209 6013 13651 15633 12395 15319 16074
"200012_x_at" 15651 13667 6709 3775 6892 14285 3107 16260 17695 8716 11847 12357 11204 5055 4805 1820
"200013_at" 5276 17561 3697 15679 1929 1284 4601 15558 16958 15868 5132 14966 4190 11723 14594 2984
"200014_s_at" 19716 17641 17994 3992 13237 14156 14802 15190 4458 6683 3778 3112 14556 14980 4266 14355
"200015_s_at" 17799 17454 2663 14875 14917 15149 17604 16005 3227 17360 12797 13764 12793 17200 18438 15634
"200016_x_at" 19774 18704 5302 2214 12866 15538 16497 15149 16949 8693 14024 14032 11964 5024 14605 3009
"200017_at" 18137 19663 4905 19367 12795 1386 15937 14765 3941 8826 7641 7143 6437 5204 16538 13208
"200018_at" 2135 12487 6100 3452 12778 2306 16913 13712 4172 8816 7631 4137 6424 5194 15168 2791
"200019_s_at" 17095 4900 6562 2205 3108 1172 14727 4891 4455 8793 11775 15796 12311 5165 3756 2680
"200020_at" 15947 13139 18858 17083 15907 16229 18526 18376 1884 5346 17035 12379 14750 15134 18502 12922
"200021_at" 4108 13945 3873 15772 6365 1004 15755 4734 18861 8911 7738 11963 6580 5311 3551 1540
"200022_at" 17637 12662 4164 871 15095 14860 15476 13805 17090 8761 12952 4052 4325 5107 3851 3162
"200023_s_at" 16357 13793 18514 13491 16100 18339 4620 13883 16775 17032 5252 17675 14260 14001 14771 18391
"200024_at" 2524 16033 7078 15387 2727 1564 3310 4473 3874 8795 5353 13481 3486 5167 4378 2136
"200025_s_at" 16266 15982 6230 13831 12696 2578 5302 15282 18744 8815 5005 4515 11058 5192 15162 2473
"200026_at" 3563 2271 20849 4323 1886 893 16199 5326 15097 8914 12463 2189 6587 5315 14925 2253
"200027_at" 15185 14688 5552 3176 15812 16537 2760 18464 4722 14607 15314 14738 13996 13017 4600 13200
