"inst_1506" "inst_1924" "inst_2006" "inst_4645" "inst_5243" "inst_5606"
"200594_x_at" 15528 21368 19250 15378 15773 11036
"200595_s_at" 15921 20899 20020 14527 19159 18242
"200596_s_at" 16255 16814 5504 21224 19016 15925
"200597_at" 3564 18080 20417 18943 18955 3721
"200598_s_at" 4956 20217 19666 4466 15054 15513
"200599_s_at" 7270 20753 21176 19429 17449 15391
"200600_at" 11198 21677 5193 17733 11655 6677
"200601_at" 19556 20691 5855 20992 895 3372
"200602_at" 18644 22124 21230 16461 17323 17332
"200603_at" 7105 22221 17271 13685 17883 16635
"200604_s_at" 3939 16065 22148 20420 16732 17711
"200605_s_at" 3043 18210 20838 19269 19200 3778
"200606_at" 2488 1906 13594 11015 5254 13522
"200607_s_at" 4449 20766 4802 3347 13380 16435
"200608_s_at" 6126 22234 4879 12607 18316 17848
"200609_s_at" 5875 180 4693 19383 12597 3330
"200610_s_at" 3838 21281 21133 14978 15186 14165
"200611_s_at" 7102 14995 5694 17636 14198 3433
"200612_s_at" 21267 1201 22067 16794 21047 13572
"200613_at" 5705 1976 3822 12909 13929 16285
"200614_at" 17683 18048 3949 16890 13025 13623
"200615_s_at" 16098 16171 6280 11666 15037 10930
"200616_s_at" 5563 1288 4815 2222 12941 12483
"200617_at" 17466 18234 2410 17688 14465 10967
"200618_at" 15247 20385 3666 19989 13992 12230
"200619_at" 19316 3056 2091 18697 13378 1751
"200620_at" 7122 17810 20801 12191 14225 4546
"200621_at" 17098 16750 4955 17863 14539 13842
"200622_x_at" 4884 2462 3432 19997 3156 15319
"200623_s_at" 6948 246 2150 20341 2162 11185
"200624_s_at" 4045 22074 19388 18840 18797 15311
"200625_s_at" 16274 16760 1890 11378 12953 13547
"200626_s_at" 15147 19164 4298 16183 14339 10502
"200627_at" 5409 18910 6154 12066 3694 10504
"200628_s_at" 4145 20821 19602 21635 20397 17264
"200629_at" 6339 1494 227 3499 2922 15854
"200630_x_at" 4760 19447 4559 12221 4393 3867
"200631_s_at" 2833 14604 4270 11792 4926 2893
"200632_s_at" 19691 17096 2556 12272 13337 2809
"200633_at" 6009 14575 5634 6686 5175 6315
"200634_at" 4604 20360 3801 14767 13239 14600
"200635_s_at" 19353 2334 16723 13961 4175 13039
"200636_s_at" 16753 3153 16836 18512 15940 14635
"200637_s_at" 17793 15837 14115 21442 17780 16194
"200638_s_at" 5072 21719 18060 16828 5234 11309
"200639_s_at" 19437 19540 19405 18701 17031 17660
"200640_at" 6658 20589 5406 14490 14657 12035
"200641_s_at" 3233 16153 17882 17609 15263 12601
"200642_at" 6794 16007 6255 12074 13941 12875
"200643_at" 6001 15705 21353 16548 21655 18202
"200644_at" 7182 20941 6126 15792 15323 13845
"200645_at" 14972 2965 4166 12079 3112 14809
"200646_s_at" 19571 8807 15311 21961 3150 21778
"200647_x_at" 6079 16998 5828 12111 13887 2154
"200648_s_at" 20556 11688 21323 19723 20699 19716
"200649_at" 16330 15353 2663 20015 20568 18433
"200650_s_at" 7379 3226 5670 6588 4130 11814
"200651_at" 7355 18299 18654 11972 15968 11591
"200652_at" 16607 20139 6822 1980 3474 15859
"200653_s_at" 3310 21552 19504 16110 13922 3820
"200654_at" 15454 14386 17749 11050 13013 2460
"200655_s_at" 18563 1669 3372 4334 15793 16962
"200656_s_at" 19564 19627 17525 19994 15400 14506
"200657_at" 5842 14382 3865 3482 3951 4638
"200658_s_at" 6324 17701 17593 19468 15463 18578
"200659_s_at" 15266 2579 6110 19228 14379 11371
"200660_at" 15979 20282 5586 15632 17343 15762
"200661_at" 7201 14423 18841 17899 12195 17008
"200662_s_at" 17020 15537 18216 14578 4876 15482
"200663_at" 5895 17956 5589 12929 17461 15403
"200664_s_at" 6039 16441 18896 14334 1660 15683
"200665_s_at" 13491 9687 12326 1651 6848 4878
"200666_s_at" 3083 16569 18781 18521 16707 14101
"200667_at" 4902 15459 3645 17357 12963 18374
