"inst_6563" "inst_6568" "inst_6573"
"200659_s_at" 17781 1624 5504
"200660_at" 19984 1174 3089
"200661_at" 16469 4018 1657
"200662_s_at" 18869 550 1366
"200663_at" 14447 5715 9431
"200664_s_at" 20679 4865 3014
"200665_s_at" 13719 6676 11179
"200666_s_at" 19888 17794 3869
"200667_at" 16164 15942 2728
"200668_s_at" 16527 4665 6907
"200669_s_at" 20230 15489 3799
"200670_at" 19586 373 494
"200671_s_at" 13893 17015 17342
"200672_x_at" 1801 19061 1077
"200673_at" 14797 15248 7160
"200674_s_at" 4197 15403 19018
"200675_at" 13286 18994 2846
"200676_s_at" 15144 7599 138
"200677_at" 16343 1996 17984
"200678_x_at" 4682 6141 18402
"200679_x_at" 3553 7440 8070
"200680_x_at" 3867 17052 18849
"200681_at" 15190 6637 4512
"200682_s_at" 19758 5771 4342
"200683_s_at" 15777 899 3262
"200684_s_at" 13093 1173 664
"200685_at" 14794 2423 1097
"200686_s_at" 20443 17330 1502
"200687_s_at" 4434 15702 7755
"200688_at" 14691 18499 7936
"200689_x_at" 14646 15635 8006
"200690_at" 2374 15936 8931
"200691_s_at" 18895 7008 6442
"200692_s_at" 14731 3556 3409
"200693_at" 19241 3440 2974
"200694_s_at" 3225 6660 18420
"200695_at" 17196 17961 1779
"200696_s_at" 2068 6664 21575
"200697_at" 14136 17263 3872
"200698_at" 19626 2228 5368
"200699_at" 1530 5612 7610
"200700_s_at" 16942 6180 5897
"200701_at" 4663 5401 7760
"200702_s_at" 2522 20139 8631
"200703_at" 12985 18017 18688
"200704_at" 2113 6086 7761
"200705_s_at" 17358 3621 5304
"200706_s_at" 1944 15135 681
"200707_at" 15046 7055 2265
"200708_at" 12845 6176 6170
"200709_at" 14150 2835 5076
"200710_at" 3955 6754 4547
"200711_s_at" 17716 6813 18204
"200712_s_at" 21178 1308 1270
"200713_s_at" 13677 18628 18857
"200714_x_at" 2934 6761 20562
"200715_x_at" 15099 16149 18927
"200716_x_at" 2958 6223 9410
"200717_x_at" 8637 11325 8955
"200718_s_at" 3151 5209 8738
"200719_at" 16628 7609 3401
"200720_s_at" 1373 5208 3426
"200721_s_at" 4033 21098 20619
"200722_s_at" 22190 1993 591
"200723_s_at" 19541 2608 490
"200724_at" 11610 13102 4347
"200725_x_at" 16532 5304 8712
"200726_at" 19036 15142 17911
"200727_s_at" 21448 7006 229
"200728_at" 21046 1841 125
"200729_s_at" 17595 7486 5395
"200730_s_at" 20788 18438 4103
"200731_s_at" 20799 20607 6805
"200732_s_at" 19325 17400 18028
"200733_s_at" 16857 18353 8520
"200734_s_at" 3695 19754 19894
"200735_x_at" 17151 6219 7501
"200736_s_at" 16842 15510 12106
"200737_at" 20168 2665 1062
"200738_s_at" 15260 6861 7493
"200739_s_at" 16567 4899 4251
"200740_s_at" 4763 4338 5037
"200741_s_at" 3192 10948 18317
"200742_s_at" 19645 18145 3365
"200743_s_at" 14898 7573 18514
"200744_s_at" 20379 5936 7740
"200745_s_at" 17591 16581 5122
"200746_s_at" 13077 4893 4787
"200747_s_at" 15990 19241 18350
"200748_s_at" 2273 4512 18229
"200749_at" 3780 3910 3745
"200750_s_at" 17058 4973 7845
"200751_s_at" 21000 1191 63
"200752_s_at" 13869 735 442
"200753_x_at" 19252 16680 3161
"200754_x_at" 18069 7320 21150
"200755_s_at" 17397 1932 2226
"200756_x_at" 20941 3 2992
"200757_s_at" 16257 4142 3121
"200758_s_at" 13995 3694 1712
"200759_x_at" 4189 5159 19455
"200760_s_at" 17613 3533 4891
"200761_s_at" 4525 4344 3924
"200762_at" 17055 6426 6998
"200763_s_at" 12915 16509 18850
"200764_s_at" 5953 11687 464
"200765_x_at" 12302 10800 8470
"200766_at" 12671 4771 709
"200767_s_at" 21426 4010 698
"200768_s_at" 13250 20347 20502
"200769_s_at" 10715 394 1379
"200770_s_at" 13977 18195 4731
"200771_at" 17259 4690 3676
"200772_x_at" 1044 15493 20607
"200773_x_at" 3093 6229 8658
"200774_at" 4818 6943 4778
"200775_s_at" 745 15281 21446
