"inst_2962" "inst_7465"
"1007_s_at" 1753 19182
"1053_at" 5501 7800
"117_at" 21743 10306
"121_at" 4916 20409
"1255_g_at" 11282 14780
"1294_at" 18217 16264
"1316_at" 14045 17464
"1320_at" 11723 10101
"1405_i_at" 19933 11686
"1431_at" 9501 14188
"1438_at" 9657 17768
"1487_at" 3262 17070
"1494_f_at" 7676 14092
"1598_g_at" 2031 964
"160020_at" 1091 13078
"1729_at" 21534 2285
"1773_at" 4319 3683
"177_at" 16099 2914
"179_at" 22244 2422
"1861_at" 21083 3999
"200000_s_at" 14968 2228
"200001_at" 18682 6138
"200002_at" 14864 18441
"200003_s_at" 5168 17773
"200004_at" 17724 18043
"200005_at" 4475 6003
"200006_at" 4855 17556
"200007_at" 15602 8317
"200008_s_at" 15311 6994
"200009_at" 13792 4361
"200010_at" 5552 17215
"200011_s_at" 17736 17802
"200012_x_at" 14432 7381
"200013_at" 4944 17754
"200014_s_at" 5235 7295
"200015_s_at" 16310 18777
"200016_x_at" 14710 18407
"200017_at" 14089 19319
"200018_at" 8699 19662
"200019_s_at" 4286 6447
"200020_at" 5531 17051
"200021_at" 16792 17704
"200022_at" 4897 7662
"200023_s_at" 17325 8224
"200024_at" 14330 7466
"200025_s_at" 14564 18535
"200026_at" 8942 17248
"200027_at" 14561 5817
"200028_s_at" 14502 8358
"200029_at" 14673 6642
"200030_s_at" 13890 17167
"200031_s_at" 8674 17738
"200032_s_at" 8730 17992
"200033_at" 14551 20742
"200034_s_at" 14011 17944
"200035_at" 20486 8646
"200036_s_at" 5012 8246
"200037_s_at" 15331 20385
"200038_s_at" 8909 17649
"200039_s_at" 15465 4999
"200040_at" 14879 18087
"200041_s_at" 3317 4283
"200042_at" 15114 18233
"200043_at" 17024 20611
"200044_at" 14362 18355
"200045_at" 14156 3985
"200046_at" 15467 17150
"200047_s_at" 14610 19201
"200048_s_at" 17526 18248
"200049_at" 19894 17120
"200050_at" 18139 5890
"200051_at" 2010 7647
"200052_s_at" 4569 5362
"200053_at" 20594 17385
"200054_at" 4399 18246
"200055_at" 14405 3034
"200056_s_at" 16309 7280
"200057_s_at" 15996 7833
"200058_s_at" 18862 5901
"200059_s_at" 14123 18250
"200060_s_at" 15232 7665
"200061_s_at" 8672 8520
"200062_s_at" 14570 8614
"200063_s_at" 14503 20150
"200064_at" 4985 6748
"200065_s_at" 13866 2112
"200066_at" 2924 8284
"200067_x_at" 17129 6531
"200068_s_at" 15194 5462
"200069_at" 17903 967
"200070_at" 20617 17045
"200071_at" 16225 18202
"200072_s_at" 3236 6042
"200073_s_at" 4672 18418
"200074_s_at" 4797 19503
"200075_s_at" 18061 2573
"200076_s_at" 14888 3093
"200077_s_at" 5659 18359
"200078_s_at" 18705 6502
"200079_s_at" 5213 4255
"200080_s_at" 17070 20337
"200081_s_at" 4200 7327
"200082_s_at" 5340 7087
"200083_at" 18335 7297
"200084_at" 15406 17881
