"inst_327" "inst_594"
"1007_s_at" 7262 3740
"1053_at" 5854 2704
"117_at" 2956 5989
"121_at" 16638 4905
"1255_g_at" 11522 10326
"1294_at" 18765 1303
"1316_at" 3397 17421
"1320_at" 21613 21372
"1405_i_at" 14126 10190
"1431_at" 13277 13604
"1438_at" 5318 16669
"1487_at" 2425 18992
"1494_f_at" 17606 7950
"1598_g_at" 7047 17519
"160020_at" 15169 3900
"1729_at" 5261 958
"1773_at" 4934 5892
"177_at" 15875 13109
"179_at" 16274 19024
"1861_at" 5173 19478
"200000_s_at" 3861 17435
"200001_at" 5545 16860
"200002_at" 6018 16115
"200003_s_at" 7031 16346
"200004_at" 5290 4952
"200005_at" 3072 7654
"200006_at" 1783 5112
"200007_at" 4878 8093
"200008_s_at" 5657 15652
"200009_at" 16001 6741
"200010_at" 673 7750
"200011_s_at" 4737 15688
"200012_x_at" 17418 7121
"200013_at" 5599 7124
"200014_s_at" 5072 3194
"200015_s_at" 6522 5656
"200016_x_at" 4419 2878
"200017_at" 2625 6501
"200018_at" 15361 17122
"200019_s_at" 2699 20399
"200020_at" 1396 6003
"200021_at" 16516 15685
"200022_at" 7329 19124
"200023_s_at" 7292 8017
"200024_at" 15065 16646
"200025_s_at" 5950 15912
"200026_at" 3876 20671
"200027_at" 5964 6449
"200028_s_at" 5406 4847
"200029_at" 3009 17167
"200030_s_at" 6156 7035
"200031_s_at" 5258 19739
"200032_s_at" 4070 16452
"200033_at" 6599 3143
"200034_s_at" 3986 6887
"200035_at" 6343 7825
"200036_s_at" 5128 19330
"200037_s_at" 2246 5314
"200038_s_at" 7497 3166
"200039_s_at" 15817 17554
"200040_at" 2178 7578
"200041_s_at" 1180 7436
"200042_at" 19240 5197
"200043_at" 16170 7399
"200044_at" 6674 6751
"200045_at" 6992 17827
"200046_at" 5941 7084
"200047_s_at" 7063 1058
"200048_s_at" 7115 16564
"200049_at" 18463 19336
"200050_at" 919 2130
"200051_at" 6226 5631
"200052_s_at" 3620 7744
"200053_at" 19194 16383
"200054_at" 17159 6466
"200055_at" 2393 6680
"200056_s_at" 21192 3413
"200057_s_at" 4079 16061
"200058_s_at" 14977 15762
"200059_s_at" 2003 574
"200060_s_at" 4337 6441
"200061_s_at" 7291 15847
"200062_s_at" 5440 17887
"200063_s_at" 15734 4485
"200064_at" 15416 15744
"200065_s_at" 4891 8078
"200066_at" 2656 7293
"200067_x_at" 2249 5366
"200068_s_at" 16522 5782
"200069_at" 679 758
"200070_at" 1569 6793
"200071_at" 2257 1670
"200072_s_at" 14601 6693
"200073_s_at" 6098 4098
"200074_s_at" 2725 5313
"200075_s_at" 862 7742
"200076_s_at" 2862 18796
"200077_s_at" 4111 16017
"200078_s_at" 2985 16674
"200079_s_at" 2871 7097
"200080_s_at" 7202 7703
"200081_s_at" 6566 17427
"200082_s_at" 2652 7141
"200083_at" 14603 18133
"200084_at" 4122 4634
"200085_s_at" 3369 21234
"200086_s_at" 2389 5176
"200087_s_at" 3590 6439
"200088_x_at" 6720 7789
"200089_s_at" 7014 3461
"200090_at" 15889 3280
"200091_s_at" 3047 7737
"200092_s_at" 16177 18278
"200093_s_at" 6872 18322
"200094_s_at" 7335 5738
"200095_x_at" 16432 17520
"200096_s_at" 5339 6371
"200097_s_at" 2474 2591
"200098_s_at" 4406 2029
"200099_s_at" 5118 15997
"200593_s_at" 21516 6488
"200594_x_at" 3774 7173
"200595_s_at" 2224 16392
"200596_s_at" 3245 17469
"200597_at" 15357 3464
"200598_s_at" 1841 5318
"200599_s_at" 5980 4005
"200600_at" 11179 12423
"200601_at" 1617 6535
"200602_at" 266 18357
"200603_at" 6694 600
"200604_s_at" 20984 16364
"200605_s_at" 5928 16916
"200606_at" 17785 3209
"200607_s_at" 7389 16958
"200608_s_at" 1377 1612
"200609_s_at" 17710 3455
"200610_s_at" 4361 1544
"200611_s_at" 14733 19046
"200612_s_at" 19540 7771
"200613_at" 17746 19402
"200614_at" 16292 5937
"200615_s_at" 18906 5281
"200616_s_at" 4546 3473
"200617_at" 4582 20029
"200618_at" 5456 3470
"200619_at" 5166 18504
"200620_at" 6547 16098
"200621_at" 17279 20320
"200622_x_at" 15894 7279
"200623_s_at" 4660 21441
"200624_s_at" 5107 3241
"200625_s_at" 1477 3155
"200626_s_at" 5056 16652
"200627_at" 5074 3786
"200628_s_at" 4874 5210
"200629_at" 7330 6281
"200630_x_at" 5760 6026
"200631_s_at" 4396 17515
"200632_s_at" 3279 6867
"200633_at" 4977 18092
"200634_at" 3890 20975
"200635_s_at" 1920 18437
"200636_s_at" 2323 4347
"200637_s_at" 4346 17534
"200638_s_at" 17314 15656
"200639_s_at" 3495 2898
"200640_at" 4307 5664
"200641_s_at" 15112 6706
"200642_at" 5847 18033
"200643_at" 5199 7757
"200644_at" 20317 3613
"200645_at" 2344 19008
"200646_s_at" 17665 20524
"200647_x_at" 4574 18866
"200648_s_at" 20839 20195
"200649_at" 6037 19193
"200650_s_at" 17141 5721
"200651_at" 16044 5981
"200652_at" 6479 16372
"200653_s_at" 1831 5141
"200654_at" 5813 18881
"200655_s_at" 16406 6127
"200656_s_at" 1618 4157
"200657_at" 6113 17215
"200658_s_at" 4617 17442
"200659_s_at" 16169 16943
"200660_at" 355 18345
"200661_at" 4557 18256
"200662_s_at" 5478 3941
"200663_at" 1849 16470
"200664_s_at" 17651 18708
"200665_s_at" 11015 10661
"200666_s_at" 3125 16797
"200667_at" 2233 6531
"200668_s_at" 2080 3303
"200669_s_at" 6181 6305
"200670_at" 1548 2207
"200671_s_at" 12728 22210
"200672_x_at" 1087 16164
"200673_at" 16525 6556
"200674_s_at" 3775 17935
"200675_at" 1782 16182
"200676_s_at" 1164 19052
"200677_at" 6835 16668
"200678_x_at" 17739 21702
"200679_x_at" 5902 5673
"200680_x_at" 15790 7710
"200681_at" 2219 7743
"200682_s_at" 1657 7351
"200683_s_at" 4223 18496
"200684_s_at" 3811 8052
"200685_at" 11483 10209
"200686_s_at" 4066 2597
"200687_s_at" 3893 6541
"200688_at" 20078 4624
"200689_x_at" 5142 5545
"200690_at" 1012 1889
"200691_s_at" 4912 4271
"200692_s_at" 7351 16508
"200693_at" 17529 7540
"200694_s_at" 1196 17493
"200695_at" 16830 19595
"200696_s_at" 17551 18041
"200697_at" 16377 1185
"200698_at" 535 3349
"200699_at" 15489 5680
"200700_s_at" 17978 19740
"200701_at" 1107 21393
"200702_s_at" 6054 2932
"200703_at" 6811 4035
"200704_at" 15616 20053
"200705_s_at" 6867 5743
"200706_s_at" 5413 17039
"200707_at" 3121 20330
"200708_at" 5619 7628
"200709_at" 17717 4968
"200710_at" 7468 15790
"200711_s_at" 3318 20941
"200712_s_at" 17489 6455
"200713_s_at" 15846 17849
"200714_x_at" 17738 18072
"200715_x_at" 4258 16782
"200716_x_at" 5376 17662
"200717_x_at" 15464 4429
"200718_s_at" 16528 16719
"200719_at" 3440 2449
"200720_s_at" 15273 19347
"200721_s_at" 17166 17102
"200722_s_at" 6957 5174
"200723_s_at" 17566 15993
"200724_at" 21679 16428
"200725_x_at" 6568 19346
"200726_at" 3593 4922
"200727_s_at" 20941 11928
"200728_at" 16479 6974
"200729_s_at" 4583 1423
"200730_s_at" 3960 2405
"200731_s_at" 15896 18878
"200732_s_at" 18794 3743
"200733_s_at" 5222 17
"200734_s_at" 5122 17822
"200735_x_at" 17017 16981
"200736_s_at" 10463 14761
"200737_at" 6160 6635
"200738_s_at" 2238 5800
"200739_s_at" 19692 19791
"200740_s_at" 6904 18764
"200741_s_at" 2697 5984
"200742_s_at" 15598 6581
"200743_s_at" 20872 7741
"200744_s_at" 15015 6752
"200745_s_at" 16332 7146
"200746_s_at" 5096 7838
"200747_s_at" 19667 16484
"200748_s_at" 703 5172
"200749_at" 2237 1578
"200750_s_at" 7490 16511
"200751_s_at" 1643 7648
"200752_s_at" 2397 20394
"200753_x_at" 1697 4487
"200754_x_at" 1194 19392
