"inst_3082" "inst_3096" "inst_4633" "inst_5400" "inst_5694" "inst_6299" "inst_6459" "inst_6473"
"1007_s_at" 9905 19497 5272 17901 12039 16136 7066 6667
"1053_at" 7693 17563 4040 15598 18906 15329 19434 15844
"117_at" 17333 16603 16212 11421 7157 13712 9515 10541
"121_at" 3649 13971 20871 1314 9771 18093 14550 21167
"1255_g_at" 15242 7585 14772 13418 7422 11856 5547 7273
"1294_at" 18789 2703 22097 2040 2231 3806 19135 20543
"1316_at" 322 2881 7201 17439 13527 21851 2112 2092
"1320_at" 15594 6965 3369 18569 7868 8975 9312 9979
"1405_i_at" 2552 2260 22018 1546 15569 12626 12364 10352
"1431_at" 21206 16693 1070 2320 2369 1736 2529 278
"1438_at" 20049 1342 6885 20874 20694 6661 2687 14688
"1487_at" 7567 17253 10089 4331 13982 7020 5699 5427
"1494_f_at" 21453 1883 1341 10677 2147 20556 19322 21832
"1598_g_at" 22255 18478 19579 3295 16759 18936 19219 21294
"160020_at" 1945 11990 3222 69 17834 20460 1693 3865
"1729_at" 4527 21338 16481 15483 19902 6273 5053 13862
"1773_at" 9961 18204 3957 20323 20688 1278 336 15456
"177_at" 19006 12610 21073 13990 10498 13801 2611 871
"179_at" 21166 12213 19936 18806 20897 441 21666 22120
"1861_at" 21933 18662 9565 7512 16187 7407 547 5876
"200000_s_at" 9732 11319 9791 19189 21071 18063 17952 15764
"200001_at" 9797 15636 8081 15421 14799 18018 17077 16964
"200002_at" 10657 12602 8606 14999 10025 15185 17785 6388
"200003_s_at" 12836 5173 16204 8259 12694 7406 15345 6256
"200004_at" 9400 14546 7019 5450 11315 3822 5889 15858
"200005_at" 9055 12425 7319 15364 16790 6106 6867 13605
"200006_at" 5858 12152 9345 5665 13266 5452 14490 15285
"200007_at" 8373 15949 17702 6143 12300 18438 18138 15108
"200008_s_at" 9667 20249 1532 15175 12298 15324 15845 2154
"200009_at" 9294 13527 8003 15711 10615 15010 6803 6712
"200010_at" 10265 3012 5872 6119 10786 6055 16321 4225
"200011_s_at" 9971 13432 8005 6338 17442 16349 5591 15905
"200012_x_at" 18786 2690 17704 17551 3131 16784 14631 14628
"200013_at" 17672 10830 7799 15177 11085 6870 16608 15055
"200014_s_at" 9094 14479 9574 6879 14099 5938 7765 14547
"200015_s_at" 4226 15834 16606 6660 16907 6101 15971 18166
"200016_x_at" 9904 10715 17587 6984 10196 7585 14549 6738
"200017_at" 12960 5301 18789 10454 13328 6137 14521 9046
"200018_at" 12948 5288 9907 10441 9780 4647 6128 5131
"200019_s_at" 17358 2754 7899 17545 13474 17670 14431 7106
"200020_at" 6005 16335 8086 15981 13996 18555 7974 17954
"200021_at" 19242 2113 11852 10538 5841 10235 9944 9137
"200022_at" 10109 3076 8353 7446 4281 16682 6584 6533
"200023_s_at" 2702 10096 16576 6587 17333 15577 15006 16007
"200024_at" 10007 10147 6929 20000 10223 16829 14642 5445
"200025_s_at" 7093 2616 17857 19036 10920 6797 6983 15847
"200026_at" 13084 5439 15914 5039 5845 5838 6909 6642
"200027_at" 7414 11584 17665 16144 15528 17751 5905 14918
"200028_s_at" 5828 10242 16877 6873 11733 15712 15235 15929
"200029_at" 19016 10906 18162 6812 11252 15754 7151 13679
"200030_s_at" 8942 11998 9959 7121 11142 6538 6705 5379
"200031_s_at" 12935 5277 11786 10433 10262 17398 15686 5935
"200032_s_at" 12964 5306 9384 10455 5797 3712 7536 6678
"200033_at" 5146 10821 16306 4931 12143 4222 6488 7155
"200034_s_at" 8418 2273 7366 17427 3099 7218 16505 7008
"200035_at" 21485 19910 8542 19716 10321 20423 15710 18791
"200036_s_at" 17681 10892 10063 16070 15014 16591 17655 14195
"200037_s_at" 5023 11575 18435 7138 11690 5772 4744 6713
"200038_s_at" 13065 5411 7931 15299 9899 7376 6966 14179
"200039_s_at" 17873 15055 4394 18185 15812 15674 15107 14302
"200040_at" 7615 11929 8621 7619 13406 6665 15065 16594
"200041_s_at" 9036 14527 9437 15792 16580 20040 16823 16590
"200042_at" 7824 11622 6688 15818 20332 16279 5655 5172
"200043_at" 5035 16967 18940 17227 16338 5295 14990 4156
"200044_at" 9921 14251 18974 7963 17714 4708 7181 14935
"200045_at" 4114 2966 6910 6746 13166 18219 6913 16165
"200046_at" 18646 17603 8034 8328 15646 4753 6781 2879
"200047_s_at" 5334 10191 18587 8008 12193 4474 5813 16349
"200048_s_at" 7190 12588 18500 6979 17282 5823 14930 15415
"200049_at" 19178 20759 17441 16935 18760 19237 7875 15351
"200050_at" 3834 13878 9566 2933 11339 6555 5383 5211
"200051_at" 17999 17181 7028 6283 3995 4522 16579 15765
"200052_s_at" 17579 19087 4179 19823 15591 18125 18246 13837
"200053_at" 4352 20861 7528 20477 19557 21166 21452 2860
"200054_at" 2441 16106 6526 8510 14788 19775 18078 14588
"200055_at" 18348 12593 16454 18811 16466 17491 17368 6780
"200056_s_at" 9826 2434 17437 7222 20110 15352 3074 7029
"200057_s_at" 8595 11750 17413 15120 12963 16834 14509 14205
"200058_s_at" 18666 15195 7583 15876 16751 16962 7013 5611
"200059_s_at" 8417 13045 9459 17875 14802 16180 5818 4679
"200060_s_at" 10503 18172 9028 15828 13637 21529 14755 16325
"200061_s_at" 17931 5274 11784 10432 5790 15058 7401 5641
"200062_s_at" 12812 5152 11727 10348 5751 9933 9755 8958
"200063_s_at" 18251 10151 18844 10477 5811 18033 9876 9072
"200064_at" 10131 12784 6573 7622 13188 16848 7398 14689
"200065_s_at" 9834 15670 7788 15124 13194 7643 5411 13751
"200066_at" 4230 13890 3801 16930 18761 6071 18277 5181
"200067_x_at" 8486 13522 17209 6910 14696 15707 7676 6692
"200068_s_at" 7266 13903 17565 16607 12232 17021 7290 17305
"200069_at" 19062 13060 21634 15148 16117 19649 18539 15802
"200070_at" 20756 21748 17739 16663 10217 5642 7556 17744
"200071_at" 7710 20331 16189 6946 14599 19693 7995 19552
"200072_s_at" 8786 17960 5221 7525 16948 7072 7638 14230
"200073_s_at" 18707 18845 18243 15491 14311 4873 8131 18339
"200074_s_at" 10618 10157 7377 17106 11820 15740 15336 14052
"200075_s_at" 4950 16491 6452 15931 14347 16057 17149 3869
"200076_s_at" 6046 11704 5399 7782 16582 17917 15417 16326
"200077_s_at" 9120 10362 17985 15870 10648 7414 16934 15944
"200078_s_at" 6222 13594 18741 7953 16741 17849 4805 5990
"200079_s_at" 5342 11252 6032 7161 11906 5318 7627 6957
"200080_s_at" 7801 10142 20190 7636 10031 4018 7545 17523
"200081_s_at" 17962 10282 6239 15170 4308 18052 16525 5684
"200082_s_at" 9798 2915 6971 8262 4212 15808 7626 5613
"200083_at" 2740 15257 18326 16470 13382 7273 16223 18544
"200084_at" 8260 15926 6078 8497 17912 18698 3848 5078
"200085_s_at" 19370 15258 17081 17055 14808 19252 16020 15450
"200086_s_at" 8431 11140 16998 7762 13869 7186 6116 16552
"200087_s_at" 3055 12591 17033 4414 13580 6148 15611 15509
"200088_x_at" 12825 5164 16133 10360 5755 16705 14712 4326
"200089_s_at" 18122 11464 16109 16327 11386 15751 16846 6691
"200090_at" 18860 11985 17023 5825 16042 2697 4719 5940
"200091_s_at" 10481 10125 6988 16381 10065 4871 14967 5335
"200092_s_at" 10431 10240 17125 16404 3981 14886 6103 4946
"200093_s_at" 19243 17433 10005 16548 14434 18723 16146 17340
"200094_s_at" 10603 10955 5226 17390 14632 5174 16911 3223
"200095_x_at" 13071 5421 11846 10528 5836 10215 9935 13532
"200096_s_at" 10414 15312 8269 3133 15427 17677 16384 15830
"200097_s_at" 4057 11283 16359 4412 13815 3788 7950 19015
"200098_s_at" 8787 15546 19075 16319 14298 18890 17046 16696
"200099_s_at" 13017 5358 8806 10486 5813 6848 9889 9082
"200593_s_at" 3998 10364 16336 16909 13983 16407 18758 17054
"200594_x_at" 5908 12809 17423 6967 14251 5166 14677 15520
