"inst_3773" "inst_3776" "inst_3854" "inst_3857" "inst_3965" "inst_3968" "inst_4330" "inst_4333"
"1007_s_at" 6206 5705 10193 16063 13255 5620 17904 18220
"1053_at" 13233 9433 7199 17958 13667 20054 14673 5223
"117_at" 9951 14798 11092 14450 10178 9159 7079 262
"121_at" 5620 3149 5236 15791 15428 11642 17981 9047
"1255_g_at" 10818 14724 10510 11133 6396 8114 5461 9740
"1294_at" 1048 20186 175 6255 4194 22018 2561 410
"1316_at" 18979 19100 21576 21970 20928 21591 622 117
"1320_at" 16542 237 21055 20664 22225 16092 14097 5302
"1405_i_at" 1194 13747 10440 10835 195 8365 8616 13866
"1431_at" 18400 21954 18700 18499 19625 3281 1070 8990
"1438_at" 18505 5540 5013 2684 17085 1921 17894 21465
"1487_at" 13353 7996 16554 15930 6135 15860 17278 19062
"1494_f_at" 19297 20897 21585 18785 1643 329 17296 7436
"1598_g_at" 3849 2779 6710 3177 3371 14046 16317 5371
"160020_at" 22217 3794 150 2489 5851 20964 19703 16271
"1729_at" 13217 20027 16126 4168 17933 12431 15925 16677
"1773_at" 21355 17489 2811 1632 17668 17631 17813 18710
"177_at" 21622 17061 8567 2772 2473 3702 1268 3231
"179_at" 19534 2278 7806 4744 12252 19754 17648 20940
"1861_at" 20236 20963 5816 17378 14702 1668 15068 17171
"200000_s_at" 5305 8576 10127 18619 11775 17127 13035 16863
"200001_at" 5076 8522 9657 9501 13437 11516 19321 17662
"200002_at" 14589 9697 16437 7960 5547 12614 3289 6845
"200003_s_at" 9308 12599 12100 11355 7736 7568 5855 10865
"200004_at" 14316 9152 17224 18510 5794 4104 12355 15892
"200005_at" 14803 7286 7893 7556 11551 14925 14123 7601
"200006_at" 13502 16462 17096 17007 5435 11697 4154 6823
"200007_at" 14250 10887 8466 5128 14409 14349 3187 14925
"200008_s_at" 21026 5601 4758 4292 15948 6083 12694 20706
"200009_at" 13654 7891 17739 17085 12587 5500 11219 5774
"200010_at" 13857 8873 6888 7759 4891 5275 3798 6871
"200011_s_at" 7698 10595 16400 7312 5714 12495 17697 16908
"200012_x_at" 7437 10458 16995 16229 5986 5933 2822 7632
"200013_at" 13151 8548 9016 15858 4638 5865 1965 15094
"200014_s_at" 16433 5953 7435 7202 5964 12427 10257 7927
"200015_s_at" 13454 10696 16932 7557 4259 16470 12219 6498
"200016_x_at" 9244 12551 16633 8284 7659 7491 3462 6971
"200017_at" 9385 12677 12214 11491 7860 7680 5944 10964
"200018_at" 9378 12672 12204 11482 7849 7671 5932 10952
"200019_s_at" 6730 18160 9312 15972 12048 12132 3196 4512
"200020_at" 7466 8896 8191 9106 13214 4573 12572 7294
"200021_at" 9461 12759 12325 11616 7985 7826 10004 17594
"200022_at" 15178 10173 10024 9316 7759 7587 2573 6956
"200023_s_at" 14021 17460 18915 8305 11617 5647 9991 3389
"200024_at" 6909 9802 17100 18076 11978 4623 10097 8099
"200025_s_at" 7870 17415 16427 8075 7845 7669 2650 3970
"200026_at" 9464 12760 8329 8577 7989 7829 2993 8012
