"inst_3191" "inst_5793" "inst_6267"
"200659_s_at" 17025 5050 3876
"200660_at" 5233 12905 7165
"200661_at" 18698 13755 18100
"200662_s_at" 11596 14410 18740
"200663_at" 12072 15313 16575
"200664_s_at" 12268 5196 3452
"200665_s_at" 5585 138 12886
"200666_s_at" 5417 19433 17926
"200667_at" 16217 19850 1908
"200668_s_at" 13058 14346 6303
"200669_s_at" 17424 13838 16858
"200670_at" 12368 4058 6015
"200671_s_at" 1502 21722 20100
"200672_x_at" 14009 15849 286
"200673_at" 13066 15936 5671
"200674_s_at" 4389 5432 17598
"200675_at" 16099 18630 16147
"200676_s_at" 2126 5276 17505
"200677_at" 13308 15040 17730
"200678_x_at" 16748 14091 1929
"200679_x_at" 12125 13747 5249
"200680_x_at" 4855 14826 16931
"200681_at" 12060 17386 16977
"200682_s_at" 12163 6064 4769
"200683_s_at" 10862 6786 1632
"200684_s_at" 18520 4407 7479
"200685_at" 21789 15925 22169
"200686_s_at" 4963 6030 6221
"200687_s_at" 18556 17044 4682
"200688_at" 11466 6837 19233
"200689_x_at" 5238 14068 17386
"200690_at" 20018 14005 7458
"200691_s_at" 14377 20270 18501
"200692_s_at" 16112 4153 4664
"200693_at" 11451 14118 5660
"200694_s_at" 13556 17264 18042
"200695_at" 2991 1564 17825
"200696_s_at" 16618 22144 2132
"200697_at" 16192 20889 6021
"200698_at" 18449 20421 2902
"200699_at" 17109 21125 6930
"200700_s_at" 11274 15723 16364
"200701_at" 3820 15217 1872
"200702_s_at" 17278 16828 7425
"200703_at" 11595 12796 4799
"200704_at" 3995 6709 4328
"200705_s_at" 5405 4918 6168
"200706_s_at" 12122 16588 1933
"200707_at" 3846 17060 18472
"200708_at" 15288 15005 17530
"200709_at" 11510 17804 5277
"200710_at" 19498 4483 7175
"200711_s_at" 4469 16321 16553
"200712_s_at" 17213 5764 2503
"200713_s_at" 13204 15362 17146
"200714_x_at" 12138 17784 16744
"200715_x_at" 4710 13768 6454
"200716_x_at" 6785 4640 16493
"200717_x_at" 6755 8703 6986
"200718_s_at" 4844 16037 16824
"200719_at" 21280 18421 3220
"200720_s_at" 11793 2272 4497
"200721_s_at" 17426 13980 2755
"200722_s_at" 2480 2738 19825
"200723_s_at" 14783 6121 5189
"200724_at" 21463 17287 18902
"200725_x_at" 15088 5600 5150
"200726_at" 17312 6417 3413
"200727_s_at" 2875 3728 2582
"200728_at" 11038 13132 1391
"200729_s_at" 13938 16908 3111
"200730_s_at" 12702 16306 17781
"200731_s_at" 4561 1759 1980
"200732_s_at" 12044 19114 4288
"200733_s_at" 19963 20201 816
"200734_s_at" 17107 6980 19686
"200735_x_at" 6772 6710 16119
"200736_s_at" 21883 16449 13836
"200737_at" 5146 13930 3355
"200738_s_at" 13548 15023 6775
"200739_s_at" 11314 4570 4211
"200740_s_at" 11162 16909 17906
"200741_s_at" 6724 6235 4954
"200742_s_at" 2198 4540 16009
"200743_s_at" 19527 16130 5401
"200744_s_at" 14875 14510 3312
"200745_s_at" 17846 13256 20343
"200746_s_at" 15141 14268 5919
"200747_s_at" 13160 13490 21604
"200748_s_at" 4121 3621 2296
"200749_at" 13417 16598 17544
"200750_s_at" 12332 5651 5960
"200751_s_at" 11125 5287 2311
"200752_s_at" 2474 20757 18993
"200753_x_at" 11032 13545 6740
"200754_x_at" 12248 14473 16008
"200755_s_at" 19061 12698 1662
"200756_x_at" 4531 3157 3010
"200757_s_at" 11044 16666 21488
"200758_s_at" 17301 13401 2262
"200759_x_at" 18828 17905 5922
"200760_s_at" 11080 5447 7012
"200761_s_at" 15303 17447 16670
"200762_at" 15646 15903 6811
"200763_s_at" 5332 12999 7188
"200764_s_at" 18437 3140 6805
"200765_x_at" 16062 7599 18022
"200766_at" 11137 19421 18864
"200767_s_at" 4811 12901 5000
"200768_s_at" 14146 6541 17872
"200769_s_at" 4672 4770 909
"200770_s_at" 19437 16152 4419
"200771_at" 17091 19039 7052
"200772_x_at" 12902 4149 6792
"200773_x_at" 10895 13646 16000
"200774_at" 14403 15664 17350
"200775_s_at" 13591 19658 18083
"200776_s_at" 4291 13963 2526
"200777_s_at" 15450 14080 18570
"200778_s_at" 5121 12711 16658
"200779_at" 13995 12923 17387
"200780_x_at" 11272 13652 16215
"200781_s_at" 6748 6201 7051
"200782_at" 11524 19050 5204
"200783_s_at" 11387 4822 6247
"200784_s_at" 6121 325 11078
"200785_s_at" 8981 17955 9847
"200786_at" 11662 16651 16826
"200787_s_at" 20597 19019 2937
"200788_s_at" 12032 12776 18131
"200789_at" 11236 13516 15954
"200790_at" 11899 6291 17188
"200791_s_at" 16514 19679 3906
"200792_at" 15385 14196 4006
