"inst_3691" "inst_3694" "inst_4713" "inst_4716" "inst_6875" "inst_7392"
"1007_s_at" 15630 10145 3492 13917 14161 13590
"1053_at" 13044 17518 763 12735 11336 19664
"117_at" 5090 8612 10706 9519 6185 11277
"121_at" 8833 16736 16122 19364 10805 4455
"1255_g_at" 3542 7207 10411 9833 9160 6988
"1294_at" 8910 1239 12479 4303 5789 11092
"1316_at" 12376 2164 15683 16216 15370 20458
"1320_at" 11183 15653 12838 12046 8948 3650
"1405_i_at" 6319 8541 13899 13262 5807 13169
"1431_at" 1200 10888 1062 2192 11653 2761
"1438_at" 18305 1762 20265 18746 16541 3320
"1487_at" 14065 20065 17371 20534 19231 14742
"1494_f_at" 8876 19366 4742 393 5263 6429
"1598_g_at" 8454 13323 4780 16484 12769 2735
"160020_at" 11438 14117 16195 121 11313 18687
"1729_at" 18498 16124 17728 19695 13175 21937
"1773_at" 16092 3294 14911 2859 11129 5271
"177_at" 870 216 11225 9595 9965 12268
"179_at" 8043 3674 1072 1199 19121 1034
"1861_at" 13310 13846 2179 2845 15866 2790
"200000_s_at" 12242 16071 12806 13412 11082 18440
"200001_at" 8075 2580 1089 2949 10393 3508
"200002_at" 2124 10723 2535 2911 3905 2937
"200003_s_at" 3925 6211 4012 4295 10276 4533
"200004_at" 9316 13185 4245 13183 11098 14044
"200005_at" 14417 4702 14484 12406 15669 15212
"200006_at" 8144 4137 2733 3764 3578 3711
"200007_at" 9049 12068 2514 3762 10384 3642
"200008_s_at" 17306 11952 1163 1403 1178 3880
"200009_at" 10633 11615 5231 4557 12824 15001
"200010_at" 2012 2245 2773 1958 2311 3801
"200011_s_at" 9479 2477 2786 3787 10561 5164
"200012_x_at" 2132 4611 5037 4466 3257 4715
"200013_at" 2223 4117 3793 3591 3737 5321
"200014_s_at" 10970 10348 3335 3579 10802 13715
"200015_s_at" 10292 14640 4256 14672 12866 14232
"200016_x_at" 2342 13413 3808 13647 10552 14116
"200017_at" 4020 6309 5006 4135 3487 4860
"200018_at" 4007 6298 5095 3724 3701 4154
"200019_s_at" 1832 11062 3847 4032 3362 5122
"200020_at" 15089 20559 17732 21245 18475 20286
"200021_at" 4114 6403 12209 6771 3766 5375
"200022_at" 8120 3759 4812 3674 11105 4458
"200023_s_at" 11496 13855 2552 4504 10974 13767
"200024_at" 1394 2626 4069 3478 2840 4084
"200025_s_at" 2087 12046 12700 12487 10973 4033
"200026_at" 4119 6406 12913 11716 3691 4236
"200027_at" 11874 14988 3578 11614 11755 15545
"200028_s_at" 15523 16199 20696 17940 15190 16801
"200029_at" 8056 2648 12340 3504 10480 4481
"200030_s_at" 9665 3230 4098 3472 3044 13854
"200031_s_at" 4001 6291 4562 3900 3012 4990
"200032_s_at" 4022 6311 5175 4038 3040 4056
"200033_at" 17366 14155 15094 12468 14144 16516
"200034_s_at" 2062 2392 12452 4115 12211 13561
"200035_at" 9421 10279 14774 14591 11534 2321
"200036_s_at" 1969 11115 2806 12042 2476 3979
"200037_s_at" 13745 17545 4409 13616 15811 17179
"200038_s_at" 8428 3216 12252 4572 3709 4170
"200039_s_at" 11013 10420 3860 12174 2912 4784
"200040_at" 13037 17947 5268 13801 11851 17044
"200041_s_at" 9200 10702 3856 11953 11234 5037
"200042_at" 14503 11981 14269 12248 15677 14419
"200043_at" 8942 14473 12198 4353 14463 4826
"200044_at" 11196 12918 1219 12981 3714 5449
"200045_at" 17833 13177 17199 18069 19210 16996
"200046_at" 8764 11088 1135 1945 10536 3881
"200047_s_at" 17603 19788 13529 16908 18802 18580
"200048_s_at" 9394 17254 3580 13585 11529 13474
"200049_at" 20548 2272 21316 13297 21520 2996
"200050_at" 20245 16731 21846 14682 21466 13700
"200051_at" 14344 16289 15597 16470 18476 14976
"200052_s_at" 12377 10998 2932 2667 13000 14353
"200053_at" 9880 11928 17669 16127 13882 17703
"200054_at" 14400 16595 15248 18911 18155 20094
"200055_at" 1234 10596 1514 11594 3411 5108
"200056_s_at" 15063 17762 4357 13482 14576 14329
"200057_s_at" 9595 10910 12733 12120 10947 4908
"200058_s_at" 10649 4165 12583 12915 12635 2719
"200059_s_at" 9690 3590 1777 1935 2110 4331
"200060_s_at" 18271 13554 15843 15374 19056 3687
"200061_s_at" 4000 6290 12312 4133 10250 13650
"200062_s_at" 3911 6197 7098 6498 3159 4291
"200063_s_at" 4046 6334 13541 11430 3844 5103
"200064_at" 10473 1963 5003 2705 10566 5226
"200065_s_at" 8902 2322 1747 1823 2747 3160
"200066_at" 15509 2048 12888 2987 13750 3323
"200067_x_at" 11761 12346 2698 4121 2542 4172
"200068_s_at" 8827 11502 5262 13155 3063 4753
"200069_at" 21654 20184 21526 21068 22176 20113
"200070_at" 14255 21740 12550 16982 17502 16068
"200071_at" 18788 21446 19589 21152 17193 18784
"200072_s_at" 12950 13495 12232 4093 11961 17435
"200073_s_at" 11747 20383 12415 15824 14300 18813
"200074_s_at" 8073 10352 3226 2870 3730 5323
"200075_s_at" 8509 2996 1357 2569 3754 5091
"200076_s_at" 8629 12972 2209 14622 10266 13606
"200077_s_at" 2245 4560 5016 11914 10651 3903
"200078_s_at" 9858 14716 4643 14786 13319 15506
"200079_s_at" 12285 10753 5092 3702 10350 14404
"200080_s_at" 8281 12872 12857 12221 11921 3857
"200081_s_at" 1868 3499 2490 2414 2045 5032
"200082_s_at" 8108 3415 12608 2933 3309 4874
"200083_at" 15531 14679 19369 14764 17414 15632
"200084_at" 11238 14354 3256 4185 12470 15411
"200085_s_at" 8470 4409 2539 3135 3686 2680
"200086_s_at" 8982 12883 1823 3784 10431 4660
"200087_s_at" 10276 12766 12621 2934 14939 3040
"200088_x_at" 3919 6206 12855 6509 3457 14131
"200089_s_at" 8175 10454 3822 11829 11216 3805
"200090_at" 17490 14540 16061 20688 20558 16360
"200091_s_at" 1502 10367 12947 12215 10911 4348
"200092_s_at" 1592 2938 13831 4035 3486 3679
"200093_s_at" 8585 15235 3823 4574 11001 4140
"200094_s_at" 9165 3933 4783 3476 3868 5148
"200095_x_at" 4106 6392 7374 6763 3168 4588
"200096_s_at" 11155 1931 3802 2893 11074 13566
"200097_s_at" 11693 14673 4056 3215 12346 3935
"200098_s_at" 11224 16883 12491 16193 11249 17816
"200099_s_at" 1957 4180 5070 11488 2561 13674
"200593_s_at" 16228 13640 14193 13388 16066 15008
"200594_x_at" 10141 11726 13024 12307 12637 14143
"200595_s_at" 19566 16317 19099 17030 19423 14574
"200596_s_at" 17137 10556 18508 13965 15938 4661
"200597_at" 16137 17029 18318 19575 16992 5219
"200598_s_at" 12001 13537 2292 4076 10917 5307
"200599_s_at" 2413 4331 4153 2660 10799 2202
"200600_at" 8692 2641 6916 7393 11496 13829
"200601_at" 15027 18193 2399 17115 14772 4489
"200602_at" 10861 15123 4565 3278 15184 5406
"200603_at" 9391 14007 3186 11924 11387 3542
"200604_s_at" 12585 2877 3075 1455 13869 1723
"200605_s_at" 15986 10588 1064 821 1239 3332
"200606_at" 15321 15267 5278 4256 12870 14011
"200607_s_at" 16723 16670 3512 11606 11592 17560
"200608_s_at" 13248 15862 14075 14170 14583 16387
"200609_s_at" 10397 12747 4613 11849 3119 4303
"200610_s_at" 9870 13355 4871 14278 14337 15609
"200611_s_at" 10188 14251 1269 4334 14265 13852
