"inst_369" "inst_430" "inst_1013" "inst_1071" "inst_1174" "inst_1233" "inst_1658" "inst_2693" "inst_4457" "inst_5230" "inst_5593" "inst_6192" "inst_6950" "inst_6992"
"204942_s_at" 6331 22059 14946 21434 13246 2237 20309 13358 16199 21627 21640 18915 20650 3152
"204943_at" 21760 8371 11153 18926 14304 12209 12648 941 9919 15359 10126 13348 12247 12051
"204944_at" 8884 14292 20499 1005 17145 11206 16577 18199 3853 1470 15657 9907 3395 778
"204945_at" 16128 6144 10433 9371 14681 16375 13214 9868 10448 14805 632 8523 16330 11481
"204946_s_at" 20941 10518 22193 6313 1786 19714 3851 20480 5955 18642 15768 22119 10234 21899
"204947_at" 755 20611 727 893 17424 18413 1482 22282 14417 20651 20160 21592 9630 20669
"204948_s_at" 20773 16862 8789 15657 681 914 5408 716 17780 16484 12425 8810 12264 8415
"204949_at" 18520 17720 15768 3314 5789 17153 16961 10736 16418 6638 15647 20248 10563 4657
"204950_at" 4315 3826 1504 21867 6326 19221 186 3818 18071 2665 13867 13474 2275 20486
"204951_at" 3555 14856 11323 10430 1232 14121 8961 3051 11069 11738 6545 10914 13075 11867
"204952_at" 1254 22275 12609 5615 11880 74 21614 12735 30 4382 2844 4494 1027 16912
"204953_at" 12941 16384 5873 13390 16113 15987 7935 13444 6624 14483 10061 7942 11564 8570
"204954_s_at" 10852 19049 5533 12244 12099 11786 4620 16325 11666 11841 10349 8526 13666 9713
"204955_at" 2651 4056 1492 11224 12550 1641 17726 21328 14969 258 20979 9262 19134 20749
"204956_at" 3499 3456 10828 14083 942 1585 10490 2463 2921 14240 7873 12995 13745 13305
"204957_at" 17289 17302 16144 4355 2181 2651 19257 6254 13911 18059 5611 16147 5280 18760
"204958_at" 8541 16174 103 20006 134 5113 1826 838 5051 140 19554 18930 13225 9083
"204959_at" 19308 13851 3393 11217 6926 14066 9290 4706 11746 1361 219 14323 18575 12406
"204960_at" 15037 11880 5104 16978 7755 16477 13842 18663 2431 16420 18636 14256 8943 8859
"204961_s_at" 13056 12782 7091 13363 19671 9064 9404 21300 8959 14414 9844 13191 14669 11661
"204962_s_at" 16206 18368 16444 5298 6622 18385 18244 4531 20172 17614 14011 18049 9157 16057
"204963_at" 6989 3041 1030 11510 890 3225 22039 15748 18609 9045 773 12741 5273 19533
"204964_s_at" 12300 5929 9592 9637 15403 6281 12166 12195 3358 9234 12940 10016 20253 9419
"204965_at" 7496 9935 7873 14523 10157 14833 4465 15314 11546 12174 11004 4782 12319 13419
"204966_at" 21815 577 10452 19023 13579 11515 10676 16354 22218 14698 8869 5107 17761 10498
"204967_at" 20919 6131 19881 6743 8650 22159 2380 13039 22181 8731 17984 9490 20843 231
"204968_at" 2040 17623 21590 21780 7856 19296 4080 824 5475 1815 3133 20254 2124 17563
"204969_s_at" 6399 18342 13234 21579 9887 21534 1722 1005 20623 8474 2677 11831 1881 20905
"204970_s_at" 20217 3221 22122 157 386 4609 18179 8431 5794 18582 5016 14486 7637 17006
"204971_at" 13592 12979 14956 12776 18710 15207 4113 17255 9310 19098 2856 13472 19924 5961
"204972_at" 43 4138 9057 16577 298 6295 872 21215 5134 17011 20963 20884 10440 8814
"204973_at" 21316 6330 9414 10775 14102 10744 8930 980 8763 13363 10160 6349 16176 10944
"204974_at" 12508 602 8815 10069 21317 331 13686 966 835 22147 18223 22166 22119 2442
"204975_at" 17817 7364 14298 20841 13967 4697 3292 15304 3260 17389 5544 10064 5459 17199
"204976_s_at" 1833 21171 15504 5255 6943 7711 17580 9149 13855 9392 15113 11243 5838 3851
"204977_at" 17883 2681 19369 2089 1236 530 2870 8298 1454 8875 3155 12118 6333 6437
"204978_at" 5391 17414 389 1154 20780 17099 15912 18468 17984 7162 19371 10564 21281 16176
"204979_s_at" 8008 15135 19136 3985 19173 20311 3341 17082 18218 4021 18996 181 6352 16795
"204980_at" 5071 19498 20362 6950 4565 20658 1479 19386 17639 19968 17194 18123 1504 3565
"204981_at" 6024 19606 1266 21073 183 21728 14310 10192 21296 3933 1865 17811 21960 2713
"204982_at" 22069 14883 18135 8537 18554 2613 2250 9526 4141 3797 13328 11373 20138 2563
"204983_s_at" 5173 979 314 6265 14792 5859 21506 11489 4194 993 2754 4227 1367 562
"204984_at" 4088 803 139 1142 10947 18691 1969 11056 1539 19687 21446 6813 1713 628
"204985_s_at" 17310 17850 20849 7790 1172 8491 20544 4130 15826 21728 1277 20527 6324 6977
"204986_s_at" 17374 2313 1111 15570 500 2853 21093 5201 21069 18481 20275 21285 21320 16290
"204987_at" 13679 4279 3399 10220 15267 142 10856 20152 1233 21150 17213 15301 11678 12442
"204988_at" 4206 16475 4978 15494 13740 15803 9391 2002 10170 9835 8640 8440 11788 15007
"204989_s_at" 5997 5285 21378 143 14211 2042 20227 11269 16479 19670 20106 8394 9497 103
"204990_s_at" 10027 7187 17651 1357 952 4640 21580 955 443 20459 21124 20868 6105 20772
"204991_s_at" 5931 9229 22041 4602 6231 6800 2341 21031 1632 8821 15569 16433 8659 18683
"204992_s_at" 14267 7912 12255 7068 10760 8657 15307 12265 14337 4749 12641 10597 9620 16853
"204993_at" 17980 3494 136 16408 12370 5196 1584 13619 1372 21522 20436 16405 19535 805
"204994_at" 3148 3310 6416 19224 21687 13523 8607 22221 13649 18337 20540 14232 11568 15759
"204995_at" 13028 10980 22164 15890 14181 7201 384 21138 2069 1072 2285 3149 21516 4373
"204996_s_at" 10094 12056 3133 14404 8569 11804 7426 12712 8089 13782 8530 4304 15948 10871
"204997_at" 11362 12118 10498 19498 9852 15145 11899 16905 10165 16013 6215 7457 19027 7127
"204998_s_at" 15462 18370 1932 5168 21157 21411 21752 20920 1210 1271 19598 19832 3341 20723
"204999_s_at" 9467 10348 15876 2729 20301 19877 19537 21902 12256 4984 21991 21788 20847 20541
"205000_at" 9303 15293 11037 10126 14505 9198 12851 11700 1922 10512 7278 9898 11621 12100
"205001_s_at" 6877 15078 8874 9571 10925 9831 12160 17752 10069 15533 8468 567 15525 11088
"205002_at" 16487 22175 17533 844 21761 22137 19188 18774 5662 9246 20586 21778 21692 21555
"205003_at" 4459 21527 6374 16114 20877 19787 6561 10881 17753 5913 2842 16065 6237 15267
"205004_at" 19318 6246 21960 1320 4382 3656 981 8974 1401 6912 17603 16567 4978 2452
"205005_s_at" 13048 3083 19918 2624 14848 839 21240 1993 17635 1369 19285 2277 11034 6307
"205006_s_at" 13199 20430 21459 2293 18239 6613 17093 20568 20900 427 13346 1526 20957 2921
"205007_s_at" 8150 20793 7701 14998 15783 20664 12634 11242 2907 11511 8813 6989 17656 11330
"205008_s_at" 19965 3535 8760 16609 14662 22244 5199 11183 20212 15891 6909 4973 18565 14199
"205009_at" 20212 5780 1605 6966 13917 2549 18176 15899 2244 7810 7815 7657 11058 16691
"205010_at" 204 21072 975 1660 4604 2699 1757 3640 2201 8868 17731 15598 20659 19974
"205011_at" 1257 5050 3465 19307 649 8562 14659 19477 20665 9249 19749 4187 5198 4166
"205012_s_at" 20602 6883 12807 4244 20194 3643 15378 9317 15634 20738 14961 2541 6665 17968
"205013_s_at" 5036 19064 995 19522 18998 3975 6545 17990 4158 21776 874 13249 9712 1271
"205014_at" 21042 1880 3707 10058 16637 1856 12593 7106 593 13491 11855 13470 17485 8305
"205015_s_at" 10382 640 10955 12697 10755 212 10666 16937 3876 16609 7547 9890 17613 13141
"205016_at" 21735 98 27 16180 16945 453 3945 5363 142 7068 14854 13825 19868 16342
"205017_s_at" 6904 18400 4556 16154 16061 7439 439 22192 18106 14045 21715 6710 17057 8542
"205018_s_at" 10015 21982 15642 15125 16689 21361 2884 938 22102 647 1825 7200 934 20574
"205019_s_at" 11148 524 13196 16317 12734 14344 20023 13002 11018 21551 965 6662 2445 16069
"205020_s_at" 1449 1794 21114 21688 20438 4838 14764 3131 1713 9201 20355 16981 5184 3816
"205021_s_at" 14377 4436 11805 11966 20946 18150 19827 3517 21232 985 14227 2260 13329 15151
"205022_s_at" 13695 531 13902 8322 6822 1441 18844 18782 2571 1606 2946 13887 5451 20487
"205023_at" 13027 14504 5172 15754 1012 10078 10731 18899 1658 758 5419 12861 8049 538
"205024_s_at" 4711 1486 16051 8196 4330 18657 3466 5403 15973 7627 15870 14855 19758 16227
"205025_at" 695 20635 22157 15385 22213 3573 15860 7338 17877 931 16524 18329 22141 55
"205026_at" 16127 15283 14589 21166 12536 10478 16296 5680 11710 7418 5064 16251 4425 22010
"205027_s_at" 7797 11216 9102 19011 7076 12100 13165 4324 521 324 21977 14664 19320 4721
"205028_at" 9273 13867 11698 19920 16448 14024 12918 10003 5006 15490 11526 3607 11901 15223
"205029_s_at" 9261 15531 11263 11329 11911 12949 12441 16153 9708 15223 8768 8677 12834 13685
"205030_at" 21448 21472 2895 13933 9316 9512 11399 16130 7514 10109 4129 9838 14768 12320
"205031_at" 8125 12829 13623 944 10144 3758 17972 12904 5448 14809 18400 7143 22064 8748
"205032_at" 15251 9724 13033 6645 21413 522 423 10394 44 18198 3049 265 4556 19942
"205033_s_at" 21654 21136 9599 17211 18611 14948 12049 16747 11818 15135 6343 568 18184 13887
"205034_at" 16696 6423 16870 20460 7275 20971 16404 5686 18014 3989 12227 14940 4882 21017
"205035_at" 4603 19966 22091 3456 6301 3130 21960 20302 21694 8153 15274 1355 4906 19003
"205036_at" 15903 9452 21004 3741 3645 4898 18492 3607 13213 4533 4334 15096 1643 2480
"205037_at" 1176 18033 12386 6035 21254 17286 3268 9752 14829 18182 13064 20539 6987 18283
"205038_at" 22135 13741 6083 14025 17789 12019 10339 6023 10561 10399 10728 11193 11280 12949
"205039_s_at" 3080 9457 11366 12288 5097 4964 14025 8983 16807 20700 22033 3689 15596 3840
"205040_at" 489 11085 4082 16265 18086 9634 1882 21209 2501 15953 11921 17829 13082 13176
"205041_s_at" 17405 13859 6365 12053 7330 16263 5384 18975 11190 11283 7432 14734 17092 7524
"205042_at" 5109 1475 21574 5497 7644 18528 353 3999 15020 592 15718 17507 4029 1496
"205043_at" 9606 12209 6564 18547 13003 10405 11160 19932 11253 14792 9270 5081 17970 11935
"205044_at" 8631 13232 5243 11026 14827 10630 11705 18435 8615 10319 10769 9021 6493 15076
"205045_at" 19235 17759 14760 1938 20685 3801 20374 22046 18368 4681 4985 20855 7088 4201
"205046_at" 18869 7199 18032 3636 18393 21579 20608 10649 18245 8663 16797 14941 4871 5770
"205047_s_at" 16297 21766 15589 20726 8161 2642 16317 17758 14140 17604 17184 17625 3371 16386
"205048_s_at" 7018 96 1463 3843 17510 4230 2421 22155 18776 2405 5616 20870 1079 21840
"205049_s_at" 20644 19077 8341 10443 13626 19896 6593 2386 2379 16305 254 10457 10911 13582
"205050_s_at" 7543 20738 13667 16465 2013 2688 20101 20839 16657 1006 12386 13199 16363 16072
"205051_s_at" 11705 10252 8155 12269 10849 12201 9293 4405 4226 20841 1366 9130 9208 14733
"205052_at" 21324 5485 14081 21943 21396 3924 19627 8265 15455 4876 20089 3634 867 1510
"205053_at" 4957 19251 17600 5829 2152 17909 15526 17176 18905 17374 14364 15227 8162 17576
"205054_at" 11971 2589 330 12408 7154 1520 51 19041 20921 4133 739 736 9472 1143
"205055_at" 17299 10442 18013 8888 17458 7365 17884 5038 15629 7629 16142 3687 8810 5705
"205056_s_at" 12247 16157 10607 14852 9784 15670 9621 12639 11212 13360 9314 8829 14506 13043
"205057_s_at" 8513 13418 5995 14057 11881 14009 10157 11192 8387 14721 10387 6657 13656 8007
"205058_at" 2647 19271 3907 19116 10411 10989 5680 13503 8629 11626 1725 1196 18761 8231
"205059_s_at" 22164 3866 6251 18406 6968 12267 3838 20575 21549 796 457 21947 18047 12444
"205060_at" 20387 118 14584 22263 2788 18793 21987 20696 12470 17683 15791 21653 1996 236
"205061_s_at" 2798 6092 15847 20304 20922 1109 15056 7952 20383 18127 21053 20632 5895 17041
"205062_x_at" 18013 4862 19187 1083 21243 18061 17951 19283 20384 18332 13821 17642 374 3097
"205063_at" 21216 3774 11985 771 5230 7603 18127 17451 11875 1910 18244 21077 4419 20359
"205064_at" 21851 2383 11125 10061 10441 3606 7324 15367 15937 19758 15568 19492 12041 620
"205065_at" 12349 12085 11214 10345 16751 15358 5055 14556 2650 9662 2402 8996 16401 14497
"205066_s_at" 7277 20689 17982 668 15379 18082 21693 522 13078 6419 4272 190 21070 17965
"205067_at" 19710 511 1446 20003 21668 21 15292 20280 22 19133 20338 19447 9207 14751
"205068_s_at" 13510 211 18768 18142 19440 23 14162 10176 20 9161 20682 12194 653 20766
"205069_s_at" 5282 10881 7668 18341 19678 4173 8864 22210 27 14218 5334 16946 13017 57
"205070_at" 16319 19844 20604 701 17715 8599 20506 4768 19740 19549 17046 17867 21710 16839
"205071_x_at" 10520 12778 16821 20179 20636 19267 20050 21776 20627 21014 19746 16755 3823 20447
"205072_s_at" 17772 12244 13405 21737 21877 21613 22198 17570 20491 17072 16127 17649 3284 19590
"205073_at" 8414 15982 1772 20231 1893 5565 391 2221 3775 890 20465 3441 21050 3826
"205074_at" 19736 2139 17936 3136 11310 135 3221 21296 134 4393 4397 353 9433 19603
"205075_at" 1699 7831 10588 17485 16584 11520 6287 16339 12454 14601 16751 2325 11666 14699
"205076_s_at" 19672 981 22027 6355 5034 19889 21074 8420 16116 8577 3014 11533 22023 4233
"205077_s_at" 14907 6978 18648 6512 17973 5668 17084 2366 15970 5551 4850 11418 6038 5584
"205078_at" 20573 2162 19147 20711 4256 9055 2151 6181 17895 2498 15905 17828 4331 2869
"205079_s_at" 20548 6624 18360 21515 1483 3166 17723 21499 14647 4153 4698 569 20108 18577
"205080_at" 20464 7360 6681 10392 9262 15460 10804 13528 10068 16809 11613 5360 17767 7416
"205081_at" 7954 7918 7832 19996 6001 8504 537 19907 19441 1019 2943 17354 21776 15537
"205082_s_at" 13047 21825 1392 21131 8308 5396 20818 16624 21299 507 2492 2976 5445 17623
"205083_at" 10952 5461 21061 4213 16200 21287 18856 12836 17349 18902 3676 5696 19844 21263
"205084_at" 4231 8482 19655 2262 5585 17865 1953 4429 19316 478 20169 14321 5222 16655
"205085_at" 1682 9489 20180 21018 2258 22037 1801 5063 19894 4752 17733 3935 20856 18541
"205086_s_at" 19002 6099 12867 5174 20219 18820 17560 9709 17791 2822 2947 21086 8437 21040
"205087_at" 21641 2046 14630 4992 22188 6949 3981 3825 13327 3336 14540 21847 9725 16002
"205088_at" 18706 20724 1645 8176 13178 20000 21734 15374 19107 21334 2905 12125 8252 17208
"205089_at" 14952 20305 1679 21467 4205 8171 17885 1400 4200 21008 4148 14457 21437 2558
"205090_s_at" 18861 21805 13549 8974 19455 2672 20956 19121 20111 19793 15602 11755 5326 18807
"205091_x_at" 21612 1921 2050 20347 8246 5769 19733 18320 13488 2605 15272 12151 3694 3055
"205092_x_at" 9233 11363 6472 9766 9012 8920 8483 15638 2372 8158 21121 14619 16338 9181
"205093_at" 11937 12776 19707 7499 12371 6494 1594 20766 3681 5770 19339 7574 877 21625
"205094_at" 19421 19465 2398 8631 4725 20159 16457 7841 18575 7516 20011 21212 11085 21296
"205095_s_at" 11767 13165 18932 20514 77 9890 16520 1654 6697 867 5398 3151 6235 16851
"205096_at" 5473 7034 20897 16557 20936 3965 14746 2569 869 21838 22171 22003 21698 19938
"205097_at" 13567 20196 17809 12152 1787 9020 20612 9204 16014 19762 20665 20905 21216 10
"205098_at" 19525 20412 10092 13885 21759 16448 12475 5718 7488 15846 11886 20230 14915 7719
"205099_s_at" 20771 11865 5906 17342 19912 10011 4463 6483 9027 13341 7016 21214 5957 10967
"205100_at" 20737 7797 21645 15480 17239 5076 16011 9091 2598 21709 808 20878 8185 196
"205101_at" 7525 12655 7826 9583 16942 15096 5420 16046 7428 14185 10211 10416 11789 12959
"205102_at" 2029 9748 13182 1385 15544 13725 383 21673 3930 20490 20905 6903 21149 977
"205103_at" 1874 10295 11006 19165 486 19660 10870 283 15093 21200 21661 1792 16035 8886
"205104_at" 10752 18313 5387 10351 12351 22073 5112 12347 6119 13069 6635 10601 16436 7928
"205105_at" 17798 21548 21393 3210 2848 19966 15938 3791 20535 4188 4895 18311 3884 5374
"205106_at" 13324 15285 7875 19733 16648 1169 12933 21142 21893 1306 21451 5370 17600 9129
"205107_s_at" 8131 20217 705 5815 16901 21011 20960 4373 16684 4149 17728 21707 5389 18966
"205108_s_at" 18712 908 5742 10181 8670 15626 8145 16774 8290 10047 9963 4469 15831 10014
"205109_s_at" 8549 755 237 9832 16033 19527 20502 14460 4864 21264 1491 4352 19032 11834
"205110_s_at" 1583 17037 835 10536 14033 15501 5084 11184 6041 7728 20916 10019 10667 15412
"205111_s_at" 10846 1864 3382 12598 11267 1084 5960 18869 702 18348 3680 19842 17539 12672
"205112_at" 12400 2740 9806 14497 14496 470 5436 12209 266 15835 8658 8254 18305 12684
"205113_at" 7647 4676 10947 10512 9950 9620 12073 18399 7853 1417 12850 788 12077 13789
"205114_s_at" 20826 14952 4844 19598 20264 15176 6834 17340 10932 14471 6624 20843 17563 15051
"205115_s_at" 1447 4343 20202 1130 908 2994 355 8071 13778 20658 14433 17748 21531 17617
"205116_at" 7524 11958 4679 11272 13549 2693 9828 20450 21184 7459 1293 15491 1410 11581
"205117_at" 12016 22033 10160 16327 10384 2579 9888 11426 21960 14887 11529 6581 18835 13331
"205118_at" 13367 15907 9112 18035 14194 12880 8069 16239 11048 16283 8894 9707 13676 12153
"205119_s_at" 3300 2906 4942 10792 17501 11275 7226 17777 18209 11275 9316 19160 12148 8030
"205120_s_at" 1322 17130 14478 5472 4847 17604 19840 19764 19674 18898 18121 20120 6733 16187
"205121_at" 8844 7162 10501 16808 14081 4560 5517 8664 1835 18570 22055 1486 12748 808
"205122_at" 13342 3226 20994 11271 15655 6052 16332 13893 19621 3963 21822 9223 730 22035
"205123_s_at" 13309 12919 10558 11442 9972 7361 7217 11329 17276 704 968 5128 13771 11373
"205124_at" 12018 12228 10197 9201 10440 15378 4887 21555 8650 15934 8569 9039 17391 14524
"205125_at" 70 17188 10401 13865 1889 4825 12966 11231 21262 4 771 20976 16704 7944
"205126_at" 18946 7714 15226 21279 5799 19635 14784 5305 21478 16952 17690 15213 7961 6473
"205127_at" 8783 12942 6645 9467 13989 13881 11927 20099 7103 16147 9724 19725 12228 13866
"205128_x_at" 17732 19167 6753 11749 21429 11145 10004 17705 9971 20993 496 18724 11500 12124
"205129_at" 18609 16771 1564 34 950 477 2141 183 3813 1290 18297 10504 6104 21930
"205130_at" 21890 21947 20742 215 14120 19692 601 9681 19494 3413 1045 10029 1257 16151
"205131_x_at" 3709 16132 22007 7841 21920 12303 21048 17638 17521 19756 737 3618 6216 6911
"205132_at" 15500 1728 4968 17814 5028 15461 1530 7721 687 50 465 8467 17674 7999
"205133_s_at" 19052 16825 2178 4114 5915 3294 18809 2302 14507 3554 13601 11484 20547 6630
"205134_s_at" 18761 20779 17141 6201 18397 523 14444 19747 1784 4522 15050 21449 1080 5862
"205135_s_at" 694 9974 1545 7167 3558 2263 3017 17857 2275 3379 3102 11194 6892 2105
"205136_s_at" 3031 3782 20847 21179 543 442 21440 8583 213 2158 14902 21006 4251 1387
"205137_x_at" 13128 12753 3323 19385 10560 9559 6782 13409 11695 11480 10848 1591 19283 14635
"205138_s_at" 9973 15024 19709 7089 15504 15230 15359 13610 223 21904 21901 8909 9787 6145
"205139_s_at" 1473 10216 18730 5721 3777 1763 18430 7546 4701 6107 19183 1969 1656 3799
"205140_at" 13604 7254 20310 1946 21812 21560 19506 10923 21294 2689 18237 21300 1475 19298
"205141_at" 11712 2191 6951 18936 10902 17209 7355 1126 17197 15273 11369 9445 19362 11928
"205142_x_at" 5532 4732 20758 21959 21867 3031 21064 22213 12397 725 2188 10837 2303 22159
"205143_at" 9789 1585 5123 9827 16649 10498 13105 11037 6827 16175 7520 8769 17404 11341
"205144_at" 4727 9838 11736 14993 18602 12612 6908 17896 285 12751 43 3348 17683 13118
"205145_s_at" 3389 16937 20655 21749 17713 19670 22009 1982 20450 2793 19636 12500 1571 1093
"205146_x_at" 6294 11574 11807 15340 14097 13489 9180 18871 18995 18420 13741 1053 15427 14544
"205147_x_at" 1240 14969 6669 16524 7332 1377 5339 19389 2087 17942 2357 15267 12621 888
"205148_s_at" 422 19396 8242 18563 10124 21631 5927 9783 21820 19604 21342 3854 15888 13487
"205149_s_at" 11646 15461 6814 13942 11891 9471 8013 13206 22234 11116 8232 7401 14088 10095
"205150_s_at" 7792 17809 6143 17403 10065 16578 13043 11938 5833 942 11563 4094 13320 8772
"205151_s_at" 20856 18717 11188 18826 15501 7350 12222 15948 10139 15073 11923 7339 15900 9942
"205152_at" 15376 12548 7414 13018 11857 14200 7797 15259 8401 12216 7450 9104 12520 10855
"205153_s_at" 6135 5891 7240 14549 12314 15865 9484 13256 10357 11986 7956 4884 14176 10172
"205154_at" 12614 11520 8934 11671 10391 13039 12086 14817 638 15504 6264 7913 18353 12754
"205155_s_at" 5900 1577 3638 10773 16784 16635 11859 20887 13886 236 1793 4611 18725 8403
"205156_s_at" 6630 16576 15149 15467 3425 12870 17727 8238 6352 239 20373 1708 17105 14685
"205157_s_at" 12165 18748 2755 10057 13601 5528 12927 11383 10977 22075 22133 4795 17520 2975
"205158_at" 5835 7012 3967 18309 8381 916 6430 15430 18475 15394 6328 5624 17240 8091
"205159_at" 20412 21368 11691 17234 4540 16613 5533 4945 11132 13219 8595 20933 15941 14746
"205160_at" 2003 22180 13546 2749 21649 3920 20820 3183 4478 20701 20231 6431 7821 18316
"205161_s_at" 11211 12221 15132 403 9541 2135 680 12679 2989 5577 21474 7508 5165 21870
"205162_at" 10967 9239 17852 7803 17806 3169 20779 9258 14845 3181 5401 18286 6954 1503
"205163_at" 11025 20759 3290 19608 10030 12622 9317 12961 155 13676 9059 1081 18999 8275
"205164_at" 2020 14903 608 21182 5389 21071 21224 17627 18129 464 18350 3581 20508 2484
"205165_at" 6882 15693 16978 828 15356 14702 2289 21292 3435 1759 18006 21324 20092 17874
"205166_at" 5065 8217 20561 10489 21264 21277 2196 4468 15867 6732 18620 2991 9868 969
"205167_s_at" 1239 20060 12384 7879 6628 20805 15054 2773 20965 8873 18107 12262 1113 19155
"205168_at" 10373 12600 9628 18612 11466 15547 9455 16923 5628 13840 10196 9390 11810 13367
"205169_at" 3247 6366 931 2724 934 8879 14015 18560 5937 3991 16432 11732 5734 4834
"205170_at" 3429 3119 2186 16691 17355 3127 9526 17673 16110 12880 19399 21560 12557 11567
"205171_at" 20458 2318 12438 2910 536 322 18665 1545 178 5597 2726 20791 4049 16725
"205172_x_at" 1787 20652 12554 1364 6423 3401 17208 20004 17777 2453 12392 11087 8782 1290
"205173_x_at" 21746 7246 19604 6054 19987 6593 3258 9668 5164 17320 4074 15051 4285 4522
"205174_s_at" 11235 12779 6249 12292 568 14743 11015 20257 11653 20412 20572 21050 4957 20063
"205175_s_at" 9012 14498 7777 12112 11665 14986 5748 12099 14218 827 2886 7678 18693 15367
"205176_s_at" 14835 17022 14600 4226 8197 19391 20771 7698 19531 6748 14701 13478 10545 7048
"205177_at" 10853 12144 6314 15705 12860 12402 7789 16635 6683 11874 9821 4476 13765 12576
"205178_s_at" 21131 18427 18231 827 4369 4324 20711 3370 5378 20079 4262 17537 6713 6390
"205179_s_at" 13880 10514 4687 10969 16596 17880 12554 12048 4435 13461 11685 1464 19096 13917
"205180_s_at" 6414 19856 12906 11724 21835 705 8335 18503 996 15046 238 10239 452 6261
"205181_at" 20652 17190 20496 1341 2177 8342 21525 17531 15410 21414 20325 14066 1064 5306
"205182_s_at" 12665 18193 998 4369 1750 21211 22168 9218 18770 529 19986 21482 22225 21991
"205183_at" 9668 14311 4239 11981 9669 12936 12658 9799 18379 15884 2613 8439 17584 3316
"205184_at" 17353 1060 822 12722 21121 20889 340 5865 18934 21987 3668 17205 277 16607
"205185_at" 8011 21918 10668 12772 13648 16249 1930 12727 21747 21313 15280 5723 2057 15549
"205186_at" 8217 11645 7819 12909 12480 13446 12458 13118 6604 12847 2836 327 1180 14167
"205187_at" 12385 6075 12038 8497 2594 6821 19248 3468 2585 3512 18193 4256 3038 22250
"205188_s_at" 11507 2822 2092 6508 17876 2436 18212 2088 1698 4114 20575 17399 20091 17614
"205189_s_at" 19261 4889 21987 15298 21327 21204 14693 21136 4797 20590 2259 2829 10811 2030
"205190_at" 5015 7837 15731 6745 6134 1687 15648 2340 4595 2442 13593 19571 5068 4210
"205191_at" 4398 3436 17798 16361 4832 8478 4345 919 15123 6208 21064 16278 3210 152
"205192_at" 8055 5508 19110 7123 4902 19365 16323 18795 21153 21304 1418 18845 22039 21474
"205193_at" 10840 20933 7340 11768 19725 21708 18575 19849 22165 11540 20439 11789 19291 8749
"205194_at" 2815 2867 14304 4734 20836 2772 3223 19536 20617 1918 20683 21891 8518 17005
"205195_at" 6513 2831 13969 4121 13 1456 864 6353 21748 20198 15543 21549 3563 17126
"205196_s_at" 212 390 16737 8191 178 17563 19903 1014 21522 6088 3213 14820 3126 6331
"205197_s_at" 17072 2897 20031 7264 17638 4992 1120 4002 705 3339 4593 2661 1453 19643
"205198_s_at" 17328 8831 20614 8979 1092 851 4402 3714 20340 17128 3462 20096 1772 21759
"205199_at" 18797 18966 8641 17031 16582 3912 12614 11290 1073 10665 4812 9611 19189 7140
"205200_at" 9792 13949 7632 15227 17123 9859 13490 6796 3067 14009 20351 3568 4496 6255
"205201_at" 111 18262 930 1583 16483 2696 13949 12181 18454 9001 3442 20474 18851 1137
"205202_at" 5346 7073 16836 4415 7451 8719 21697 5253 14958 4667 14349 15906 7815 18202
"205203_at" 21687 9092 11090 13448 5551 13456 10385 3133 22075 242 1155 19506 12082 14356
"205204_at" 20850 1949 19163 8621 19748 20820 14857 2814 21027 6354 19128 12782 6662 3358
"205205_at" 1037 2460 4018 11986 18530 721 284 18504 19742 15759 20925 18627 16557 15152
"205206_at" 10378 10146 10790 14138 8304 2825 11393 12988 6264 12380 7183 4974 12713 13451
"205207_at" 1927 17548 4333 14438 17125 167 6218 12744 4954 10222 6292 9872 14164 8163
"205208_at" 843 3090 5992 11356 10433 14750 1131 12903 9813 11184 19194 2345 17541 13097
"205209_at" 4629 5637 11 10654 22160 14079 8954 2446 629 22031 16688 22183 21269 22226
"205210_at" 320 256 12463 1421 20005 1985 20100 18547 154 17444 16897 2034 21534 20963
"205211_s_at" 1778 20942 2143 11300 961 21385 18461 1992 17860 22128 342 10835 21358 16601
"205212_s_at" 5315 21956 6713 17268 21326 11437 13463 263 3360 15600 17685 20043 8912 8207
"205213_at" 7848 16193 6016 10018 2655 12034 8059 20599 10195 12965 6123 1362 11281 11552
"205214_at" 14421 3007 17613 7439 6102 39 3710 2133 796 3767 16650 14560 20787 500
"205215_at" 10076 11917 18984 11439 19564 2669 645 1404 1157 21537 20499 12106 19556 21677
"205216_s_at" 13120 4378 4705 19452 15477 10901 9015 6091 745 15599 8821 10798 19164 9059
"205217_at" 3467 574 18526 6795 19422 6948 20971 5265 4962 19947 21215 10419 9307 17809
"205218_at" 21263 418 20571 1770 20882 1112 21278 20574 1722 2684 16631 15079 3697 2449
"205219_s_at" 16034 3675 14111 1750 17478 2895 17903 8374 18769 4930 16322 15884 4130 18012
"205220_at" 19929 15346 11462 12278 21265 4448 12389 18849 4094 1023 1853 986 12731 11426
"205221_at" 8527 13109 10923 12540 13789 13971 4855 15192 11552 6790 8741 7774 12446 15544
"205222_at" 8762 15326 22186 11936 13577 7847 3861 1226 19454 4641 19723 21516 22241 20954
"205223_at" 8522 13519 618 12233 12324 16547 13601 6312 20213 2056 3753 1991 12306 13505
"205224_at" 9717 13456 19516 5093 7203 2473 2463 19462 12983 3818 16608 2681 4875 4825
"205225_at" 22009 19387 18070 4627 15316 20527 3744 14020 14193 7527 14715 274 5529 6640
