"inst_369" "inst_430" "inst_1013" "inst_1071" "inst_1174" "inst_1233" "inst_1658" "inst_2693" "inst_4457" "inst_5230" "inst_5593" "inst_6192" "inst_6950" "inst_6992"
"200085_s_at" 16003 10065 14264 3930 6224 8724 4029 10175 16169 19015 14193 12445 8835 18343
"200086_s_at" 14374 10247 12943 6033 6672 16772 16682 4733 13722 18814 16636 15259 7324 16226
"200087_s_at" 15937 6920 12819 7317 3950 4014 13853 4996 5856 2877 12931 18992 4404 18940
"200088_x_at" 16962 19181 5694 20625 17873 18485 4135 12414 7961 17899 7888 5884 20563 16105
"200089_s_at" 15819 6780 2135 5915 17898 7161 14097 12571 12549 8889 16271 10137 9439 18254
"200090_at" 15605 1724 21318 2119 19010 4883 22251 4020 5489 19627 14495 14841 21260 6517
"200091_s_at" 19078 2655 1056 20848 20178 8475 13963 5409 12621 5039 16743 11875 7981 18636
"200092_s_at" 15688 5322 6099 3347 18318 8117 4432 12548 6197 6177 8078 6024 20417 16951
"200093_s_at" 14380 8004 13593 2153 17593 7371 16460 4579 15175 9232 14103 16738 7294 17721
"200094_s_at" 15697 5179 2011 6153 19044 6618 15953 17951 14139 17003 3144 12297 20256 17695
"200095_x_at" 3901 17739 5627 20402 17773 17045 3390 12603 8129 8307 8146 6069 20627 16081
"200096_s_at" 14466 6175 20667 841 18128 18506 16536 4588 15751 17117 20211 19610 6716 18537
"200097_s_at" 19327 7318 14753 7624 5076 17635 3116 4475 6228 3021 12326 15446 6067 6770
"200098_s_at" 5038 8187 13038 5485 6503 16786 20268 5222 6283 7421 14867 17317 9547 16365
"200099_s_at" 14745 3998 5881 8997 19382 8666 14041 12550 8087 12213 8083 6025 20784 17631
"200593_s_at" 14942 17129 1619 8126 18159 8012 16068 8656 5384 8256 5012 16928 8004 6169
"200594_x_at" 14900 9671 12389 20070 8019 16705 18225 9244 6404 6495 15674 17384 8841 5094
"200595_s_at" 17287 3069 14935 5369 8167 4834 4367 5673 5678 4310 18291 19332 6156 5658
"200596_s_at" 19042 1840 14230 3455 19983 649 16167 17057 13869 6636 5635 19235 19806 6468
"200597_at" 20414 88 15912 20928 6549 4851 1202 7982 4730 3257 17508 18783 20018 718
"200598_s_at" 17195 6037 16290 20240 6762 1381 16837 4194 4168 8927 5360 12873 6394 6708
"200599_s_at" 4116 3256 2565 20615 2135 1280 1136 2262 5772 7307 15807 17142 7854 16163
"200600_at" 14874 17742 11593 18963 7930 18418 6582 4615 12108 16588 11625 16901 11924 8419
"200601_at" 2224 20388 15365 3357 18916 1962 19161 1189 15393 21424 3551 20989 10092 21367
"200602_at" 20606 4953 16271 1584 6487 7513 2857 8470 14050 3108 20843 19696 19456 6099
"200603_at" 5675 5104 13921 9004 20014 3864 16192 4274 12173 4792 18386 18379 6899 2343
"200604_s_at" 1027 19428 15672 6562 1420 6432 3316 18432 20694 6872 13566 20886 3212 7059
"200605_s_at" 3269 9238 11961 2633 5911 4022 14412 2849 17937 17402 5226 12482 4820 19983
"200606_at" 858 20007 11904 5334 10403 3956 3669 3674 16311 4914 12475 14749 9312 5653
"200607_s_at" 3517 20589 13081 7095 7322 19758 15124 10542 6327 19232 4083 11701 5124 17962
"200608_s_at" 18502 2390 14848 2565 19522 7341 14079 3268 12769 4847 15793 18302 4974 5759
"200609_s_at" 14550 17164 13201 20227 5071 4710 4355 6251 16191 9456 4271 15240 9605 5537
"200610_s_at" 3658 6583 12031 2342 3721 1668 16607 6888 2567 6953 14938 13580 7253 17003
"200611_s_at" 15067 8142 14582 1926 2469 5461 14010 7223 18527 7382 15448 13139 10513 16261
"200612_s_at" 16024 3445 21822 110 592 5042 16289 3320 19024 5471 21076 11239 7542 19842
"200613_at" 2222 5574 14775 7369 3526 8239 3828 6125 15921 6911 14215 17712 7984 17127
"200614_at" 13564 10093 2625 9026 19561 18387 3250 8211 15820 7039 14157 12234 10132 17542
"200615_s_at" 4973 18063 17525 2826 6718 17179 4108 8605 16775 18934 17976 14073 8268 2277
"200616_s_at" 15476 1566 14575 8824 7269 5992 19131 10307 2871 19088 13409 13816 9119 18994
"200617_at" 1427 21163 12732 1448 7938 5260 17837 10093 5903 7199 14564 3172 19470 3065
"200618_at" 16407 18189 14381 1292 2958 18812 3758 1974 12498 9518 14242 17491 6069 20268
"200619_at" 16157 17557 12931 4540 1981 4925 14475 3582 5821 6561 3861 18246 7920 4330
"200620_at" 18495 9796 14722 7038 7853 8689 17523 8585 18505 7207 12744 15353 2341 5157
"200621_at" 20984 18458 16174 2580 7374 1473 19067 6926 5422 3006 13699 16330 5242 2275
