"inst_123" "inst_255" "inst_374" "inst_1396" "inst_2079" "inst_2242" "inst_5797" "inst_6271"
"1007_s_at" 4128 4162 7866 17663 19103 6948 8935 4420
"1053_at" 15757 19163 16433 18429 1460 19238 6991 14628
"117_at" 11578 5023 9715 749 11098 10190 14553 10887
"121_at" 3378 3355 10633 20096 7609 1838 10013 19950
"1255_g_at" 11730 16196 11914 13039 14521 13238 10906 9450
"1294_at" 15598 19111 9860 3536 3344 21257 279 18088
"1316_at" 21475 20849 480 17540 13849 1475 1859 20785
"1320_at" 20173 707 135 5791 10512 12374 11906 8324
"1405_i_at" 9082 12673 15322 19297 13629 14712 5743 12901
"1431_at" 12072 18307 17136 12012 18557 22051 10735 303
"1438_at" 2930 15475 1915 12743 19725 20413 18175 14699
"1487_at" 4373 7014 4654 2221 3546 9165 3023 4626
"1494_f_at" 4579 1663 1189 21930 16104 19783 21119 19926
"1598_g_at" 15524 2228 8638 18386 6687 16686 3136 17805
"160020_at" 2947 679 19694 1594 21542 20033 10081 1351
"1729_at" 21502 15901 5591 22107 8110 6878 7651 16633
"1773_at" 10214 17015 2337 1028 456 17079 4635 21498
"177_at" 6723 7994 12920 1137 14958 5795 12698 13892
"179_at" 15319 19475 7300 17100 188 2913 1438 257
"1861_at" 19509 7301 20284 17538 19271 18379 8273 20593
"200000_s_at" 16551 15279 9773 635 7587 19896 4928 18459
"200001_at" 1132 6557 8882 2809 20961 7093 16273 19025
"200002_at" 15741 7898 11508 2703 7849 17599 8345 14727
"200003_s_at" 14791 7953 9572 3288 18607 11509 12177 5763
"200004_at" 19415 14216 20453 16362 19560 8659 9883 17485
"200005_at" 4739 8520 7935 2481 3019 17171 8814 14286
"200006_at" 15566 18460 7276 18829 8923 6399 8566 16990
"200007_at" 17824 15621 10653 17146 7902 8667 10367 16146
"200008_s_at" 15408 8571 10400 4554 1325 8997 5893 16585
"200009_at" 15805 18535 2695 17179 6552 16105 16779 14329
"200010_at" 15791 16599 9647 990 6206 17529 16717 16324
"200011_s_at" 15155 17798 2027 20508 8916 7993 18658 14390
"200012_x_at" 19777 8090 20472 15466 20205 16251 19523 4283
"200013_at" 16779 19789 11399 15962 6910 15826 10451 5775
"200014_s_at" 19112 8248 6887 19301 9202 5118 16846 15234
"200015_s_at" 18677 15691 9651 1867 4005 4956 8928 18801
"200016_x_at" 15371 17784 12469 20415 8167 8932 17195 5323
"200017_at" 19796 7867 3986 18508 18729 11538 10169 14454
"200018_at" 14524 7949 4824 17072 18459 11574 9792 14148
"200019_s_at" 17700 4454 19759 2760 8842 9218 9944 4517
"200020_at" 14852 16417 4904 2670 20943 8871 7168 15153
"200021_at" 14335 18623 20036 3168 19774 11340 16437 8885
"200022_at" 16483 5724 12235 4149 18859 15997 8626 5682
"200023_s_at" 3855 5980 10760 16278 9484 7895 7542 18041
"200024_at" 2133 17378 5970 15938 7738 7586 10079 15136
"200025_s_at" 15195 17071 8619 4663 18238 7519 10654 5462
"200026_at" 14210 15032 11877 19613 18367 11612 10435 16978
"200027_at" 17811 14667 8853 19750 18143 8130 6324 17118
"200028_s_at" 20532 15082 4207 2173 4931 4941 18027 14597
"200029_at" 15571 14209 21379 2628 6772 16079 18780 15551
"200030_s_at" 16711 8672 6894 3774 6522 16594 16780 14117
"200031_s_at" 4498 5560 11874 3176 7713 11534 16553 4686
"200032_s_at" 16543 16203 12692 19293 7798 11338 9483 15086
"200033_at" 18392 8093 10617 21878 6810 7450 9023 15936
"200034_s_at" 17269 17896 10435 1442 9409 17144 16981 15743
"200035_at" 15368 21159 11049 298 7590 6580 20717 1875
"200036_s_at" 15934 2552 10014 16413 7353 9270 9350 5579
"200037_s_at" 17961 18036 12452 20834 8486 4448 7792 18350
"200038_s_at" 16426 6786 7736 19353 7644 15747 8916 5529
"200039_s_at" 4301 3697 3353 17987 4805 7764 8245 17970
"200040_at" 3717 18304 2776 16422 18450 18050 9315 15715
"200041_s_at" 19305 14812 11887 16156 6438 7909 8647 15177
"200042_at" 16684 20226 5637 16692 7701 7098 7466 19127
"200043_at" 20522 19042 7552 2019 20223 7191 10316 5015
"200044_at" 14866 5834 7994 20217 7014 16073 16434 4922
"200045_at" 14104 2962 6888 16869 6765 16839 8489 16236
"200046_at" 16100 19313 5915 16213 6560 8534 16903 19257
"200047_s_at" 19570 20706 9377 22043 7340 5681 8260 15133
"200048_s_at" 4505 15499 11031 17353 7453 6407 8589 16860
"200049_at" 4324 2519 3384 1562 19302 5709 17997 20111
"200050_at" 18954 17429 7696 18602 5494 1544 2429 4299
"200051_at" 641 5191 19335 16585 18280 17857 9574 15077
"200052_s_at" 15924 6836 4387 3535 20396 8885 16810 18259
"200053_at" 1942 17611 8709 2863 6025 5893 1192 3888
"200054_at" 3730 3932 20382 17855 18339 18372 8692 15642
"200055_at" 4613 7576 393 4143 19080 7944 10263 5295
"200056_s_at" 1221 16389 19687 22032 9515 6191 9954 17960
"200057_s_at" 15982 17747 4025 17526 20134 6473 17856 15849
"200058_s_at" 4857 8674 12091 18168 5784 19611 7654 3745
"200059_s_at" 17302 21161 5310 17533 8644 7891 10385 15011
"200060_s_at" 19081 15377 10051 15840 4259 18280 3262 14608
"200061_s_at" 14984 6427 12480 15903 18716 11348 12207 4701
"200062_s_at" 14730 8924 12073 4533 19291 11525 12174 8546
"200063_s_at" 19500 14439 20132 21485 18212 11373 17224 14562
"200064_at" 16260 8861 7063 2611 8640 15943 8884 16001
"200065_s_at" 16286 5190 6904 3986 8758 9199 17151 16296
"200066_at" 20275 2397 8022 16501 4850 18446 4521 20068
"200067_x_at" 14582 15922 5984 16988 7514 7138 8584 15739
"200068_s_at" 16767 6286 7922 3221 8483 8246 10052 15143
"200069_at" 21623 16636 20681 18787 18574 5873 4089 5734
"200070_at" 15251 15821 95 21623 21398 8858 1670 20510
"200071_at" 15953 19060 2610 22036 3756 17792 7314 18927
"200072_s_at" 17268 15792 9175 1613 8004 17980 9592 17195
"200073_s_at" 20326 14613 9217 21051 9418 7307 6790 18177
"200074_s_at" 2526 17190 6728 4418 9512 16668 7790 14666
"200075_s_at" 3915 8024 11568 3347 2164 4437 9227 17528
"200076_s_at" 4321 8034 7893 1506 4043 6909 5644 16132
"200077_s_at" 17193 15766 19699 18513 19439 16256 8827 5762
"200078_s_at" 15254 14835 9235 2386 3885 5264 4375 18408
"200079_s_at" 15998 8080 6468 15429 5249 8601 7473 18066
"200080_s_at" 21346 8064 8792 21417 19042 4655 17687 17158
"200081_s_at" 4308 7299 19700 3970 20750 15776 6436 4959
"200082_s_at" 14005 18126 6267 16006 4911 7801 10720 15148
"200083_at" 17001 7529 5811 17442 20024 7963 6438 2166
"200084_at" 15705 17004 9557 20639 7377 8847 17170 17732
"200085_s_at" 4858 5565 11233 813 4052 7655 4292 15247
"200086_s_at" 17912 17161 7348 16783 8358 5418 17291 18541
"200087_s_at" 18249 8211 9871 19769 6861 4195 6222 17655
"200088_x_at" 14654 14952 19422 2749 8919 11600 9947 5010
"200089_s_at" 14305 14815 11079 18408 18132 16123 8864 5470
"200090_at" 15158 19083 608 15666 4885 7327 7061 5423
"200091_s_at" 19755 15192 8836 21270 8434 17886 4705 17572
"200092_s_at" 17743 7243 12771 1910 9338 16853 18303 16519
"200093_s_at" 16736 14227 10142 19926 9499 9037 7622 15134
