"inst_315" "inst_984" "inst_1042" "inst_1145" "inst_1204" "inst_1629" "inst_2664" "inst_4428" "inst_5201" "inst_5564" "inst_6164" "inst_6924" "inst_6964"
"200007_at" 11972 14439 16714 16180 16485 2789 3932 5257 5320 10812 12060 4574 4197
"200008_s_at" 11116 14690 18243 2835 16995 3634 6650 19667 19830 10396 20548 20783 20674
"200009_at" 5909 3706 14342 16173 13296 5342 7539 17584 15590 10440 13909 15807 16543
"200010_at" 15516 14795 2307 16587 12070 4252 10573 16043 5583 11483 9016 15225 16246
"200011_s_at" 14445 14796 1780 18949 13565 18063 16655 3739 3243 13649 11095 4208 2699
"200012_x_at" 4159 8310 17500 18670 2221 16472 15732 13964 18126 1854 4109 3737 2957
"200013_at" 12680 15561 17334 5555 3975 18869 8747 17945 17198 13664 10786 18361 17813
"200014_s_at" 14382 3755 15272 3346 15570 16989 4696 6174 4471 9963 15239 4492 13926
"200015_s_at" 18052 17276 18505 3018 19688 16127 16563 16762 5524 17200 15279 15062 17930
"200016_x_at" 18842 15119 2607 4059 13587 4597 10513 8404 4693 9989 4078 3922 3446
"200017_at" 5679 16816 15982 16562 12238 16396 10659 10064 15081 4830 4249 14864 13944
"200018_at" 11991 4953 14415 18639 13631 5260 10648 10057 4118 9506 4238 4436 13953
"200019_s_at" 12335 16461 17882 5198 2367 5564 10619 14113 15274 11977 8932 5114 13661
"200020_at" 13514 17942 2923 17858 14425 16175 8754 19019 4347 13075 13884 4689 20659
"200021_at" 5116 19107 16955 2873 1125 4681 10749 10148 15162 4948 4339 3746 13078
"200022_at" 16296 13955 15461 4561 2873 15772 10585 14444 16131 2564 4157 5205 2560
"200023_s_at" 16022 15195 21798 3500 12446 4402 3894 5305 5123 14290 13071 3917 13085
"200024_at" 12332 14947 15923 17547 2968 4381 10622 16331 16919 9387 4212 15161 15309
"200025_s_at" 4635 14331 14755 6050 12426 16205 10646 7245 5176 8910 4237 3770 2917
"200026_at" 4923 4974 3068 5885 12077 15576 10752 10152 5701 4954 4342 4683 3101
"200027_at" 12033 16533 21277 3666 12475 17521 6944 7201 4026 13518 13849 3038 16135
"200028_s_at" 16103 2603 20672 4385 3662 4253 16105 3239 4987 15164 12032 1613 14397
"200029_at" 11333 4463 14366 6536 2885 5439 10610 4822 17318 2515 4194 3884 2333
"200030_s_at" 14792 5263 1644 4819 12791 15177 7282 8154 5128 2837 12262 2911 3292
"200031_s_at" 6260 8418 16803 4829 3179 16902 10639 10051 6720 4803 4231 2720 3462
"200032_s_at" 11287 8732 17740 19147 3780 16964 10662 15522 17061 4832 4254 14705 13792
"200033_at" 11592 16237 15521 16976 13946 16276 4549 16354 4609 12821 14740 4227 13448
"200034_s_at" 11342 4471 1582 5936 2165 16593 6576 19157 16625 9948 2447 15738 15515
"200035_at" 6013 16612 1346 2625 1738 20201 16704 8202 6154 12240 14353 2996 3083
"200036_s_at" 3295 18063 17413 16639 3766 16675 8088 8266 17013 11466 9422 16696 14189
"200037_s_at" 5808 16383 2240 17052 18173 4014 4218 13852 3049 10847 13702 14242 14330
"200038_s_at" 12082 14702 2211 18128 2562 3965 10734 8283 15087 8915 4320 15704 14304
"200039_s_at" 4347 14709 16256 5745 1994 14905 8628 16542 16116 14801 16067 17317 19853
"200040_at" 16482 16795 1929 18643 15766 16204 8740 14994 5278 16125 15380 15344 14705
"200041_s_at" 17862 16938 15532 6619 18064 3946 3517 16173 18011 11766 11523 14568 14369
