"inst_315" "inst_984" "inst_1042" "inst_1145" "inst_1204" "inst_1629" "inst_2664" "inst_4428" "inst_5201" "inst_5564" "inst_6164" "inst_6924" "inst_6964"
"203889_at" 1240 8442 9923 1146 19909 13685 7243 18495 8285 7975 358 9399 8236
"203890_s_at" 21494 1408 21338 4500 409 21658 4783 15760 3654 20069 20622 21021 21548
"203891_s_at" 19934 2027 11935 10850 12809 19169 129 14370 21173 2013 212 20397 2128
"203892_at" 3825 9498 13075 19517 7041 18202 1095 20410 1518 2514 608 2403 12705
"203893_at" 19835 16335 20154 5085 13680 4209 7722 6210 17444 13136 13196 18722 15081
"203894_at" 12817 21550 10383 15966 18458 16533 1236 1034 6668 2858 831 16921 20498
"203895_at" 20571 1513 15706 3800 16859 3332 22276 17231 1673 20779 16374 21823 18098
"203896_s_at" 4518 2985 19510 4663 12494 15690 19374 17461 19616 12664 13175 16055 21220
"203897_at" 4455 2002 14624 17944 15229 15312 4707 20696 1175 14124 14688 3612 3830
"203898_at" 18856 14703 20719 600 21564 17487 5285 15925 20908 18406 19975 4806 14247
"203899_s_at" 12776 2059 20414 20416 1615 3982 21040 3462 3704 11871 11800 21941 21355
"203900_at" 16405 11945 10123 11312 4457 12381 1704 17809 11873 9188 2405 13037 11973
"203901_at" 780 13500 1100 3713 9713 11262 2850 20360 22235 1485 1195 1558 13746
"203902_at" 1587 9383 12584 13779 11124 7814 13926 11425 7745 7929 6281 8588 9617
"203903_s_at" 3278 12237 9492 7228 9721 13018 11685 10635 8650 8703 4788 9858 9625
"203904_x_at" 4438 2359 12561 1734 5902 1712 3484 1250 6448 1545 9209 1345 14249
"203905_at" 11468 20326 16436 16292 19910 16650 18201 15861 2641 14949 14929 5176 15603
"203906_at" 12968 14256 18532 8670 14883 19262 8446 14227 21058 17890 9329 14106 526
"203907_s_at" 5790 1211 14816 13110 20622 18822 4082 14026 19699 18477 81 1869 17852
"203908_at" 13267 373 7163 9259 21647 8175 21903 21987 10724 9184 677 6723 12752
"203909_at" 12298 18524 20750 1430 19424 4478 7016 16302 17037 16597 18365 4514 18401
"203910_at" 14756 16897 664 15069 12893 19413 13462 7082 5468 13767 9112 889 17788
"203911_at" 1458 2855 16042 21053 3726 16292 8368 2024 4666 2138 20048 18318 21788
"203912_s_at" 12807 15414 17554 4768 3774 15393 2972 21315 7210 11139 9371 20995 13187
"203913_s_at" 10473 13266 13382 956 14600 13517 18313 20605 10599 1624 18295 1024 12440
"203914_x_at" 19405 6709 12717 15464 15835 9832 9955 7804 9730 11023 12038 9815 12071
"203915_at" 479 8712 10381 11927 9993 11531 9466 13189 9487 8625 2581 12717 10886
"203916_at" 3270 20536 1094 20371 18541 189 8878 7785 419 14880 12652 930 2078
"203917_at" 20503 10656 5971 13258 19516 11945 11320 2336 7535 10253 1430 7608 5515
"203918_at" 19788 1458 12772 15181 21194 10684 13641 3032 12920 15032 146 16184 8556
"203919_at" 4826 19203 19884 19521 16993 1813 17562 20035 16465 18585 1491 2342 15743
"203920_at" 4583 21151 15403 11412 20813 1513 315 14829 19932 16721 18534 4082 20885
"203921_at" 570 12435 11250 18202 867 6710 20061 17580 9305 58 13669 11600 4818
"203922_s_at" 17227 13528 13003 3502 5517 6942 1617 16035 5986 9760 20748 11450 11974
"203923_s_at" 21577 13150 7552 5850 11149 10964 2780 18323 8105 3803 10652 12352 6575
"203924_at" 7813 9279 4324 13150 1061 5796 12516 6328 8812 5838 5686 6158 11288
"203925_at" 14649 16024 2303 20357 20071 819 18338 15156 4421 15948 16075 16562 16933
"203926_x_at" 18694 21737 1812 21440 12115 21138 3039 3605 6174 14338 16783 14460 13215
"203927_at" 2742 698 18246 3265 14408 15440 15257 1185 16269 17926 17321 260 15464
"203928_x_at" 19622 1343 1068 13923 3921 19417 22140 20664 2905 13140 9618 19613 14329
"203929_s_at" 13022 366 19959 7658 1552 21587 11720 1588 19869 10459 6196 16358 2200
"203930_s_at" 3766 13822 10652 11292 5921 8262 14083 11600 13255 5076 6135 7197 10055
"203931_s_at" 20611 17721 19773 21114 13003 17812 16464 15831 16631 16433 13671 20625 16504
"203932_at" 4555 13272 9742 18740 2522 8047 21338 19798 11217 12536 17201 633 1335
"203933_at" 3909 15134 20742 1839 20457 293 21542 20413 2736 16369 10168 18190 1660
"203934_at" 15361 5926 13153 11162 8696 7028 12476 18375 14869 2589 756 11154 10945
"203935_at" 16634 20179 19166 20977 16597 5394 6749 6364 6789 17981 13853 2764 20141
"203936_s_at" 4632 16576 16198 10766 12323 18960 21685 2495 20383 19444 19579 20814 15357
"203937_s_at" 11505 20866 1603 20514 2860 3751 22023 22120 1302 11220 2468 3456 620
"203938_s_at" 13544 20782 19057 3728 846 4693 18713 21486 1804 12757 9378 4591 2499
"203939_at" 1958 3714 14059 16647 15487 19485 3215 16978 2528 21637 19900 1946 8519
"203940_s_at" 1539 2113 10498 7490 4596 22190 21714 14557 1776 11340 10211 957 2031
"203941_at" 17949 3230 14648 19544 2602 17529 6189 8497 1779 9680 2243 14710 21345
"203942_s_at" 12388 14031 15713 793 2616 22038 19147 19681 20534 11026 10497 18017 21098
"203943_at" 18908 4288 2219 21849 14625 18038 4699 14154 19839 20050 18256 15533 16606
"203944_x_at" 13071 19875 1191 2206 19567 2110 18502 16039 15328 18214 21246 5211 18503
"203945_at" 19385 1890 16 19771 2254 599 1299 3952 17713 13155 9385 2070 21087
"203946_s_at" 13714 19511 19982 8770 22173 670 14565 4952 20384 18176 5032 21844 19880
"203947_at" 14070 19788 2455 6079 20831 756 6110 15761 6931 9281 12718 5223 19235
"203948_s_at" 6873 9844 8674 22042 7358 10231 7463 10343 11471 3077 9202 8522 8478
"203949_at" 1640 10941 13369 18396 11044 7202 8029 6721 12196 10558 2373 4127 8473
"203950_s_at" 22240 357 5721 21452 17023 731 6605 22099 16285 21473 21860 16280 8467
"203951_at" 15866 11537 9249 13444 5413 13446 22194 185 603 746 7802 319 2534
"203952_at" 5135 3168 21421 17085 17403 19683 5972 19109 6903 10432 14704 21281 21067
"203953_s_at" 17147 19821 21907 14607 953 5289 18804 13998 20794 16519 780 21446 20258
"203954_x_at" 17113 21666 21493 8144 20640 18949 22145 3760 20438 20211 3481 21794 20801
"203955_at" 5055 15765 16267 8888 11847 1920 19776 4501 7202 16887 723 3736 13541
"203956_at" 21175 13916 20081 607 21271 21085 19004 16614 2530 20884 17258 14691 17762
"203957_at" 18896 3733 21900 6504 20507 2198 19909 1851 2644 20451 15403 4866 19306
"203958_s_at" 11039 17137 14503 19548 20664 693 2126 1762 19481 22093 13315 20161 18222
"203959_s_at" 13121 3266 15363 18796 18113 4580 3337 4021 2372 11798 14741 20773 1024
"203960_s_at" 18758 19111 20828 6364 1579 19765 6038 16356 17320 13279 12000 17604 1991
"203961_at" 14574 15775 15589 9758 21556 18058 531 15251 4569 14598 7372 4432 3943
"203962_s_at" 16692 15623 2490 7903 20472 2040 19815 4662 5960 12683 8999 4262 17880
"203963_at" 5689 20794 20092 8988 16628 4671 19412 4097 15991 12299 10093 16666 18219
"203964_at" 15089 20228 19457 2655 14795 4410 3792 7965 5393 15792 15877 19507 13472
"203965_at" 11454 4975 14191 21392 14333 19338 19079 17594 17879 2467 13466 21654 21532
"203966_s_at" 13465 14672 16977 6686 12153 21013 2718 16205 20658 17430 12298 2577 21469
"203967_at" 6300 19498 18183 5282 13800 20321 15748 19136 6793 15484 18235 18482 19264
"203968_s_at" 3114 17226 18386 1160 15428 19596 5684 17843 5807 13800 20061 18295 17019
"203969_at" 13291 322 5897 12911 9925 11820 21708 8363 1005 13684 17943 13853 4932
"203970_s_at" 17458 18558 19813 1314 16932 1376 5984 14473 17832 17249 17934 21544 18879
"203971_at" 719 2448 561 117 1420 17291 8655 20160 2610 20063 21036 15072 20421
"203972_s_at" 11859 14072 14345 3402 13482 2121 4897 5252 7589 14076 19280 17524 15958
"203973_s_at" 17450 21255 3000 16795 22061 2974 8333 3529 1556 12440 12610 17493 19896
"203974_at" 13752 21174 16449 3920 16103 4658 8743 4667 3112 13587 13148 14092 3666
"203975_s_at" 17129 19159 17392 6728 14610 21024 16098 3567 16707 11042 13842 19405 15926
"203976_s_at" 4300 21663 21847 5044 755 19584 18468 14761 20259 20805 12654 18639 13276
"203977_at" 8903 821 6306 525 21546 20947 18167 20866 21875 21238 9881 19789 10080
"203978_at" 16526 14887 18446 20551 3549 3915 8965 16214 16876 15568 14116 15073 15017
"203979_at" 7453 11969 9743 9327 190 14178 14011 15188 14309 52 1709 9606 3335
"203980_at" 11857 2318 8427 13726 18803 7511 13556 5995 12200 7896 4239 8692 7570
"203981_s_at" 18514 20696 3095 19740 13682 20959 19891 5664 4059 15993 9491 3116 20222
"203982_s_at" 14077 11301 3820 8992 10889 14116 174 9640 13712 4052 5756 11337 11296
"203983_at" 15151 20945 19988 6257 17328 16930 6804 17106 18898 17347 17373 18007 19133
"203984_s_at" 2531 879 17141 19863 12601 2726 15622 19781 5545 2191 1995 2475 1600
"203985_at" 3253 22280 19755 20319 18249 18484 7552 5955 19291 15892 16252 21378 274
"203986_at" 11329 17208 650 19701 2231 414 6380 19346 18423 9504 1795 5070 19810
"203987_at" 14611 18732 16101 4262 19693 2554 1859 20088 4797 17379 1497 16287 17095
"203988_s_at" 18850 16866 20678 6612 3830 16689 19500 20108 16616 19064 10097 4157 16300
"203989_x_at" 9307 2041 5729 8959 21640 15491 20572 18476 22242 11147 1970 4356 12853
"203990_s_at" 16027 2484 15690 6011 17783 5542 18830 20633 20080 1781 22078 18746 22194
"203991_s_at" 3667 21627 9801 17326 17406 21775 2295 17219 298 19818 19966 13858 20244
"203992_s_at" 15004 15386 17433 17729 2876 18455 2612 15117 3787 20475 13218 3161 13457
"203993_x_at" 9265 7334 8723 10226 6690 9406 10516 10208 9811 4627 3685 7702 6604
"203994_s_at" 8659 21613 5221 18326 15386 1082 496 8190 21766 11252 21228 2427 17044
"203995_at" 630 11452 13784 11130 10505 7155 4809 2085 9594 3694 8829 7148 6285
"203996_s_at" 15528 12253 10170 15401 5210 12860 12718 8751 8462 171 3278 7043 11174
"203997_at" 12896 4459 2113 7175 17034 19254 9441 5159 3918 16026 3271 16100 3102
"203998_s_at" 16640 21131 19631 11430 19135 22156 21699 18279 19301 14895 8446 4460 16301
"203999_at" 16238 16901 15064 9797 15796 1589 13892 580 18108 20111 12920 18508 21020
"204000_at" 15025 20968 20219 19766 17949 15396 17416 19549 21688 12880 11410 22017 17200
"204001_at" 16633 4882 802 20931 3472 18558 19121 7909 15708 12665 17629 21280 17311
"204002_s_at" 1032 13632 6897 15274 9498 659 462 7 21205 21788 12939 11884 5780
"204003_s_at" 6115 404 21494 5750 2544 21776 3873 4590 20873 10110 17792 21663 14244
"204004_at" 3719 4959 1985 7833 15933 20470 2052 8192 16981 16815 475 15733 17945
"204005_s_at" 13811 14005 15568 7907 14294 16005 1413 16798 5726 12091 6044 14623 4202
"204006_s_at" 19360 12436 12664 9768 9829 10784 6742 6322 14536 4487 5674 12084 4739
"204007_at" 3291 6040 13643 14508 6148 11320 19764 9489 10883 2342 8828 13696 4969
"204008_at" 22011 1244 11114 16349 21519 21203 1712 1506 1491 11834 16400 21601 21818
"204009_s_at" 15707 19721 18280 17494 21429 3318 4902 2865 4135 19423 17414 5294 17587
"204010_s_at" 10468 919 11857 21599 19671 21429 15772 14887 22002 20757 13125 12725 1998
"204011_at" 163 16699 13960 17656 1452 379 16810 13990 4676 1943 11464 409 2580
"204012_s_at" 11907 15384 16996 2107 15911 4576 2055 2702 2978 14525 16032 21878 1755
"204013_s_at" 8900 10127 5602 6755 10023 14497 20690 9101 1085 15827 3480 13434 10957
"204014_at" 20824 17814 2809 21636 14058 19866 2186 2229 17029 20427 13015 16653 21145
"204015_s_at" 20562 21372 2295 20981 13220 21585 1643 15422 946 20580 12536 18263 18288
"204016_at" 18059 19703 16721 20385 19892 18679 15404 19266 17961 21918 9047 14052 16671
"204017_at" 5904 15304 14960 16056 17768 3228 3412 14609 3838 16756 5224 17088 17355
"204018_x_at" 21284 9873 12323 10499 6417 8359 11111 8846 12228 8557 5778 5814 11064
"204019_s_at" 18673 17986 16346 2470 17584 2117 18891 5585 4055 13968 20508 18387 15373
"204020_at" 17290 19467 1351 6716 19539 18332 17607 17452 15560 18670 17587 17580 17071
"204021_s_at" 15462 14267 21725 22070 11870 1757 6373 15986 16623 17939 16338 19487 17301
"204022_at" 5935 19771 20864 19595 20305 15589 15426 5497 3096 16545 15836 20945 2409
"204023_at" 12781 17267 17436 19532 14582 16564 7782 18506 7496 17466 18300 16838 18128
"204024_at" 18415 18175 21506 17911 21509 19797 8625 19764 16386 20090 19718 2912 20876
"204025_s_at" 14929 18682 21258 3824 21352 19373 5749 16650 5900 20022 15798 20396 18708
"204026_s_at" 13713 15403 14931 4074 15455 2597 7079 13846 3674 10359 14716 1752 2865
"204027_s_at" 5464 13986 20179 18791 2259 5349 2778 15476 20661 16406 14262 16020 14547
"204028_s_at" 18663 21009 19908 2466 19224 2458 4253 3016 3095 18624 9867 15318 20695
"204029_at" 3339 19446 14441 16127 16099 16915 16585 14357 1351 19224 14518 1739 749
"204030_s_at" 16503 220 6435 14308 19405 10988 14806 8046 208 1284 2225 2617 19152
"204031_s_at" 16531 19141 17675 1765 17719 1332 2538 18460 4350 17187 17244 17441 15318
"204032_at" 16915 14166 18940 1256 13745 15468 20458 18162 6120 19438 19205 19747 18781
"204033_at" 11104 18061 16924 18428 14447 5575 7925 18384 6295 19850 15234 18355 16334
"204034_at" 5647 3084 20701 19092 18305 18649 18711 7084 19392 18061 12910 17432 16720
"204035_at" 20054 914 12120 9214 142 8645 17177 18740 440 8958 6568 3127 8571
"204036_at" 2197 5560 13306 2975 14463 11451 19680 15581 8054 6880 1255 9496 11371
"204037_at" 8190 6263 3691 4365 12366 12415 3202 17164 10561 3385 1157 6299 8417
"204038_s_at" 14441 4612 13959 1561 14259 13396 22053 16981 8216 5771 2398 10686 10237
"204039_at" 2121 22151 347 6449 10105 21938 16302 16345 1944 12805 11032 22075 13370
"204040_at" 10250 11607 8550 16837 19787 10763 19690 3572 14435 7577 16881 7441 5094
"204041_at" 19510 13231 3707 15771 11125 6286 13833 13750 2640 1472 3918 1932 12673
"204042_at" 13966 17669 2501 22034 19240 2701 19312 8498 16641 13123 20235 16365 706
"204043_at" 5259 10577 7432 8518 11619 9517 11324 12941 11549 5995 6993 7181 10368
"204044_at" 20801 3501 21147 16350 5719 21793 20894 11438 3455 21699 17301 21430 21279
"204045_at" 15741 14890 21446 9397 12768 2493 9925 4490 18207 9616 8825 15837 1860
"204046_at" 5717 5512 8113 22241 6311 12950 21852 22125 13505 8535 22118 9450 9182
"204047_s_at" 2936 14600 2483 18581 20194 21361 4114 1836 22055 20231 14694 16518 20367
"204048_s_at" 18647 15350 1914 16520 18128 2567 7719 5203 17223 15962 20234 18507 17911
"204049_s_at" 5232 19555 19741 1727 16062 14897 6307 8545 2871 14966 12949 18990 1977
"204050_s_at" 12944 15076 16732 4471 3703 3845 4559 16585 18155 15775 12951 19870 17204
"204051_s_at" 16514 8997 3779 12955 12557 11528 9759 13773 7 219 14381 6733 14977
"204052_s_at" 3986 12122 3906 16111 4665 11182 12377 13650 14183 3957 8644 10335 8891
"204053_x_at" 12282 16565 20390 20220 8245 15241 6402 11830 18134 12470 16714 18602 16066
"204054_at" 18308 18633 18842 2385 9156 1346 669 8975 17005 20501 16548 15125 2379
"204055_s_at" 16735 2411 6776 18102 10863 3577 2826 1842 21254 9313 20917 14094 10701
"204056_s_at" 20883 20779 17157 19620 20719 5654 18696 823 15234 22255 9064 15803 22247
"204057_at" 4153 10041 5210 3339 1198 12600 15888 70 211 6934 18520 12111 6987
"204058_at" 18704 20449 1708 6140 21960 3001 21199 4309 485 20812 15005 3611 18342
"204059_s_at" 19799 19065 15909 16687 18890 17688 1592 5341 2693 10721 18054 4292 14695
"204060_s_at" 4603 16947 19508 19074 1526 1819 2726 1046 15524 21362 9220 18290 20123
"204061_at" 16426 3742 16073 4731 21638 20790 4326 14666 5672 21517 20427 1435 2353
"204062_s_at" 15752 18125 14467 889 21394 21656 4801 21011 18525 20193 11258 1226 654
"204063_s_at" 21486 18192 12540 8368 21581 589 18258 1624 10473 18257 10053 4378 11032
"204064_at" 16616 5201 20569 6005 15378 17892 2702 6966 2841 19318 18484 16763 2794
"204065_at" 12331 17160 6732 18487 3784 4857 20413 2067 2295 20923 10641 4257 21290
"204066_s_at" 20458 14104 15227 14298 17806 15974 11887 4449 3647 19110 5427 18026 1739
"204067_at" 3791 14044 14916 20674 20509 19027 18273 8435 7519 16594 20223 4326 19510
"204068_at" 20707 17589 21256 3296 18069 19128 19233 5657 17817 21815 21784 4334 21426
"204069_at" 4456 4205 2037 12249 19197 17240 9842 18991 19480 17405 3739 19991 22013
"204070_at" 20116 7691 10011 13613 3436 7087 1964 19308 9055 8182 2323 13566 9586
"204071_s_at" 21641 17958 18627 21105 13868 15149 1513 19993 17185 15148 15637 22149 21552
"204072_s_at" 7801 10021 9005 6672 11616 13002 16780 9675 8998 7055 16169 5902 9727
"204073_s_at" 2273 8315 9571 9471 1012 6087 21342 20090 14482 4569 9967 9351 3583
"204074_s_at" 16423 17479 16688 18938 3109 20369 18554 17516 16387 20545 10796 18104 19036
"204075_s_at" 7439 1023 6653 1730 22197 21078 5672 2448 1108 20649 9778 668 2951
"204076_at" 17930 21267 424 20011 19861 20595 7541 17847 18618 20384 10694 19752 3317
"204077_x_at" 16623 21017 9685 21683 13578 2046 21154 2165 21430 20265 19513 2935 13974
"204078_at" 18561 16156 17011 10609 2375 20093 13963 20384 17452 21250 7726 18707 21551
"204079_at" 20920 20548 21948 17137 21706 18130 8578 21505 1560 15135 19307 594 16212
"204080_at" 2984 18757 21585 20015 2005 15644 20747 6817 19988 11014 14122 4541 19672
"204081_at" 17835 16282 20572 21875 1112 21338 19596 4398 21472 9113 1682 19756 20237
"204082_at" 14857 2256 18179 18843 20860 17129 6756 17145 18796 16826 11815 2689 13374
"204083_s_at" 10560 3468 8517 9982 20524 14689 17606 17241 10655 807 21183 13022 10155
"204084_s_at" 11735 4593 18324 2249 13873 4456 1978 15454 4359 11842 11527 17082 2037
"204085_s_at" 3886 957 12121 22037 18442 2652 17185 18556 899 22203 18668 132 21730
"204086_at" 970 679 13841 6252 19807 13527 15395 20855 9107 6732 15372 893 11078
"204087_s_at" 12938 17103 19592 17517 559 18542 3942 15713 17935 14915 10984 16105 4187
"204088_at" 20638 16823 21332 4300 21602 17288 2210 6253 20954 14942 21170 20094 21512
"204089_x_at" 14944 3630 20830 6788 14489 19668 8065 6214 4628 21431 12845 2118 2396
"204090_at" 4075 1412 15134 848 21380 15703 20893 1598 20279 20763 18323 1689 13232
"204091_at" 17123 4083 16926 18189 17265 15186 17669 7690 17388 16444 16528 20802 16742
"204092_s_at" 2918 4299 1689 18689 16297 2977 19745 16796 3637 11111 12591 14610 18415
"204093_at" 10831 15358 1243 4164 13068 4500 7500 15625 17510 20440 19875 19746 18465
"204094_s_at" 20913 17275 2842 4305 16544 15866 19109 8437 15879 19879 18621 17304 18287
"204095_s_at" 2201 8209 9932 9275 9944 8714 1961 563 12110 10010 10617 12081 6538
"204096_s_at" 1697 18261 10662 12900 7396 19661 15254 14763 16506 1965 9865 12867 10678
"204097_s_at" 14047 17546 22034 22126 21517 5329 1169 17839 18503 15940 12914 20203 20251
"204098_at" 1150 15298 18856 1647 19659 4852 17962 6898 15407 14642 18034 1905 15230
"204099_at" 21181 1158 11496 13594 689 22091 311 16814 20642 19949 815 13747 10248
"204100_at" 9080 5887 6941 10608 6609 8902 10768 9959 12113 4688 966 8007 6899
"204101_at" 16563 1378 13284 20171 22163 377 17432 16610 2282 17993 20414 21766 40
"204102_s_at" 13955 14096 1425 21077 2662 18798 10564 19516 7637 11659 4136 4820 13097
"204103_at" 8884 5394 11555 17482 9094 11738 2164 10983 11858 7951 20901 9862 8635
"204104_at" 16525 22011 1919 16059 2820 4181 21167 20863 22159 16235 14693 10489 19561
"204105_s_at" 20784 17826 2085 11225 7808 17343 9873 533 7549 21216 500 17959 13996
"204106_at" 19516 20203 16640 1089 20949 18677 263 16534 20288 17727 2069 17743 1640
"204107_at" 19462 21119 19617 4871 15795 924 1343 19973 22274 21735 21485 1284 22098
"204108_at" 19894 18253 18943 19689 16956 5388 4099 15982 4806 20633 12985 21032 19710
"204109_s_at" 5164 2960 513 553 1252 20304 1009 6900 21047 17177 15300 3856 21781
"204110_at" 18326 7045 13688 9992 10214 11772 31 11315 8092 6439 21384 2316 12255
"204111_at" 10086 2160 10859 9932 8624 6635 871 13207 11673 5632 8179 5632 6195
"204112_s_at" 3555 22051 14181 20955 14281 630 1725 7272 3259 9759 19829 14044 3059
"204113_at" 11160 18628 18462 21144 17500 15139 20941 16021 4215 14103 11371 3779 2725
"204114_at" 9845 5748 10000 10961 19705 13506 14972 8135 11129 3083 7084 8657 4751
"204115_at" 9948 253 4164 1103 1821 7581 18036 15929 10568 909 21726 11335 12309
"204116_at" 748 1147 5063 6510 7217 225 6606 2800 6411 4150 18247 11485 11239
"204117_at" 11983 14985 17930 19920 20579 4631 8067 8347 18236 12498 14370 21084 3091
"204118_at" 19139 8246 3623 3817 4829 2906 5601 768 11542 7106 17514 8811 4398
"204119_s_at" 17076 13911 18640 6397 2199 2888 16218 16211 3900 10526 15459 5268 18648
"204120_s_at" 20632 16523 17724 188 21121 17656 2160 14846 756 13983 19969 5062 21434
"204121_at" 2113 12713 14105 9612 11736 10010 19401 187 1696 10602 2958 267 13216
"204122_at" 549 6860 10025 16706 6744 8894 16129 10232 10803 5248 13633 8897 10790
"204123_at" 21798 1111 18492 20913 17709 15243 19199 19457 332 11743 16422 20612 21609
"204124_at" 146 13081 12112 15341 8277 11051 209 21977 15949 11530 3057 6382 11674
"204125_at" 11753 4410 19638 3113 21255 2065 2613 4130 3034 11745 14684 4095 14360
"204126_s_at" 4654 2215 21832 18350 18545 3416 16262 20942 20085 14592 18856 4723 20566
"204127_at" 5899 14064 16733 4375 18665 16864 6394 7655 15277 9103 14537 15284 15687
"204128_s_at" 18774 15949 19977 1261 12762 2694 16376 19289 3252 14931 20629 21895 21160
"204129_at" 13126 19376 10358 8505 1483 19512 7136 15026 19516 20627 4773 91 19537
"204130_at" 7318 9418 6944 10565 7169 10713 9533 12349 12029 7062 4543 5893 5710
"204131_s_at" 11855 18349 18901 21954 18583 2094 5389 725 19983 11942 16742 15235 2156
"204132_s_at" 15618 17034 18475 18240 12987 18347 8665 7039 17842 12314 14829 4511 17300
"204133_at" 16149 19368 22135 21948 21544 2867 3616 16444 18799 9008 10088 3608 17376
"204134_at" 7601 8141 8213 14406 1023 11574 11880 9154 11003 5545 6089 10624 7876
"204135_at" 18616 19250 11520 17506 9499 65 19871 2836 21731 2941 13512 1026 3515
"204136_at" 7547 1461 5559 21882 2041 11793 21363 21729 18791 9438 17946 2750 14297
"204137_at" 17364 1895 15876 17505 20142 16368 8852 14210 3287 16562 17290 16307 15461
"204138_s_at" 11305 10180 10878 9724 154 1173 21295 802 1047 761 19623 7129 4599
"204139_x_at" 21530 19310 10608 3392 447 2226 7820 7212 588 22228 9059 16160 20019
"204140_at" 18741 20530 19105 18559 17041 4961 447 18568 20298 19849 11693 14812 1930
"204141_at" 1796 4303 15715 18921 18336 2452 2268 5555 14988 12617 21063 13974 2781
"204142_at" 4493 21524 18890 20827 16481 2987 19944 19829 18660 18789 14814 15831 21920
"204143_s_at" 5010 15915 18958 20328 16747 4647 17901 5315 6063 19773 13593 20024 15383
"204144_s_at" 14821 16788 13794 9499 6137 2014 20678 1416 19265 22013 2501 10288 6523
"204145_at" 15904 21443 17681 4523 18445 18805 2489 6304 19792 15930 15444 19130 20405
"204146_at" 20356 21087 17832 4764 3455 19595 1945 14277 1118 17009 21396 18805 17991
"204147_s_at" 20522 17421 16656 3796 18308 4690 15887 17702 3364 9975 19145 21600 15395
"204148_s_at" 19340 2973 21813 1040 859 20562 2245 20404 15165 11527 21483 18272 16479
"204149_s_at" 1633 20848 2358 6002 518 19079 20638 21469 19201 21133 20332 21994 17262
"204150_at" 2093 113 10945 8055 726 10405 14536 4040 12065 2929 7600 13421 5991
"204151_x_at" 13374 2331 15490 14237 3216 470 12311 7523 543 15471 5931 4008 19569
"204152_s_at" 125 8523 12256 1756 5577 12328 7227 9772 9771 6141 19604 9884 6303
"204153_s_at" 6209 585 13009 5963 21185 139 17288 22080 21278 11468 15767 10156 15210
"204154_at" 19826 10069 9589 5896 5743 7636 348 3061 15446 2663 14082 11099 6697
"204155_s_at" 15201 4620 4878 21699 20379 8660 18803 15001 4417 17666 13295 13658 12954
"204156_at" 21832 504 605 19196 1681 403 15697 3531 15481 11100 12300 6915 305
"204157_s_at" 3113 20197 20865 16881 20254 2898 16176 7923 16612 18071 12481 18382 14950
"204158_s_at" 1988 15220 21852 20165 1996 3936 18042 20458 20521 15254 1458 4690 17484
"204159_at" 15191 20973 19290 17153 15235 21583 8924 14120 1368 15035 17006 20545 20762
"204160_s_at" 13420 15581 18014 12054 13783 17507 16921 19839 15781 13568 162 5282 4108
"204161_s_at" 20812 352 9421 9802 21810 94 204 6464 3125 9788 8646 11328 1405
"204162_at" 13540 20263 1484 6442 16117 2086 4413 4033 7424 21303 18905 20753 18290
"204163_at" 7985 10185 13940 11946 6825 12579 20384 1426 10813 6171 3971 6570 10331
"204164_at" 3819 9170 12082 22173 22184 7064 18678 20635 13555 1481 11977 13786 13029
"204165_at" 21789 2681 2493 1547 19275 16508 6260 15352 1866 16865 13857 19588 605
"204166_at" 2174 21501 16121 11173 1539 20158 20824 19475 21393 15596 252 4952 19073
"204167_at" 449 21890 15386 2218 1487 18027 3482 18725 6621 1973 2649 1151 306
"204168_at" 2507 15496 16427 5280 19445 20650 5747 5250 7320 14947 14185 17136 19447
"204169_at" 1271 14390 1626 374 19777 19935 5406 19433 18110 17580 19386 18983 21561
"204170_s_at" 15056 5217 18945 6490 15397 2760 4486 7665 5591 2986 12793 5332 14130
"204171_at" 14401 16973 21605 127 18040 16755 3473 7948 6228 17432 22170 22111 14968
"204172_at" 21145 20834 15211 804 21069 1431 2855 5262 4731 14709 21651 4165 18855
"204173_at" 13372 15291 1179 2188 15377 19735 2667 6082 18314 13867 10874 16099 13102
"204174_at" 14624 10883 5107 6265 19868 14482 7721 214 12408 190 15415 6487 2992
"204175_at" 5607 16299 20467 16900 1833 1691 6439 16795 17520 13352 14407 17678 13251
"204176_at" 20733 17576 19153 3063 18627 3053 381 2931 1255 19924 17302 18930 1776
"204177_s_at" 13204 21024 21613 17077 20703 4420 1785 3098 4258 11456 16965 14897 14951
"204178_s_at" 11755 20040 17607 21616 14320 17023 2809 18035 6109 14644 14926 2676 2445
"204179_at" 18837 4348 21529 306 14527 1306 15164 18033 16031 21340 8285 14486 21715
"204180_s_at" 1471 1440 36 18540 3836 20185 20940 2748 20263 19901 11342 21645 21029
"204181_s_at" 14117 1154 20659 17293 297 15435 18914 2106 18775 17611 18451 1268 14648
"204182_s_at" 20882 22200 178 22008 753 2235 6111 18561 17479 14284 21808 17893 18408
"204183_s_at" 19620 20985 1412 18583 1159 4776 18047 5508 5386 17855 10505 21783 18443
"204184_s_at" 18060 15474 11003 2277 12913 1335 2852 21917 664 21357 20450 14973 17363
"204185_x_at" 14827 5092 16916 5609 15644 19898 8164 6614 7455 10725 18990 4644 3822
"204186_s_at" 4160 18951 2949 6475 20584 16598 5788 13923 15004 12707 17096 20844 17781
"204187_at" 4193 139 4501 15023 14768 10991 10496 5227 885 10639 13022 12249 10213
"204188_s_at" 12917 21723 21409 9718 21677 1857 11973 21194 22075 9522 8349 20613 22279
