"inst_2439" "inst_4662"
"200699_at" 21947 14481
"200700_s_at" 13931 12476
"200701_at" 13508 10383
"200702_s_at" 3973 13702
"200703_at" 14237 11543
"200704_at" 13470 12729
"200705_s_at" 13037 4078
"200706_s_at" 3699 2623
"200707_at" 14712 16387
"200708_at" 21468 11771
"200709_at" 18966 14084
"200710_at" 15126 10323
"200711_s_at" 17090 13306
"200712_s_at" 1041 12860
"200713_s_at" 2504 15931
"200714_x_at" 17800 4209
"200715_x_at" 14348 3810
"200716_x_at" 8556 3765
"200717_x_at" 8385 6317
"200718_s_at" 12931 10950
"200719_at" 4284 14833
"200720_s_at" 15074 11784
"200721_s_at" 5880 12324
"200722_s_at" 13817 17132
"200723_s_at" 13512 14712
"200724_at" 15406 17458
"200725_x_at" 5113 4103
"200726_at" 17396 14620
"200727_s_at" 5360 19804
"200728_at" 17041 20000
"200729_s_at" 13034 18056
"200730_s_at" 177 11809
"200731_s_at" 853 18813
"200732_s_at" 4662 18209
"200733_s_at" 220 2097
"200734_s_at" 14037 4167
"200735_x_at" 8479 10644
"200736_s_at" 14764 9951
"200737_at" 13471 16419
"200738_s_at" 5790 10180
"200739_s_at" 14102 13162
"200740_s_at" 20178 13729
"200741_s_at" 8237 6248
"200742_s_at" 4670 12325
"200743_s_at" 16821 15887
"200744_s_at" 4786 13691
"200745_s_at" 18719 17939
"200746_s_at" 19026 14506
"200747_s_at" 18474 19702
"200748_s_at" 87 3844
"200749_at" 21440 14719
"200750_s_at" 16324 10005
"200751_s_at" 3806 15379
"200752_s_at" 21320 11401
"200753_x_at" 15173 15868
"200754_x_at" 19400 15530
"200755_s_at" 15123 19349
"200756_x_at" 698 20164
"200757_s_at" 15754 17473
"200758_s_at" 17305 17804
"200759_x_at" 20043 17582
"200760_s_at" 13651 16645
"200761_s_at" 16965 17595
"200762_at" 17338 16708
"200763_s_at" 8500 4261
"200764_s_at" 21052 7363
"200765_x_at" 4573 6208
"200766_at" 13162 2328
"200767_s_at" 17415 19488
"200768_s_at" 20620 21474
"200769_s_at" 2583 21745
"200770_s_at" 2282 13968
"200771_at" 3101 17074
"200772_x_at" 13907 4105
"200773_x_at" 15757 12817
"200774_at" 19488 18652
"200775_s_at" 13952 14201
