"inst_262" "inst_452" "inst_453" "inst_503" "inst_2377" "inst_5049" "inst_5468" "inst_7409"
"1007_s_at" 15097 16953 18656 14536 20419 4081 6272 19203
"1053_at" 19318 15228 13438 6288 18202 18998 5815 3761
"117_at" 16514 14872 2277 18084 1210 195 6805 2528
"121_at" 11089 17004 17599 17200 15582 5826 5748 1860
"1255_g_at" 6943 11423 7910 18834 6041 10458 7511 7763
"1294_at" 17890 21019 21554 4197 782 2099 272 10515
"1316_at" 2095 16041 2274 19409 21953 898 2153 1062
"1320_at" 73 15087 19713 622 5062 12682 7572 5181
"1405_i_at" 10177 9367 9298 8062 18652 808 12859 10027
"1431_at" 2232 11977 6502 6781 640 21686 18416 6050
"1438_at" 11671 1568 3581 1356 10173 16740 18012 3285
"1487_at" 14733 14998 17239 3556 15432 4819 20234 3327
"1494_f_at" 12007 18180 16176 7161 3298 267 20479 5209
"1598_g_at" 5195 7018 3457 18205 32 2961 20013 17300
"160020_at" 11579 18962 20644 14806 21203 920 22058 1718
"1729_at" 16116 3142 1324 5920 22256 19685 13762 22040
"1773_at" 2813 19989 13637 14286 11995 21752 3798 566
"177_at" 1063 10970 15398 1422 21768 13342 2570 1289
"179_at" 6739 17569 2926 18245 22058 21844 8856 685
"1861_at" 18543 17234 4110 4022 15819 18530 20112 13859
"200000_s_at" 14993 3669 14650 18571 14197 14469 16154 18924
"200001_at" 5024 7306 3636 15517 14267 15145 18660 4266
"200002_at" 14676 3752 18130 18900 13990 16510 16344 17512
"200003_s_at" 14482 14889 15223 7947 6934 7731 17465 14783
"200004_at" 14212 7707 17200 18662 16199 11847 13781 14878
"200005_at" 6118 5719 17689 7346 4452 5848 4140 16097
"200006_at" 12678 3484 15926 6430 14629 13877 14173 15440
"200007_at" 15519 3407 2726 5293 18611 15122 14809 14390
"200008_s_at" 11175 7006 16579 17685 16398 20754 14194 18465
"200009_at" 6224 7359 16730 16901 16753 14098 15537 15272
"200010_at" 6792 2425 3440 6506 13299 14345 15229 15764
"200011_s_at" 2211 6150 4999 1840 15847 4206 18326 14118
"200012_x_at" 4956 5202 2543 18931 12181 2972 6333 2583
"200013_at" 11708 3784 3452 2430 3977 15829 6519 14940
"200014_s_at" 18594 4796 18267 5542 13046 14139 15629 3330
"200015_s_at" 17556 3176 15085 7377 15887 18396 14349 16662
"200016_x_at" 14341 4372 4014 4248 13903 5619 6492 4245
"200017_at" 14213 15502 20094 1774 6735 13639 14090 4545
"200018_at" 5868 16112 19238 16097 6868 12105 14276 14029
"200019_s_at" 16446 15460 14512 4705 3748 13851 14343 16821
"200020_at" 6940 16122 16569 19243 21948 4717 15374 2906
"200021_at" 3443 16885 4954 16190 16065 7924 8578 14060
"200022_at" 20149 15900 16392 7614 4591 14337 18132 3224
"200023_s_at" 18889 7675 16328 7731 13493 14739 15086 14988
"200024_at" 21044 6088 3989 16196 3448 12767 17795 16273
"200025_s_at" 12294 4955 17882 7415 4666 5821 14924 3613
"200026_at" 6545 7408 16251 1565 6815 13765 6617 4710
"200027_at" 15461 5740 19286 3545 14626 13115 15341 15973
"200028_s_at" 2908 1108 2342 18628 17320 5682 17503 14057
"200029_at" 12220 2008 17900 5393 12525 14322 14568 14411
"200030_s_at" 5794 14957 4662 17269 14116 4623 4968 14637
"200031_s_at" 6364 18249 14331 7149 6731 7812 17954 3598
"200032_s_at" 13554 4374 18011 6247 6820 12656 15076 4385
"200033_at" 16032 4332 16697 15821 14676 5123 4370 15578
"200034_s_at" 13965 14886 16774 7196 12630 11772 15152 16936
"200035_at" 968 16516 3474 18558 13004 3224 2301 21751
"200036_s_at" 16404 3531 19297 16133 14038 17679 16518 17069
"200037_s_at" 18410 6085 16736 7170 13330 12314 4198 15333
"200038_s_at" 14497 16827 5323 4829 6846 14705 15157 14402
"200039_s_at" 4444 6835 4749 4820 17308 16664 13484 18532
"200040_at" 11971 5865 17578 15556 16550 16414 14329 15230
"200041_s_at" 11528 4887 16306 16499 14162 14129 14790 17750
"200042_at" 3049 20092 17284 15312 3186 14764 19271 20230
"200043_at" 12629 3261 20022 7117 17089 16967 6194 14546
"200044_at" 6235 14912 18517 4865 12681 16120 15214 19365
"200045_at" 13243 17877 4418 6578 16599 4633 17242 4188
"200046_at" 6137 4783 3174 18045 16553 14548 4027 20263
"200047_s_at" 19529 7808 4307 4921 17828 15001 4764 14209
"200048_s_at" 12508 3831 15364 7962 12504 16756 15694 16410
"200049_at" 6452 7800 19994 6087 20897 4172 4802 16359
