"inst_1138" "inst_2323" "inst_2362" "inst_3779" "inst_3860" "inst_3971" "inst_4336"
"200089_s_at" 20546 10162 12588 6120 10112 5679 6328
"200090_at" 1537 3681 17018 12979 7095 16896 17274
"200091_s_at" 20978 18600 14989 4626 9112 7353 8141
"200092_s_at" 21693 18895 14359 6255 14170 7479 17242
"200093_s_at" 20160 20471 20703 14620 8767 12778 7672
"200094_s_at" 5198 10018 17309 13249 10755 11679 19370
"200095_x_at" 21238 12128 3906 8073 14230 7544 11110
"200096_s_at" 3601 4307 18823 17406 19050 13728 6583
"200097_s_at" 6566 10220 15832 5155 4333 4986 16780
"200098_s_at" 6979 17838 19054 14662 10761 12452 16066
"200099_s_at" 7649 12303 6386 8031 14173 7483 15706
"200593_s_at" 6713 16626 14422 13765 6470 19307 17079
"200594_x_at" 5224 9784 15425 12585 11051 15068 15211
"200595_s_at" 20722 17938 17482 6033 11081 11589 17864
"200596_s_at" 20443 17150 3830 15814 6385 4499 16334
"200597_at" 21685 8778 19622 21523 10672 16787 18693
"200598_s_at" 5082 16578 13835 12444 1962 17088 3218
"200599_s_at" 20462 3898 14123 3452 8263 18282 15704
"200600_at" 11258 11866 20048 5321 15949 8878 17276
"200601_at" 4750 19981 19804 2236 18932 3250 8413
"200602_at" 21188 7213 16666 19329 12008 4645 7278
"200603_at" 7881 16778 19843 4427 5597 16976 8858
"200604_s_at" 1760 16437 20655 20233 6676 13975 21035
"200605_s_at" 2211 20407 21747 11865 11558 16791 15284
"200606_at" 6932 9369 7688 19580 5154 14053 4137
"200607_s_at" 3708 4733 12436 18622 1537 12361 7927
"200608_s_at" 5909 16735 16028 3344 6858 13400 16658
"200609_s_at" 5578 5322 16648 4825 3704 18349 17694
"200610_s_at" 20625 18906 19071 5757 10603 15501 16705
"200611_s_at" 20144 8744 18211 17066 9003 13231 8090
"200612_s_at" 1792 5832 16079 22210 1107 21269 6897
"200613_at" 4166 8483 13212 15322 7333 11625 17606
"200614_at" 20315 19772 14951 14612 10417 7322 18070
"200615_s_at" 4232 6225 13828 14515 9657 17368 7792
"200616_s_at" 3453 8556 13712 5385 5022 16950 1677
"200617_at" 6048 18822 14320 3124 19652 3366 19600
"200618_at" 6819 16940 14365 5051 11157 4486 18065
"200619_at" 7968 7957 18291 14876 7377 11306 8881
"200620_at" 6783 8527 14530 13482 19913 4878 16281
"200621_at" 2431 5566 2268 3707 9576 5419 7199
"200622_x_at" 6250 4950 20648 14169 8515 5247 6116
"200623_s_at" 2966 16254 18141 4131 19283 2237 21688
"200624_s_at" 21390 8886 18174 16844 4864 16498 19891
"200625_s_at" 3992 16600 14460 12232 20250 14188 20442
"200626_s_at" 5437 9979 13743 6042 8217 13032 19664
"200627_at" 20797 17924 13337 12006 10682 14207 19215
"200628_s_at" 3783 6520 3642 16098 2520 13204 15324
"200629_at" 2384 9782 3356 6421 9372 17404 1912
"200630_x_at" 7986 8440 13322 5878 18481 4972 2822
"200631_s_at" 7149 18555 19310 12526 18840 11493 16244
"200632_s_at" 19720 3936 1360 2214 21547 3016 4144
"200633_at" 8065 12358 15377 7979 14097 7409 8232
"200634_at" 6938 17812 16365 13073 18630 12066 20059
"200635_s_at" 5809 6088 4375 5866 1984 13091 7625
"200636_s_at" 4039 19509 3922 5017 19316 15639 7405
"200637_s_at" 21218 7011 5540 3340 1889 4398 3192
"200638_s_at" 6548 9878 17271 11786 10880 5237 16787
"200639_s_at" 3578 19018 21103 3299 6831 3946 18540
"200640_at" 7250 17868 18009 12424 19830 4126 16863
"200641_s_at" 8048 7107 3470 20221 8012 15906 18868
"200642_at" 20264 17504 14405 13480 12064 13318 7066
